Wavelength (nm)	Angew 2008_3057, FCC 3 abs [Z]
225.00	1.0209
226.00	1.0188
227.00	1.0167
228.00	1.0132
229.00	1.0082
230.00	1.0033
231.00	0.99828
232.00	0.99124
233.00	0.98375
234.00	0.97625
235.00	0.96876
236.00	0.96384
237.00	0.95951
238.00	0.95518
239.00	0.95086
240.00	0.94679
241.00	0.94273
242.00	0.93867
243.00	0.93460
244.00	0.93054
245.00	0.92630
246.00	0.92184
247.00	0.91738
248.00	0.91292
249.00	0.90846
250.00	0.90279
251.00	0.89613
252.00	0.88948
253.00	0.88282
254.00	0.87616
255.00	0.86985
256.00	0.86364
257.00	0.85743
258.00	0.85121
259.00	0.84500
260.00	0.83828
261.00	0.83132
262.00	0.82436
263.00	0.81739
264.00	0.81043
265.00	0.80324
266.00	0.79561
267.00	0.78798
268.00	0.78034
269.00	0.77271
270.00	0.76490
271.00	0.75549
272.00	0.74607
273.00	0.73666
274.00	0.72725
275.00	0.71542
276.00	0.70176
277.00	0.68810
278.00	0.67445
279.00	0.65941
280.00	0.64413
281.00	0.62916
282.00	0.61892
283.00	0.60869
284.00	0.59846
285.00	0.59107
286.00	0.58496
287.00	0.57893
288.00	0.57675
289.00	0.57458
290.00	0.57786
291.00	0.58156
292.00	0.58797
293.00	0.59545
294.00	0.60311
295.00	0.61429
296.00	0.62546
297.00	0.63664
298.00	0.65031
299.00	0.66593
300.00	0.68155
301.00	0.69718
302.00	0.71711
303.00	0.73723
304.00	0.75734
305.00	0.77746
306.00	0.79685
307.00	0.81561
308.00	0.83438
309.00	0.85315
310.00	0.87192
311.00	0.89014
312.00	0.90721
313.00	0.92427
314.00	0.94053
315.00	0.95480
316.00	0.96713
317.00	0.97531
318.00	0.98349
319.00	0.99051
320.00	0.99738
321.00	0.99898
322.00	1.0000
323.00	0.99617
324.00	0.99235
325.00	0.98300
326.00	0.96996
327.00	0.95727
328.00	0.94462
329.00	0.92872
330.00	0.90833
331.00	0.88756
332.00	0.86605
333.00	0.84453
334.00	0.82109
335.00	0.79765
336.00	0.77720
337.00	0.75700
338.00	0.73858
339.00	0.72334
340.00	0.70810
341.00	0.69997
342.00	0.69246
343.00	0.68495
344.00	0.67918
345.00	0.67360
346.00	0.67028
347.00	0.66959
348.00	0.66891
349.00	0.67000
350.00	0.67156
351.00	0.67312
352.00	0.67611
353.00	0.67930
354.00	0.68283
355.00	0.68708
356.00	0.69132
357.00	0.69557
358.00	0.69881
359.00	0.69918
360.00	0.69955
361.00	0.69767
362.00	0.69578
363.00	0.69334
364.00	0.68777
365.00	0.68219
366.00	0.67330
367.00	0.66306
368.00	0.65168
369.00	0.64010
370.00	0.62853
371.00	0.61588
372.00	0.60206
373.00	0.58824
374.00	0.57443
375.00	0.56061
376.00	0.54588
377.00	0.53110
378.00	0.51632
379.00	0.50155
380.00	0.48491
381.00	0.46662
382.00	0.44833
383.00	0.43004
384.00	0.40824
385.00	0.38563
386.00	0.36302
387.00	0.33833
388.00	0.31100
389.00	0.28366
390.00	0.25721
391.00	0.23198
392.00	0.20675
393.00	0.18391
394.00	0.16464
395.00	0.14538
396.00	0.12687
397.00	0.11257
398.00	0.098275
399.00	0.083980
400.00	0.073172
401.00	0.064161
402.00	0.055149
403.00	0.047580
404.00	0.040822
405.00	0.034063
406.00	0.027733
407.00	0.023829
408.00	0.019925
409.00	0.016020
410.00	0.012444
411.00	0.010182
412.00	0.0079191
413.00	0.0056564
414.00	0.0033937
415.00	0.0028036
416.00	0.0026581
417.00	0.0025125
418.00	0.0023670
419.00	0.0022214
420.00	0.0020759
421.00	0.0019637
422.00	0.0019374
423.00	0.0019112
424.00	0.0018849
425.00	0.0018586
426.00	0.0018323
427.00	0.0018060
428.00	0.0017797
429.00	0.0017726
430.00	0.0017726
431.00	0.0017726
432.00	0.0017726
433.00	0.0017726
434.00	0.0017726
435.00	0.0017726
436.00	0.0017726
437.00	0.0017726
438.00	0.0017726
439.00	0.0017726
440.00	0.0017726
441.00	0.0017726
442.00	0.0017726
443.00	0.0017726
444.00	0.0017726
445.00	0.0017726
446.00	0.0017726
447.00	0.0017726
448.00	0.0017726
449.00	0.0017726
450.00	0.0017726
