Wavelength (nm)	J Nat Prod  2020_873, FCC 1 abs [Z]
250.00	0.99850
251.00	0.99245
252.00	0.98639
253.00	0.98034
254.00	0.97428
255.00	0.96882
256.00	0.96353
257.00	0.95824
258.00	0.95295
259.00	0.94795
260.00	0.94368
261.00	0.93940
262.00	0.93513
263.00	0.93128
264.00	0.92906
265.00	0.92683
266.00	0.92460
267.00	0.92238
268.00	0.92015
269.00	0.91768
270.00	0.91239
271.00	0.90711
272.00	0.90182
273.00	0.89654
274.00	0.89126
275.00	0.88432
276.00	0.87689
277.00	0.86946
278.00	0.86203
279.00	0.85460
280.00	0.84717
281.00	0.83788
282.00	0.82825
283.00	0.81863
284.00	0.80900
285.00	0.80058
286.00	0.79429
287.00	0.78801
288.00	0.78172
289.00	0.77544
290.00	0.76935
291.00	0.76704
292.00	0.76472
293.00	0.76240
294.00	0.76440
295.00	0.76762
296.00	0.77084
297.00	0.77804
298.00	0.78679
299.00	0.79554
300.00	0.80707
301.00	0.81904
302.00	0.83101
303.00	0.84298
304.00	0.85496
305.00	0.86814
306.00	0.88358
307.00	0.89903
308.00	0.91447
309.00	0.92816
310.00	0.93989
311.00	0.95162
312.00	0.96334
313.00	0.97573
314.00	0.98858
315.00	0.99396
316.00	0.99698
317.00	1.0000
318.00	0.99761
319.00	0.99522
320.00	0.99283
321.00	0.98584
322.00	0.97791
323.00	0.96997
324.00	0.95256
325.00	0.93231
326.00	0.91206
327.00	0.89191
328.00	0.87265
329.00	0.85338
330.00	0.83411
331.00	0.81484
332.00	0.79224
333.00	0.76886
334.00	0.74547
335.00	0.72406
336.00	0.70647
337.00	0.68888
338.00	0.67129
339.00	0.65478
340.00	0.63953
341.00	0.62858
342.00	0.62355
343.00	0.61853
344.00	0.61350
345.00	0.61137
346.00	0.60940
347.00	0.60743
348.00	0.60876
349.00	0.61054
350.00	0.61233
351.00	0.61411
352.00	0.61590
353.00	0.61947
354.00	0.62356
355.00	0.62764
356.00	0.63172
357.00	0.63580
358.00	0.63988
359.00	0.64266
360.00	0.64474
361.00	0.64681
362.00	0.64889
363.00	0.64590
364.00	0.64290
365.00	0.63991
366.00	0.63152
367.00	0.62093
368.00	0.61039
369.00	0.60048
370.00	0.59057
371.00	0.58346
372.00	0.57812
373.00	0.57279
374.00	0.56772
375.00	0.56318
376.00	0.55863
377.00	0.55409
378.00	0.54495
379.00	0.53355
380.00	0.52215
381.00	0.50323
382.00	0.48255
383.00	0.46186
384.00	0.44096
385.00	0.42005
386.00	0.39914
387.00	0.37828
388.00	0.35818
389.00	0.33808
390.00	0.31798
391.00	0.29788
392.00	0.27849
393.00	0.25961
394.00	0.24072
395.00	0.22184
396.00	0.20296
397.00	0.18570
398.00	0.17021
399.00	0.15472
400.00	0.13923
401.00	0.12374
402.00	0.11044
403.00	0.097771
404.00	0.085097
405.00	0.074644
406.00	0.069136
407.00	0.063628
408.00	0.058120
409.00	0.052611
410.00	0.047103
411.00	0.042602
412.00	0.039677
413.00	0.036752
414.00	0.033826
415.00	0.030901
416.00	0.027976
417.00	0.025051
418.00	0.023379
419.00	0.022383
420.00	0.021386
421.00	0.020389
422.00	0.019393
423.00	0.018396
424.00	0.017399
425.00	0.016403
426.00	0.015602
427.00	0.015305
428.00	0.015008
429.00	0.014711
430.00	0.014414
431.00	0.014117
432.00	0.013819
433.00	0.013522
434.00	0.013225
435.00	0.012928
436.00	0.012622
437.00	0.012194
438.00	0.011765
439.00	0.011337
440.00	0.010908
441.00	0.010480
442.00	0.010051
443.00	0.0096226
444.00	0.0091941
445.00	0.0087656
446.00	0.0083372
447.00	0.0079496
448.00	0.0076119
449.00	0.0072743
450.00	0.0069367
451.00	0.0065990
452.00	0.0062614
453.00	0.0059238
454.00	0.0055861
455.00	0.0052485
456.00	0.0049109
457.00	0.0045733
458.00	0.0042963
459.00	0.0042344
460.00	0.0041725
461.00	0.0041105
462.00	0.0040486
463.00	0.0039867
464.00	0.0039248
465.00	0.0038629
466.00	0.0038010
467.00	0.0037391
468.00	0.0036772
469.00	0.0036153
470.00	0.0035534
471.00	0.0035020
472.00	0.0034510
473.00	0.0034000
474.00	0.0033489
475.00	0.0032979
476.00	0.0032469
477.00	0.0031959
478.00	0.0031448
479.00	0.0030938
480.00	0.0030428
481.00	0.0029918
482.00	0.0029407
483.00	0.0028897
484.00	0.0028387
485.00	0.0027877
486.00	0.0027367
487.00	0.0026856
488.00	0.0026346
489.00	0.0025967
490.00	0.0025674
491.00	0.0025382
492.00	0.0025089
493.00	0.0024797
494.00	0.0024504
495.00	0.0024212
496.00	0.0023920
497.00	0.0023627
498.00	0.0023335
499.00	0.0023042
500.00	0.0022750
501.00	0.0022457
502.00	0.0022165
503.00	0.0021873
504.00	0.0021580
505.00	0.0021288
506.00	0.0020995
507.00	0.0020703
508.00	0.0020410
509.00	0.0020349
510.00	0.0020349
511.00	0.0020349
512.00	0.0020349
513.00	0.0020349
514.00	0.0020349
515.00	0.0020349
516.00	0.0020349
517.00	0.0020349
518.00	0.0020349
519.00	0.0020349
520.00	0.0020349
521.00	0.0020349
522.00	0.0020349
523.00	0.0020349
524.00	0.0020349
525.00	0.0020349
526.00	0.0020349
527.00	0.0020349
528.00	0.0020349
529.00	0.0020349
530.00	0.0020349
531.00	0.0020349
532.00	0.0020349
533.00	0.0020349
534.00	0.0020349
535.00	0.0020349
536.00	0.0020349
537.00	0.0020349
538.00	0.0020349
539.00	0.0020349
540.00	0.0020349
541.00	0.0020349
542.00	0.0020349
543.00	0.0020349
544.00	0.0020349
545.00	0.0020349
546.00	0.0020349
547.00	0.0020349
548.00	0.0020349
549.00	0.0020349
