Wavelength (nm)	PCPB Sci 2014_407, Me-sFCC ems [Z]
370.00	0.0012496
371.00	0.0013745
372.00	0.0014995
373.00	0.0015778
374.00	0.0016547
375.00	0.0017316
376.00	0.0018085
377.00	0.0027558
378.00	0.0045067
379.00	0.0062576
380.00	0.0088700
381.00	0.012722
382.00	0.016574
383.00	0.022013
384.00	0.028008
385.00	0.036213
386.00	0.046457
387.00	0.058062
388.00	0.070467
389.00	0.082872
390.00	0.099225
391.00	0.11627
392.00	0.13332
393.00	0.15037
394.00	0.17434
395.00	0.19964
396.00	0.22493
397.00	0.25022
398.00	0.27710
399.00	0.30552
400.00	0.33394
401.00	0.36236
402.00	0.39078
403.00	0.41909
404.00	0.44735
405.00	0.47561
406.00	0.50387
407.00	0.53213
408.00	0.56039
409.00	0.58865
410.00	0.61558
411.00	0.63890
412.00	0.66222
413.00	0.68554
414.00	0.70886
415.00	0.73218
416.00	0.75225
417.00	0.77199
418.00	0.79173
419.00	0.81148
420.00	0.83036
421.00	0.84654
422.00	0.86273
423.00	0.87891
424.00	0.89509
425.00	0.91045
426.00	0.92179
427.00	0.93314
428.00	0.94448
429.00	0.95582
430.00	0.96535
431.00	0.97180
432.00	0.97825
433.00	0.98469
434.00	0.99114
435.00	0.99605
436.00	0.99736
437.00	0.99868
438.00	1.0000
439.00	0.99820
440.00	0.99641
441.00	0.99461
442.00	0.99281
443.00	0.98651
444.00	0.98003
445.00	0.97354
446.00	0.96564
447.00	0.95629
448.00	0.94693
449.00	0.93757
450.00	0.92821
451.00	0.91688
452.00	0.90463
453.00	0.89237
454.00	0.88011
455.00	0.86785
456.00	0.85374
457.00	0.83618
458.00	0.81862
459.00	0.80107
460.00	0.78351
461.00	0.76596
462.00	0.74840
463.00	0.73302
464.00	0.71777
465.00	0.70253
466.00	0.68728
467.00	0.67204
468.00	0.65679
469.00	0.64184
470.00	0.62881
471.00	0.61578
472.00	0.60276
473.00	0.58973
474.00	0.57670
475.00	0.56368
476.00	0.55042
477.00	0.53671
478.00	0.52299
479.00	0.50927
480.00	0.49556
481.00	0.48184
482.00	0.46833
483.00	0.45569
484.00	0.44305
485.00	0.43042
486.00	0.41778
487.00	0.40514
488.00	0.39250
489.00	0.37986
490.00	0.36823
491.00	0.35871
492.00	0.34919
493.00	0.33968
494.00	0.33016
495.00	0.32065
496.00	0.31113
497.00	0.30162
498.00	0.29210
499.00	0.28295
500.00	0.27496
501.00	0.26697
502.00	0.25898
503.00	0.25099
504.00	0.24300
505.00	0.23501
506.00	0.22702
507.00	0.21903
508.00	0.21186
509.00	0.20504
510.00	0.19821
511.00	0.19139
512.00	0.18457
513.00	0.17775
514.00	0.17093
515.00	0.16411
516.00	0.15769
517.00	0.15225
518.00	0.14681
519.00	0.14136
520.00	0.13592
521.00	0.13048
522.00	0.12504
523.00	0.11992
524.00	0.11599
525.00	0.11205
526.00	0.10811
527.00	0.10418
528.00	0.10024
529.00	0.096304
530.00	0.092817
531.00	0.089354
532.00	0.085891
533.00	0.082427
534.00	0.078964
535.00	0.075561
536.00	0.072842
537.00	0.070124
538.00	0.067406
539.00	0.064688
540.00	0.061969
541.00	0.059251
542.00	0.056994
543.00	0.054965
544.00	0.052935
545.00	0.050906
546.00	0.048876
547.00	0.046847
548.00	0.044817
549.00	0.042788
550.00	0.041217
551.00	0.039761
552.00	0.038305
553.00	0.036849
554.00	0.035393
555.00	0.033937
556.00	0.032481
557.00	0.031143
558.00	0.030054
559.00	0.028965
560.00	0.027876
561.00	0.026787
562.00	0.025698
563.00	0.024609
564.00	0.023520
565.00	0.022402
566.00	0.021224
567.00	0.020045
568.00	0.018867
569.00	0.017689
570.00	0.016511
571.00	0.015332
572.00	0.014154
573.00	0.013178
574.00	0.012654
575.00	0.012130
576.00	0.011606
577.00	0.011082
578.00	0.010557
579.00	0.010033
580.00	0.0095089
581.00	0.0089847
582.00	0.0084605
583.00	0.0079363
584.00	0.0074307
585.00	0.0069876
586.00	0.0065445
587.00	0.0061014
588.00	0.0056583
589.00	0.0052153
590.00	0.0047722
591.00	0.0043291
592.00	0.0038860
593.00	0.0034429
594.00	0.0029998
595.00	0.0025567
596.00	0.0024504
597.00	0.0024504
598.00	0.0024504
599.00	0.0024504
600.00	0.0024504
601.00	0.0024504
602.00	0.0024504
603.00	0.0024504
604.00	0.0024504
605.00	0.0024504
606.00	0.0024504
607.00	0.0024441
608.00	0.0024023
609.00	0.0023604
610.00	0.0023186
611.00	0.0022767
612.00	0.0022349
613.00	0.0021931
614.00	0.0021512
615.00	0.0021094
616.00	0.0020675
617.00	0.0020257
618.00	0.0019838
619.00	0.0019420
620.00	0.0019001
621.00	0.0018583
622.00	0.0018165
623.00	0.0017746
624.00	0.0017328
625.00	0.0017244
626.00	0.0017244
627.00	0.0017244
628.00	0.0017244
629.00	0.0017244
630.00	0.0017244
631.00	0.0017244
632.00	0.0017244
633.00	0.0017244
634.00	0.0017244
635.00	0.0017244
636.00	0.0017244
637.00	0.0017244
638.00	0.0017244
639.00	0.0017244
640.00	0.0017244
641.00	0.0017244
642.00	0.0017244
643.00	0.0017244
644.00	0.0017244
645.00	0.0017244
646.00	0.0017244
647.00	0.0017244
648.00	0.0017244
649.00	0.0017244
650.00	0.0017244
