Wavelength (nm)	1, Cj-PleB, CJPLEB1
205.00	0.68041
206.00	0.71595
207.00	0.75150
208.00	0.78431
209.00	0.81713
210.00	0.84690
211.00	0.87667
212.00	0.90243
213.00	0.92819
214.00	0.95107
215.00	0.97396
216.00	0.98558
217.00	0.99720
218.00	0.99860
219.00	1.0000
220.00	0.99072
221.00	0.98143
222.00	0.96405
223.00	0.94666
224.00	0.92569
225.00	0.90471
226.00	0.88574
227.00	0.86678
228.00	0.85151
229.00	0.83624
230.00	0.82519
231.00	0.81414
232.00	0.80726
233.00	0.80038
234.00	0.79646
235.00	0.79255
236.00	0.79011
237.00	0.78767
238.00	0.78596
239.00	0.78425
240.00	0.78199
241.00	0.77973
242.00	0.77549
243.00	0.77125
244.00	0.76374
245.00	0.75622
246.00	0.74459
247.00	0.73296
248.00	0.71674
249.00	0.70051
250.00	0.68083
251.00	0.66115
252.00	0.63887
253.00	0.61658
254.00	0.59508
255.00	0.57358
256.00	0.55384
257.00	0.53411
258.00	0.51714
259.00	0.50018
260.00	0.48725
261.00	0.47432
262.00	0.46481
263.00	0.45531
264.00	0.44883
265.00	0.44234
266.00	0.43800
267.00	0.43367
268.00	0.43061
269.00	0.42755
270.00	0.42563
271.00	0.42371
272.00	0.42232
273.00	0.42093
274.00	0.41984
275.00	0.41876
276.00	0.41819
277.00	0.41763
278.00	0.41754
279.00	0.41746
280.00	0.41797
281.00	0.41847
282.00	0.41993
283.00	0.42140
284.00	0.42374
285.00	0.42608
286.00	0.43005
287.00	0.43402
288.00	0.43924
289.00	0.44445
290.00	0.45186
291.00	0.45928
292.00	0.46807
293.00	0.47686
294.00	0.48740
295.00	0.49794
296.00	0.50952
297.00	0.52110
298.00	0.53394
299.00	0.54678
300.00	0.55986
301.00	0.57293
302.00	0.58629
303.00	0.59964
304.00	0.61242
305.00	0.62520
306.00	0.63649
307.00	0.64777
308.00	0.65722
309.00	0.66666
310.00	0.67261
311.00	0.67856
312.00	0.68109
313.00	0.68362
314.00	0.68182
315.00	0.68001
316.00	0.67387
317.00	0.66773
318.00	0.65697
319.00	0.64622
320.00	0.63090
321.00	0.61557
322.00	0.59651
323.00	0.57744
324.00	0.55422
325.00	0.53099
326.00	0.50494
327.00	0.47888
328.00	0.45034
329.00	0.42179
330.00	0.39275
331.00	0.36370
332.00	0.33388
333.00	0.30405
334.00	0.27553
335.00	0.24700
336.00	0.22086
337.00	0.19472
338.00	0.17187
339.00	0.14902
340.00	0.13045
341.00	0.11189
342.00	0.096682
343.00	0.081477
344.00	0.069727
345.00	0.057976
346.00	0.049321
347.00	0.040666
348.00	0.034623
349.00	0.028581
350.00	0.024180
351.00	0.019779
352.00	0.016789
353.00	0.013799
354.00	0.011732
355.00	0.0096644
356.00	0.0082903
357.00	0.0069163
358.00	0.0060479
359.00	0.0051795
360.00	0.0045910
361.00	0.0040024
362.00	0.0036235
363.00	0.0032446
364.00	0.0030385
365.00	0.0028325
366.00	0.0025989
367.00	0.0023654
368.00	0.0022577
369.00	0.0021499
370.00	0.0020380
371.00	0.0019261
372.00	0.0018965
373.00	0.0018669
374.00	0.0018243
375.00	0.0017817
376.00	0.0017686
377.00	0.0017554
378.00	0.0017447
379.00	0.0017340
380.00	0.0017075
381.00	0.0016809
382.00	0.0016811
383.00	0.0016813
384.00	0.0016729
385.00	0.0016645
386.00	0.0016003
387.00	0.0015362
388.00	0.0015761
389.00	0.0016160
390.00	0.0015694
391.00	0.0015228
392.00	0.0015035
393.00	0.0014842
394.00	0.0014552
395.00	0.0014262
396.00	0.0013987
397.00	0.0013712
398.00	0.0013377
399.00	0.0013043
400.00	0.0012783
