Wavelength (nm)	Chem Eur J 2012_10873, Mc-NCC-55 abs [Z]
200.00	0.66085
201.00	0.69013
202.00	0.71941
203.00	0.76216
204.00	0.80532
205.00	0.84039
206.00	0.87512
207.00	0.91861
208.00	0.95588
209.00	0.98586
210.00	0.99927
211.00	1.0000
212.00	0.99640
213.00	0.98335
214.00	0.98142
215.00	0.97949
216.00	0.97447
217.00	0.96587
218.00	0.95287
219.00	0.93799
220.00	0.92071
221.00	0.90342
222.00	0.88612
223.00	0.86871
224.00	0.85131
225.00	0.83390
226.00	0.81835
227.00	0.80338
228.00	0.78841
229.00	0.77356
230.00	0.75934
231.00	0.74776
232.00	0.74087
233.00	0.73399
234.00	0.72934
235.00	0.72692
236.00	0.72450
237.00	0.72231
238.00	0.72062
239.00	0.71894
240.00	0.71712
241.00	0.71096
242.00	0.70480
243.00	0.69544
244.00	0.68533
245.00	0.67033
246.00	0.65004
247.00	0.62975
248.00	0.60850
249.00	0.58634
250.00	0.56418
251.00	0.54171
252.00	0.51898
253.00	0.49626
254.00	0.47582
255.00	0.45646
256.00	0.43710
257.00	0.41996
258.00	0.40423
259.00	0.38850
260.00	0.37527
261.00	0.36536
262.00	0.35545
263.00	0.34554
264.00	0.33993
265.00	0.33599
266.00	0.33205
267.00	0.32812
268.00	0.32466
269.00	0.32371
270.00	0.32275
271.00	0.32180
272.00	0.32071
273.00	0.31950
274.00	0.31866
275.00	0.31829
276.00	0.31773
277.00	0.31558
278.00	0.31405
279.00	0.31310
280.00	0.31359
281.00	0.31464
282.00	0.31553
283.00	0.31601
284.00	0.31769
285.00	0.32067
286.00	0.32384
287.00	0.32723
288.00	0.33063
289.00	0.33402
290.00	0.33742
291.00	0.34329
292.00	0.34974
293.00	0.35641
294.00	0.36418
295.00	0.37195
296.00	0.37999
297.00	0.38915
298.00	0.39831
299.00	0.40748
300.00	0.41716
301.00	0.42709
302.00	0.43701
303.00	0.44694
304.00	0.45853
305.00	0.47062
306.00	0.48272
307.00	0.49210
308.00	0.50082
309.00	0.50761
310.00	0.51353
311.00	0.51804
312.00	0.52184
313.00	0.52293
314.00	0.52362
315.00	0.52119
316.00	0.51708
317.00	0.51180
318.00	0.50332
319.00	0.49402
320.00	0.48375
321.00	0.47347
322.00	0.45710
323.00	0.44003
324.00	0.41502
325.00	0.39001
326.00	0.37221
327.00	0.35487
328.00	0.33711
329.00	0.31456
330.00	0.29201
331.00	0.26946
332.00	0.24490
333.00	0.21985
334.00	0.19661
335.00	0.17660
336.00	0.15660
337.00	0.13934
338.00	0.12319
339.00	0.10705
340.00	0.090912
341.00	0.077180
342.00	0.064089
343.00	0.050998
344.00	0.042254
345.00	0.035200
346.00	0.028147
347.00	0.024018
348.00	0.020864
349.00	0.017215
350.00	0.012464
351.00	0.0095112
352.00	0.0082848
353.00	0.0072148
354.00	0.0082230
355.00	0.0092312
356.00	0.0074521
357.00	0.0055262
358.00	0.0047855
359.00	0.0044830
360.00	0.0041805
361.00	0.0038780
362.00	0.0036983
363.00	0.0036466
364.00	0.0035948
365.00	0.0035430
366.00	0.0034913
367.00	0.0034395
368.00	0.0033877
369.00	0.0033360
370.00	0.0032961
371.00	0.0032961
372.00	0.0032961
373.00	0.0032961
374.00	0.0032961
375.00	0.0038165
376.00	0.0043422
377.00	0.0052365
378.00	0.0064325
379.00	0.0076285
380.00	0.0082219
381.00	0.0085446
382.00	0.0088207
383.00	0.0079790
384.00	0.0071373
385.00	0.0062119
386.00	0.0052030
387.00	0.0041941
388.00	0.0032131
389.00	0.0024586
390.00	0.0017042
391.00	0.00094967
392.00	0.00073086
393.00	0.00073086
394.00	0.00073086
395.00	0.00073086
396.00	0.00073086
397.00	0.00073086
398.00	0.00073086
399.00	0.00073086
400.00	0.00073086
