Wavelength (nm)	Eur JOC 2009_21, At-NCC-2 abs [Z]
200.00	0.16524
201.00	0.22317
202.00	0.31776
203.00	0.43072
204.00	0.52389
205.00	0.61520
206.00	0.67820
207.00	0.72216
208.00	0.75913
209.00	0.79165
210.00	0.81914
211.00	0.84502
212.00	0.86990
213.00	0.89481
214.00	0.91974
215.00	0.94347
216.00	0.96562
217.00	0.98240
218.00	0.99480
219.00	1.0000
220.00	0.99814
221.00	0.99257
222.00	0.98285
223.00	0.96415
224.00	0.94322
225.00	0.91909
226.00	0.88875
227.00	0.85853
228.00	0.83149
229.00	0.80497
230.00	0.77982
231.00	0.75467
232.00	0.73757
233.00	0.72156
234.00	0.70930
235.00	0.69944
236.00	0.69147
237.00	0.68635
238.00	0.68123
239.00	0.67791
240.00	0.67469
241.00	0.67146
242.00	0.66927
243.00	0.66759
244.00	0.66591
245.00	0.66166
246.00	0.65719
247.00	0.65145
248.00	0.64389
249.00	0.63560
250.00	0.62291
251.00	0.60975
252.00	0.59277
253.00	0.57578
254.00	0.55642
255.00	0.53582
256.00	0.51529
257.00	0.49696
258.00	0.47862
259.00	0.46043
260.00	0.44556
261.00	0.43069
262.00	0.41582
263.00	0.40400
264.00	0.39240
265.00	0.38225
266.00	0.37532
267.00	0.36839
268.00	0.36235
269.00	0.35886
270.00	0.35536
271.00	0.35186
272.00	0.34931
273.00	0.34722
274.00	0.34513
275.00	0.34304
276.00	0.34092
277.00	0.33870
278.00	0.33649
279.00	0.33428
280.00	0.33210
281.00	0.33042
282.00	0.32873
283.00	0.32705
284.00	0.32606
285.00	0.32568
286.00	0.32530
287.00	0.32502
288.00	0.32585
289.00	0.32668
290.00	0.32752
291.00	0.32933
292.00	0.33124
293.00	0.33315
294.00	0.33575
295.00	0.33921
296.00	0.34266
297.00	0.34756
298.00	0.35350
299.00	0.35945
300.00	0.36652
301.00	0.37486
302.00	0.38320
303.00	0.39212
304.00	0.40152
305.00	0.41093
306.00	0.42074
307.00	0.43122
308.00	0.44170
309.00	0.45218
310.00	0.46169
311.00	0.47104
312.00	0.48038
313.00	0.48806
314.00	0.49535
315.00	0.50264
316.00	0.50978
317.00	0.51689
318.00	0.52241
319.00	0.52441
320.00	0.52238
321.00	0.52020
322.00	0.51685
323.00	0.51296
324.00	0.50482
325.00	0.49667
326.00	0.48518
327.00	0.47304
328.00	0.45970
329.00	0.44448
330.00	0.42926
331.00	0.41221
332.00	0.39437
333.00	0.37622
334.00	0.35385
335.00	0.33148
336.00	0.30911
337.00	0.28453
338.00	0.25988
339.00	0.23524
340.00	0.21264
341.00	0.19129
342.00	0.16995
343.00	0.14867
344.00	0.12940
345.00	0.11012
346.00	0.093699
347.00	0.078498
348.00	0.063191
349.00	0.047649
350.00	0.032931
351.00	0.025616
352.00	0.018302
353.00	0.011459
354.00	0.0080778
355.00	0.0046963
356.00	0.0019268
357.00	0.0017665
358.00	0.0016062
359.00	0.0014459
360.00	0.0012968
361.00	0.0012968
362.00	0.0012968
363.00	0.0012968
364.00	0.0012968
365.00	0.0012968
366.00	0.0012968
367.00	0.0012968
368.00	0.0012968
369.00	0.0012968
370.00	0.0012968
371.00	0.0012968
372.00	0.0012968
373.00	0.0012968
374.00	0.0012968
375.00	0.0012968
376.00	0.0012968
377.00	0.0012968
378.00	0.0012968
379.00	0.0012968
380.00	0.0012968
381.00	0.0012968
382.00	0.0012968
383.00	0.0012968
384.00	0.0012968
385.00	0.0012968
386.00	0.0012968
387.00	0.0012968
388.00	0.0012968
389.00	0.0012968
390.00	0.0012968
391.00	0.0012968
392.00	0.0012968
393.00	0.0012968
394.00	0.0012968
395.00	0.0012968
396.00	0.0012968
397.00	0.0012968
398.00	0.0012968
399.00	0.0012968
400.00	0.0012968
