Wavelength (nm)	J Agric Food Chem 2015_1385, Bo-NCC-2 abs [Z]
210.00	0.97891
211.00	0.98479
212.00	0.99068
213.00	0.99502
214.00	0.99858
215.00	1.0000
216.00	0.99325
217.00	0.98614
218.00	0.97704
219.00	0.96410
220.00	0.94913
221.00	0.92983
222.00	0.91054
223.00	0.88979
224.00	0.86812
225.00	0.84645
226.00	0.82432
227.00	0.80143
228.00	0.77854
229.00	0.75773
230.00	0.73843
231.00	0.72116
232.00	0.70543
233.00	0.69268
234.00	0.68160
235.00	0.67144
236.00	0.66360
237.00	0.65577
238.00	0.64867
239.00	0.64236
240.00	0.63583
241.00	0.62851
242.00	0.62117
243.00	0.61256
244.00	0.60396
245.00	0.59350
246.00	0.58164
247.00	0.56723
248.00	0.55144
249.00	0.53423
250.00	0.51536
251.00	0.49632
252.00	0.47699
253.00	0.45790
254.00	0.43911
255.00	0.42186
256.00	0.40530
257.00	0.39169
258.00	0.38102
259.00	0.37054
260.00	0.36364
261.00	0.35675
262.00	0.34986
263.00	0.34670
264.00	0.34357
265.00	0.34045
266.00	0.33925
267.00	0.33869
268.00	0.33814
269.00	0.33758
270.00	0.33714
271.00	0.33714
272.00	0.33714
273.00	0.33714
274.00	0.33692
275.00	0.33650
276.00	0.33608
277.00	0.33566
278.00	0.33538
279.00	0.33522
280.00	0.33505
281.00	0.33489
282.00	0.33473
283.00	0.33456
284.00	0.33439
285.00	0.33422
286.00	0.33404
287.00	0.33387
288.00	0.33454
289.00	0.33624
290.00	0.33794
291.00	0.33964
292.00	0.34134
293.00	0.34496
294.00	0.34860
295.00	0.35224
296.00	0.35604
297.00	0.36287
298.00	0.36970
299.00	0.37653
300.00	0.38400
301.00	0.39220
302.00	0.40039
303.00	0.40858
304.00	0.41766
305.00	0.42677
306.00	0.43588
307.00	0.44440
308.00	0.45270
309.00	0.46100
310.00	0.46930
311.00	0.47769
312.00	0.48607
313.00	0.49226
314.00	0.49792
315.00	0.50255
316.00	0.50718
317.00	0.50953
318.00	0.51171
319.00	0.50939
320.00	0.50707
321.00	0.50287
322.00	0.49826
323.00	0.49185
324.00	0.48502
325.00	0.47480
326.00	0.46319
327.00	0.45000
328.00	0.43539
329.00	0.42078
330.00	0.40462
331.00	0.38844
332.00	0.37039
333.00	0.35076
334.00	0.33071
335.00	0.30990
336.00	0.28922
337.00	0.26996
338.00	0.25071
339.00	0.23224
340.00	0.21444
341.00	0.19659
342.00	0.17864
343.00	0.16237
344.00	0.14936
345.00	0.13991
346.00	0.13769
347.00	0.13543
348.00	0.13273
349.00	0.13004
350.00	0.12500
351.00	0.11961
352.00	0.11244
353.00	0.10444
354.00	0.096311
355.00	0.087454
356.00	0.078597
357.00	0.072246
358.00	0.065999
359.00	0.059752
360.00	0.055510
361.00	0.052048
362.00	0.048585
363.00	0.045598
364.00	0.043670
365.00	0.041741
366.00	0.039813
367.00	0.037884
368.00	0.036158
369.00	0.034634
370.00	0.033110
371.00	0.031586
372.00	0.030062
373.00	0.028537
374.00	0.027013
375.00	0.025491
376.00	0.023969
377.00	0.022448
378.00	0.020926
379.00	0.019404
380.00	0.017882
381.00	0.016487
382.00	0.015569
383.00	0.014651
384.00	0.013734
385.00	0.012816
386.00	0.011898
387.00	0.010980
388.00	0.010062
389.00	0.0097061
390.00	0.0094417
391.00	0.0091773
392.00	0.0089130
393.00	0.0086486
394.00	0.0083843
395.00	0.0081735
396.00	0.0080207
397.00	0.0078679
398.00	0.0077151
399.00	0.0075623
400.00	0.0074095
401.00	0.0072465
402.00	0.0070831
403.00	0.0069196
404.00	0.0067562
405.00	0.0065928
406.00	0.0064294
407.00	0.0062659
408.00	0.0061025
409.00	0.0059391
410.00	0.0057756
411.00	0.0055529
412.00	0.0052968
413.00	0.0050408
414.00	0.0047847
415.00	0.0045286
416.00	0.0042725
417.00	0.0040165
418.00	0.0037604
419.00	0.0035043
420.00	0.0032483
421.00	0.0030548
422.00	0.0028811
423.00	0.0027074
424.00	0.0025337
425.00	0.0023600
426.00	0.0021863
427.00	0.0020126
428.00	0.0018389
429.00	0.0016652
430.00	0.0015002
431.00	0.0015002
432.00	0.0015002
433.00	0.0015002
434.00	0.0015002
435.00	0.0015002
436.00	0.0015002
437.00	0.0015002
438.00	0.0015002
439.00	0.0015002
440.00	0.0015002
441.00	0.0015002
442.00	0.0015002
443.00	0.0015002
444.00	0.0015002
445.00	0.0015002
446.00	0.0015002
447.00	0.0015002
448.00	0.0015002
449.00	0.0015002
450.00	0.0015002
