Wavelength (nm)	J Nat Prod  2020_873, YCC 3 abs [Z]
250.00	1.0813
251.00	1.0623
252.00	1.0427
253.00	1.0037
254.00	0.97003
255.00	0.94567
256.00	0.92333
257.00	0.90677
258.00	0.89021
259.00	0.87983
260.00	0.86946
261.00	0.86169
262.00	0.85483
263.00	0.85090
264.00	0.84869
265.00	0.84648
266.00	0.84741
267.00	0.84861
268.00	0.84982
269.00	0.85086
270.00	0.85179
271.00	0.85272
272.00	0.85365
273.00	0.85437
274.00	0.85506
275.00	0.85575
276.00	0.85592
277.00	0.85435
278.00	0.85278
279.00	0.85063
280.00	0.84750
281.00	0.84437
282.00	0.84020
283.00	0.83549
284.00	0.83077
285.00	0.82646
286.00	0.82226
287.00	0.81805
288.00	0.81514
289.00	0.81363
290.00	0.81212
291.00	0.81114
292.00	0.81273
293.00	0.81431
294.00	0.81590
295.00	0.82124
296.00	0.82810
297.00	0.83497
298.00	0.84184
299.00	0.85358
300.00	0.86806
301.00	0.88253
302.00	0.89439
303.00	0.90551
304.00	0.91663
305.00	0.92776
306.00	0.93944
307.00	0.95111
308.00	0.96279
309.00	0.97472
310.00	0.98741
311.00	0.99550
312.00	0.99775
313.00	1.0000
314.00	0.99790
315.00	0.99581
316.00	0.98929
317.00	0.98007
318.00	0.96637
319.00	0.94837
320.00	0.93036
321.00	0.91000
322.00	0.88524
323.00	0.86048
324.00	0.83573
325.00	0.81097
326.00	0.78385
327.00	0.74881
328.00	0.71377
329.00	0.67872
330.00	0.64368
331.00	0.60650
332.00	0.56323
333.00	0.51997
334.00	0.47670
335.00	0.44487
336.00	0.41589
337.00	0.38692
338.00	0.35794
339.00	0.32897
340.00	0.30442
341.00	0.28380
342.00	0.26317
343.00	0.24255
344.00	0.22193
345.00	0.20630
346.00	0.19149
347.00	0.17825
348.00	0.16870
349.00	0.15914
350.00	0.15304
351.00	0.14816
352.00	0.14327
353.00	0.13938
354.00	0.13818
355.00	0.13699
356.00	0.13580
357.00	0.13540
358.00	0.13576
359.00	0.13613
360.00	0.13649
361.00	0.13733
362.00	0.13875
