Wavelength (nm)	Angew 2016_15760, Z1-Me (EtOH) abs [Z]
250.00	0.46587
251.00	0.44942
252.00	0.43297
253.00	0.41255
254.00	0.39147
255.00	0.37921
256.00	0.36695
257.00	0.35890
258.00	0.35294
259.00	0.34747
260.00	0.34605
261.00	0.34463
262.00	0.34422
263.00	0.34606
264.00	0.34789
265.00	0.34987
266.00	0.35450
267.00	0.35912
268.00	0.36368
269.00	0.36596
270.00	0.36825
271.00	0.37053
272.00	0.37281
273.00	0.37492
274.00	0.37673
275.00	0.37853
276.00	0.38034
277.00	0.38215
278.00	0.38381
279.00	0.38546
280.00	0.38711
281.00	0.38877
282.00	0.39137
283.00	0.39485
284.00	0.39834
285.00	0.40182
286.00	0.40530
287.00	0.40956
288.00	0.41760
289.00	0.42565
290.00	0.43610
291.00	0.44808
292.00	0.45944
293.00	0.46917
294.00	0.47891
295.00	0.48865
296.00	0.49838
297.00	0.50851
298.00	0.52069
299.00	0.53286
300.00	0.54504
301.00	0.55722
302.00	0.56938
303.00	0.58118
304.00	0.59297
305.00	0.60476
306.00	0.61528
307.00	0.62296
308.00	0.63064
309.00	0.63699
310.00	0.63990
311.00	0.64282
312.00	0.64088
313.00	0.63893
314.00	0.63699
315.00	0.62925
316.00	0.62076
317.00	0.60731
318.00	0.59385
319.00	0.57708
320.00	0.55915
321.00	0.54121
322.00	0.52328
323.00	0.50535
324.00	0.48198
325.00	0.45765
326.00	0.43332
327.00	0.40900
328.00	0.38524
329.00	0.36155
330.00	0.33786
331.00	0.31427
332.00	0.29124
333.00	0.26820
334.00	0.24516
335.00	0.22491
336.00	0.20820
337.00	0.19148
338.00	0.17576
339.00	0.16453
340.00	0.15330
341.00	0.14207
342.00	0.13451
343.00	0.12861
344.00	0.12270
345.00	0.11884
346.00	0.11770
347.00	0.11657
348.00	0.11543
349.00	0.11676
350.00	0.11828
351.00	0.11980
352.00	0.12132
353.00	0.12600
354.00	0.13075
355.00	0.13550
356.00	0.14071
357.00	0.14643
358.00	0.15214
359.00	0.15785
360.00	0.16356
361.00	0.17025
362.00	0.17867
363.00	0.18708
364.00	0.19550
365.00	0.20392
366.00	0.21386
367.00	0.22446
368.00	0.23506
369.00	0.24566
370.00	0.25626
371.00	0.26714
372.00	0.28009
373.00	0.29304
374.00	0.30598
375.00	0.31893
376.00	0.33188
377.00	0.34482
378.00	0.35928
379.00	0.37475
380.00	0.39022
381.00	0.40569
382.00	0.42116
383.00	0.43663
384.00	0.45210
385.00	0.46757
386.00	0.48304
387.00	0.50102
388.00	0.51983
389.00	0.53864
390.00	0.55745
391.00	0.57626
392.00	0.59507
393.00	0.61388
394.00	0.63269
395.00	0.65150
396.00	0.66970
397.00	0.68759
398.00	0.70548
399.00	0.72337
400.00	0.74146
401.00	0.76013
402.00	0.77880
403.00	0.79747
404.00	0.81595
405.00	0.83084
406.00	0.84573
407.00	0.86062
408.00	0.87550
409.00	0.88940
410.00	0.90273
411.00	0.91605
412.00	0.92938
413.00	0.94061
414.00	0.94918
415.00	0.95775
416.00	0.96632
417.00	0.97488
418.00	0.98247
419.00	0.98795
420.00	0.99344
421.00	0.99751
422.00	0.99813
423.00	0.99876
424.00	0.99938
425.00	1.0000
426.00	0.99796
427.00	0.99592
428.00	0.99353
429.00	0.98639
430.00	0.97924
431.00	0.97014
432.00	0.95602
433.00	0.94189
434.00	0.92776
435.00	0.91364
436.00	0.89590
437.00	0.87252
438.00	0.84914
439.00	0.82575
440.00	0.80237
441.00	0.77291
442.00	0.74120
443.00	0.70948
444.00	0.67777
445.00	0.64610
446.00	0.61448
447.00	0.58286
448.00	0.55124
449.00	0.51962
450.00	0.48799
451.00	0.45677
452.00	0.42569
453.00	0.39462
454.00	0.36354
455.00	0.33837
456.00	0.31321
457.00	0.28804
458.00	0.26303
459.00	0.24191
460.00	0.22078
461.00	0.19965
462.00	0.18261
463.00	0.16893
464.00	0.15524
465.00	0.14155
466.00	0.12787
467.00	0.11603
468.00	0.10442
469.00	0.092807
470.00	0.083333
471.00	0.077062
472.00	0.070791
473.00	0.064520
474.00	0.058249
475.00	0.052279
476.00	0.046415
477.00	0.040551
478.00	0.034686
479.00	0.031031
480.00	0.029185
481.00	0.027338
482.00	0.025491
483.00	0.023644
484.00	0.021798
485.00	0.019951
486.00	0.018104
487.00	0.016257
488.00	0.015305
489.00	0.014419
490.00	0.013534
491.00	0.012649
492.00	0.011763
493.00	0.010878
494.00	0.0099927
495.00	0.0091074
496.00	0.0082221
497.00	0.0073368
498.00	0.0067080
499.00	0.0063804
500.00	0.0060528
501.00	0.0057253
502.00	0.0053977
503.00	0.0050701
504.00	0.0047425
505.00	0.0044149
506.00	0.0040873
507.00	0.0037597
508.00	0.0034322
509.00	0.0031046
510.00	0.0027770
511.00	0.0024494
512.00	0.0021218
513.00	0.0017942
514.00	0.0015806
515.00	0.0015452
516.00	0.0015099
517.00	0.0014745
518.00	0.0014391
519.00	0.0014038
520.00	0.0013684
521.00	0.0013330
