Wavelength (nm)	JPP 2016_388, Zn(YCC-Me)2 abs [Z]
270.00	0.31860
271.00	0.32435
272.00	0.33010
273.00	0.33584
274.00	0.34318
275.00	0.35182
276.00	0.36065
277.00	0.37088
278.00	0.38111
279.00	0.39134
280.00	0.40157
281.00	0.41180
282.00	0.42208
283.00	0.43267
284.00	0.44325
285.00	0.45384
286.00	0.46442
287.00	0.47501
288.00	0.48559
289.00	0.49532
290.00	0.50422
291.00	0.51312
292.00	0.52202
293.00	0.53092
294.00	0.53982
295.00	0.54874
296.00	0.55771
297.00	0.56668
298.00	0.57565
299.00	0.58462
300.00	0.59359
301.00	0.60263
302.00	0.61173
303.00	0.62082
304.00	0.62991
305.00	0.63901
306.00	0.64810
307.00	0.65709
308.00	0.66590
309.00	0.67471
310.00	0.68352
311.00	0.69068
312.00	0.69746
313.00	0.70347
314.00	0.70899
315.00	0.71450
316.00	0.71615
317.00	0.71780
318.00	0.71945
319.00	0.72110
320.00	0.71890
321.00	0.71670
322.00	0.71450
323.00	0.70604
324.00	0.69759
325.00	0.68666
326.00	0.67446
327.00	0.66226
328.00	0.64938
329.00	0.63152
330.00	0.61366
331.00	0.59580
332.00	0.57794
333.00	0.55901
334.00	0.53683
335.00	0.51466
336.00	0.49249
337.00	0.47078
338.00	0.44955
339.00	0.42832
340.00	0.40709
341.00	0.38561
342.00	0.36348
343.00	0.34135
344.00	0.31892
345.00	0.29518
346.00	0.27144
347.00	0.24986
348.00	0.23309
349.00	0.21631
350.00	0.19954
351.00	0.18707
352.00	0.17589
353.00	0.16470
354.00	0.15414
355.00	0.14565
356.00	0.13716
357.00	0.12866
358.00	0.12399
359.00	0.11970
360.00	0.11541
361.00	0.11112
362.00	0.10683
363.00	0.10381
364.00	0.10164
365.00	0.099477
366.00	0.097310
367.00	0.095272
368.00	0.093857
369.00	0.092443
370.00	0.091029
371.00	0.089615
372.00	0.088252
373.00	0.087477
374.00	0.086702
375.00	0.085927
376.00	0.085152
377.00	0.084376
378.00	0.083601
379.00	0.083962
380.00	0.084464
381.00	0.084965
382.00	0.085467
383.00	0.085968
384.00	0.086470
385.00	0.088124
386.00	0.089891
387.00	0.091659
388.00	0.093426
389.00	0.095194
390.00	0.097654
391.00	0.10027
392.00	0.10288
393.00	0.10549
394.00	0.10811
395.00	0.11072
396.00	0.11448
397.00	0.11844
398.00	0.12241
399.00	0.12637
400.00	0.13033
401.00	0.13443
402.00	0.13977
403.00	0.14511
404.00	0.15045
405.00	0.15579
406.00	0.16113
407.00	0.16647
408.00	0.17181
409.00	0.17797
410.00	0.18567
411.00	0.19336
412.00	0.20106
413.00	0.20875
414.00	0.21645
415.00	0.22415
416.00	0.23265
417.00	0.24199
418.00	0.25133
419.00	0.26068
420.00	0.27002
421.00	0.27936
422.00	0.28871
423.00	0.29805
424.00	0.30842
425.00	0.31970
426.00	0.33097
427.00	0.34225
428.00	0.35353
429.00	0.36481
430.00	0.37609
431.00	0.38737
432.00	0.39965
433.00	0.41389
434.00	0.42813
435.00	0.44237
436.00	0.45660
437.00	0.47084
438.00	0.48508
439.00	0.49932
440.00	0.51356
441.00	0.52780
442.00	0.54270
443.00	0.55774
444.00	0.57278
445.00	0.58783
446.00	0.60287
447.00	0.61792
448.00	0.63296
449.00	0.64801
450.00	0.66305
451.00	0.67808
452.00	0.69309
453.00	0.70810
454.00	0.72311
455.00	0.73813
456.00	0.75314
457.00	0.76815
458.00	0.78316
459.00	0.79727
460.00	0.80962
461.00	0.82197
462.00	0.83433
463.00	0.84668
464.00	0.85903
465.00	0.87139
466.00	0.88224
467.00	0.89298
468.00	0.90371
469.00	0.91445
470.00	0.92519
471.00	0.93593
472.00	0.94390
473.00	0.95084
474.00	0.95778
475.00	0.96472
476.00	0.97166
477.00	0.97817
478.00	0.98295
479.00	0.98774
480.00	0.99253
481.00	0.99582
482.00	0.99722
483.00	0.99861
484.00	1.0000
485.00	0.99764
486.00	0.99528
487.00	0.99143
488.00	0.98582
489.00	0.98020
490.00	0.97200
491.00	0.95921
492.00	0.94641
493.00	0.93361
494.00	0.92081
495.00	0.90378
496.00	0.88509
497.00	0.86641
498.00	0.84773
499.00	0.82698
500.00	0.80120
501.00	0.77542
502.00	0.74963
503.00	0.72385
504.00	0.69958
505.00	0.67554
506.00	0.65149
507.00	0.62745
508.00	0.60341
509.00	0.57936
510.00	0.55531
511.00	0.53081
512.00	0.50630
513.00	0.48180
514.00	0.45729
515.00	0.43308
516.00	0.40894
517.00	0.38480
518.00	0.36066
519.00	0.33652
520.00	0.31497
521.00	0.29362
522.00	0.27228
523.00	0.25093
524.00	0.22988
525.00	0.21288
526.00	0.19588
527.00	0.17889
528.00	0.16189
529.00	0.14593
530.00	0.13410
531.00	0.12228
532.00	0.11045
533.00	0.098629
534.00	0.089958
535.00	0.081319
536.00	0.072680
537.00	0.064041
538.00	0.055934
539.00	0.051387
540.00	0.046839
541.00	0.042292
542.00	0.037745
543.00	0.033197
544.00	0.029979
545.00	0.027684
546.00	0.025389
547.00	0.023095
548.00	0.020800
549.00	0.018505
550.00	0.017498
551.00	0.016735
552.00	0.015973
553.00	0.015210
554.00	0.014448
555.00	0.013685
556.00	0.012923
557.00	0.012581
558.00	0.012373
559.00	0.012164
560.00	0.011956
561.00	0.011747
562.00	0.011539
563.00	0.011330
564.00	0.011121
565.00	0.010949
566.00	0.011015
567.00	0.011081
568.00	0.011147
569.00	0.011213
570.00	0.011279
571.00	0.011346
572.00	0.011412
573.00	0.011478
574.00	0.011554
575.00	0.011793
576.00	0.012032
577.00	0.012271
578.00	0.012510
579.00	0.012749
580.00	0.012988
581.00	0.013227
582.00	0.013519
583.00	0.013857
584.00	0.014196
585.00	0.014535
586.00	0.014874
587.00	0.015213
588.00	0.015552
589.00	0.015891
590.00	0.016230
591.00	0.016244
592.00	0.016105
593.00	0.015966
594.00	0.015827
595.00	0.015688
596.00	0.015549
597.00	0.015410
598.00	0.015271
599.00	0.015135
600.00	0.015055
601.00	0.014975
602.00	0.014896
603.00	0.014816
604.00	0.014736
605.00	0.014656
606.00	0.014577
607.00	0.014432
608.00	0.014231
609.00	0.014030
610.00	0.013829
611.00	0.013628
612.00	0.013427
613.00	0.013731
614.00	0.014430
615.00	0.015130
616.00	0.015829
617.00	0.016529
618.00	0.017229
619.00	0.017928
620.00	0.018540
621.00	0.019114
622.00	0.019689
623.00	0.020263
624.00	0.020837
625.00	0.021411
626.00	0.021986
627.00	0.022449
628.00	0.022740
629.00	0.023031
630.00	0.023322
631.00	0.023613
632.00	0.023903
633.00	0.024087
634.00	0.023840
635.00	0.023594
636.00	0.023347
637.00	0.023100
638.00	0.022854
639.00	0.022607
640.00	0.022361
641.00	0.021997
642.00	0.021621
643.00	0.021245
644.00	0.020868
645.00	0.020492
646.00	0.020116
647.00	0.019740
648.00	0.019363
649.00	0.018726
650.00	0.018068
651.00	0.017411
652.00	0.016754
653.00	0.016097
654.00	0.015439
655.00	0.014782
656.00	0.014165
657.00	0.013572
658.00	0.012979
659.00	0.012386
660.00	0.011793
661.00	0.011200
662.00	0.010607
663.00	0.0099790
664.00	0.0093227
665.00	0.0086663
666.00	0.0080100
667.00	0.0073536
668.00	0.0066973
669.00	0.0060409
670.00	0.0055104
671.00	0.0053781
672.00	0.0052458
673.00	0.0051136
674.00	0.0049813
675.00	0.0048491
676.00	0.0047168
677.00	0.0045845
678.00	0.0044523
679.00	0.0042751
680.00	0.0038783
681.00	0.0034815
682.00	0.0030847
683.00	0.0026880
684.00	0.0022912
685.00	0.0018944
686.00	0.0014976
687.00	0.0011009
688.00	0.00074375
689.00	0.00074375
690.00	0.00074375
691.00	0.00074375
692.00	0.00074375
693.00	0.00074375
694.00	0.00074375
695.00	0.00074375
696.00	0.00074375
697.00	0.00074375
698.00	0.00074375
699.00	0.00074375
700.00	0.00074375
