Wavelength (nm)	Chem Sci 2014_3388, Ni-1 abs [Z]
250.00	0.43578
251.00	0.43323
252.00	0.43069
253.00	0.43280
254.00	0.41733
255.00	0.41908
256.00	0.42631
257.00	0.40734
258.00	0.41006
259.00	0.41916
260.00	0.40828
261.00	0.41245
262.00	0.41663
263.00	0.41076
264.00	0.40326
265.00	0.39972
266.00	0.41044
267.00	0.41005
268.00	0.40966
269.00	0.40800
270.00	0.40572
271.00	0.40719
272.00	0.40209
273.00	0.39106
274.00	0.39013
275.00	0.39884
276.00	0.39272
277.00	0.38659
278.00	0.39282
279.00	0.39430
280.00	0.37765
281.00	0.38628
282.00	0.39020
283.00	0.39298
284.00	0.37768
285.00	0.39851
286.00	0.39458
287.00	0.39064
288.00	0.39302
289.00	0.40275
290.00	0.41238
291.00	0.41673
292.00	0.41968
293.00	0.42618
294.00	0.43429
295.00	0.44489
296.00	0.45923
297.00	0.46761
298.00	0.47511
299.00	0.48963
300.00	0.50260
301.00	0.51270
302.00	0.51948
303.00	0.53094
304.00	0.54712
305.00	0.55690
306.00	0.56754
307.00	0.58237
308.00	0.58482
309.00	0.58867
310.00	0.60528
311.00	0.62181
312.00	0.62601
313.00	0.62337
314.00	0.63722
315.00	0.64321
316.00	0.64582
317.00	0.64844
318.00	0.65713
319.00	0.66599
320.00	0.65193
321.00	0.65133
322.00	0.65608
323.00	0.66232
324.00	0.65328
325.00	0.66383
326.00	0.67467
327.00	0.66775
328.00	0.65653
329.00	0.64717
330.00	0.64807
331.00	0.65177
332.00	0.65716
333.00	0.65067
334.00	0.64897
335.00	0.64981
336.00	0.63837
337.00	0.64262
338.00	0.64144
339.00	0.62825
340.00	0.61914
341.00	0.60628
342.00	0.60284
343.00	0.60121
344.00	0.60637
345.00	0.60717
346.00	0.60028
347.00	0.59804
348.00	0.59579
349.00	0.59355
350.00	0.59112
351.00	0.58870
352.00	0.58523
353.00	0.58019
354.00	0.57890
355.00	0.57761
356.00	0.57631
357.00	0.57484
358.00	0.57272
359.00	0.57060
360.00	0.56848
361.00	0.56576
362.00	0.56100
363.00	0.55625
364.00	0.55107
365.00	0.54518
366.00	0.53881
367.00	0.53131
368.00	0.52168
369.00	0.51031
370.00	0.49886
371.00	0.48706
372.00	0.47527
373.00	0.46264
374.00	0.44496
375.00	0.42858
376.00	0.41421
377.00	0.39984
378.00	0.38547
379.00	0.37158
380.00	0.35839
381.00	0.34520
382.00	0.33201
383.00	0.31924
384.00	0.30990
385.00	0.30056
386.00	0.29028
387.00	0.27786
388.00	0.26960
389.00	0.26027
390.00	0.24920
391.00	0.23813
392.00	0.23017
393.00	0.22280
394.00	0.21543
395.00	0.20894
396.00	0.20414
397.00	0.19935
398.00	0.19455
399.00	0.18975
400.00	0.18466
401.00	0.17958
402.00	0.17449
403.00	0.16941
404.00	0.16479
405.00	0.16078
406.00	0.15678
407.00	0.15277
408.00	0.14920
409.00	0.14616
410.00	0.14312
411.00	0.14008
412.00	0.13705
413.00	0.13427
414.00	0.13196
415.00	0.12964
416.00	0.12733
417.00	0.12502
418.00	0.12319
419.00	0.12140
420.00	0.11962
421.00	0.11784
422.00	0.11606
423.00	0.11428
424.00	0.11253
425.00	0.11136
426.00	0.11020
427.00	0.10903
428.00	0.10787
429.00	0.10670
430.00	0.10554
431.00	0.10440
432.00	0.10338
433.00	0.10236
434.00	0.10133
435.00	0.10031
436.00	0.099282
437.00	0.098257
438.00	0.097232
439.00	0.096423
440.00	0.095637
441.00	0.094851
442.00	0.094066
443.00	0.093280
444.00	0.092494
445.00	0.091708
446.00	0.090959
447.00	0.090223
448.00	0.089487
449.00	0.088750
450.00	0.088014
451.00	0.087272
452.00	0.085983
453.00	0.084693
454.00	0.083404
455.00	0.082115
456.00	0.080825
457.00	0.079251
458.00	0.077652
459.00	0.076053
460.00	0.074454
461.00	0.072854
462.00	0.071471
463.00	0.070489
464.00	0.069507
465.00	0.068525
466.00	0.067543
467.00	0.066622
468.00	0.066255
469.00	0.065887
470.00	0.065519
471.00	0.065152
472.00	0.064784
473.00	0.064583
474.00	0.064382
475.00	0.064181
476.00	0.063980
477.00	0.063779
478.00	0.063578
479.00	0.063377
480.00	0.064436
481.00	0.065494
482.00	0.066553
483.00	0.067611
484.00	0.068670
485.00	0.069728
486.00	0.070895
487.00	0.072089
488.00	0.073283
489.00	0.074477
490.00	0.075671
491.00	0.076865
492.00	0.078492
493.00	0.080163
494.00	0.081834
495.00	0.083504
496.00	0.085216
497.00	0.087179
498.00	0.089143
499.00	0.091106
500.00	0.093070
501.00	0.095034
502.00	0.097284
503.00	0.099947
504.00	0.10261
505.00	0.10527
506.00	0.10794
507.00	0.11060
508.00	0.11326
509.00	0.11605
510.00	0.11889
511.00	0.12173
512.00	0.12457
513.00	0.12780
514.00	0.13155
515.00	0.13530
516.00	0.13905
517.00	0.14280
518.00	0.14679
519.00	0.15185
520.00	0.15691
521.00	0.16196
522.00	0.16702
523.00	0.17208
524.00	0.17714
525.00	0.18286
526.00	0.18859
527.00	0.19433
528.00	0.20007
529.00	0.20581
530.00	0.21154
531.00	0.21667
532.00	0.22160
533.00	0.22654
534.00	0.23147
535.00	0.23641
536.00	0.24134
537.00	0.24628
538.00	0.25121
539.00	0.25721
540.00	0.26324
541.00	0.26927
542.00	0.27530
543.00	0.28133
544.00	0.28736
545.00	0.29348
546.00	0.30017
547.00	0.30686
548.00	0.31354
549.00	0.32023
550.00	0.32692
551.00	0.33361
552.00	0.34030
553.00	0.34840
554.00	0.35799
555.00	0.36757
556.00	0.37715
557.00	0.38673
558.00	0.39631
559.00	0.40589
560.00	0.41719
561.00	0.42946
562.00	0.44172
563.00	0.45399
564.00	0.46625
565.00	0.47756
566.00	0.48846
567.00	0.49937
568.00	0.51028
569.00	0.52119
570.00	0.53210
571.00	0.54240
572.00	0.55157
573.00	0.56074
574.00	0.56991
575.00	0.57856
576.00	0.58522
577.00	0.59188
578.00	0.59854
579.00	0.60330
580.00	0.60649
581.00	0.60968
582.00	0.61287
583.00	0.61462
584.00	0.61584
585.00	0.61706
586.00	0.61828
587.00	0.61942
588.00	0.61998
589.00	0.62055
590.00	0.62111
591.00	0.62168
592.00	0.62325
593.00	0.62485
594.00	0.62645
595.00	0.62844
596.00	0.63249
597.00	0.63654
598.00	0.64059
599.00	0.64651
600.00	0.65605
601.00	0.66560
602.00	0.67514
603.00	0.68916
604.00	0.70319
605.00	0.71721
606.00	0.73124
607.00	0.74526
608.00	0.75929
609.00	0.77331
610.00	0.78982
611.00	0.80749
612.00	0.82516
613.00	0.84284
614.00	0.86051
615.00	0.87806
616.00	0.89462
617.00	0.91119
618.00	0.92775
619.00	0.94226
620.00	0.95615
621.00	0.97005
622.00	0.98167
623.00	0.99027
624.00	0.99642
625.00	0.99821
626.00	1.0000
627.00	0.99684
628.00	0.99253
629.00	0.98415
630.00	0.97462
631.00	0.95856
632.00	0.94249
633.00	0.92453
634.00	0.90189
635.00	0.87926
636.00	0.85662
637.00	0.82714
638.00	0.79584
639.00	0.76454
640.00	0.73185
641.00	0.69745
642.00	0.66305
643.00	0.62866
644.00	0.59426
645.00	0.55907
646.00	0.52372
647.00	0.48837
648.00	0.45417
649.00	0.42561
650.00	0.39705
651.00	0.36849
652.00	0.34316
653.00	0.32095
654.00	0.29874
655.00	0.27653
656.00	0.25724
657.00	0.23928
658.00	0.22132
659.00	0.20474
660.00	0.19073
661.00	0.17673
662.00	0.16341
663.00	0.15346
664.00	0.14352
665.00	0.13357
666.00	0.12362
667.00	0.11401
668.00	0.10820
669.00	0.10239
670.00	0.096587
671.00	0.090780
672.00	0.084974
673.00	0.080241
674.00	0.076540
675.00	0.072839
676.00	0.069138
677.00	0.065437
678.00	0.061736
679.00	0.058035
680.00	0.055512
681.00	0.053570
682.00	0.051627
683.00	0.049684
684.00	0.047741
685.00	0.045798
686.00	0.043856
687.00	0.042024
688.00	0.040665
689.00	0.039306
690.00	0.037948
691.00	0.036589
692.00	0.035230
693.00	0.033872
694.00	0.032513
695.00	0.031154
696.00	0.030057
697.00	0.028985
698.00	0.027914
699.00	0.026842
700.00	0.025771
701.00	0.024699
702.00	0.023628
703.00	0.022556
704.00	0.021529
705.00	0.020735
706.00	0.019942
707.00	0.019148
708.00	0.018355
709.00	0.017561
710.00	0.016767
711.00	0.015974
712.00	0.015180
713.00	0.014579
714.00	0.014002
715.00	0.013424
716.00	0.012847
717.00	0.012270
718.00	0.011692
719.00	0.011115
720.00	0.010538
721.00	0.010099
722.00	0.0097027
723.00	0.0093060
724.00	0.0089092
725.00	0.0085125
726.00	0.0081157
727.00	0.0077189
728.00	0.0073222
729.00	0.0069365
730.00	0.0065619
731.00	0.0061873
732.00	0.0058127
733.00	0.0054381
734.00	0.0050635
735.00	0.0046889
736.00	0.0043143
737.00	0.0039397
738.00	0.0037304
739.00	0.0035792
740.00	0.0034280
741.00	0.0032768
742.00	0.0031256
743.00	0.0029744
744.00	0.0028253
745.00	0.0026781
746.00	0.0025309
747.00	0.0023837
748.00	0.0022366
749.00	0.0020894
750.00	0.0019624
751.00	0.0019341
752.00	0.0019057
753.00	0.0018774
754.00	0.0018491
755.00	0.0018208
756.00	0.0017924
757.00	0.0017641
758.00	0.0017358
759.00	0.0017074
760.00	0.0016791
761.00	0.0016508
762.00	0.0016225
763.00	0.0015941
764.00	0.0015658
765.00	0.0015375
766.00	0.0015092
767.00	0.0014828
768.00	0.0014576
769.00	0.0014325
770.00	0.0014073
771.00	0.0013821
772.00	0.0013569
773.00	0.0013318
774.00	0.0013066
775.00	0.0012814
776.00	0.0012562
777.00	0.0012311
778.00	0.0012059
779.00	0.0011807
780.00	0.0011556
781.00	0.0011304
782.00	0.0011052
783.00	0.0010800
784.00	0.0010549
785.00	0.0010297
786.00	0.0010297
787.00	0.0010297
788.00	0.0010297
789.00	0.0010297
790.00	0.0010297
791.00	0.0010297
792.00	0.0010297
793.00	0.0010297
794.00	0.0010297
795.00	0.0010297
796.00	0.0010297
797.00	0.0010297
798.00	0.0010297
799.00	0.0010297
800.00	0.0010297
