Wavelength (nm)	Chem Eur J 2018_17268, Vv-DFCC-53 ems [Z]
365.00	0.0022002
366.00	0.0022002
367.00	0.0022002
368.00	0.0022002
369.00	0.0022002
370.00	0.0022002
371.00	0.0022002
372.00	0.0022903
373.00	0.0025721
374.00	0.0028538
375.00	0.0031355
376.00	0.0034172
377.00	0.0036989
378.00	0.0047676
379.00	0.0066887
380.00	0.0086098
381.00	0.010531
382.00	0.012452
383.00	0.016806
384.00	0.021887
385.00	0.026968
386.00	0.033213
387.00	0.041439
388.00	0.049665
389.00	0.058345
390.00	0.069241
391.00	0.080137
392.00	0.091953
393.00	0.10899
394.00	0.12602
395.00	0.14305
396.00	0.16152
397.00	0.18611
398.00	0.21069
399.00	0.23528
400.00	0.26505
401.00	0.29814
402.00	0.33123
403.00	0.36421
404.00	0.39345
405.00	0.42268
406.00	0.45192
407.00	0.48129
408.00	0.51103
409.00	0.54077
410.00	0.57050
411.00	0.60024
412.00	0.62937
413.00	0.65557
414.00	0.68177
415.00	0.70798
416.00	0.73418
417.00	0.76038
418.00	0.78460
419.00	0.80480
420.00	0.82500
421.00	0.84520
422.00	0.86541
423.00	0.88414
424.00	0.89821
425.00	0.91228
426.00	0.92635
427.00	0.94003
428.00	0.94968
429.00	0.95933
430.00	0.96898
431.00	0.97731
432.00	0.98436
433.00	0.99125
434.00	0.99563
435.00	1.0000
436.00	0.99458
437.00	0.98916
438.00	0.98374
439.00	0.98204
440.00	0.98046
441.00	0.97887
442.00	0.97729
443.00	0.96682
444.00	0.95439
445.00	0.94495
446.00	0.94059
447.00	0.93622
448.00	0.93186
449.00	0.92749
450.00	0.91958
451.00	0.90766
452.00	0.89574
453.00	0.88382
454.00	0.87190
455.00	0.86090
456.00	0.85059
457.00	0.84029
458.00	0.82998
459.00	0.81968
460.00	0.80937
461.00	0.79907
462.00	0.78876
463.00	0.77846
464.00	0.76759
465.00	0.75353
466.00	0.73947
467.00	0.72541
468.00	0.71134
469.00	0.69728
470.00	0.68361
471.00	0.67086
472.00	0.65810
473.00	0.64535
474.00	0.63260
475.00	0.61984
476.00	0.60709
477.00	0.59433
478.00	0.58158
479.00	0.56882
480.00	0.55693
481.00	0.54542
482.00	0.53391
483.00	0.52240
484.00	0.51089
485.00	0.49938
486.00	0.48787
487.00	0.47636
488.00	0.46517
489.00	0.45448
490.00	0.44379
491.00	0.43310
492.00	0.42240
493.00	0.41171
494.00	0.40102
495.00	0.39033
496.00	0.37988
497.00	0.36947
498.00	0.35906
499.00	0.34865
500.00	0.33825
501.00	0.32784
502.00	0.31743
503.00	0.30816
504.00	0.29999
505.00	0.29182
506.00	0.28365
507.00	0.27548
508.00	0.26731
509.00	0.25914
510.00	0.25128
511.00	0.24503
512.00	0.23879
513.00	0.23254
514.00	0.22629
515.00	0.22005
516.00	0.21380
517.00	0.20765
518.00	0.20190
519.00	0.19616
520.00	0.19041
521.00	0.18467
522.00	0.17892
523.00	0.17318
524.00	0.16746
525.00	0.16276
526.00	0.15805
527.00	0.15335
528.00	0.14865
529.00	0.14395
530.00	0.13925
531.00	0.13455
532.00	0.13043
533.00	0.12658
534.00	0.12274
535.00	0.11889
536.00	0.11505
537.00	0.11121
538.00	0.10736
539.00	0.10352
540.00	0.10035
541.00	0.097406
542.00	0.094461
543.00	0.091516
544.00	0.088570
545.00	0.085625
546.00	0.082680
547.00	0.079735
548.00	0.077314
549.00	0.075177
550.00	0.073039
551.00	0.070901
552.00	0.068763
553.00	0.066625
554.00	0.064487
555.00	0.062349
556.00	0.060212
557.00	0.058093
558.00	0.056577
559.00	0.055062
560.00	0.053547
561.00	0.052032
562.00	0.050517
563.00	0.049002
564.00	0.047487
565.00	0.045972
566.00	0.044457
567.00	0.043107
568.00	0.041797
569.00	0.040488
570.00	0.039179
571.00	0.037870
572.00	0.036561
573.00	0.035251
574.00	0.033942
575.00	0.032633
576.00	0.031324
577.00	0.030015
578.00	0.028958
579.00	0.028165
580.00	0.027372
581.00	0.026578
582.00	0.025785
583.00	0.024992
584.00	0.024198
585.00	0.023405
586.00	0.022612
587.00	0.021818
588.00	0.021063
589.00	0.020588
590.00	0.020113
591.00	0.019638
592.00	0.019163
593.00	0.018688
594.00	0.018212
595.00	0.017737
596.00	0.017262
597.00	0.016787
598.00	0.016312
599.00	0.015837
600.00	0.015362
