Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (MeOH) ems [Z]
625.00	0.36157
626.00	0.39346
627.00	0.42535
628.00	0.45725
629.00	0.48914
630.00	0.52193
631.00	0.55859
632.00	0.59525
633.00	0.63190
634.00	0.66856
635.00	0.70206
636.00	0.73477
637.00	0.76748
638.00	0.80020
639.00	0.82994
640.00	0.85895
641.00	0.88795
642.00	0.90917
643.00	0.93039
644.00	0.95013
645.00	0.96400
646.00	0.97786
647.00	0.99172
648.00	0.99586
649.00	1.0000
650.00	0.99398
651.00	0.98796
652.00	0.97235
653.00	0.95674
654.00	0.94113
655.00	0.92094
656.00	0.89744
657.00	0.87394
658.00	0.85045
659.00	0.82695
660.00	0.80220
661.00	0.77598
662.00	0.74977
663.00	0.72355
664.00	0.69733
665.00	0.67185
666.00	0.64672
667.00	0.62160
668.00	0.59647
669.00	0.57279
670.00	0.55049
671.00	0.52819
672.00	0.50589
673.00	0.48359
674.00	0.46187
675.00	0.44671
676.00	0.43155
677.00	0.41640
678.00	0.40124
679.00	0.38609
680.00	0.37093
681.00	0.36083
682.00	0.35312
683.00	0.34540
684.00	0.33768
685.00	0.32997
686.00	0.32225
687.00	0.31825
688.00	0.31453
689.00	0.31081
690.00	0.30734
691.00	0.30646
692.00	0.30558
693.00	0.30470
694.00	0.30382
695.00	0.30293
696.00	0.30205
697.00	0.30117
698.00	0.29956
699.00	0.29695
700.00	0.29433
701.00	0.29171
702.00	0.28910
703.00	0.28648
704.00	0.28330
705.00	0.27983
706.00	0.27636
707.00	0.27289
708.00	0.26942
709.00	0.26595
710.00	0.26248
711.00	0.25709
712.00	0.25160
713.00	0.24611
714.00	0.24062
715.00	0.23513
716.00	0.22963
717.00	0.22403
718.00	0.21805
719.00	0.21208
720.00	0.20611
721.00	0.20014
722.00	0.19417
723.00	0.18819
724.00	0.18222
725.00	0.17625
726.00	0.17070
727.00	0.16519
728.00	0.15968
729.00	0.15416
730.00	0.14865
731.00	0.14314
732.00	0.13762
733.00	0.13211
734.00	0.12660
735.00	0.12108
736.00	0.11642
737.00	0.11212
738.00	0.10782
739.00	0.10352
740.00	0.099223
741.00	0.094923
742.00	0.090624
743.00	0.086324
744.00	0.082025
745.00	0.078563
746.00	0.076210
747.00	0.073858
748.00	0.071506
749.00	0.069153
750.00	0.066801
751.00	0.064449
752.00	0.062097
753.00	0.059744
754.00	0.057392
755.00	0.055552
756.00	0.054185
757.00	0.052817
758.00	0.051450
759.00	0.050083
760.00	0.048716
761.00	0.047348
762.00	0.045981
763.00	0.044614
764.00	0.043247
765.00	0.041879
766.00	0.040512
767.00	0.039145
768.00	0.037777
769.00	0.036668
770.00	0.035636
771.00	0.034603
772.00	0.033571
773.00	0.032538
774.00	0.031506
775.00	0.030474
776.00	0.029441
777.00	0.028409
778.00	0.027376
779.00	0.026344
780.00	0.025311
781.00	0.024279
782.00	0.023485
783.00	0.022813
784.00	0.022141
785.00	0.021469
786.00	0.020797
787.00	0.020125
788.00	0.019453
789.00	0.018781
790.00	0.018109
791.00	0.017437
792.00	0.016765
793.00	0.016093
794.00	0.015421
795.00	0.014774
796.00	0.014209
797.00	0.013645
798.00	0.013080
799.00	0.012515
800.00	0.011951
801.00	0.011386
802.00	0.010821
803.00	0.010257
804.00	0.0096919
805.00	0.0091273
806.00	0.0085626
807.00	0.0079979
808.00	0.0074332
809.00	0.0068685
810.00	0.0063038
811.00	0.0058178
812.00	0.0055676
813.00	0.0053174
814.00	0.0050673
815.00	0.0048171
816.00	0.0045670
817.00	0.0043168
818.00	0.0040666
819.00	0.0038165
820.00	0.0035663
821.00	0.0033162
822.00	0.0030660
823.00	0.0028159
824.00	0.0025657
825.00	0.0023155
826.00	0.0021204
827.00	0.0021204
828.00	0.0021204
829.00	0.0021204
830.00	0.0021204
831.00	0.0021204
832.00	0.0021204
833.00	0.0021204
834.00	0.0021204
835.00	0.0021204
836.00	0.0021204
837.00	0.0021204
838.00	0.0021204
839.00	0.0021204
840.00	0.0021204
841.00	0.0021204
842.00	0.0021204
843.00	0.0021204
844.00	0.0021204
845.00	0.0021204
846.00	0.0021204
847.00	0.0021204
848.00	0.0021204
849.00	0.0021204
850.00	0.0021204
