Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (CH3CN) ems [Z]
630.00	0.26296
631.00	0.28246
632.00	0.30197
633.00	0.32147
634.00	0.34827
635.00	0.38329
636.00	0.41831
637.00	0.45334
638.00	0.48836
639.00	0.52420
640.00	0.56106
641.00	0.59791
642.00	0.63477
643.00	0.67162
644.00	0.70564
645.00	0.73960
646.00	0.77356
647.00	0.80733
648.00	0.83868
649.00	0.87003
650.00	0.89616
651.00	0.91821
652.00	0.93988
653.00	0.95443
654.00	0.96899
655.00	0.98354
656.00	0.99104
657.00	0.99552
658.00	1.0000
659.00	0.99378
660.00	0.98756
661.00	0.98134
662.00	0.97077
663.00	0.96020
664.00	0.93912
665.00	0.91804
666.00	0.89139
667.00	0.86187
668.00	0.83235
669.00	0.80283
670.00	0.77331
671.00	0.74463
672.00	0.71753
673.00	0.69043
674.00	0.66332
675.00	0.63622
676.00	0.60912
677.00	0.58201
678.00	0.55491
679.00	0.53574
680.00	0.51831
681.00	0.50088
682.00	0.48346
683.00	0.46603
684.00	0.44860
685.00	0.43117
686.00	0.41374
687.00	0.39632
688.00	0.37947
689.00	0.37360
690.00	0.36773
691.00	0.36187
692.00	0.35103
693.00	0.34262
694.00	0.33982
695.00	0.33702
696.00	0.33421
697.00	0.33141
698.00	0.32861
699.00	0.32606
700.00	0.32473
701.00	0.32341
702.00	0.32209
703.00	0.32076
704.00	0.31944
705.00	0.31774
706.00	0.31577
707.00	0.31381
708.00	0.31184
709.00	0.30988
710.00	0.30791
711.00	0.30595
712.00	0.30398
713.00	0.30048
714.00	0.29651
715.00	0.29254
716.00	0.28858
717.00	0.28461
718.00	0.28050
719.00	0.27575
720.00	0.27100
721.00	0.26626
722.00	0.26151
723.00	0.25676
724.00	0.25201
725.00	0.24726
726.00	0.24149
727.00	0.23565
728.00	0.22981
729.00	0.22397
730.00	0.21812
731.00	0.21228
732.00	0.20644
733.00	0.20060
734.00	0.19476
735.00	0.18892
736.00	0.18308
737.00	0.17724
738.00	0.17132
739.00	0.16470
740.00	0.15809
741.00	0.15148
742.00	0.14486
743.00	0.13884
744.00	0.13386
745.00	0.12888
746.00	0.12391
747.00	0.11893
748.00	0.11398
749.00	0.10967
750.00	0.10535
751.00	0.10104
752.00	0.096724
753.00	0.092409
754.00	0.088093
755.00	0.084736
756.00	0.081918
757.00	0.079100
758.00	0.076282
759.00	0.073464
760.00	0.070645
761.00	0.067827
762.00	0.065358
763.00	0.063068
764.00	0.060778
765.00	0.058489
766.00	0.056199
767.00	0.053909
768.00	0.051620
769.00	0.050202
770.00	0.049195
771.00	0.048187
772.00	0.047180
773.00	0.046173
774.00	0.045163
775.00	0.044132
776.00	0.043101
777.00	0.042071
778.00	0.041040
779.00	0.040034
780.00	0.039074
781.00	0.038113
782.00	0.037152
783.00	0.036192
784.00	0.035231
785.00	0.034271
786.00	0.033447
787.00	0.032846
788.00	0.032245
789.00	0.031644
790.00	0.031043
791.00	0.030443
792.00	0.029784
793.00	0.028942
794.00	0.028100
795.00	0.027258
796.00	0.026416
797.00	0.025574
798.00	0.024732
799.00	0.023890
800.00	0.023048
801.00	0.022206
802.00	0.021596
803.00	0.021064
804.00	0.020532
805.00	0.020000
806.00	0.019469
807.00	0.018937
808.00	0.018405
809.00	0.017873
810.00	0.017373
811.00	0.016889
812.00	0.016406
813.00	0.015922
814.00	0.015439
815.00	0.014955
816.00	0.014471
817.00	0.013988
818.00	0.013504
819.00	0.013021
820.00	0.012537
821.00	0.012035
822.00	0.011469
823.00	0.010903
824.00	0.010337
825.00	0.0097702
826.00	0.0092039
827.00	0.0086376
828.00	0.0080714
829.00	0.0075051
830.00	0.0069388
831.00	0.0065469
832.00	0.0063682
833.00	0.0061895
834.00	0.0060108
835.00	0.0058321
836.00	0.0056534
837.00	0.0054747
838.00	0.0052960
839.00	0.0051173
840.00	0.0049386
841.00	0.0047672
842.00	0.0046449
843.00	0.0045225
844.00	0.0044002
845.00	0.0042779
846.00	0.0041556
847.00	0.0040332
848.00	0.0039109
849.00	0.0037886
850.00	0.0036662
851.00	0.0035510
852.00	0.0035171
853.00	0.0034832
854.00	0.0034493
855.00	0.0034154
856.00	0.0033816
857.00	0.0033477
858.00	0.0033138
859.00	0.0032799
860.00	0.0032460
861.00	0.0032121
862.00	0.0031782
863.00	0.0031444
864.00	0.0031105
865.00	0.0030766
866.00	0.0030427
867.00	0.0030088
868.00	0.0029749
869.00	0.0029410
870.00	0.0029390
871.00	0.0029390
872.00	0.0029390
873.00	0.0029390
874.00	0.0029390
875.00	0.0029390
876.00	0.0029390
877.00	0.0029390
878.00	0.0029390
879.00	0.0029390
880.00	0.0029390
881.00	0.0029390
882.00	0.0029390
883.00	0.0029390
884.00	0.0029390
885.00	0.0029390
886.00	0.0029390
887.00	0.0029390
888.00	0.0029390
889.00	0.0029390
890.00	0.0029390
891.00	0.0029390
892.00	0.0029390
893.00	0.0029390
894.00	0.0029390
895.00	0.0029390
896.00	0.0029390
897.00	0.0029390
898.00	0.0029390
899.00	0.0029390
900.00	0.0029390
