Wavelength (nm)	202 ZnC (SE197)
300.00	0.047694
301.00	0.047108
302.00	0.046649
303.00	0.046277
304.00	0.045944
305.00	0.045275
306.00	0.045024
307.00	0.044635
308.00	0.044538
309.00	0.044569
310.00	0.044716
311.00	0.044854
312.00	0.045190
313.00	0.045572
314.00	0.046093
315.00	0.046643
316.00	0.047198
317.00	0.047964
318.00	0.048575
319.00	0.049269
320.00	0.049667
321.00	0.050134
322.00	0.050563
323.00	0.050942
324.00	0.051445
325.00	0.051708
326.00	0.052067
327.00	0.052340
328.00	0.052514
329.00	0.052713
330.00	0.053041
331.00	0.053150
332.00	0.053454
333.00	0.053674
334.00	0.053769
335.00	0.054111
336.00	0.054391
337.00	0.054737
338.00	0.055396
339.00	0.055788
340.00	0.056214
341.00	0.056713
342.00	0.057367
343.00	0.057874
344.00	0.058298
345.00	0.058588
346.00	0.058767
347.00	0.059054
348.00	0.059398
349.00	0.059731
350.00	0.060033
351.00	0.060488
352.00	0.061062
353.00	0.061772
354.00	0.062471
355.00	0.063341
356.00	0.064288
357.00	0.065313
358.00	0.066391
359.00	0.067541
360.00	0.069006
361.00	0.070748
362.00	0.073645
363.00	0.076850
364.00	0.080847
365.00	0.085823
366.00	0.091932
367.00	0.099342
368.00	0.10857
369.00	0.11897
370.00	0.12999
371.00	0.14185
372.00	0.15388
373.00	0.16639
374.00	0.17915
375.00	0.19092
376.00	0.20108
377.00	0.20956
378.00	0.21569
379.00	0.21972
380.00	0.22243
381.00	0.22465
382.00	0.22805
383.00	0.23381
384.00	0.24353
385.00	0.25867
386.00	0.28074
387.00	0.31156
388.00	0.35042
389.00	0.39713
390.00	0.45192
391.00	0.51689
392.00	0.59160
393.00	0.66908
394.00	0.74940
395.00	0.82939
396.00	0.90509
397.00	0.96525
398.00	1.0000
399.00	0.99659
400.00	0.95358
401.00	0.87216
402.00	0.76150
403.00	0.63749
404.00	0.50871
405.00	0.39234
406.00	0.29473
407.00	0.21631
408.00	0.15380
409.00	0.10762
410.00	0.076854
411.00	0.055049
412.00	0.039601
413.00	0.029553
414.00	0.023263
415.00	0.018642
416.00	0.015619
417.00	0.013643
418.00	0.012097
419.00	0.011216
420.00	0.010249
421.00	0.0094846
422.00	0.0090156
423.00	0.0086834
424.00	0.0082276
425.00	0.0080495
426.00	0.0078993
427.00	0.0077771
428.00	0.0075844
429.00	0.0073306
430.00	0.0071552
431.00	0.0072044
432.00	0.0073505
433.00	0.0072708
434.00	0.0072349
435.00	0.0070569
436.00	0.0070967
437.00	0.0069745
438.00	0.0068655
439.00	0.0067406
440.00	0.0067114
441.00	0.0067592
442.00	0.0066609
443.00	0.0065958
444.00	0.0065200
445.00	0.0066024
446.00	0.0064988
447.00	0.0064429
448.00	0.0065373
449.00	0.0064310
450.00	0.0065213
451.00	0.0063220
452.00	0.0064469
453.00	0.0068735
454.00	0.0069120
455.00	0.0068815
456.00	0.0068868
457.00	0.0070489
458.00	0.0071645
459.00	0.0074289
460.00	0.0075259
461.00	0.0075007
462.00	0.0078728
463.00	0.0078661
464.00	0.0078582
465.00	0.0078077
466.00	0.0077239
467.00	0.0075924
468.00	0.0076123
469.00	0.0074675
470.00	0.0075100
471.00	0.0074449
472.00	0.0073851
473.00	0.0073691
474.00	0.0074143
475.00	0.0074223
476.00	0.0076190
477.00	0.0077226
478.00	0.0080057
479.00	0.0083857
480.00	0.0087578
481.00	0.0091644
482.00	0.0098328
483.00	0.010347
484.00	0.011090
485.00	0.011926
486.00	0.012670
487.00	0.013762
488.00	0.014947
489.00	0.016042
490.00	0.017341
491.00	0.018848
492.00	0.020265
493.00	0.021651
494.00	0.022948
495.00	0.023723
496.00	0.024259
497.00	0.024261
498.00	0.024261
499.00	0.023829
500.00	0.023044
501.00	0.022401
502.00	0.021488
503.00	0.020836
504.00	0.019869
505.00	0.019062
506.00	0.018240
507.00	0.017395
508.00	0.016470
509.00	0.015933
510.00	0.015038
511.00	0.014529
512.00	0.014085
513.00	0.013964
514.00	0.013674
515.00	0.013478
516.00	0.013472
517.00	0.013367
518.00	0.013240
519.00	0.013084
520.00	0.012797
521.00	0.012772
522.00	0.012589
523.00	0.012468
524.00	0.012451
525.00	0.012396
526.00	0.012104
527.00	0.011963
528.00	0.012015
529.00	0.011720
530.00	0.011442
531.00	0.011151
532.00	0.011049
533.00	0.010719
534.00	0.010020
535.00	0.010043
536.00	0.0096162
537.00	0.0093544
538.00	0.0090501
539.00	0.0089996
540.00	0.0089996
541.00	0.0089956
542.00	0.0090966
543.00	0.0092587
544.00	0.0098899
545.00	0.010457
546.00	0.011696
547.00	0.013146
548.00	0.014819
549.00	0.016849
550.00	0.019120
551.00	0.021432
552.00	0.023433
553.00	0.025258
554.00	0.027047
555.00	0.028567
556.00	0.030079
557.00	0.031141
558.00	0.031850
559.00	0.031885
560.00	0.031501
561.00	0.030997
562.00	0.030098
563.00	0.029292
564.00	0.028943
565.00	0.028452
566.00	0.028047
567.00	0.027493
568.00	0.026767
569.00	0.025864
570.00	0.025084
571.00	0.024560
572.00	0.024446
573.00	0.024635
574.00	0.025116
575.00	0.025643
576.00	0.025791
577.00	0.025356
578.00	0.024423
579.00	0.023173
580.00	0.021577
581.00	0.020239
582.00	0.019533
583.00	0.019929
584.00	0.020740
585.00	0.022361
586.00	0.024613
587.00	0.027294
588.00	0.029808
589.00	0.032663
590.00	0.036003
591.00	0.040057
592.00	0.046013
593.00	0.055142
594.00	0.068482
595.00	0.088574
596.00	0.11409
597.00	0.14692
598.00	0.18434
599.00	0.22174
600.00	0.25418
601.00	0.27776
602.00	0.28798
603.00	0.28374
604.00	0.26646
605.00	0.23836
606.00	0.20362
607.00	0.16831
608.00	0.13443
609.00	0.10489
610.00	0.080090
611.00	0.060390
612.00	0.045861
613.00	0.034691
614.00	0.026438
615.00	0.020505
616.00	0.016117
617.00	0.012796
618.00	0.010249
619.00	0.0084216
620.00	0.0070011
621.00	0.0059380
622.00	0.0049826
623.00	0.0042676
624.00	0.0036976
625.00	0.0032179
626.00	0.0029229
627.00	0.0026744
628.00	0.0026265
629.00	0.0025814
630.00	0.0025521
631.00	0.0024192
632.00	0.0022677
633.00	0.0021747
634.00	0.0020684
635.00	0.0018159
636.00	0.0016326
637.00	0.0016286
638.00	0.0015422
639.00	0.0014479
640.00	0.0015608
641.00	0.0014120
642.00	0.0013628
643.00	0.0012034
644.00	0.0012020
645.00	0.0010505
646.00	0.0010851
647.00	0.0011263
648.00	0.0010452
649.00	0.00097878
650.00	0.00094423
651.00	0.00094418
652.00	0.00093891
653.00	0.00084589
654.00	0.00097302
655.00	0.00096731
656.00	0.00090791
657.00	0.00084324
658.00	0.00095752
659.00	0.00079008
660.00	0.00073029
661.00	0.00081400
662.00	0.00074756
663.00	0.00074490
664.00	0.00071301
665.00	0.00069441
666.00	0.00077945
667.00	0.00072098
668.00	0.00067182
669.00	0.00062132
670.00	0.00073560
671.00	0.00062797
672.00	0.00076085
673.00	0.00068112
674.00	0.00065321
675.00	0.00069706
676.00	0.00066517
677.00	0.00073427
678.00	0.00063461
679.00	0.00065056
680.00	0.00073294
681.00	0.00067315
682.00	0.00071833
683.00	0.00072231
684.00	0.00072497
685.00	0.00083128
686.00	0.00081799
687.00	0.00072364
688.00	0.00074357
689.00	0.00076218
690.00	0.00088576
691.00	0.00084058
692.00	0.00080337
693.00	0.00080989
694.00	0.00082846
695.00	0.00082072
696.00	0.00082072
697.00	0.00087513
698.00	0.00089639
699.00	0.00083159
700.00	0.00082809
