Wavelength (nm)	1 L202 ZnC (SE197) ems
550.00	0.00060925
551.00	0.00061376
552.00	0.00065162
553.00	0.00066608
554.00	0.00071165
555.00	0.00076452
556.00	0.00076721
557.00	0.00078246
558.00	0.00084393
559.00	0.00093032
560.00	0.00095572
561.00	0.0010007
562.00	0.0010554
563.00	0.0011562
564.00	0.0012264
565.00	0.0012695
566.00	0.0013072
567.00	0.0014282
568.00	0.0015379
569.00	0.0016781
570.00	0.0017710
571.00	0.0019425
572.00	0.0020948
573.00	0.0023461
574.00	0.0024909
575.00	0.0028313
576.00	0.0032417
577.00	0.0034838
578.00	0.0038746
579.00	0.0041895
580.00	0.0044384
581.00	0.0046802
582.00	0.0050126
583.00	0.0056367
584.00	0.0065882
585.00	0.0078263
586.00	0.0095631
587.00	0.011677
588.00	0.014822
589.00	0.018269
590.00	0.022990
591.00	0.028926
592.00	0.037729
593.00	0.050767
594.00	0.072198
595.00	0.10380
596.00	0.15199
597.00	0.21976
598.00	0.30981
599.00	0.42211
600.00	0.54798
601.00	0.67818
602.00	0.79784
603.00	0.89953
604.00	0.96953
605.00	1.0000
606.00	0.98921
607.00	0.94313
608.00	0.86716
609.00	0.77370
610.00	0.66974
611.00	0.56795
612.00	0.47696
613.00	0.39617
614.00	0.33168
615.00	0.28053
616.00	0.24237
617.00	0.21255
618.00	0.19138
619.00	0.17590
620.00	0.16060
621.00	0.14948
622.00	0.13953
623.00	0.13130
624.00	0.12406
625.00	0.11885
626.00	0.11499
627.00	0.11277
628.00	0.11298
629.00	0.11363
630.00	0.11428
631.00	0.11518
632.00	0.11575
633.00	0.11544
634.00	0.11391
635.00	0.11184
636.00	0.10975
637.00	0.10948
638.00	0.10834
639.00	0.10897
640.00	0.10994
641.00	0.11199
642.00	0.11351
643.00	0.11517
644.00	0.11561
645.00	0.11542
646.00	0.11368
647.00	0.11338
648.00	0.11221
649.00	0.11106
650.00	0.11111
651.00	0.11116
652.00	0.11253
653.00	0.11339
654.00	0.11418
655.00	0.11515
656.00	0.11518
657.00	0.11466
658.00	0.11329
659.00	0.11192
660.00	0.10936
661.00	0.10822
662.00	0.10613
663.00	0.10404
664.00	0.10322
665.00	0.10033
666.00	0.097709
667.00	0.095136
668.00	0.091713
669.00	0.087226
670.00	0.082897
671.00	0.077367
672.00	0.071392
673.00	0.066185
674.00	0.060098
675.00	0.054682
676.00	0.048969
677.00	0.044153
678.00	0.039770
679.00	0.036072
680.00	0.033038
681.00	0.030003
682.00	0.027993
683.00	0.026312
684.00	0.024045
685.00	0.023385
686.00	0.022295
687.00	0.021614
688.00	0.020666
689.00	0.020415
690.00	0.019410
691.00	0.018835
692.00	0.018004
693.00	0.017710
694.00	0.017042
695.00	0.016857
696.00	0.016500
697.00	0.016203
698.00	0.015766
699.00	0.015688
700.00	0.015262
701.00	0.015470
702.00	0.014741
703.00	0.014509
704.00	0.014875
705.00	0.014163
706.00	0.013647
707.00	0.013536
708.00	0.013486
709.00	0.013025
710.00	0.012606
711.00	0.012362
712.00	0.012549
713.00	0.012195
714.00	0.012081
715.00	0.011628
716.00	0.011435
717.00	0.011236
718.00	0.010908
719.00	0.010882
720.00	0.010519
721.00	0.010168
722.00	0.0098868
723.00	0.0099751
724.00	0.0095335
725.00	0.0093748
726.00	0.0091160
727.00	0.0088323
728.00	0.0083363
729.00	0.0086953
730.00	0.0082402
731.00	0.0082121
732.00	0.0078952
733.00	0.0077440
734.00	0.0073657
735.00	0.0075673
736.00	0.0071506
737.00	0.0070714
738.00	0.0070751
739.00	0.0066221
740.00	0.0065660
741.00	0.0062614
742.00	0.0062948
743.00	0.0060340
744.00	0.0058451
745.00	0.0058308
746.00	0.0055087
747.00	0.0055219
748.00	0.0052784
749.00	0.0051643
750.00	0.0050209
751.00	0.0049682
752.00	0.0048222
753.00	0.0044128
754.00	0.0042648
755.00	0.0043872
756.00	0.0041203
757.00	0.0042327
758.00	0.0041159
759.00	0.0041910
760.00	0.0040351
761.00	0.0040014
762.00	0.0038638
763.00	0.0040166
764.00	0.0039179
765.00	0.0040321
766.00	0.0038429
767.00	0.0042793
768.00	0.0040493
769.00	0.0040045
770.00	0.0041502
771.00	0.0043220
772.00	0.0044890
773.00	0.0048163
774.00	0.0047645
775.00	0.0046382
776.00	0.0046336
777.00	0.0047107
778.00	0.0045299
779.00	0.0049525
780.00	0.0050549
