Wavelength (nm)	202 ZnC-M10 (SE198)
300.00	0.054554
301.00	0.054281
302.00	0.053965
303.00	0.053723
304.00	0.053494
305.00	0.053063
306.00	0.052867
307.00	0.052375
308.00	0.052113
309.00	0.051934
310.00	0.051800
311.00	0.051736
312.00	0.051745
313.00	0.051813
314.00	0.052126
315.00	0.052493
316.00	0.052859
317.00	0.053106
318.00	0.053379
319.00	0.053694
320.00	0.053964
321.00	0.054206
322.00	0.054478
323.00	0.054771
324.00	0.054997
325.00	0.055163
326.00	0.055314
327.00	0.055393
328.00	0.055588
329.00	0.055667
330.00	0.055733
331.00	0.055601
332.00	0.055637
333.00	0.055579
334.00	0.055577
335.00	0.055613
336.00	0.055494
337.00	0.055396
338.00	0.055527
339.00	0.055694
340.00	0.055695
341.00	0.055913
342.00	0.056182
343.00	0.056526
344.00	0.056837
345.00	0.057224
346.00	0.057414
347.00	0.057722
348.00	0.057952
349.00	0.058042
350.00	0.058178
351.00	0.058159
352.00	0.058101
353.00	0.058027
354.00	0.058185
355.00	0.058236
356.00	0.058364
357.00	0.058689
358.00	0.059132
359.00	0.060045
360.00	0.060739
361.00	0.061303
362.00	0.061879
363.00	0.062186
364.00	0.062362
365.00	0.063232
366.00	0.064857
367.00	0.067756
368.00	0.071595
369.00	0.075309
370.00	0.078669
371.00	0.081306
372.00	0.084944
373.00	0.090604
374.00	0.098013
375.00	0.10708
376.00	0.11700
377.00	0.12955
378.00	0.14237
379.00	0.15636
380.00	0.16860
381.00	0.18162
382.00	0.19355
383.00	0.20169
384.00	0.20877
385.00	0.21229
386.00	0.21412
387.00	0.21413
388.00	0.21319
389.00	0.21278
390.00	0.21605
391.00	0.22447
392.00	0.23925
393.00	0.25750
394.00	0.28577
395.00	0.32250
396.00	0.37198
397.00	0.43191
398.00	0.50399
399.00	0.57762
400.00	0.66196
401.00	0.75400
402.00	0.84376
403.00	0.92063
404.00	0.97831
405.00	1.0000
406.00	0.97923
407.00	0.91583
408.00	0.81809
409.00	0.69830
410.00	0.57588
411.00	0.45678
412.00	0.35069
413.00	0.26341
414.00	0.19593
415.00	0.14331
416.00	0.10486
417.00	0.076647
418.00	0.056862
419.00	0.043418
420.00	0.034058
421.00	0.027778
422.00	0.022573
423.00	0.019595
424.00	0.016586
425.00	0.015502
426.00	0.014668
427.00	0.014653
428.00	0.013484
429.00	0.014902
430.00	0.013374
431.00	0.011158
432.00	0.011979
433.00	0.015056
434.00	0.010389
435.00	0.012547
436.00	0.012519
437.00	0.011491
438.00	0.012665
439.00	0.011370
440.00	0.012579
441.00	0.013066
442.00	0.010868
443.00	0.011774
444.00	0.011555
445.00	0.011153
446.00	0.011345
447.00	0.011055
448.00	0.011245
449.00	0.011251
450.00	0.010757
451.00	0.010829
452.00	0.010872
453.00	0.010639
454.00	0.010638
455.00	0.011132
456.00	0.010166
457.00	0.011319
458.00	0.011085
459.00	0.010312
460.00	0.010567
461.00	0.010082
462.00	0.010726
463.00	0.011767
464.00	0.011814
465.00	0.011536
466.00	0.010458
467.00	0.011364
468.00	0.011417
469.00	0.010638
470.00	0.011299
471.00	0.011284
472.00	0.011889
473.00	0.011316
474.00	0.011221
475.00	0.011237
476.00	0.010769
477.00	0.011305
478.00	0.010422
479.00	0.010856
480.00	0.010823
481.00	0.010888
482.00	0.010553
483.00	0.011426
484.00	0.011598
485.00	0.011407
486.00	0.011799
487.00	0.012075
488.00	0.012825
489.00	0.013389
490.00	0.014048
491.00	0.014542
492.00	0.015632
493.00	0.016635
494.00	0.017337
495.00	0.018476
496.00	0.021054
497.00	0.020843
498.00	0.023449
499.00	0.024058
500.00	0.024957
501.00	0.025750
502.00	0.025506
503.00	0.025225
504.00	0.024570
505.00	0.024070
506.00	0.023668
507.00	0.022842
508.00	0.022400
509.00	0.021424
510.00	0.020999
511.00	0.020318
512.00	0.019485
513.00	0.019148
514.00	0.018125
515.00	0.017771
516.00	0.017444
517.00	0.017005
518.00	0.016921
519.00	0.016445
520.00	0.016093
521.00	0.016255
522.00	0.015751
523.00	0.015878
524.00	0.015460
525.00	0.015145
526.00	0.015104
527.00	0.014618
528.00	0.014786
529.00	0.014383
530.00	0.014008
531.00	0.014117
532.00	0.013807
533.00	0.013786
534.00	0.013169
535.00	0.012897
536.00	0.012341
537.00	0.012108
538.00	0.011966
539.00	0.011408
540.00	0.010964
541.00	0.010852
542.00	0.010659
543.00	0.010644
544.00	0.010480
545.00	0.010442
546.00	0.010927
547.00	0.011590
548.00	0.011909
549.00	0.012573
550.00	0.013814
551.00	0.015224
552.00	0.016925
553.00	0.018581
554.00	0.020505
555.00	0.022872
556.00	0.024560
557.00	0.026649
558.00	0.028002
559.00	0.029633
560.00	0.030480
561.00	0.030475
562.00	0.030122
563.00	0.029630
564.00	0.029005
565.00	0.028158
566.00	0.027947
567.00	0.028022
568.00	0.027986
569.00	0.028556
570.00	0.027015
571.00	0.027315
572.00	0.025579
573.00	0.025950
574.00	0.024330
575.00	0.023190
576.00	0.023004
577.00	0.024503
578.00	0.021101
579.00	0.022567
580.00	0.021277
581.00	0.024193
582.00	0.018205
583.00	0.018378
584.00	0.020764
585.00	0.019657
586.00	0.019499
587.00	0.021851
588.00	0.022773
589.00	0.024732
590.00	0.027246
591.00	0.029992
592.00	0.033667
593.00	0.035766
