Wavelength (nm)	L202 ZnC-M10 (SE198).ems

550.00	0.0013093
551.00	0.0012794
552.00	0.0012767
553.00	0.0013013
554.00	0.0014578
555.00	0.0014059
556.00	0.0013758
557.00	0.0015279
558.00	0.0014610
559.00	0.0014604
560.00	0.0015190
561.00	0.0015890
562.00	0.0017935
563.00	0.0016945
564.00	0.0017580
565.00	0.0019029
566.00	0.0019240
567.00	0.0020039
568.00	0.0021869
569.00	0.0023673
570.00	0.0023976
571.00	0.0024158
572.00	0.0026228
573.00	0.0027018
574.00	0.0028666
575.00	0.0029020
576.00	0.0032542
577.00	0.0034696
578.00	0.0035821
579.00	0.0039087
580.00	0.0042017
581.00	0.0043449
582.00	0.0048610
583.00	0.0052347
584.00	0.0055106
585.00	0.0061673
586.00	0.0069758
587.00	0.0082546
588.00	0.0097883
589.00	0.011696
590.00	0.014497
591.00	0.017912
592.00	0.021381
593.00	0.026007
594.00	0.032716
595.00	0.040457
596.00	0.052104
597.00	0.069219
598.00	0.095542
599.00	0.13400
600.00	0.18943
601.00	0.26147
602.00	0.36073
603.00	0.46953
604.00	0.59485
605.00	0.72309
606.00	0.84187
607.00	0.93224
608.00	0.98869
609.00	1.0000
610.00	0.97147
611.00	0.91594
612.00	0.82957
613.00	0.73449
614.00	0.63476
615.00	0.54160
616.00	0.46015
617.00	0.39320
618.00	0.33465
619.00	0.29239
620.00	0.25664
621.00	0.22916
622.00	0.20852
623.00	0.19117
624.00	0.17453
625.00	0.16039
626.00	0.14817
627.00	0.13727
628.00	0.12637
629.00	0.12138
630.00	0.11490
631.00	0.11108
632.00	0.11011
633.00	0.11079
634.00	0.11064
635.00	0.11054
636.00	0.11047
637.00	0.10907
638.00	0.10742
639.00	0.10785
640.00	0.10614
641.00	0.10535
642.00	0.10702
643.00	0.10751
644.00	0.11077
645.00	0.11225
646.00	0.11523
647.00	0.11780
648.00	0.11758
649.00	0.11688
650.00	0.11861
651.00	0.11635
652.00	0.11629
653.00	0.11649
654.00	0.11518
655.00	0.11683
656.00	0.11831
657.00	0.12172
658.00	0.12299
659.00	0.12597
660.00	0.12654
661.00	0.12773
662.00	0.12872
663.00	0.12738
664.00	0.12694
665.00	0.12572
666.00	0.12304
667.00	0.12106
668.00	0.11791
669.00	0.11461
670.00	0.11151
671.00	0.10829
672.00	0.10322
673.00	0.098012
674.00	0.092086
675.00	0.085038
676.00	0.077683
677.00	0.071363
678.00	0.064379
679.00	0.059215
680.00	0.054258
681.00	0.049342
682.00	0.045140
683.00	0.040697
684.00	0.037671
685.00	0.034227
686.00	0.032843
687.00	0.030324
688.00	0.028128
689.00	0.027606
690.00	0.026294
691.00	0.025018
692.00	0.024447
693.00	0.023383
694.00	0.022999
695.00	0.022085
696.00	0.021576
697.00	0.020737
698.00	0.020426
699.00	0.019695
700.00	0.020236
701.00	0.020444
702.00	0.019323
703.00	0.019517
704.00	0.018356
705.00	0.018389
706.00	0.018191
707.00	0.017814
708.00	0.017882
709.00	0.017476
710.00	0.017638
711.00	0.017684
712.00	0.016883
713.00	0.016636
714.00	0.016377
715.00	0.016326
716.00	0.016363
717.00	0.015946
718.00	0.016068
719.00	0.015823
720.00	0.015237
721.00	0.015553
722.00	0.015473
723.00	0.014878
724.00	0.015015
725.00	0.014556
726.00	0.014652
727.00	0.014067
728.00	0.014081
729.00	0.013593
730.00	0.014073
731.00	0.013965
732.00	0.013322
733.00	0.013115
734.00	0.013067
735.00	0.012971
736.00	0.013041
737.00	0.012582
738.00	0.012180
739.00	0.011700
740.00	0.012042
741.00	0.012372
742.00	0.011860
743.00	0.011718
744.00	0.010816
745.00	0.011105
746.00	0.010667
747.00	0.011133
748.00	0.011228
749.00	0.010828
750.00	0.0094578
751.00	0.0088910
752.00	0.0098426
753.00	0.010064
754.00	0.010021
755.00	0.0097580
756.00	0.0095520
757.00	0.0094273
758.00	0.0092639
759.00	0.0092754
760.00	0.0091250
761.00	0.0092095
762.00	0.0093638
763.00	0.0088476
764.00	0.0095331
765.00	0.0090162
766.00	0.0093371
767.00	0.0091598
768.00	0.0089400
769.00	0.0089393
770.00	0.0087980
