Wavelength (nm)	229 ZnC-Pn10 (SE433) EMS
550.00	0.00013343
551.00	0.00030040
552.00	0.00019178
553.00	0.00029613
554.00	0.00017547
555.00	3.2998e-05
556.00	0.00014160
557.00	2.0900e-05
558.00	6.7481e-05
559.00	0.00016619
560.00	5.5845e-05
561.00	0.00020271
562.00	0.00035051
563.00	0.00025688
564.00	0.00035242
565.00	0.00050209
566.00	0.00044384
567.00	0.00037922
568.00	0.00092071
569.00	0.00085114
570.00	0.0010651
571.00	0.00099599
572.00	0.0011211
573.00	0.0013265
574.00	0.0014965
575.00	0.0016062
576.00	0.0020623
577.00	0.0021066
578.00	0.0025427
579.00	0.0029195
580.00	0.0033677
581.00	0.0041048
582.00	0.0043240
583.00	0.0051155
584.00	0.0061682
585.00	0.0072680
586.00	0.0090383
587.00	0.011010
588.00	0.014812
589.00	0.018008
590.00	0.022296
591.00	0.029085
592.00	0.036864
593.00	0.049950
594.00	0.065404
595.00	0.090787
596.00	0.12489
597.00	0.17538
598.00	0.24015
599.00	0.32227
600.00	0.42577
601.00	0.53829
602.00	0.64471
603.00	0.76734
604.00	0.85994
605.00	0.93396
606.00	0.98350
607.00	1.0000
608.00	0.98229
609.00	0.92973
610.00	0.85637
611.00	0.76519
612.00	0.67435
613.00	0.58091
614.00	0.49236
615.00	0.41695
616.00	0.35207
617.00	0.30350
618.00	0.26232
619.00	0.22544
620.00	0.19646
621.00	0.17952
622.00	0.16048
623.00	0.14290
624.00	0.12907
625.00	0.11900
626.00	0.10786
627.00	0.10148
628.00	0.097754
629.00	0.095076
630.00	0.092499
631.00	0.091812
632.00	0.091806
633.00	0.095107
634.00	0.094594
635.00	0.096973
636.00	0.099141
637.00	0.098263
638.00	0.098636
639.00	0.10005
640.00	0.10347
641.00	0.10384
642.00	0.10645
643.00	0.10835
644.00	0.11267
645.00	0.11639
646.00	0.11740
647.00	0.11772
648.00	0.11644
649.00	0.12097
650.00	0.11965
651.00	0.12014
652.00	0.12120
653.00	0.12214
654.00	0.12555
655.00	0.12511
656.00	0.12845
657.00	0.12784
658.00	0.12524
659.00	0.12880
660.00	0.12642
661.00	0.12643
662.00	0.12669
663.00	0.12612
664.00	0.12271
665.00	0.11978
666.00	0.11805
667.00	0.11117
668.00	0.10743
669.00	0.10218
670.00	0.099215
671.00	0.089513
672.00	0.084361
673.00	0.079763
674.00	0.071322
675.00	0.065390
676.00	0.058558
677.00	0.052836
678.00	0.048386
679.00	0.041713
680.00	0.038810
681.00	0.034908
682.00	0.031832
683.00	0.029787
684.00	0.026844
685.00	0.024262
686.00	0.022664
687.00	0.022178
688.00	0.019035
689.00	0.019711
690.00	0.017776
691.00	0.017268
692.00	0.016089
693.00	0.015987
694.00	0.015811
695.00	0.014519
696.00	0.014078
697.00	0.014755
698.00	0.014126
699.00	0.014171
700.00	0.013336
701.00	0.013363
702.00	0.013819
703.00	0.012970
704.00	0.012761
705.00	0.012150
706.00	0.012088
707.00	0.011906
708.00	0.012102
709.00	0.013043
710.00	0.010543
711.00	0.010459
712.00	0.012094
713.00	0.010727
714.00	0.010736
715.00	0.010636
716.00	0.010084
717.00	0.010981
718.00	0.010217
719.00	0.010624
720.00	0.010233
721.00	0.0094399
722.00	0.010204
723.00	0.0091742
724.00	0.0085143
725.00	0.0090491
726.00	0.0088956
727.00	0.0088331
728.00	0.0075565
729.00	0.0065217
730.00	0.0070280
731.00	0.0065336
732.00	0.0064128
733.00	0.0062602
734.00	0.0081010
735.00	0.0066656
736.00	0.0065038
737.00	0.0052004
738.00	0.0045635
739.00	0.0055553
740.00	0.0047317
741.00	0.0047595
742.00	0.0045807
743.00	0.0038008
744.00	0.0030015
745.00	0.0020303
746.00	0.0039019
747.00	0.0025743
748.00	0.0028547
749.00	0.0028539
750.00	0.0013062
