Wavelength (nm)	L214 ZnC-P15 (SE252).ems
552.20	0.0032802
552.40	0.0032947
552.60	0.0030778
552.80	0.0033239
553.00	0.0034977
553.20	0.0033385
553.40	0.0031359
553.60	0.0034837
553.80	0.0036867
554.00	0.0032375
554.20	0.0032086
554.40	0.0032522
554.60	0.0033393
554.80	0.0034265
555.00	0.0034557
555.20	0.0035285
555.40	0.0034415
555.60	0.0028166
555.80	0.0035726
556.00	0.0034128
556.20	0.0032675
556.40	0.0037623
556.60	0.0033695
556.80	0.0037192
557.00	0.0030347
557.20	0.0038217
557.40	0.0037780
557.60	0.0034575
557.80	0.0038220
558.00	0.0036472
558.20	0.0033993
558.40	0.0032536
558.60	0.0031952
558.80	0.0036183
559.00	0.0035163
559.20	0.0031370
559.40	0.0035894
559.60	0.0036333
559.80	0.0032684
560.00	0.0037211
560.20	0.0034729
560.40	0.0035168
560.60	0.0034877
560.80	0.0030348
561.00	0.0037361
561.20	0.0037216
561.40	0.0034441
561.60	0.0031080
561.80	0.0034588
562.00	0.0039267
562.20	0.0037514
562.40	0.0035763
562.60	0.0033131
562.80	0.0042373
563.00	0.0037386
563.20	0.0036951
563.40	0.0037395
563.60	0.0037105
563.80	0.0040379
564.00	0.0036526
564.20	0.0041276
564.40	0.0035357
564.60	0.0033887
564.80	0.0036248
565.00	0.0034777
565.20	0.0036403
565.40	0.0034045
565.60	0.0035820
565.80	0.0039371
566.00	0.0037749
566.20	0.0040080
566.40	0.0035982
566.60	0.0034652
566.80	0.0036583
567.00	0.0037626
567.20	0.0039708
567.40	0.0038373
567.60	0.0043569
567.80	0.0038079
568.00	0.0038229
568.20	0.0044965
568.40	0.0036151
568.60	0.0037490
568.80	0.0038827
569.00	0.0038978
569.20	0.0044666
569.40	0.0045264
569.60	0.0040578
569.80	0.0038239
570.00	0.0043170
570.20	0.0043470
570.40	0.0044965
570.60	0.0041476
570.80	0.0047757
571.00	0.0045065
571.20	0.0042074
571.40	0.0043470
571.60	0.0040778
571.80	0.0039295
572.00	0.0050449
572.20	0.0049751
572.40	0.0044965
572.60	0.0044566
572.80	0.0044566
573.00	0.0046062
573.20	0.0050648
573.40	0.0045663
573.60	0.0046560
573.80	0.0044865
574.00	0.0049053
574.20	0.0039807
574.40	0.0048255
574.60	0.0045962
574.80	0.0048554
575.00	0.0047458
575.20	0.0046461
575.40	0.0051745
575.60	0.0052243
575.80	0.0051047
576.00	0.0041376
576.20	0.0050449
576.40	0.0058425
576.60	0.0049651
576.80	0.0047856
577.00	0.0053240
577.20	0.0053240
577.40	0.0048355
577.60	0.0059023
577.80	0.0055234
578.00	0.0055533
578.20	0.0066600
578.40	0.0056132
578.60	0.0056331
578.80	0.0052642
579.00	0.0052642
579.20	0.0052542
579.40	0.0054038
579.60	0.0057627
579.80	0.0059821
580.00	0.0061815
580.20	0.0056132
580.40	0.0056730
580.60	0.0061914
580.80	0.0062014
581.00	0.0066600
581.20	0.0073679
581.40	0.0063011
581.60	0.0061615
581.80	0.0068395
582.00	0.0074477
582.20	0.0060718
582.40	0.0066700
582.60	0.0075872
582.80	0.0064307
583.00	0.0073280
583.20	0.0066600
583.40	0.0068495
583.60	0.0064806
583.80	0.0073779
584.00	0.0066500
584.20	0.0067099
584.40	0.0075573
584.60	0.0073878
584.80	0.0073679
585.00	0.0069093
585.20	0.0071585
585.40	0.0073280
585.60	0.0078066
585.80	0.0072183
586.00	0.0081256
586.20	0.0083749
586.40	0.0071186
586.60	0.0080957
586.80	0.0088634
587.00	0.0082652
587.20	0.0095713
587.40	0.0076770
587.60	0.0096311
587.80	0.0090828
588.00	0.0096510
588.20	0.0099501
588.40	0.0093021
588.60	0.010329
588.80	0.011067
589.00	0.011336
589.20	0.012074
589.40	0.010778
589.60	0.011047
589.80	0.013001
590.00	0.012662
590.20	0.013260
