Wavelength (nm)	311 ZnC-P20 (SE414)
300.00	0.044134
301.00	0.043527
302.00	0.043346
303.00	0.042932
304.00	0.042586
305.00	0.042046
306.00	0.041428
307.00	0.041152
308.00	0.040793
309.00	0.040470
310.00	0.040061
311.00	0.039780
312.00	0.039561
313.00	0.039729
314.00	0.039878
315.00	0.040058
316.00	0.040542
317.00	0.041033
318.00	0.041550
319.00	0.042190
320.00	0.042953
321.00	0.043565
322.00	0.043976
323.00	0.044824
324.00	0.045090
325.00	0.045567
326.00	0.045716
327.00	0.045869
328.00	0.046077
329.00	0.045824
330.00	0.045916
331.00	0.045974
332.00	0.045933
333.00	0.045939
334.00	0.045799
335.00	0.045832
336.00	0.045891
337.00	0.045914
338.00	0.046079
339.00	0.046250
340.00	0.046677
341.00	0.047060
342.00	0.047624
343.00	0.048279
344.00	0.048990
345.00	0.049706
346.00	0.050585
347.00	0.051473
348.00	0.052211
349.00	0.052839
350.00	0.053480
351.00	0.054036
352.00	0.054724
353.00	0.055198
354.00	0.055462
355.00	0.055803
356.00	0.056497
357.00	0.057190
358.00	0.057355
359.00	0.058112
360.00	0.058597
361.00	0.059056
362.00	0.059854
363.00	0.060756
364.00	0.061855
365.00	0.063289
366.00	0.065461
367.00	0.067989
368.00	0.070919
369.00	0.075134
370.00	0.079907
371.00	0.086073
372.00	0.093210
373.00	0.10165
374.00	0.11126
375.00	0.12205
376.00	0.13345
377.00	0.14600
378.00	0.15831
379.00	0.17055
380.00	0.18124
381.00	0.19047
382.00	0.19765
383.00	0.20225
384.00	0.20494
385.00	0.20625
386.00	0.20734
387.00	0.20915
388.00	0.21347
389.00	0.22096
390.00	0.23406
391.00	0.25364
392.00	0.28139
393.00	0.31639
394.00	0.35875
395.00	0.41126
396.00	0.47337
397.00	0.54787
398.00	0.63035
399.00	0.71418
400.00	0.79975
401.00	0.88465
402.00	0.95506
403.00	0.99658
404.00	1.00000
405.00	0.95669
406.00	0.87773
407.00	0.76297
408.00	0.62847
409.00	0.49843
410.00	0.38305
411.00	0.28254
412.00	0.20295
413.00	0.14358
414.00	0.10287
415.00	0.071966
416.00	0.050971
417.00	0.035971
418.00	0.026012
419.00	0.019123
420.00	0.014347
421.00	0.011034
422.00	0.0089026
423.00	0.0078043
424.00	0.0070478
425.00	0.0063692
426.00	0.0055898
427.00	0.0051765
428.00	0.0046082
429.00	0.0045065
430.00	0.0041173
431.00	0.0039706
432.00	0.0039906
433.00	0.0040905
434.00	0.0034702
435.00	0.0036584
436.00	0.0037947
437.00	0.0036101
438.00	0.0035117
439.00	0.0029584
