Wavelength (nm)	89 Zn24 (SE085)
300.00	0.050941
301.00	0.050646
302.00	0.050501
303.00	0.050260
304.00	0.049910
305.00	0.049623
306.00	0.049402
307.00	0.049195
308.00	0.048667
309.00	0.048021
310.00	0.047169
311.00	0.046655
312.00	0.045909
313.00	0.044994
314.00	0.044325
315.00	0.043830
316.00	0.043246
317.00	0.042917
318.00	0.042605
319.00	0.042276
320.00	0.042016
321.00	0.041796
322.00	0.041610
323.00	0.041620
324.00	0.041712
325.00	0.041722
326.00	0.041773
327.00	0.042004
328.00	0.042135
329.00	0.042408
330.00	0.042502
331.00	0.042524
332.00	0.042715
333.00	0.042896
334.00	0.043049
335.00	0.043103
336.00	0.043044
337.00	0.043104
338.00	0.043197
339.00	0.043371
340.00	0.043585
341.00	0.043903
342.00	0.044071
343.00	0.044504
344.00	0.044983
345.00	0.045400
346.00	0.045917
347.00	0.046429
348.00	0.047027
349.00	0.047655
350.00	0.048250
351.00	0.048634
352.00	0.049017
353.00	0.049275
354.00	0.049425
355.00	0.049706
356.00	0.049850
357.00	0.049683
358.00	0.049596
359.00	0.049255
360.00	0.049311
361.00	0.049404
362.00	0.049705
363.00	0.049742
364.00	0.049616
365.00	0.049989
366.00	0.050490
367.00	0.051278
368.00	0.052060
369.00	0.052558
370.00	0.052809
371.00	0.053563
372.00	0.054866
373.00	0.056176
374.00	0.057186
375.00	0.059159
376.00	0.061817
377.00	0.065292
378.00	0.070277
379.00	0.076539
380.00	0.083546
381.00	0.092889
382.00	0.10381
383.00	0.11654
384.00	0.13042
385.00	0.14512
386.00	0.15950
387.00	0.17420
388.00	0.18733
389.00	0.19819
390.00	0.20596
391.00	0.21054
392.00	0.21251
393.00	0.21256
394.00	0.21081
395.00	0.20922
396.00	0.20895
397.00	0.21255
398.00	0.22230
399.00	0.23750
400.00	0.26073
401.00	0.29350
402.00	0.33695
403.00	0.39168
404.00	0.46132
405.00	0.54209
406.00	0.63031
407.00	0.72164
408.00	0.81817
409.00	0.90656
410.00	0.96810
411.00	1.00000
412.00	0.99256
413.00	0.94870
414.00	0.87266
415.00	0.77274
416.00	0.66123
417.00	0.54945
418.00	0.44595
419.00	0.35501
420.00	0.27769
421.00	0.21400
422.00	0.16598
423.00	0.13059
424.00	0.10151
425.00	0.079749
426.00	0.064322
427.00	0.052784
428.00	0.044488
429.00	0.038265
430.00	0.034026
431.00	0.031317
432.00	0.029361
433.00	0.027675
434.00	0.026197
435.00	0.025371
436.00	0.024950
437.00	0.024720
438.00	0.024424
439.00	0.024178
440.00	0.023950
441.00	0.023930
442.00	0.024159
443.00	0.024265
444.00	0.024213
445.00	0.024133
446.00	0.024293
447.00	0.024330
448.00	0.024304
449.00	0.024338
450.00	0.024213
451.00	0.023924
452.00	0.023889
453.00	0.023672
454.00	0.023493
455.00	0.023319
456.00	0.022774
457.00	0.022570
458.00	0.022369
459.00	0.022172
460.00	0.021840
461.00	0.021534
462.00	0.020900
463.00	0.020457
464.00	0.020211
465.00	0.020028
466.00	0.019846
467.00	0.019333
468.00	0.018880
469.00	0.018541
470.00	0.018339
471.00	0.017938
472.00	0.017392
473.00	0.016899
474.00	0.016459
475.00	0.016179
476.00	0.015775
477.00	0.015117
478.00	0.014480
479.00	0.013709
480.00	0.013488
481.00	0.012982
482.00	0.012318
483.00	0.011639
484.00	0.011266
485.00	0.010955
486.00	0.010960
487.00	0.011189
488.00	0.010727
489.00	0.010294
490.00	0.010143
491.00	0.010280
492.00	0.010570
493.00	0.010721
494.00	0.011240
495.00	0.011736
496.00	0.012642
497.00	0.013366
498.00	0.014323
499.00	0.015415
500.00	0.016670
501.00	0.018135
502.00	0.019523
503.00	0.020798
504.00	0.021735
505.00	0.022239
506.00	0.022750
507.00	0.022832
508.00	0.022637
509.00	0.022176
510.00	0.021761
511.00	0.021390
512.00	0.021040
513.00	0.020575
514.00	0.020024
515.00	0.019607
516.00	0.019060
517.00	0.018555
518.00	0.018322
519.00	0.017810
520.00	0.017217
521.00	0.016836
522.00	0.016606
523.00	0.016366
524.00	0.016128
525.00	0.015927
526.00	0.015528
527.00	0.015441
528.00	0.015174
529.00	0.014864
530.00	0.014710
531.00	0.014425
532.00	0.014154
533.00	0.014359
534.00	0.014034
535.00	0.013728
536.00	0.013414
537.00	0.013184
538.00	0.012917
539.00	0.012642
540.00	0.012144
541.00	0.011737
542.00	0.011357
543.00	0.011097
544.00	0.010785
545.00	0.010723
546.00	0.010578
547.00	0.010550
548.00	0.010682
549.00	0.010957
550.00	0.011318
551.00	0.011622
552.00	0.012172
553.00	0.013046
554.00	0.014259
555.00	0.015752
556.00	0.017438
557.00	0.019289
558.00	0.021319
559.00	0.023420
560.00	0.025149
561.00	0.026581
562.00	0.027415
563.00	0.027616
564.00	0.027286
565.00	0.026544
566.00	0.025647
567.00	0.024874
568.00	0.024391
569.00	0.024457
570.00	0.024880
571.00	0.025326
572.00	0.025473
573.00	0.025401
574.00	0.024806
575.00	0.024309
576.00	0.023373
577.00	0.022005
578.00	0.021079
579.00	0.020262
580.00	0.019323
581.00	0.018315
582.00	0.017583
583.00	0.017163
584.00	0.016207
585.00	0.015623
586.00	0.015596
587.00	0.015819
588.00	0.016397
589.00	0.017534
590.00	0.019213
591.00	0.021231
592.00	0.023379
593.00	0.025599
594.00	0.027687
595.00	0.029923
596.00	0.032181
597.00	0.035254
598.00	0.039589
599.00	0.045839
600.00	0.055116
601.00	0.068137
602.00	0.085209
603.00	0.10676
604.00	0.13033
605.00	0.15551
606.00	0.17886
607.00	0.19537
608.00	0.20388
609.00	0.20231
610.00	0.19156
611.00	0.17327
612.00	0.15067
613.00	0.12617
614.00	0.10239
615.00	0.081444
616.00	0.063808
617.00	0.049180
618.00	0.038088
619.00	0.029691
620.00	0.023286
621.00	0.018879
622.00	0.015421
623.00	0.012900
624.00	0.010799
625.00	0.0092718
626.00	0.0080430
627.00	0.0070163
628.00	0.0061166
629.00	0.0053853
630.00	0.0047223
631.00	0.0042268
632.00	0.0038861
633.00	0.0034945
634.00	0.0031943
635.00	0.0027488
636.00	0.0025448
637.00	0.0024091
638.00	0.0022725
639.00	0.0021002
640.00	0.0019819
641.00	0.0019058
642.00	0.0020184
643.00	0.0019049
644.00	0.0017586
645.00	0.0018019
646.00	0.0017211
647.00	0.0017692
648.00	0.0017634
649.00	0.0017018
650.00	0.0017317
651.00	0.0017865
652.00	0.0015979
653.00	0.0016470
654.00	0.0017557
655.00	0.0016941
656.00	0.0017404
657.00	0.0016522
658.00	0.0018222
659.00	0.0017798
660.00	0.0019193
661.00	0.0018058
662.00	0.0017905
663.00	0.0017299
664.00	0.0017829
665.00	0.0017166
666.00	0.0017878
667.00	0.0016320
668.00	0.0015368
669.00	0.0017120
670.00	0.0015975
671.00	0.0016236
672.00	0.0017045
673.00	0.0016689
674.00	0.0016180
675.00	0.0015160
676.00	0.0015661
677.00	0.0016384
678.00	0.0016894
679.00	0.0016337
680.00	0.0016347
681.00	0.0015915
682.00	0.0016464
683.00	0.0016397
684.00	0.0017004
685.00	0.0017033
686.00	0.0016995
687.00	0.0016601
688.00	0.0018315
689.00	0.0018238
690.00	0.0018104
691.00	0.0018518
692.00	0.0019780
693.00	0.0019828
694.00	0.0019434
695.00	0.0019829
696.00	0.0020888
697.00	0.0021274
698.00	0.0022150
699.00	0.0022055
700.00	0.0022402
