Wavelength (nm)	120 Zn-8d
300.00	0.075001
301.00	0.074024
302.00	0.073562
303.00	0.073284
304.00	0.072947
305.00	0.072127
306.00	0.071867
307.00	0.071425
308.00	0.070784
309.00	0.070133
310.00	0.069677
311.00	0.068883
312.00	0.068066
313.00	0.067560
314.00	0.067009
315.00	0.066126
316.00	0.065575
317.00	0.064966
318.00	0.064371
319.00	0.063698
320.00	0.063331
321.00	0.062380
322.00	0.062068
323.00	0.061785
324.00	0.061522
325.00	0.061157
326.00	0.061055
327.00	0.060895
328.00	0.060465
329.00	0.060562
330.00	0.060821
331.00	0.060858
332.00	0.061219
333.00	0.061196
334.00	0.060916
335.00	0.061111
336.00	0.061086
337.00	0.061313
338.00	0.061497
339.00	0.061636
340.00	0.061506
341.00	0.061342
342.00	0.061833
343.00	0.061930
344.00	0.062116
345.00	0.062557
346.00	0.062943
347.00	0.063539
348.00	0.064003
349.00	0.064349
350.00	0.064636
351.00	0.065173
352.00	0.065425
353.00	0.065637
354.00	0.065447
355.00	0.065097
356.00	0.064880
357.00	0.065572
358.00	0.066118
359.00	0.066210
360.00	0.066058
361.00	0.065433
362.00	0.064903
363.00	0.064922
364.00	0.064745
365.00	0.064916
366.00	0.065533
367.00	0.065868
368.00	0.066230
369.00	0.066327
370.00	0.067187
371.00	0.067559
372.00	0.068318
373.00	0.069529
374.00	0.070864
375.00	0.072814
376.00	0.075234
377.00	0.078344
378.00	0.082426
379.00	0.087319
380.00	0.094023
381.00	0.10307
382.00	0.11334
383.00	0.12449
384.00	0.13662
385.00	0.14985
386.00	0.16346
387.00	0.17701
388.00	0.18978
389.00	0.20072
390.00	0.21029
391.00	0.21644
392.00	0.22081
393.00	0.22324
394.00	0.22495
395.00	0.22544
396.00	0.22666
397.00	0.23029
398.00	0.23816
399.00	0.25156
400.00	0.27262
401.00	0.30129
402.00	0.34007
403.00	0.39048
404.00	0.45146
405.00	0.52604
406.00	0.60413
407.00	0.69052
408.00	0.78389
409.00	0.86955
410.00	0.93652
411.00	0.98276
412.00	1.00000
413.00	0.98871
414.00	0.94576
415.00	0.87514
416.00	0.78779
417.00	0.69061
418.00	0.59130
419.00	0.49751
420.00	0.41107
421.00	0.33563
422.00	0.27549
423.00	0.22713
424.00	0.18669
425.00	0.15378
426.00	0.12896
427.00	0.10768
428.00	0.092813
429.00	0.081329
430.00	0.070415
431.00	0.064880
432.00	0.060532
433.00	0.053374
434.00	0.047361
435.00	0.045386
436.00	0.040995
437.00	0.037739
438.00	0.035258
439.00	0.033099
440.00	0.031665
441.00	0.028260
442.00	0.026927
443.00	0.026553
444.00	0.025557
445.00	0.024866
446.00	0.024253
447.00	0.023731
448.00	0.023003
449.00	0.022498
450.00	0.022280
451.00	0.022339
452.00	0.021691
453.00	0.020915
454.00	0.020368
455.00	0.019748
456.00	0.019801
457.00	0.019358
458.00	0.018780
459.00	0.018810
460.00	0.018588
461.00	0.018544
462.00	0.018872
463.00	0.017945
464.00	0.016638
465.00	0.017116
466.00	0.017747
467.00	0.019161
468.00	0.017991
469.00	0.018233
470.00	0.019009
471.00	0.018291
472.00	0.018367
473.00	0.016917
474.00	0.017395
475.00	0.016710
476.00	0.016994
477.00	0.017583
478.00	0.016956
479.00	0.017944
480.00	0.016259
481.00	0.015296
482.00	0.015348
483.00	0.015351
484.00	0.015591
485.00	0.015484
486.00	0.015327
487.00	0.015302
488.00	0.016142
489.00	0.016113
490.00	0.014889
491.00	0.016056
492.00	0.016188
493.00	0.016465
494.00	0.016813
495.00	0.017916
496.00	0.018161
497.00	0.018563
498.00	0.020058
499.00	0.020129
500.00	0.022031
501.00	0.022730
502.00	0.024154
503.00	0.024338
504.00	0.026403
505.00	0.027207
506.00	0.027742
507.00	0.028632
508.00	0.028545
509.00	0.027572
510.00	0.026816
511.00	0.026185
512.00	0.026339
513.00	0.026734
514.00	0.025966
515.00	0.025388
516.00	0.024273
517.00	0.023721
518.00	0.024018
519.00	0.023100
520.00	0.023350
521.00	0.022055
522.00	0.021049
523.00	0.020871
524.00	0.020868
525.00	0.020335
526.00	0.020062
527.00	0.019937
528.00	0.019906
529.00	0.018686
530.00	0.018241
531.00	0.017893
532.00	0.018117
533.00	0.016894
534.00	0.017454
535.00	0.017592
536.00	0.017336
537.00	0.016792
538.00	0.016053
539.00	0.016171
540.00	0.016362
541.00	0.015697
542.00	0.015641
543.00	0.014556
544.00	0.014501
545.00	0.014392
546.00	0.015213
547.00	0.014935
548.00	0.014508
549.00	0.014709
550.00	0.015040
551.00	0.015199
552.00	0.015512
553.00	0.016888
554.00	0.017974
555.00	0.019358
556.00	0.020695
557.00	0.022738
558.00	0.024540
559.00	0.026880
560.00	0.028014
561.00	0.029528
562.00	0.031650
563.00	0.031770
564.00	0.030611
565.00	0.030179
566.00	0.030154
567.00	0.028544
568.00	0.027929
569.00	0.027036
570.00	0.026893
571.00	0.028016
