Wavelength (nm)	137 Zn12.ems
550.00	9.7411e-05
551.00	0.00055912
552.00	0.00032907
553.00	0.00038325
554.00	0.00017864
555.00	0.00035028
556.00	0.00026013
557.00	0.00031461
558.00	0.00039203
559.00	0.00014443
560.00	0.00066941
561.00	0.00070786
562.00	0.00033684
563.00	0.00067584
564.00	0.00061384
565.00	0.00045034
566.00	0.00037800
567.00	0.00086013
568.00	0.00039893
569.00	0.00053977
570.00	0.0010923
571.00	0.00062771
572.00	0.0010343
573.00	0.0017740
574.00	0.0013447
575.00	0.0014540
576.00	0.0014305
577.00	0.0021725
578.00	0.0025066
579.00	0.0024479
580.00	0.0027175
581.00	0.0026611
582.00	0.0024089
583.00	0.0034474
584.00	0.0038258
585.00	0.0033083
586.00	0.0040758
587.00	0.0048096
588.00	0.0065094
589.00	0.0064457
590.00	0.0082062
591.00	0.010939
592.00	0.011834
593.00	0.015499
594.00	0.018406
595.00	0.022392
596.00	0.028240
597.00	0.035205
598.00	0.040673
599.00	0.056128
600.00	0.073614
601.00	0.099043
602.00	0.14129
603.00	0.19945
604.00	0.28229
605.00	0.37231
606.00	0.49029
607.00	0.62015
608.00	0.75173
609.00	0.86350
610.00	0.95487
611.00	0.99553
612.00	1.0000
613.00	0.95283
614.00	0.89615
615.00	0.78900
616.00	0.69399
617.00	0.60046
618.00	0.50653
619.00	0.43388
620.00	0.36585
621.00	0.31840
622.00	0.27434
623.00	0.24420
624.00	0.22168
625.00	0.20210
626.00	0.18275
627.00	0.16819
628.00	0.15371
629.00	0.14054
630.00	0.12615
631.00	0.11724
632.00	0.10724
633.00	0.096815
634.00	0.093151
635.00	0.087251
636.00	0.083212
637.00	0.079971
638.00	0.078926
639.00	0.078608
640.00	0.078414
641.00	0.079530
642.00	0.078303
643.00	0.080793
644.00	0.083962
645.00	0.086718
646.00	0.090199
647.00	0.093457
648.00	0.097248
649.00	0.10258
650.00	0.10517
651.00	0.10657
652.00	0.10678
653.00	0.10761
654.00	0.10926
655.00	0.10735
656.00	0.10488
657.00	0.10775
658.00	0.11223
659.00	0.11229
660.00	0.11857
661.00	0.12128
662.00	0.12902
663.00	0.13332
664.00	0.13771
665.00	0.13995
666.00	0.14471
667.00	0.13955
668.00	0.14102
669.00	0.13676
670.00	0.13609
671.00	0.13499
672.00	0.13044
673.00	0.12032
674.00	0.12049
675.00	0.10929
676.00	0.10177
677.00	0.094599
678.00	0.084663
679.00	0.077496
680.00	0.069842
681.00	0.063591
682.00	0.054828
683.00	0.049173
684.00	0.045156
685.00	0.042570
686.00	0.038788
687.00	0.034095
688.00	0.030902
689.00	0.028575
690.00	0.026476
691.00	0.025607
692.00	0.025936
693.00	0.022929
694.00	0.020746
695.00	0.021054
696.00	0.020329
697.00	0.018693
698.00	0.016852
699.00	0.017988
700.00	0.016221
701.00	0.015111
702.00	0.016190
703.00	0.014901
704.00	0.013660
705.00	0.015238
706.00	0.012971
707.00	0.012388
708.00	0.012473
709.00	0.014278
710.00	0.012151
711.00	0.014845
712.00	0.014378
713.00	0.012593
714.00	0.015514
715.00	0.013039
716.00	0.013955
717.00	0.013257
718.00	0.012337
719.00	0.012312
720.00	0.014008
721.00	0.0094034
722.00	0.013670
723.00	0.012734
724.00	0.012460
725.00	0.010777
726.00	0.014262
727.00	0.0099889
728.00	0.010033
729.00	0.011621
730.00	0.012774
731.00	0.010492
732.00	0.010031
733.00	0.0097169
734.00	0.0096792
735.00	0.011264
736.00	0.010098
737.00	0.0093693
738.00	0.010395
739.00	0.011005
740.00	0.010517
741.00	0.010915
742.00	0.0097728
743.00	0.0088769
744.00	0.0074918
745.00	0.0072020
746.00	0.010903
747.00	0.0078485
748.00	0.0099814
749.00	0.0069412
750.00	0.0074652
