Wavelength (nm)	307 ZnC-T5MePy15 (SE369) DMF abs
350.00	0.10185
350.20	0.10151
350.40	0.10307
350.60	0.10219
350.80	0.10134
351.00	0.10099
351.20	0.10082
351.40	0.10065
351.60	0.099960
351.80	0.10082
352.00	0.10047
352.20	0.10030
352.40	0.10048
352.60	0.10185
352.80	0.10411
353.00	0.10411
353.20	0.10394
353.40	0.10290
353.60	0.10497
353.80	0.10619
354.00	0.10531
354.20	0.10411
354.40	0.10307
354.60	0.10359
354.80	0.10428
355.00	0.10602
355.20	0.10619
355.40	0.10584
355.60	0.10619
355.80	0.10670
356.00	0.10688
356.20	0.10619
356.40	0.10619
356.60	0.10602
356.80	0.10602
357.00	0.10670
357.20	0.10862
357.40	0.10931
357.60	0.10861
357.80	0.10792
358.00	0.10774
358.20	0.10792
358.40	0.10774
358.60	0.10705
358.80	0.10757
359.00	0.10879
359.20	0.10965
359.40	0.11034
359.60	0.10948
359.80	0.10913
360.00	0.10878
360.20	0.10844
360.40	0.10792
360.60	0.10825
360.80	0.10688
361.00	0.10670
361.20	0.10670
361.40	0.10844
361.60	0.10948
361.80	0.11016
362.00	0.11069
362.20	0.11156
362.40	0.11121
362.60	0.11122
362.80	0.11259
363.00	0.11294
363.20	0.11485
363.40	0.11485
363.60	0.11588
363.80	0.11642
364.00	0.11485
364.20	0.11208
364.40	0.11000
364.60	0.11104
364.80	0.11364
365.00	0.11537
365.20	0.11605
365.40	0.11553
365.60	0.11710
365.80	0.11796
366.00	0.11830
366.20	0.11900
366.40	0.11900
366.60	0.11917
366.80	0.11848
367.00	0.11883
367.20	0.12090
367.40	0.12230
367.60	0.12265
367.80	0.12177
368.00	0.12247
368.20	0.12282
368.40	0.12316
368.60	0.12368
368.80	0.12385
369.00	0.12351
369.20	0.12403
369.40	0.12490
369.60	0.12645
369.80	0.12697
370.00	0.12853
370.20	0.12905
370.40	0.12957
370.60	0.12991
370.80	0.13165
371.00	0.13182
371.20	0.13199
371.40	0.13164
371.60	0.13234
371.80	0.13355
372.00	0.13425
372.20	0.13459
372.40	0.13545
372.60	0.13701
372.80	0.13841
373.00	0.13893
373.20	0.13910
373.40	0.14065
373.60	0.14291
373.80	0.14378
374.00	0.14395
374.20	0.14430
374.40	0.14550
374.60	0.14707
374.80	0.14897
375.00	0.14950
375.20	0.14931
375.40	0.15019
375.60	0.15191
375.80	0.15365
376.00	0.15504
376.20	0.15694
376.40	0.15884
376.60	0.16041
376.80	0.16145
377.00	0.16214
377.20	0.16456
377.40	0.16767
377.60	0.17045
377.80	0.17149
378.00	0.17236
378.20	0.17373
378.40	0.17599
378.60	0.17808
378.80	0.18016
379.00	0.18136
379.20	0.18430
379.40	0.18795
379.60	0.19055
379.80	0.19227
380.00	0.19505
380.20	0.19782
380.40	0.19990
380.60	0.20250
380.80	0.20509
381.00	0.20838
381.20	0.21029
381.40	0.21358
381.60	0.21583
381.80	0.21929
382.00	0.22310
382.20	0.22726
382.40	0.23038
382.60	0.23455
382.80	0.23818
383.00	0.24095
383.20	0.24407
383.40	0.24806
383.60	0.25221
383.80	0.25603
384.00	0.26001
384.20	0.26416
384.40	0.26884
384.60	0.27247
384.80	0.27541
385.00	0.27923
385.20	0.28340
385.40	0.28721
385.60	0.29049
385.80	0.29412
386.00	0.29795
386.20	0.30192
386.40	0.30591
386.60	0.30937
386.80	0.31319
387.00	0.31700
387.20	0.32098
387.40	0.32531
387.60	0.33015
387.80	0.33449
388.00	0.33848
388.20	0.34160
388.40	0.34506
388.60	0.34834
388.80	0.35147
389.00	0.35441
389.20	0.35735
389.40	0.36012
389.60	0.36342
389.80	0.36740
390.00	0.37035
390.20	0.37277
390.40	0.37519
390.60	0.37779
390.80	0.38039
391.00	0.38334
391.20	0.38645
391.40	0.38923
391.60	0.39183
391.80	0.39391
392.00	0.39616
392.20	0.39893
392.40	0.40119
392.60	0.40308
392.80	0.40482
393.00	0.40637
393.20	0.40897
393.40	0.41088
393.60	0.41331
393.80	0.41573
394.00	0.41815
394.20	0.42093
394.40	0.42266
394.60	0.42422
394.80	0.42665
395.00	0.42958
395.20	0.43271
395.40	0.43547
395.60	0.43773
395.80	0.43962
396.00	0.44171
396.20	0.44431
396.40	0.44726
396.60	0.45056
396.80	0.45418
397.00	0.45765
397.20	0.46129
397.40	0.46492
397.60	0.46891
397.80	0.47290
398.00	0.47705
398.20	0.48156
398.40	0.48519
398.60	0.49039
398.80	0.49542
399.00	0.50078
399.20	0.50494
399.40	0.50978
399.60	0.51464
399.80	0.52018
400.00	0.52676
400.20	0.53284
400.40	0.53907
400.60	0.54513
400.80	0.55275
401.00	0.56090
401.20	0.56938
401.40	0.57734
401.60	0.58531
401.80	0.59312
402.00	0.60126
402.20	0.60887
402.40	0.61718
402.60	0.62601
402.80	0.63485
403.00	0.64352
403.20	0.65183
403.40	0.66154
403.60	0.67175
403.80	0.68197
404.00	0.69185
404.20	0.70171
404.40	0.71245
404.60	0.72302
404.80	0.73411
405.00	0.74520
405.20	0.75663
405.40	0.76806
405.60	0.77967
405.80	0.79144
406.00	0.80356
406.20	0.81552
406.40	0.82627
406.60	0.83735
406.80	0.84826
407.00	0.86073
407.20	0.87182
407.40	0.88325
407.60	0.89364
407.80	0.90439
408.00	0.91478
408.20	0.92413
408.40	0.93193
408.60	0.94111
408.80	0.95064
409.00	0.95929
409.20	0.96623
409.40	0.97264
409.60	0.97783
409.80	0.98303
410.00	0.98684
410.20	0.99065
410.40	0.99428
410.60	0.99740
410.80	0.99896
411.00	1.0000
411.20	1.0000
411.40	0.99983
411.60	0.99844
