Wavelength (nm)	307 ZnC-T5MePy15 (SE369).DMF ems
550.00	0.012360
550.20	0.014040
550.40	0.012780
550.60	0.013240
550.80	0.012020
551.00	0.013130
551.20	0.012940
551.40	0.012710
551.60	0.012600
551.80	0.012370
552.00	0.015200
552.20	0.011370
552.40	0.014020
552.60	0.012140
552.80	0.012330
553.00	0.010760
553.20	0.011760
553.40	0.012370
553.60	0.011070
553.80	0.013910
554.00	0.011720
554.20	0.011610
554.40	0.012840
554.60	0.015220
554.80	0.012690
555.00	0.012460
555.20	0.011610
555.40	0.013380
555.60	0.013110
555.80	0.013460
556.00	0.012690
556.20	0.013190
556.40	0.011650
556.60	0.012230
556.80	0.014890
557.00	0.0098000
557.20	0.011380
557.40	0.013230
557.60	0.013660
557.80	0.013620
558.00	0.012960
558.20	0.012040
558.40	0.012150
558.60	0.011690
558.80	0.013500
559.00	0.012270
559.20	0.011190
559.40	0.012500
559.60	0.012500
559.80	0.011300
560.00	0.011000
560.20	0.011500
560.40	0.012620
560.60	0.011850
560.80	0.012660
561.00	0.011500
561.20	0.011810
561.40	0.014490
561.60	0.011850
561.80	0.011310
562.00	0.010220
562.20	0.012050
562.40	0.013690
562.60	0.013260
562.80	0.013580
563.00	0.011470
563.20	0.012530
563.40	0.013310
563.60	0.011160
563.80	0.011630
564.00	0.012730
564.20	0.011600
564.40	0.010730
564.60	0.011600
564.80	0.014230
565.00	0.013210
565.20	0.013170
565.40	0.012580
565.60	0.012660
565.80	0.013290
566.00	0.011640
566.20	0.012980
566.40	0.012190
566.60	0.010740
566.80	0.013130
567.00	0.011010
567.20	0.013210
567.40	0.011760
567.60	0.012070
567.80	0.015690
568.00	0.011290
568.20	0.011720
568.40	0.012860
568.60	0.013730
568.80	0.012750
569.00	0.013100
569.20	0.013730
569.40	0.012710
569.60	0.013570
569.80	0.013530
570.00	0.014050
570.20	0.011920
570.40	0.012400
570.60	0.014730
570.80	0.014730
571.00	0.013820
571.20	0.011100
571.40	0.014220
571.60	0.013550
571.80	0.014510
572.00	0.012170
572.20	0.015380
572.40	0.014120
572.60	0.014160
572.80	0.010940
573.00	0.014520
573.20	0.012140
573.40	0.0098700
573.60	0.010870
573.80	0.013900
574.00	0.013660
574.20	0.014180
574.40	0.014460
574.60	0.013790
574.80	0.015070
575.00	0.014270
575.20	0.014550
575.40	0.016390
575.60	0.014560
575.80	0.014920
576.00	0.013280
576.20	0.015040
576.40	0.014440
576.60	0.016970
576.80	0.015170
577.00	0.013800
577.20	0.016060
577.40	0.015370
577.60	0.015820
577.80	0.016260
578.00	0.015020
578.20	0.016150
578.40	0.013650
578.60	0.014140
578.80	0.016840
579.00	0.014620
579.20	0.014910
579.40	0.012690
579.60	0.016320
579.80	0.013990
580.00	0.016010
580.20	0.015280
580.40	0.015040
580.60	0.015650
580.80	0.015530
581.00	0.013550
581.20	0.018680
581.40	0.017510
581.60	0.015210
581.80	0.014960
582.00	0.016300
582.20	0.017110
582.40	0.018200
582.60	0.016100
582.80	0.017480
583.00	0.018650
583.20	0.017320
583.40	0.018010
583.60	0.017730
583.80	0.016470
584.00	0.015990
584.20	0.018460
584.40	0.017490
584.60	0.015990
584.80	0.019970
585.00	0.016400
585.20	0.018800
585.40	0.018520
585.60	0.016410
585.80	0.017470
586.00	0.018700
586.20	0.019110
586.40	0.019640
586.60	0.016270
586.80	0.020470
587.00	0.016970
587.20	0.019380
587.40	0.019590
587.60	0.018450
587.80	0.022510
588.00	0.018830
588.20	0.021780
588.40	0.019910
588.60	0.019340
588.80	0.019060
589.00	0.022590
589.20	0.022520
589.40	0.018870
589.60	0.020020
589.80	0.021100
590.00	0.022380
590.20	0.019420
590.40	0.022930
590.60	0.022400
590.80	0.023350
591.00	0.024100
591.20	0.026910
591.40	0.022630
591.60	0.025770
591.80	0.024710
592.00	0.025700
592.20	0.024390
592.40	0.024890
592.60	0.026720
592.80	0.024860
593.00	0.029050
593.20	0.031260
593.40	0.029980
593.60	0.026550
593.80	0.028710
594.00	0.032540
594.20	0.032100
594.40	0.035140
594.60	0.034320
594.80	0.032420
595.00	0.037460
595.20	0.034890
595.40	0.037400
595.60	0.040410
595.80	0.039050
596.00	0.040560
596.20	0.041030
596.40	0.046800
596.60	0.044010
596.80	0.047910
597.00	0.048010
597.20	0.052580
597.40	0.057980
597.60	0.048170
597.80	0.061700
598.00	0.056820
598.20	0.059480
598.40	0.064730
598.60	0.070400
598.80	0.074870
599.00	0.077370
599.20	0.082210
599.40	0.086090
599.60	0.086420
599.80	0.089460
600.00	0.097510
600.20	0.096250
600.40	0.10191
600.60	0.11446
600.80	0.11526
601.00	0.11696
601.20	0.12292
601.40	0.13772
601.60	0.13969
601.80	0.14162
602.00	0.14822
602.20	0.15617
602.40	0.17327
602.60	0.18220
602.80	0.19412
603.00	0.19513
603.20	0.20793
603.40	0.21833
603.60	0.22959
603.80	0.24668
604.00	0.26311
604.20	0.26401
604.40	0.27843
604.60	0.29297
604.80	0.30684
605.00	0.32060
605.20	0.34410
605.40	0.34486
605.60	0.35858
605.80	0.37154
606.00	0.39861
606.20	0.40736
606.40	0.41595
606.60	0.44244
606.80	0.47282
607.00	0.47439
607.20	0.49298
607.40	0.52288
607.60	0.53070
607.80	0.55148
608.00	0.57916
608.20	0.58626
608.40	0.60770
608.60	0.63126
608.80	0.65090
609.00	0.66896
609.20	0.67616
609.40	0.70874
609.60	0.72260
609.80	0.71690
610.00	0.75073
610.20	0.75995
610.40	0.80732
610.60	0.79545
610.80	0.80641
611.00	0.84555
611.20	0.84979
611.40	0.86146
611.60	0.89308
611.80	0.87405
612.00	0.88887
612.20	0.89787
612.40	0.91923
612.60	0.93276
612.80	0.93956
613.00	0.94877
613.20	0.96585
613.40	0.94498
613.60	0.97469
613.80	0.99019
614.00	0.96618
614.20	0.98869
614.40	0.98293
614.60	0.99724
614.80	0.97493
615.00	0.99353
615.20	0.99386
615.40	1.0000
615.60	0.99613
615.80	0.98518
616.00	0.98063
616.20	0.97330
616.40	0.94812
616.60	0.95187
616.80	0.94846
617.00	0.94632
617.20	0.94321
617.40	0.93793
617.60	0.91898
617.80	0.92516
618.00	0.88995
618.20	0.87586
618.40	0.88873
618.60	0.88322
618.80	0.86651
619.00	0.85071
619.20	0.84479
619.40	0.86364
619.60	0.80406
619.80	0.78757
620.00	0.80300
620.20	0.77970
620.40	0.76216
620.60	0.77290
620.80	0.76013
621.00	0.72657
621.20	0.70711
621.40	0.69754
621.60	0.68651
621.80	0.67994
622.00	0.67642
622.20	0.65940
622.40	0.63503
622.60	0.63826
622.80	0.61631
623.00	0.60842
623.20	0.58165
623.40	0.58926
623.60	0.56567
623.80	0.56705
624.00	0.55319
624.20	0.52730
624.40	0.53088
624.60	0.52192
624.80	0.51577
625.00	0.49310
625.20	0.48154
625.40	0.47237
625.60	0.47905
625.80	0.47242
626.00	0.46314
626.20	0.45218
626.40	0.44918
626.60	0.43387
626.80	0.42502
627.00	0.42617
627.20	0.40577
627.40	0.39935
627.60	0.39432
627.80	0.39125
628.00	0.38236
628.20	0.36881
628.40	0.36460
628.60	0.35821
