Wavelength (nm)	229 FbC-M10P15
300.00	0.10228
301.00	0.10209
302.00	0.10135
303.00	0.10033
304.00	0.099586
305.00	0.098270
306.00	0.095939
307.00	0.092648
308.00	0.089175
309.00	0.085555
310.00	0.082145
311.00	0.078846
312.00	0.075934
313.00	0.073778
314.00	0.072397
315.00	0.072059
316.00	0.072675
317.00	0.073746
318.00	0.075348
319.00	0.077451
320.00	0.079925
321.00	0.082620
322.00	0.085213
323.00	0.087904
324.00	0.090315
325.00	0.092546
326.00	0.094749
327.00	0.096950
328.00	0.099022
329.00	0.10091
330.00	0.10287
331.00	0.10498
332.00	0.10754
333.00	0.10999
334.00	0.11299
335.00	0.11609
336.00	0.11963
337.00	0.12348
338.00	0.12744
339.00	0.13131
340.00	0.13506
341.00	0.13848
342.00	0.14151
343.00	0.14381
344.00	0.14581
345.00	0.14761
346.00	0.14943
347.00	0.15189
348.00	0.15496
349.00	0.15919
350.00	0.16467
351.00	0.17118
352.00	0.17876
353.00	0.18701
354.00	0.19589
355.00	0.20429
356.00	0.21227
357.00	0.21919
358.00	0.22472
359.00	0.22795
360.00	0.22977
361.00	0.23045
362.00	0.22859
363.00	0.22521
364.00	0.22138
365.00	0.21711
366.00	0.21329
367.00	0.21051
368.00	0.20954
369.00	0.21101
370.00	0.21493
371.00	0.22058
372.00	0.22830
373.00	0.23778
374.00	0.24811
375.00	0.25950
376.00	0.27149
377.00	0.28446
378.00	0.29823
379.00	0.31284
380.00	0.32836
381.00	0.34615
382.00	0.36642
383.00	0.38966
384.00	0.41540
385.00	0.44454
386.00	0.47729
387.00	0.51389
388.00	0.55463
389.00	0.59753
390.00	0.64459
391.00	0.69620
392.00	0.74968
393.00	0.79985
394.00	0.84613
395.00	0.88432
396.00	0.91476
397.00	0.93942
398.00	0.95833
399.00	0.96900
400.00	0.97637
401.00	0.98371
402.00	0.99121
403.00	0.99615
404.00	1.00000
405.00	0.99927
406.00	0.99574
407.00	0.99116
408.00	0.98934
409.00	0.99068
410.00	0.99144
411.00	0.98896
412.00	0.97997
413.00	0.96484
414.00	0.93997
415.00	0.90380
416.00	0.84536
417.00	0.76538
418.00	0.66804
419.00	0.56385
420.00	0.46066
421.00	0.36723
422.00	0.29221
423.00	0.23015
424.00	0.17867
425.00	0.13921
426.00	0.10899
427.00	0.085158
428.00	0.067803
429.00	0.054633
430.00	0.045098
431.00	0.038247
432.00	0.032864
433.00	0.028205
434.00	0.025190
435.00	0.022624
436.00	0.020949
437.00	0.019354
438.00	0.018311
439.00	0.017501
440.00	0.016858
441.00	0.016439
442.00	0.016164
443.00	0.016071
444.00	0.016081
445.00	0.016142
446.00	0.016355
447.00	0.016547
448.00	0.016977
449.00	0.017067
450.00	0.017457
451.00	0.017854
452.00	0.018303
453.00	0.018605
454.00	0.019095
455.00	0.019657
456.00	0.020148
457.00	0.020832
458.00	0.021338
459.00	0.021628
460.00	0.021939
461.00	0.022177
462.00	0.022374
463.00	0.022172
464.00	0.022259
465.00	0.022266
466.00	0.022105
467.00	0.022138
468.00	0.022257
469.00	0.022496
470.00	0.022753
471.00	0.022984
472.00	0.023249
473.00	0.023674
474.00	0.023834
475.00	0.024118
476.00	0.024263
477.00	0.024663
478.00	0.025047
479.00	0.025540
480.00	0.026336
481.00	0.027415
482.00	0.028840
483.00	0.030666
484.00	0.033072
485.00	0.036522
486.00	0.040316
487.00	0.044085
488.00	0.049791
489.00	0.056787
490.00	0.063600
491.00	0.069617
492.00	0.074575
493.00	0.077777
494.00	0.079473
495.00	0.080314
496.00	0.080664
497.00	0.081297
498.00	0.082686
499.00	0.085169
500.00	0.088559
501.00	0.092290
502.00	0.095578
503.00	0.097856
504.00	0.098793
505.00	0.098320
506.00	0.096468
507.00	0.093751
508.00	0.089721
509.00	0.084623
510.00	0.078535
511.00	0.071760
512.00	0.064704
513.00	0.057677
514.00	0.051130
515.00	0.045463
516.00	0.040535
517.00	0.036397
518.00	0.032852
519.00	0.030233
520.00	0.027879
521.00	0.026010
522.00	0.024758
523.00	0.024256
524.00	0.024785
525.00	0.025944
526.00	0.027731
527.00	0.029640
528.00	0.030794
529.00	0.031251
530.00	0.030699
531.00	0.029392
532.00	0.027499
533.00	0.025525
534.00	0.023494
535.00	0.021719
536.00	0.020347
537.00	0.019092
538.00	0.018263
539.00	0.017556
540.00	0.016975
541.00	0.016444
542.00	0.015945
543.00	0.015333
544.00	0.014668
545.00	0.013887
546.00	0.013070
547.00	0.012239
548.00	0.011557
549.00	0.010633
550.00	0.0099209
551.00	0.0092989
552.00	0.0087588
553.00	0.0081258
554.00	0.0077385
555.00	0.0074109
556.00	0.0069232
557.00	0.0066454
558.00	0.0064337
559.00	0.0064733
560.00	0.0061991
561.00	0.0060390
562.00	0.0058081
563.00	0.0056967
564.00	0.0055274
565.00	0.0053232
566.00	0.0052560
567.00	0.0053756
568.00	0.0054143
569.00	0.0055560
570.00	0.0057216
571.00	0.0060188
572.00	0.0063960
573.00	0.0068883
574.00	0.0074836
575.00	0.0080108
576.00	0.0087478
577.00	0.0098418
578.00	0.011187
579.00	0.012899
580.00	0.015295
581.00	0.018205
582.00	0.021018
583.00	0.023437
584.00	0.025789
585.00	0.027679
586.00	0.028990
587.00	0.030153
588.00	0.031405
589.00	0.032365
590.00	0.033128
591.00	0.033129
592.00	0.032423
593.00	0.031396
594.00	0.029617
595.00	0.027418
596.00	0.025173
597.00	0.022848
598.00	0.020622
599.00	0.018911
600.00	0.017530
601.00	0.016487
602.00	0.015679
603.00	0.015393
604.00	0.014915
605.00	0.014391
606.00	0.013933
607.00	0.013428
608.00	0.013019
609.00	0.012722
610.00	0.012582
611.00	0.012368
612.00	0.012387
613.00	0.012101
614.00	0.011974
615.00	0.011830
616.00	0.011768
617.00	0.011767
618.00	0.011910
619.00	0.012241
620.00	0.012739
621.00	0.013682
622.00	0.015185
623.00	0.017555
624.00	0.020018
625.00	0.023556
626.00	0.027966
627.00	0.033345
628.00	0.039387
629.00	0.045692
630.00	0.051752
631.00	0.057687
632.00	0.064185
633.00	0.072926
634.00	0.085513
635.00	0.10510
636.00	0.13328
637.00	0.16978
638.00	0.21437
639.00	0.26040
640.00	0.29911
641.00	0.32583
642.00	0.33138
643.00	0.31532
644.00	0.28466
645.00	0.24665
646.00	0.20577
647.00	0.16672
648.00	0.13160
649.00	0.10246
650.00	0.078954
651.00	0.060722
652.00	0.046654
653.00	0.036036
654.00	0.028411
655.00	0.020972
656.00	0.017661
657.00	0.016294
658.00	0.011507
659.00	0.0086475
660.00	0.0069692
661.00	0.0053536
662.00	0.0042319
663.00	0.0034296
664.00	0.0026880
665.00	0.0023329
666.00	0.0019161
