Wavelength (nm)	179 1-Ph15 [H2C-T5M10P15] (SE236)
300.00	0.088919
301.00	0.088386
302.00	0.087978
303.00	0.087665
304.00	0.087457
305.00	0.087403
306.00	0.087585
307.00	0.088036
308.00	0.087480
309.00	0.086149
310.00	0.083562
311.00	0.080495
312.00	0.076803
313.00	0.073074
314.00	0.069229
315.00	0.065873
316.00	0.063233
317.00	0.061605
318.00	0.060534
319.00	0.060088
320.00	0.060408
321.00	0.061303
322.00	0.062470
323.00	0.064072
324.00	0.065835
325.00	0.067575
326.00	0.069297
327.00	0.071023
328.00	0.072561
329.00	0.074059
330.00	0.075301
331.00	0.076441
332.00	0.077658
333.00	0.079160
334.00	0.080617
335.00	0.082226
336.00	0.084299
337.00	0.086445
338.00	0.089075
339.00	0.092152
340.00	0.095407
341.00	0.099191
342.00	0.10279
343.00	0.10657
344.00	0.11028
345.00	0.11359
346.00	0.11641
347.00	0.11858
348.00	0.12033
349.00	0.12184
350.00	0.12338
351.00	0.12499
352.00	0.12721
353.00	0.13049
354.00	0.13458
355.00	0.13986
356.00	0.14651
357.00	0.15402
358.00	0.16151
359.00	0.16998
360.00	0.17849
361.00	0.18668
362.00	0.19358
363.00	0.19794
364.00	0.20085
365.00	0.20190
366.00	0.20270
367.00	0.20346
368.00	0.20211
369.00	0.19849
370.00	0.19368
371.00	0.18885
372.00	0.18502
373.00	0.18219
374.00	0.18079
375.00	0.18171
376.00	0.18424
377.00	0.18911
378.00	0.19645
379.00	0.20462
380.00	0.21343
381.00	0.22318
382.00	0.23268
383.00	0.24289
384.00	0.25197
385.00	0.26139
386.00	0.27084
387.00	0.28227
388.00	0.29596
389.00	0.31165
390.00	0.33007
391.00	0.35304
392.00	0.38185
393.00	0.41478
394.00	0.45199
395.00	0.49521
396.00	0.54477
397.00	0.59838
398.00	0.65432
399.00	0.70300
400.00	0.74518
401.00	0.78118
402.00	0.80885
403.00	0.82823
404.00	0.84040
405.00	0.84826
406.00	0.85080
407.00	0.85037
408.00	0.85138
409.00	0.85559
410.00	0.86001
411.00	0.86780
412.00	0.88102
413.00	0.90070
414.00	0.92472
415.00	0.95251
416.00	0.97704
417.00	0.99511
418.00	1.00000
419.00	0.99529
420.00	0.98295
421.00	0.96450
422.00	0.93590
423.00	0.89463
424.00	0.83549
425.00	0.76137
426.00	0.67714
427.00	0.58176
428.00	0.49099
429.00	0.40212
430.00	0.32423
431.00	0.26177
432.00	0.20643
433.00	0.15795
434.00	0.12235
435.00	0.095105
436.00	0.073879
437.00	0.058306
438.00	0.045929
439.00	0.037300
440.00	0.030583
441.00	0.026348
442.00	0.023758
443.00	0.020826
444.00	0.018844
445.00	0.017237
446.00	0.016215
447.00	0.015504
448.00	0.015080
449.00	0.014912
450.00	0.014825
451.00	0.014844
452.00	0.014856
453.00	0.015163
454.00	0.015337
455.00	0.016115
456.00	0.016898
457.00	0.017274
458.00	0.018247
459.00	0.019165
460.00	0.019781
461.00	0.020410
462.00	0.019708
463.00	0.019980
464.00	0.021237
465.00	0.022370
466.00	0.023193
467.00	0.021956
468.00	0.022068
469.00	0.021933
470.00	0.021901
471.00	0.021945
472.00	0.022209
473.00	0.022547
474.00	0.022653
475.00	0.023351
476.00	0.023591
477.00	0.023371
478.00	0.023953
479.00	0.023882
480.00	0.024672
481.00	0.024902
482.00	0.025415
483.00	0.024874
484.00	0.025166
485.00	0.026685
486.00	0.029285
487.00	0.028293
488.00	0.027159
489.00	0.028108
490.00	0.029315
491.00	0.030955
492.00	0.033389
493.00	0.036159
494.00	0.040403
495.00	0.044392
496.00	0.049461
497.00	0.053832
498.00	0.057436
499.00	0.061391
500.00	0.064488
501.00	0.066870
502.00	0.069170
503.00	0.071284
504.00	0.073059
505.00	0.075055
506.00	0.078053
507.00	0.080634
508.00	0.083652
509.00	0.086124
510.00	0.088552
511.00	0.090398
512.00	0.091660
513.00	0.092503
514.00	0.092748
515.00	0.092024
516.00	0.089937
517.00	0.086731
518.00	0.082419
519.00	0.076907
520.00	0.070548
521.00	0.064310
522.00	0.058266
523.00	0.052669
524.00	0.047622
525.00	0.043090
526.00	0.039346
527.00	0.036652
528.00	0.034566
529.00	0.033409
530.00	0.032946
531.00	0.033206
532.00	0.034736
533.00	0.037295
534.00	0.040220
535.00	0.043321
536.00	0.046049
537.00	0.047999
538.00	0.049052
539.00	0.049182
540.00	0.048254
541.00	0.047087
542.00	0.045483
543.00	0.043483
