Wavelength (nm)	ZnC-T5M10Es15P20 (SE416)
300.00	0.058308
301.00	0.057859
302.00	0.057324
303.00	0.056822
304.00	0.056514
305.00	0.056193
306.00	0.056135
307.00	0.056138
308.00	0.056050
309.00	0.056026
310.00	0.055895
311.00	0.055672
312.00	0.055384
313.00	0.054962
314.00	0.054470
315.00	0.053986
316.00	0.053490
317.00	0.052903
318.00	0.052412
319.00	0.051860
320.00	0.051353
321.00	0.050803
322.00	0.050439
323.00	0.049829
324.00	0.049401
325.00	0.049160
326.00	0.048670
327.00	0.048468
328.00	0.048053
329.00	0.047902
330.00	0.047861
331.00	0.047739
332.00	0.047724
333.00	0.047703
334.00	0.047689
335.00	0.047730
336.00	0.047671
337.00	0.047774
338.00	0.047831
339.00	0.047836
340.00	0.047849
341.00	0.047826
342.00	0.048031
343.00	0.048318
344.00	0.048592
345.00	0.048965
346.00	0.049427
347.00	0.049927
348.00	0.050556
349.00	0.051259
350.00	0.052035
351.00	0.052828
352.00	0.053778
353.00	0.054628
354.00	0.055479
355.00	0.056558
356.00	0.057588
357.00	0.058510
358.00	0.059739
359.00	0.060980
360.00	0.061917
361.00	0.062783
362.00	0.063494
363.00	0.064140
364.00	0.064681
365.00	0.064963
366.00	0.065323
367.00	0.065414
368.00	0.065507
369.00	0.065653
370.00	0.065498
371.00	0.065273
372.00	0.064979
373.00	0.064812
374.00	0.064586
375.00	0.064545
376.00	0.064482
377.00	0.064363
378.00	0.064377
379.00	0.064469
380.00	0.064620
381.00	0.065137
382.00	0.065945
383.00	0.066922
384.00	0.068504
385.00	0.071075
386.00	0.074521
387.00	0.078724
388.00	0.084514
389.00	0.091581
390.00	0.10020
391.00	0.11019
392.00	0.12121
393.00	0.13298
394.00	0.14483
395.00	0.15627
396.00	0.16712
397.00	0.17630
398.00	0.18285
399.00	0.18727
400.00	0.18859
401.00	0.18763
402.00	0.18491
403.00	0.18156
404.00	0.17911
405.00	0.17873
406.00	0.18230
407.00	0.19062
408.00	0.20592
409.00	0.22771
410.00	0.25877
411.00	0.29964
412.00	0.35399
413.00	0.42011
414.00	0.49792
415.00	0.59299
416.00	0.69531
417.00	0.80028
418.00	0.89477
419.00	0.96487
420.00	1.0000
421.00	0.99339
422.00	0.94641
423.00	0.86517
424.00	0.76454
425.00	0.65374
426.00	0.54576
427.00	0.44251
428.00	0.36064
429.00	0.28612
430.00	0.22740
431.00	0.18300
432.00	0.14662
433.00	0.11555
434.00	0.093121
435.00	0.077451
436.00	0.064903
437.00	0.055816
438.00	0.049080
439.00	0.044421
440.00	0.041188
441.00	0.038788
442.00	0.037473
443.00	0.036835
444.00	0.036324
445.00	0.036327
446.00	0.036433
447.00	0.036897
448.00	0.037202
449.00	0.037911
450.00	0.038577
451.00	0.039249
452.00	0.040049
453.00	0.040760
454.00	0.041526
455.00	0.042353
456.00	0.043070
457.00	0.044120
458.00	0.044824
459.00	0.045469
460.00	0.046325
461.00	0.047112
462.00	0.047567
463.00	0.048126
464.00	0.048736
465.00	0.049430
