Wavelength (nm)	311 FbC-T5M10Es15P20 (SE412)
600.00	0.00069680
601.00	0.00087910
602.00	0.00080229
603.00	0.00089432
604.00	0.00087530
605.00	0.0010303
606.00	0.0011385
607.00	0.0010607
608.00	0.0010910
609.00	0.0014204
610.00	0.0015466
611.00	0.0016268
612.00	0.0016045
613.00	0.0013848
614.00	0.0015698
615.00	0.0014578
616.00	0.0013959
617.00	0.0014168
618.00	0.0013010
619.00	0.0015410
620.00	0.0016248
621.00	0.0015578
622.00	0.0020588
623.00	0.0020239
624.00	0.0020187
625.00	0.0022740
626.00	0.0026660
627.00	0.0033070
628.00	0.0037001
629.00	0.0043330
630.00	0.0051634
631.00	0.0067806
632.00	0.0084437
633.00	0.010541
634.00	0.014396
635.00	0.018111
636.00	0.023498
637.00	0.030280
638.00	0.038405
639.00	0.048862
640.00	0.063566
641.00	0.080430
642.00	0.10670
643.00	0.14189
644.00	0.18720
645.00	0.25072
646.00	0.34286
647.00	0.44950
648.00	0.58483
649.00	0.71473
650.00	0.83490
651.00	0.92675
652.00	0.98664
653.00	1.0000
654.00	0.96723
655.00	0.90734
656.00	0.82946
657.00	0.74678
658.00	0.65388
659.00	0.57088
660.00	0.49375
661.00	0.42842
662.00	0.36585
663.00	0.32196
664.00	0.26982
665.00	0.23630
666.00	0.20272
667.00	0.17588
668.00	0.15288
669.00	0.13502
670.00	0.11631
671.00	0.10135
672.00	0.089629
673.00	0.078559
674.00	0.069105
675.00	0.063115
676.00	0.056966
677.00	0.052623
678.00	0.048337
679.00	0.044751
680.00	0.041462
681.00	0.041564
682.00	0.038508
683.00	0.037921
684.00	0.038484
685.00	0.035553
686.00	0.036533
687.00	0.036959
688.00	0.038175
689.00	0.040061
690.00	0.042039
691.00	0.043195
692.00	0.046527
693.00	0.047903
694.00	0.050593
695.00	0.052988
696.00	0.055240
697.00	0.054817
698.00	0.055111
699.00	0.052458
700.00	0.053030
701.00	0.050833
702.00	0.050033
703.00	0.050201
704.00	0.049681
705.00	0.050026
706.00	0.050871
707.00	0.053106
708.00	0.054009
709.00	0.054828
710.00	0.058441
711.00	0.058909
712.00	0.062263
713.00	0.062935
714.00	0.064775
715.00	0.064600
716.00	0.065634
717.00	0.066343
718.00	0.067863
719.00	0.068332
720.00	0.068563
721.00	0.069617
722.00	0.068828
723.00	0.068415
724.00	0.067644
725.00	0.067626
726.00	0.064010
727.00	0.059913
728.00	0.056909
729.00	0.053224
730.00	0.046609
731.00	0.044015
732.00	0.039058
733.00	0.035648
734.00	0.031493
735.00	0.028707
736.00	0.025527
737.00	0.024175
738.00	0.020884
739.00	0.018590
740.00	0.016949
741.00	0.016332
742.00	0.016079
743.00	0.014244
744.00	0.013524
745.00	0.013017
746.00	0.013390
747.00	0.011303
748.00	0.011827
749.00	0.010655
750.00	0.010402
751.00	0.010017
752.00	0.010287
753.00	0.0091330
754.00	0.0087103
755.00	0.0096067
756.00	0.0076172
757.00	0.0075561
758.00	0.0081260
759.00	0.0076150
760.00	0.0076703
761.00	0.0070124
762.00	0.0072262
763.00	0.0069735
764.00	0.0059955
765.00	0.0058674
766.00	0.0056621
767.00	0.0060292
768.00	0.0061780
769.00	0.0056039
770.00	0.0052767
771.00	0.0062406
772.00	0.0057293
773.00	0.0058350
774.00	0.0057988
775.00	0.0057447
776.00	0.0054291
777.00	0.0058914
778.00	0.0050073
779.00	0.0051723
780.00	0.0046493
781.00	0.0056659
782.00	0.0055011
783.00	0.0057290
784.00	0.0053535
785.00	0.0041702
786.00	0.0043921
787.00	0.0050585
788.00	0.0052174
789.00	0.0041061
790.00	0.0044222
791.00	0.0045216
792.00	0.0038861
793.00	0.0045193
794.00	0.0038318
795.00	0.0043049
796.00	0.0037533
797.00	0.0055467
798.00	0.0031426
799.00	0.0047266
800.00	0.0043136
