Wavelength (nm)	L214 H2C-T5M10A15 (SE247).ems
600.00	0.00098253
600.20	0.00074352
600.40	0.00087618
600.60	0.0013300
600.80	0.00087764
601.00	0.00091452
601.20	0.00077079
601.40	0.00071117
601.60	0.0010900
601.80	0.0012200
602.00	0.00077347
602.20	0.00091919
602.40	0.00084742
602.60	0.0012600
602.80	0.00083671
603.00	0.0012500
603.20	0.0010200
603.40	0.0010700
603.60	0.0010100
603.80	0.0013900
604.00	0.00079220
604.20	0.0011700
604.40	0.0010400
604.60	0.0013000
604.80	0.0013700
605.00	0.0012000
605.20	0.0011900
605.40	0.0010200
605.60	0.0010900
605.80	0.0011200
606.00	0.0011400
606.20	0.0011400
606.40	0.0013900
606.60	0.0011600
606.80	0.0011100
607.00	0.0011700
607.20	0.0012400
607.40	0.0011400
607.60	0.0014900
607.80	0.0011800
608.00	0.0014100
608.20	0.0014900
608.40	0.0014900
608.60	0.0017900
608.80	0.0011300
609.00	0.0015300
609.20	0.0012600
609.40	0.0015500
609.60	0.0015500
609.80	0.0014600
610.00	0.0015600
610.20	0.0013500
610.40	0.0017800
610.60	0.0014700
610.80	0.0018600
611.00	0.0013700
611.20	0.0016700
611.40	0.0020900
611.60	0.0023200
611.80	0.0018100
612.00	0.0024800
612.20	0.0014700
612.40	0.0016800
612.60	0.0021600
612.80	0.0018300
613.00	0.0021500
613.20	0.0019600
613.40	0.0021900
613.60	0.0022400
613.80	0.0021300
614.00	0.0022600
614.20	0.0024300
614.40	0.0018900
614.60	0.0015000
614.80	0.0023500
615.00	0.0014800
615.20	0.0023900
615.40	0.0029500
615.60	0.0024500
615.80	0.0022600
616.00	0.0027200
616.20	0.0028100
616.40	0.0023100
616.60	0.0025800
616.80	0.0031700
617.00	0.0028900
617.20	0.0027600
617.40	0.0029900
617.60	0.0031700
617.80	0.0030500
618.00	0.0027100
618.20	0.0027600
618.40	0.0036000
618.60	0.0034900
618.80	0.0035100
619.00	0.0035900
619.20	0.0041700
619.40	0.0034300
619.60	0.0036500
619.80	0.0038000
620.00	0.0044200
620.20	0.0040200
620.40	0.0043900
620.60	0.0041400
620.80	0.0048100
621.00	0.0052800
621.20	0.0054200
621.40	0.0053300
621.60	0.0052300
621.80	0.0057600
622.00	0.0055200
622.20	0.0064300
622.40	0.0068700
622.60	0.0064300
622.80	0.0064400
623.00	0.0069400
623.20	0.0072100
623.40	0.0081100
623.60	0.0081300
623.80	0.0082200
624.00	0.0078200
624.20	0.0093000
624.40	0.0097500
624.60	0.010270
624.80	0.0098600
625.00	0.011310
625.20	0.010820
625.40	0.011290
625.60	0.011860
625.80	0.013290
626.00	0.014450
626.20	0.013950
626.40	0.013780
626.60	0.015290
626.80	0.017180
627.00	0.017960
627.20	0.017840
627.40	0.018680
627.60	0.018510
627.80	0.017530
628.00	0.021600
628.20	0.022910
628.40	0.024130
628.60	0.024770
628.80	0.026560
629.00	0.026740
629.20	0.029540
629.40	0.029760
629.60	0.032980
629.80	0.033580
630.00	0.034450
630.20	0.036320
630.40	0.039160
630.60	0.041330
630.80	0.043340
631.00	0.044060
631.20	0.047150
631.40	0.047250
631.60	0.052450
631.80	0.051990
632.00	0.057090
632.20	0.056850
632.40	0.059560
632.60	0.064910
632.80	0.067060
633.00	0.070480
633.20	0.073260
633.40	0.078040
633.60	0.079600
633.80	0.087450
634.00	0.088710
634.20	0.097570
634.40	0.099390
634.60	0.10676
634.80	0.11573
635.00	0.12220
635.20	0.13023
635.40	0.13723
635.60	0.13852
635.80	0.14994
636.00	0.16072
636.20	0.17254
636.40	0.17750
636.60	0.18949
636.80	0.20274
637.00	0.21601
637.20	0.22736
637.40	0.23916
637.60	0.24744
637.80	0.26413
638.00	0.28058
638.20	0.29798
638.40	0.30829
638.60	0.32532
638.80	0.34508
639.00	0.35448
639.20	0.37606
639.40	0.39325
639.60	0.41230
639.80	0.43211
640.00	0.45577
640.20	0.47070
640.40	0.47675
640.60	0.50655
640.80	0.51630
641.00	0.54578
641.20	0.55993
641.40	0.57782
641.60	0.59512
641.80	0.61761
642.00	0.63002
642.20	0.65447
642.40	0.67540
642.60	0.68998
642.80	0.70772
643.00	0.72556
643.20	0.72852
643.40	0.74617
643.60	0.76698
643.80	0.77340
644.00	0.77945
644.20	0.79895
644.40	0.81934
644.60	0.83347
644.80	0.85132
645.00	0.86346
645.20	0.87113
645.40	0.87818
645.60	0.88801
645.80	0.90209
646.00	0.91588
646.20	0.93084
646.40	0.92716
646.60	0.93244
646.80	0.95055
647.00	0.94169
647.20	0.95696
647.40	0.95850
647.60	0.95660
647.80	0.98220
648.00	0.96922
648.20	0.98130
648.40	0.98507
648.60	0.98352
648.80	0.97307
649.00	0.98411
649.20	0.99565
649.40	1.0000
649.60	0.99024
649.80	0.99336
650.00	0.99734
650.20	0.99139
650.40	0.98899
650.60	0.98023
650.80	0.98817
651.00	0.98417
651.20	0.98342
651.40	0.97693
651.60	0.98423
651.80	0.98710
652.00	0.97227
652.20	0.97754
652.40	0.97788
652.60	0.97337
652.80	0.95918
653.00	0.95684
653.20	0.96553
653.40	0.94643
653.60	0.95443
653.80	0.93766
654.00	0.93750
654.20	0.93786
654.40	0.93340
654.60	0.92554
654.80	0.91657
655.00	0.90732
655.20	0.89104
655.40	0.90270
655.60	0.89898
655.80	0.88124
656.00	0.87941
656.20	0.86553
656.40	0.85963
656.60	0.85177
656.80	0.84126
657.00	0.83948
657.20	0.81957
657.40	0.81052
657.60	0.80349
657.80	0.79950
658.00	0.78453
658.20	0.77867
658.40	0.76809
658.60	0.76835
658.80	0.73997
659.00	0.74018
659.20	0.73510
659.40	0.73333
659.60	0.71251
659.80	0.70245
660.00	0.69709
660.20	0.68786
660.40	0.69041
660.60	0.66682
660.80	0.65422
661.00	0.64456
661.20	0.64280
661.40	0.63270
661.60	0.62273
661.80	0.60913
662.00	0.60741
662.20	0.59051
662.40	0.59088
662.60	0.57610
662.80	0.55444
663.00	0.55962
663.20	0.55558
663.40	0.54725
663.60	0.53337
663.80	0.52023
664.00	0.51692
664.20	0.50969
664.40	0.49997
664.60	0.49494
664.80	0.48211
665.00	0.47364
665.20	0.45520
665.40	0.45396
665.60	0.44004
665.80	0.44338
666.00	0.43234
666.20	0.42775
666.40	0.42124
666.60	0.41484
666.80	0.40131
667.00	0.39556
667.20	0.38526
667.40	0.37892
667.60	0.37567
667.80	0.37176
668.00	0.36349
668.20	0.36261
668.40	0.35202
668.60	0.33948
668.80	0.33490
669.00	0.32920
669.20	0.33058
669.40	0.31683
669.60	0.32149
669.80	0.31515
670.00	0.30782
670.20	0.29687
670.40	0.28968
670.60	0.29335
670.80	0.28333
671.00	0.27882
671.20	0.27187
671.40	0.26582
671.60	0.26662
671.80	0.25722
672.00	0.25661
672.20	0.24914
672.40	0.25289
672.60	0.24938
672.80	0.23901
673.00	0.23556
673.20	0.23266
673.40	0.22634
673.60	0.22279
673.80	0.22399
674.00	0.21803
674.20	0.21113
674.40	0.21001
674.60	0.20588
674.80	0.20565
675.00	0.20061
675.20	0.20002
675.40	0.18434
675.60	0.19370
675.80	0.19030
676.00	0.18302
676.20	0.18299
676.40	0.18039
676.60	0.17933
676.80	0.17408
677.00	0.17392
677.20	0.16796
677.40	0.16657
677.60	0.16847
677.80	0.16476
678.00	0.15925
678.20	0.15537
678.40	0.15402
678.60	0.15317
678.80	0.15252
679.00	0.14575
679.20	0.14810
679.40	0.14486
679.60	0.14128
679.80	0.14370
680.00	0.14051
680.20	0.13831
680.40	0.13710
680.60	0.13837
680.80	0.14051
681.00	0.13353
681.20	0.12949
681.40	0.13335
681.60	0.12852
681.80	0.12997
682.00	0.13087
682.20	0.12891
682.40	0.13023
682.60	0.12544
682.80	0.12779
683.00	0.12514
683.20	0.12280
683.40	0.11891
683.60	0.12095
683.80	0.11637
684.00	0.11877
684.20	0.11993
684.40	0.11787
684.60	0.11477
684.80	0.11510
685.00	0.11527
685.20	0.11415
685.40	0.11360
685.60	0.11671
685.80	0.11322
686.00	0.11318
686.20	0.11545
686.40	0.11894
686.60	0.11264
686.80	0.11117
687.00	0.10944
687.20	0.11660
687.40	0.10913
687.60	0.11170
687.80	0.10744
688.00	0.11212
688.20	0.11098
688.40	0.11068
688.60	0.10933
688.80	0.10731
689.00	0.10655
689.20	0.10607
689.40	0.10340
689.60	0.11066
689.80	0.10932
690.00	0.10863
690.20	0.10623
690.40	0.10685
690.60	0.10233
690.80	0.10454
691.00	0.10305
691.20	0.10015
691.40	0.10857
691.60	0.10218
691.80	0.098010
692.00	0.10337
692.20	0.10710
692.40	0.10003
692.60	0.10561
692.80	0.099710
693.00	0.10219
693.20	0.098730
693.40	0.099950
693.60	0.10386
693.80	0.096690
694.00	0.097370
694.20	0.10380
694.40	0.099250
694.60	0.096160
694.80	0.10626
695.00	0.10597
695.20	0.10352
695.40	0.097530
695.60	0.10061
695.80	0.097700
696.00	0.10721
696.20	0.10089
696.40	0.098430
696.60	0.10325
696.80	0.10549
697.00	0.10011
697.20	0.10432
697.40	0.098800
697.60	0.099930
697.80	0.097960
698.00	0.10226
698.20	0.10168
698.40	0.10030
698.60	0.10130
698.80	0.096870
699.00	0.098640
699.20	0.10208
699.40	0.099710
699.60	0.10255
699.80	0.10219
700.00	0.10267
700.20	0.10297
700.40	0.10591
700.60	0.10308
700.80	0.10048
701.00	0.10243
701.20	0.10087
701.40	0.10325
701.60	0.098070
701.80	0.10171
702.00	0.10052
702.20	0.10547
702.40	0.10326
702.60	0.10419
702.80	0.10226
703.00	0.10021
703.20	0.10811
703.40	0.10456
703.60	0.10654
703.80	0.10898
704.00	0.10389
704.20	0.10390
704.40	0.10521
704.60	0.10745
704.80	0.10541
705.00	0.10314
705.20	0.10867
705.40	0.11035
705.60	0.10370
705.80	0.10603
706.00	0.10413
706.20	0.10520
706.40	0.11034
706.60	0.10799
706.80	0.11124
707.00	0.10991
707.20	0.10822
707.40	0.10253
707.60	0.10818
707.80	0.10566
708.00	0.10901
708.20	0.11360
708.40	0.10861
708.60	0.11534
708.80	0.11446
709.00	0.11257
709.20	0.11240
709.40	0.11072
709.60	0.11384
709.80	0.11027
710.00	0.11165
710.20	0.11341
710.40	0.11910
710.60	0.10859
710.80	0.11540
711.00	0.11109
711.20	0.11105
711.40	0.11693
711.60	0.11307
711.80	0.11249
712.00	0.11485
712.20	0.11136
712.40	0.11097
712.60	0.11604
712.80	0.11365
713.00	0.11686
713.20	0.11703
713.40	0.11431
713.60	0.11468
713.80	0.11280
714.00	0.10921
714.20	0.11495
714.40	0.11640
714.60	0.11608
714.80	0.11347
715.00	0.11429
715.20	0.11231
715.40	0.11391
715.60	0.11213
715.80	0.11281
716.00	0.10807
716.20	0.11550
716.40	0.11587
716.60	0.11760
716.80	0.11028
717.00	0.11032
717.20	0.11844
717.40	0.11453
717.60	0.11064
717.80	0.10784
718.00	0.10257
718.20	0.10960
718.40	0.10726
718.60	0.10670
718.80	0.10895
719.00	0.11018
719.20	0.10307
719.40	0.10448
719.60	0.10201
719.80	0.10979
720.00	0.10514
720.20	0.10552
720.40	0.10266
720.60	0.10688
720.80	0.094780
721.00	0.10438
721.20	0.099450
721.40	0.10125
721.60	0.098740
721.80	0.095800
722.00	0.096460
722.20	0.10029
722.40	0.091740
722.60	0.097410
722.80	0.095920
723.00	0.097050
723.20	0.097480
723.40	0.094970
723.60	0.096410
723.80	0.094240
724.00	0.092630
724.20	0.092660
724.40	0.097010
724.60	0.092250
724.80	0.093180
725.00	0.086930
725.20	0.087250
725.40	0.086330
725.60	0.091410
725.80	0.093250
726.00	0.085950
726.20	0.081090
726.40	0.081390
726.60	0.081170
726.80	0.077480
727.00	0.081000
727.20	0.076730
727.40	0.078440
727.60	0.082880
727.80	0.084850
728.00	0.079070
728.20	0.072900
728.40	0.074780
728.60	0.077620
728.80	0.071190
729.00	0.070890
729.20	0.070430
729.40	0.074510
729.60	0.071140
729.80	0.072380
730.00	0.071650
730.20	0.068770
730.40	0.071360
730.60	0.066700
730.80	0.066400
731.00	0.063930
731.20	0.069840
731.40	0.064700
731.60	0.065150
731.80	0.063090
732.00	0.062460
732.20	0.059440
732.40	0.062020
732.60	0.058990
732.80	0.064030
733.00	0.064270
733.20	0.059610
733.40	0.056270
733.60	0.060840
733.80	0.055220
734.00	0.056050
734.20	0.060330
734.40	0.052660
734.60	0.055330
734.80	0.057210
735.00	0.051950
735.20	0.052630
735.40	0.050420
735.60	0.053490
735.80	0.051950
736.00	0.050750
736.20	0.051520
736.40	0.048080
736.60	0.047090
736.80	0.046420
737.00	0.045650
737.20	0.044650
737.40	0.044560
737.60	0.049530
737.80	0.051890
738.00	0.045170
738.20	0.043390
738.40	0.037900
738.60	0.041810
738.80	0.042850
739.00	0.039540
739.20	0.041080
739.40	0.040190
739.60	0.041920
739.80	0.040150
740.00	0.037680
740.20	0.041070
740.40	0.036060
740.60	0.041420
740.80	0.036240
741.00	0.036480
741.20	0.038170
741.40	0.036620
741.60	0.038700
741.80	0.034250
742.00	0.037800
742.20	0.034990
742.40	0.037470
742.60	0.034310
742.80	0.035060
743.00	0.033280
743.20	0.035380
743.40	0.034310
743.60	0.036290
743.80	0.028410
744.00	0.030820
744.20	0.031140
744.40	0.032390
744.60	0.029040
744.80	0.031070
745.00	0.028780
745.20	0.030720
745.40	0.034560
745.60	0.029770
745.80	0.026500
746.00	0.029950
746.20	0.025870
746.40	0.025930
746.60	0.024630
746.80	0.024330
747.00	0.023930
747.20	0.022920
747.40	0.024940
747.60	0.025250
747.80	0.023830
748.00	0.021180
748.20	0.029240
748.40	0.023980
748.60	0.022500
748.80	0.021620
749.00	0.019970
749.20	0.026360
749.40	0.024860
749.60	0.024550
749.80	0.022370
750.00	0.019710
750.20	0.020900
750.40	0.021000
750.60	0.020830
750.80	0.019780
751.00	0.019340
751.20	0.021700
751.40	0.019900
751.60	0.022640
