Wavelength (nm)	220 FbC-F5P10
600.00	0.0015794
601.00	0.0015979
602.00	0.0017685
603.00	0.0021418
604.00	0.0019807
605.00	0.0020013
606.00	0.0022068
607.00	0.0020527
608.00	0.0018378
609.00	0.0025297
610.00	0.0025533
611.00	0.0025910
612.00	0.0028104
613.00	0.0026877
614.00	0.0023589
615.00	0.0025599
616.00	0.0024529
617.00	0.0025423
618.00	0.0024647
619.00	0.0030511
620.00	0.0031668
621.00	0.0029783
622.00	0.0034236
623.00	0.0030809
624.00	0.0032700
625.00	0.0032294
626.00	0.0038232
627.00	0.0032912
628.00	0.0045505
629.00	0.0043230
630.00	0.0054362
631.00	0.0057660
632.00	0.0072839
633.00	0.0086398
634.00	0.0087191
635.00	0.010472
636.00	0.011307
637.00	0.010869
638.00	0.012288
639.00	0.013531
640.00	0.013321
641.00	0.013781
642.00	0.013900
643.00	0.014135
644.00	0.015183
645.00	0.016182
646.00	0.017969
647.00	0.020391
648.00	0.020888
649.00	0.021404
650.00	0.021580
651.00	0.026077
652.00	0.028888
653.00	0.032663
654.00	0.036783
655.00	0.045679
656.00	0.052220
657.00	0.062759
658.00	0.072388
659.00	0.086165
660.00	0.10528
661.00	0.12635
662.00	0.15166
663.00	0.17852
664.00	0.21615
665.00	0.26282
666.00	0.31039
667.00	0.36400
668.00	0.42945
669.00	0.49469
670.00	0.57213
671.00	0.64411
672.00	0.70502
673.00	0.77303
674.00	0.83864
675.00	0.91394
676.00	0.94831
677.00	0.97617
678.00	0.99764
679.00	1.0000
680.00	0.98749
681.00	0.95954
682.00	0.91711
683.00	0.87874
684.00	0.82603
685.00	0.76131
686.00	0.70809
687.00	0.65384
688.00	0.59204
689.00	0.54693
690.00	0.49542
691.00	0.46209
692.00	0.40999
693.00	0.38142
694.00	0.34293
695.00	0.31628
696.00	0.29020
697.00	0.26841
698.00	0.24223
699.00	0.22375
700.00	0.20408
701.00	0.19072
702.00	0.17590
703.00	0.16557
704.00	0.15152
705.00	0.14813
706.00	0.14039
707.00	0.13280
708.00	0.12790
709.00	0.12072
710.00	0.11619
711.00	0.11306
712.00	0.11372
713.00	0.10845
714.00	0.10166
715.00	0.10336
716.00	0.10074
717.00	0.099190
718.00	0.096972
719.00	0.10146
720.00	0.10074
721.00	0.10066
722.00	0.099732
723.00	0.099320
724.00	0.096983
725.00	0.098627
726.00	0.098156
727.00	0.096531
728.00	0.097018
729.00	0.094904
730.00	0.095259
731.00	0.091325
732.00	0.089435
733.00	0.095809
734.00	0.092245
735.00	0.090457
736.00	0.087499
737.00	0.087187
738.00	0.090822
739.00	0.091545
740.00	0.088457
741.00	0.088850
742.00	0.088943
743.00	0.092050
744.00	0.087773
745.00	0.089756
746.00	0.091039
747.00	0.090523
748.00	0.084673
749.00	0.086489
750.00	0.089701
751.00	0.086693
752.00	0.083906
753.00	0.084986
754.00	0.082391
755.00	0.080845
756.00	0.076574
757.00	0.080469
758.00	0.075473
759.00	0.070939
760.00	0.069522
761.00	0.064674
762.00	0.065043
763.00	0.064431
764.00	0.061719
765.00	0.057683
766.00	0.054346
767.00	0.052855
768.00	0.048574
769.00	0.049209
770.00	0.049298
771.00	0.042870
772.00	0.044211
773.00	0.039391
774.00	0.040992
775.00	0.036256
776.00	0.034454
777.00	0.036916
778.00	0.030963
779.00	0.031983
780.00	0.036112
781.00	0.031846
782.00	0.031272
783.00	0.032608
784.00	0.029777
785.00	0.030360
786.00	0.032152
787.00	0.025617
788.00	0.030988
789.00	0.031844
790.00	0.030367
791.00	0.029623
792.00	0.029323
793.00	0.032026
794.00	0.029904
795.00	0.029854
796.00	0.030831
797.00	0.028200
798.00	0.029100
799.00	0.027314
800.00	0.027353
