Wavelength (nm)	L326 ZnC-F2 (SE430).ems
550.37	0.00056954
551.17	0.00047191
551.97	0.00055318
552.76	0.00045198
553.56	0.00051074
554.36	0.00051788
555.16	0.00048664
555.96	0.00053004
556.76	0.00056964
557.55	0.00050835
558.35	0.00052704
559.15	0.00050502
559.95	0.00046829
560.75	0.00054615
561.55	0.00047791
562.34	0.00046808
563.14	0.00049999
563.94	0.00053257
564.74	0.00061908
565.54	0.00044671
566.34	0.00064382
567.13	0.00059642
567.93	0.00071457
568.73	0.00061114
569.53	0.00066302
570.33	0.00069548
571.12	0.00066706
571.92	0.00065908
572.72	0.00069514
573.52	0.00078440
574.32	0.00079158
575.11	0.00084584
575.91	0.00070836
576.71	0.00088738
577.51	0.00086942
578.31	0.00093371
579.10	0.00099118
579.90	0.0010700
580.70	0.0010900
581.50	0.0010600
582.29	0.0012200
583.09	0.0012000
583.89	0.0013100
584.69	0.0013500
585.48	0.0014700
586.28	0.0015600
587.08	0.0016500
587.88	0.0015800
588.68	0.0018600
589.47	0.0018400
590.27	0.0020600
591.07	0.0019800
591.86	0.0020900
592.66	0.0022700
593.46	0.0026000
594.26	0.0027900
595.05	0.0029300
595.85	0.0031800
596.65	0.0035000
597.45	0.0037400
598.24	0.0038600
599.04	0.0042100
599.84	0.0045400
600.64	0.0046800
601.43	0.0049700
602.23	0.0053300
603.03	0.0058600
603.82	0.0061500
604.62	0.0067900
605.42	0.0076600
606.22	0.0087500
607.01	0.010030
607.81	0.011770
608.61	0.014010
609.40	0.016260
610.20	0.019140
611.00	0.022800
611.79	0.027490
612.59	0.033310
613.39	0.040010
614.18	0.048760
614.98	0.060660
615.78	0.075730
616.58	0.095070
617.37	0.12103
618.17	0.15272
618.97	0.19189
619.76	0.24161
620.56	0.29789
621.35	0.36524
622.15	0.43834
622.95	0.51830
623.74	0.60121
624.54	0.68816
625.34	0.76875
626.13	0.84417
626.93	0.90624
627.73	0.95339
628.52	0.98730
629.32	1.0000
630.12	0.99466
630.91	0.97285
631.71	0.93327
632.51	0.88436
633.30	0.82015
634.10	0.75279
634.89	0.68435
635.69	0.61580
636.49	0.55044
637.28	0.48982
638.08	0.43441
638.87	0.38725
639.67	0.34415
640.47	0.30872
641.26	0.27634
642.06	0.25112
642.85	0.22762
643.65	0.20843
644.45	0.19206
645.24	0.17829
646.04	0.16708
646.83	0.15720
647.63	0.15034
648.42	0.14605
649.22	0.14349
650.02	0.14119
650.81	0.14076
651.61	0.14134
652.40	0.14025
653.20	0.14036
653.99	0.14190
654.79	0.14031
655.59	0.13926
656.38	0.13796
657.18	0.13538
657.97	0.13189
658.77	0.12876
659.56	0.12594
660.36	0.12294
661.15	0.11896
661.95	0.11611
662.74	0.11340
663.54	0.11020
664.34	0.10910
665.13	0.10724
665.93	0.10715
666.72	0.10637
667.52	0.10647
668.31	0.10701
669.11	0.10642
669.90	0.10685
670.70	0.10759
671.49	0.10775
672.29	0.10840
673.08	0.10844
673.88	0.10902
674.67	0.10860
675.47	0.10948
676.26	0.11006
677.06	0.11059
677.85	0.11125
678.65	0.11122
679.44	0.11218
680.24	0.11356
681.03	0.11422
681.83	0.11503
682.62	0.11621
683.42	0.11634
684.21	0.11636
685.01	0.11616
685.80	0.11665
686.59	0.11650
687.39	0.11542
688.18	0.11437
688.98	0.11408
689.77	0.11192
690.57	0.11095
691.36	0.11080
692.16	0.11027
692.95	0.10773
693.74	0.10660
694.54	0.10516
695.33	0.10395
696.13	0.10241
696.92	0.099270
697.72	0.096460
698.51	0.093960
699.30	0.091650
700.10	0.087450
700.89	0.084120
701.69	0.080270
702.48	0.076430
703.28	0.071260
704.07	0.067860
704.86	0.063360
705.66	0.058870
706.45	0.055270
707.25	0.051890
708.04	0.048250
708.83	0.045110
709.63	0.042530
710.42	0.039350
711.22	0.036680
712.01	0.034620
712.80	0.032710
713.60	0.030560
714.39	0.029400
715.18	0.028190
715.98	0.026520
716.77	0.025730
717.57	0.024480
718.36	0.024010
719.15	0.023070
719.95	0.022090
720.74	0.021530
721.53	0.020730
722.33	0.020260
723.12	0.019860
723.91	0.019700
724.71	0.019120
725.50	0.018730
726.29	0.018600
727.09	0.018220
727.88	0.017840
728.67	0.017660
729.47	0.017070
730.26	0.016960
731.05	0.016940
731.85	0.016810
732.64	0.016620
733.43	0.015890
734.23	0.015750
735.02	0.015780
735.81	0.015450
736.61	0.015160
737.40	0.014560
738.19	0.014710
738.98	0.014690
739.78	0.014110
740.57	0.014080
741.36	0.013460
742.16	0.013520
742.95	0.013370
743.74	0.013370
744.53	0.012590
745.33	0.012560
746.12	0.012520
746.91	0.012720
747.71	0.012180
748.50	0.012320
749.29	0.011980
750.08	0.012090
750.88	0.011830
751.67	0.011510
752.46	0.011610
753.25	0.011510
754.05	0.011130
754.84	0.011230
755.63	0.010800
756.42	0.010840
757.22	0.010910
758.01	0.010800
758.80	0.010390
759.59	0.010350
760.39	0.010230
761.18	0.0096700
761.97	0.0094400
762.76	0.0096900
763.55	0.0094200
764.35	0.0091300
765.14	0.0087700
765.93	0.0088800
766.72	0.0084000
767.52	0.0084200
768.31	0.0083500
769.10	0.0081800
769.89	0.0078000
770.68	0.0079600
771.47	0.0073700
772.27	0.0073100
773.06	0.0071200
773.85	0.0067700
774.64	0.0069400
775.43	0.0069700
776.22	0.0065600
777.02	0.0061500
777.81	0.0064100
778.60	0.0057700
779.39	0.0059100
780.18	0.0053800
780.97	0.0054600
781.77	0.0054500
782.56	0.0050000
783.35	0.0049800
784.14	0.0046600
784.93	0.0046400
785.72	0.0048500
786.52	0.0043600
787.31	0.0044400
788.10	0.0039300
788.89	0.0039200
789.68	0.0037900
790.47	0.0035000
791.26	0.0034200
792.05	0.0031300
792.85	0.0034100
793.64	0.0029800
794.43	0.0029300
795.22	0.0031400
796.01	0.0031200
796.80	0.0027800
797.59	0.0026600
798.38	0.0024100
799.17	0.0026500
799.97	0.0025600
