Wavelength (nm)	L275 FbC-A13 (SE353).ems
600.00	0.0012157
600.20	0.0015290
600.40	0.00065592
600.60	0.0014353
600.80	0.00098812
601.00	0.00096214
601.20	0.00057850
601.40	0.0010274
601.60	0.00098104
601.80	0.0011119
602.00	0.0010275
602.20	0.00068104
602.40	0.0012939
602.60	0.0010302
602.80	0.0013666
603.00	0.00099949
603.20	0.00083326
603.40	0.00074104
603.60	0.0010961
603.80	0.0011119
604.00	0.00099394
604.20	0.00074361
604.40	0.0010198
604.60	0.00097413
604.80	0.0013720
605.00	0.0010298
605.20	0.0011377
605.40	0.0010833
605.60	0.0014157
605.80	0.00093343
606.00	0.00088555
606.20	0.0012226
606.40	0.00059274
606.60	0.0010750
606.80	0.00083115
607.00	0.0011802
607.20	0.0011773
607.40	0.00058421
607.60	0.00091073
607.80	0.00090831
608.00	0.00094122
608.20	0.0011344
608.40	0.0014316
608.60	0.0012914
608.80	0.0010893
609.00	0.0011720
609.20	0.0016206
609.40	0.0011081
609.60	0.0013270
609.80	0.00099065
610.00	0.0015482
610.20	0.0013711
610.40	0.0017598
610.60	0.0012730
610.80	0.0013745
611.00	0.0015958
611.20	0.0014856
611.40	0.0014026
611.60	0.00078150
611.80	0.0010871
612.00	0.0013575
612.20	0.0010613
612.40	0.0010536
612.60	0.0010416
612.80	0.0018478
613.00	0.0013324
613.20	0.0012264
613.40	0.0015831
613.60	0.0015284
613.80	0.0014769
614.00	0.0013995
614.20	0.0013694
614.40	0.0015020
614.60	0.0018748
614.80	0.0013225
615.00	0.0014981
615.20	0.0012411
615.40	0.0015562
615.60	0.0015770
615.80	0.0014375
616.00	0.0015554
616.20	0.0010838
616.40	0.0019218
616.60	0.0017450
616.80	0.0014464
617.00	0.0014051
617.20	0.0016056
617.40	0.0020839
617.60	0.0024076
617.80	0.0021268
618.00	0.0017710
618.20	0.0017095
618.40	0.0013656
618.60	0.0014272
618.80	0.0013738
619.00	0.0016669
619.20	0.0022791
619.40	0.0023274
619.60	0.0024579
619.80	0.0020530
620.00	0.0015520
620.20	0.0019000
620.40	0.0029429
620.60	0.0029861
620.80	0.0019838
621.00	0.0025583
621.20	0.0026024
621.40	0.0021062
621.60	0.0029183
621.80	0.0016673
622.00	0.0024702
622.20	0.0021938
622.40	0.0027943
622.60	0.0019190
622.80	0.0028337
623.00	0.0027234
623.20	0.0023931
623.40	0.0028569
623.60	0.0028663
623.80	0.0024153
624.00	0.0030413
624.20	0.0029674
624.40	0.0029694
624.60	0.0032494
624.80	0.0030598
625.00	0.0030578
625.20	0.0035730
625.40	0.0027923
625.60	0.0029751
625.80	0.0040046
626.00	0.0031460
626.20	0.0033495
626.40	0.0034183
626.60	0.0032563
626.80	0.0040093
627.00	0.0039525
627.20	0.0037731
627.40	0.0036169
627.60	0.0036250
627.80	0.0043109
628.00	0.0035641
628.20	0.0035686
628.40	0.0038948
628.60	0.0034680
628.80	0.0034029
629.00	0.0036812
629.20	0.0041796
629.40	0.0039676
629.60	0.0035293
629.80	0.0039841
630.00	0.0043009
630.20	0.0047778
630.40	0.0042563
630.60	0.0040999
630.80	0.0049611
631.00	0.0051164
631.20	0.0047717
631.40	0.0050044
631.60	0.0059077
631.80	0.0051949
632.00	0.0049974
632.20	0.0056498
632.40	0.0052173
632.60	0.0065619
632.80	0.0054152
633.00	0.0063087
633.20	0.0063563
633.40	0.0069377
633.60	0.0067410
633.80	0.0077052
634.00	0.0071745
634.20	0.0075920
634.40	0.0072732
634.60	0.0088751
634.80	0.0084513
635.00	0.0086814
635.20	0.0097140
635.40	0.0098140
635.60	0.011073
635.80	0.010756
636.00	0.012448
636.20	0.011320
636.40	0.014048
636.60	0.013869
636.80	0.013230
637.00	0.016710
637.20	0.015114
637.40	0.016295
637.60	0.018189
637.80	0.018517
638.00	0.017627
638.20	0.019455
638.40	0.020274
638.60	0.020513
638.80	0.021124
639.00	0.023975
639.20	0.024486
639.40	0.024967
639.60	0.027282
639.80	0.029600
640.00	0.031151
640.20	0.031285
640.40	0.032957
640.60	0.033706
640.80	0.034915
641.00	0.039230
641.20	0.042618
641.40	0.040288
641.60	0.044186
641.80	0.045491
642.00	0.049559
642.20	0.052880
