Wavelength (nm)	229 FbC-E7T10
300.00	0.084173
301.00	0.084377
302.00	0.084211
303.00	0.083764
304.00	0.082476
305.00	0.081261
306.00	0.079446
307.00	0.076797
308.00	0.073875
309.00	0.070415
310.00	0.066704
311.00	0.063070
312.00	0.060023
313.00	0.057110
314.00	0.054759
315.00	0.053174
316.00	0.052000
317.00	0.051121
318.00	0.050860
319.00	0.050964
320.00	0.051203
321.00	0.051849
322.00	0.052717
323.00	0.053601
324.00	0.054702
325.00	0.055841
326.00	0.057226
327.00	0.058754
328.00	0.060256
329.00	0.062021
330.00	0.063966
331.00	0.066199
332.00	0.068528
333.00	0.071333
334.00	0.074187
335.00	0.077362
336.00	0.080656
337.00	0.083990
338.00	0.087480
339.00	0.090829
340.00	0.094104
341.00	0.097175
342.00	0.10034
343.00	0.10305
344.00	0.10558
345.00	0.10813
346.00	0.11072
347.00	0.11334
348.00	0.11631
349.00	0.11960
350.00	0.12299
351.00	0.12678
352.00	0.13104
353.00	0.13572
354.00	0.14036
355.00	0.14541
356.00	0.14992
357.00	0.15375
358.00	0.15655
359.00	0.15794
360.00	0.15797
361.00	0.15700
362.00	0.15502
363.00	0.15311
364.00	0.15105
365.00	0.14873
366.00	0.14747
367.00	0.14685
368.00	0.14739
369.00	0.14933
370.00	0.15215
371.00	0.15644
372.00	0.16179
373.00	0.16800
374.00	0.17566
375.00	0.18356
376.00	0.19221
377.00	0.20183
378.00	0.21193
379.00	0.22266
380.00	0.23362
381.00	0.24530
382.00	0.25831
383.00	0.27201
384.00	0.28666
385.00	0.30241
386.00	0.31932
387.00	0.33787
388.00	0.35745
389.00	0.37677
390.00	0.39731
391.00	0.41934
392.00	0.44149
393.00	0.46270
394.00	0.48458
395.00	0.50632
396.00	0.52819
397.00	0.55078
398.00	0.57291
399.00	0.59360
400.00	0.61528
401.00	0.63867
402.00	0.66314
403.00	0.68917
404.00	0.71706
405.00	0.74774
406.00	0.77909
407.00	0.81193
408.00	0.84581
409.00	0.87980
410.00	0.91023
411.00	0.93768
412.00	0.96319
413.00	0.98296
414.00	0.99497
415.00	1.0000
416.00	0.99965
417.00	0.99100
418.00	0.97476
419.00	0.94942
420.00	0.91588
421.00	0.87649
422.00	0.83235
423.00	0.78448
424.00	0.73224
425.00	0.68086
426.00	0.62909
427.00	0.57825
428.00	0.53059
429.00	0.48469
430.00	0.44200
431.00	0.40305
432.00	0.36400
433.00	0.32351
434.00	0.29020
435.00	0.25768
436.00	0.22772
437.00	0.20120
438.00	0.17730
439.00	0.15655
440.00	0.13822
441.00	0.12166
442.00	0.10810
443.00	0.096116
444.00	0.085602
445.00	0.076610
446.00	0.068643
447.00	0.061876
448.00	0.056242
449.00	0.051226
450.00	0.047107
451.00	0.043495
452.00	0.040460
453.00	0.038064
454.00	0.035937
455.00	0.034293
456.00	0.032781
457.00	0.031521
458.00	0.030508
459.00	0.029520
460.00	0.028839
461.00	0.028119
462.00	0.027633
463.00	0.027210
464.00	0.027077
465.00	0.026941
466.00	0.026813
467.00	0.026823
468.00	0.026770
469.00	0.026687
470.00	0.026803
471.00	0.026892
472.00	0.026974
473.00	0.027102
474.00	0.027114
475.00	0.027154
476.00	0.027329
477.00	0.027614
478.00	0.027731
479.00	0.027972
480.00	0.028247
481.00	0.028581
482.00	0.028914
483.00	0.029259
484.00	0.029752
485.00	0.030138
486.00	0.030527
487.00	0.032056
488.00	0.032667
489.00	0.033730
490.00	0.035237
491.00	0.037213
492.00	0.039462
493.00	0.042126
494.00	0.044973
495.00	0.048140
496.00	0.051566
497.00	0.055056
498.00	0.058573
499.00	0.062017
500.00	0.065347
501.00	0.068550
502.00	0.071336
503.00	0.073811
504.00	0.075941
505.00	0.077687
506.00	0.078858
507.00	0.079565
508.00	0.079596
509.00	0.079711
510.00	0.079642
511.00	0.079990
512.00	0.080673
513.00	0.081674
514.00	0.082505
515.00	0.083002
516.00	0.082871
517.00	0.081691
518.00	0.079260
519.00	0.076041
520.00	0.071675
521.00	0.066683
522.00	0.061527
523.00	0.056540
524.00	0.051675
525.00	0.047355
526.00	0.043690
527.00	0.040513
528.00	0.037980
529.00	0.036196
530.00	0.035155
531.00	0.034631
532.00	0.034768
533.00	0.035361
534.00	0.036254
535.00	0.037636
536.00	0.039271
537.00	0.040716
538.00	0.042053
539.00	0.042758
540.00	0.042720
541.00	0.042012
542.00	0.040771
543.00	0.039243
544.00	0.037411
545.00	0.035333
546.00	0.032924
547.00	0.030434
548.00	0.027844
549.00	0.025190
550.00	0.022803
551.00	0.020349
552.00	0.018450
553.00	0.016829
554.00	0.015398
555.00	0.014278
556.00	0.013296
557.00	0.012413
558.00	0.011642
559.00	0.010959
560.00	0.010310
561.00	0.0096817
562.00	0.0092439
563.00	0.0088575
564.00	0.0084022
565.00	0.0081370
566.00	0.0079299
567.00	0.0078718
568.00	0.0079535
569.00	0.0081908
570.00	0.0085705
571.00	0.0089846
572.00	0.0094923
573.00	0.010167
574.00	0.010777
575.00	0.011916
576.00	0.013447
577.00	0.015751
578.00	0.018646
579.00	0.022017
580.00	0.025471
581.00	0.028738
582.00	0.031089
583.00	0.033078
584.00	0.034573
585.00	0.035750
586.00	0.037120
587.00	0.038062
588.00	0.038345
589.00	0.037914
590.00	0.036529
591.00	0.034582
592.00	0.032220
593.00	0.029738
594.00	0.027474
595.00	0.025096
596.00	0.022945
597.00	0.021151
598.00	0.019471
599.00	0.018204
600.00	0.016842
601.00	0.015624
602.00	0.014464
603.00	0.013422
604.00	0.012586
605.00	0.011919
606.00	0.011458
607.00	0.011260
608.00	0.011042
609.00	0.011005
610.00	0.010901
611.00	0.010772
612.00	0.010522
613.00	0.010266
614.00	0.010034
615.00	0.0098812
616.00	0.0097777
617.00	0.0098593
618.00	0.010227
619.00	0.011064
620.00	0.012299
621.00	0.014324
622.00	0.017024
623.00	0.020289
624.00	0.023491
625.00	0.027289
626.00	0.031013
627.00	0.034194
628.00	0.036690
629.00	0.039150
630.00	0.042755
631.00	0.049056
632.00	0.060466
633.00	0.078646
634.00	0.10357
635.00	0.13459
636.00	0.16733
637.00	0.19603
638.00	0.21615
639.00	0.22254
640.00	0.21479
641.00	0.19493
642.00	0.16618
643.00	0.13663
644.00	0.11062
645.00	0.089424
646.00	0.072951
647.00	0.060593
648.00	0.051546
649.00	0.044680
650.00	0.039298
651.00	0.034466
652.00	0.030056
653.00	0.025828
654.00	0.022052
655.00	0.017838
656.00	0.014873
657.00	0.014887
658.00	0.010675
659.00	0.0078281
660.00	0.0062446
661.00	0.0049499
662.00	0.0040180
663.00	0.0032983
664.00	0.0027410
665.00	0.0022654
666.00	0.0018942
667.00	0.0017418
668.00	0.0015406
669.00	0.0013765
670.00	0.0011997
671.00	0.0011147
672.00	0.0010296
673.00	0.00094463
674.00	0.00088570
675.00	0.00082505
676.00	0.00082761
677.00	0.00068620
678.00	0.00070642
679.00	0.00061718
680.00	0.00058099
681.00	0.00064913
682.00	0.00065593
683.00	0.00061215
684.00	0.00062892
685.00	0.00059440
686.00	0.00061047
687.00	0.00059608
688.00	0.00049766
689.00	0.00050013
690.00	0.00056916
691.00	0.00054056
692.00	0.00053050
693.00	0.00055318
694.00	0.00055406
695.00	0.00056501
696.00	0.00055654
697.00	0.00055821
698.00	0.00048919
699.00	0.00044373
700.00	0.00047745
