Wavelength (nm)	202 ZnC-E3M10E13 (SE217)
300.00	0.18332
301.00	0.17825
302.00	0.17357
303.00	0.16906
304.00	0.16447
305.00	0.16018
306.00	0.15576
307.00	0.15187
308.00	0.14789
309.00	0.14396
310.00	0.14015
311.00	0.13618
312.00	0.13237
313.00	0.12856
314.00	0.12473
315.00	0.12096
316.00	0.11735
317.00	0.11386
318.00	0.11058
319.00	0.10754
320.00	0.10484
321.00	0.10224
322.00	0.10003
323.00	0.097997
324.00	0.096338
325.00	0.095012
326.00	0.093896
327.00	0.093049
328.00	0.092389
329.00	0.091986
330.00	0.091772
331.00	0.091757
332.00	0.091881
333.00	0.092200
334.00	0.092750
335.00	0.093350
336.00	0.094052
337.00	0.094775
338.00	0.095368
339.00	0.096087
340.00	0.096686
341.00	0.097329
342.00	0.097742
343.00	0.098178
344.00	0.098458
345.00	0.098878
346.00	0.099420
347.00	0.099714
348.00	0.10016
349.00	0.10080
350.00	0.10147
351.00	0.10217
352.00	0.10300
353.00	0.10398
354.00	0.10489
355.00	0.10587
356.00	0.10714
357.00	0.10843
358.00	0.10977
359.00	0.11115
360.00	0.11258
361.00	0.11374
362.00	0.11536
363.00	0.11683
364.00	0.11835
365.00	0.11957
366.00	0.12093
367.00	0.12197
368.00	0.12300
369.00	0.12372
370.00	0.12443
371.00	0.12479
372.00	0.12501
373.00	0.12565
374.00	0.12629
375.00	0.12703
376.00	0.12776
377.00	0.12865
378.00	0.12991
379.00	0.13135
380.00	0.13251
381.00	0.13429
382.00	0.13682
383.00	0.13990
384.00	0.14382
385.00	0.14842
386.00	0.15422
387.00	0.16116
388.00	0.16916
389.00	0.17840
390.00	0.18859
391.00	0.20020
392.00	0.21290
393.00	0.22548
394.00	0.23894
395.00	0.25219
396.00	0.26579
397.00	0.27872
398.00	0.29028
399.00	0.29972
400.00	0.30810
401.00	0.31481
402.00	0.31998
403.00	0.32408
404.00	0.32789
405.00	0.33178
406.00	0.33744
407.00	0.34572
408.00	0.35797
409.00	0.37487
410.00	0.39616
411.00	0.42371
412.00	0.45906
413.00	0.49918
414.00	0.54383
415.00	0.59525
416.00	0.65119
417.00	0.71038
418.00	0.77156
419.00	0.83188
420.00	0.89060
421.00	0.94321
422.00	0.98078
423.00	1.0000
424.00	0.99770
425.00	0.96964
426.00	0.91726
427.00	0.84271
428.00	0.75900
429.00	0.66383
430.00	0.56879
431.00	0.48431
432.00	0.40689
433.00	0.33406
434.00	0.27607
435.00	0.23074
436.00	0.19162
437.00	0.16056
438.00	0.13576
439.00	0.11585
440.00	0.099852
441.00	0.086074
442.00	0.075643
443.00	0.067277
444.00	0.059919
445.00	0.053770
446.00	0.048660
447.00	0.044198
448.00	0.040531
449.00	0.037491
450.00	0.034735
451.00	0.032547
452.00	0.030438
453.00	0.028602
454.00	0.027191
455.00	0.025679
456.00	0.024493
457.00	0.023498
458.00	0.022610
459.00	0.021667
460.00	0.020890
461.00	0.020137
462.00	0.019476
463.00	0.018915
464.00	0.018312
465.00	0.017946
466.00	0.017539
467.00	0.017202
468.00	0.016708
469.00	0.016498
470.00	0.016335
471.00	0.016113
472.00	0.015945
473.00	0.015944
474.00	0.015935
475.00	0.016066
476.00	0.016107
477.00	0.016137
478.00	0.015993
479.00	0.016176
480.00	0.016102
481.00	0.016081
482.00	0.015951
483.00	0.015872
484.00	0.015625
485.00	0.015568
486.00	0.015539
487.00	0.015383
488.00	0.015022
489.00	0.014675
490.00	0.014343
491.00	0.014013
492.00	0.013900
493.00	0.013578
494.00	0.013424
495.00	0.013311
496.00	0.013318
497.00	0.013183
498.00	0.013487
499.00	0.013515
500.00	0.013801
501.00	0.014241
502.00	0.014616
503.00	0.015320
504.00	0.016110
505.00	0.017041
506.00	0.018110
507.00	0.019298
508.00	0.020440
509.00	0.021498
510.00	0.022559
511.00	0.023616
512.00	0.024649
513.00	0.025564
514.00	0.026463
515.00	0.027069
516.00	0.027592
517.00	0.027929
518.00	0.028106
519.00	0.028305
520.00	0.028032
521.00	0.027776
522.00	0.027378
523.00	0.026875
524.00	0.026343
525.00	0.025496
526.00	0.024667
527.00	0.023861
528.00	0.022843
529.00	0.021949
530.00	0.020930
531.00	0.020040
532.00	0.019179
533.00	0.018474
534.00	0.017777
535.00	0.017226
536.00	0.016764
537.00	0.016376
538.00	0.016165
539.00	0.016215
540.00	0.016166
541.00	0.016337
542.00	0.016766
543.00	0.017062
544.00	0.017584
545.00	0.018387
546.00	0.018997
547.00	0.019634
548.00	0.020307
549.00	0.020855
550.00	0.021131
551.00	0.021452
552.00	0.021805
553.00	0.022189
554.00	0.022423
555.00	0.022677
556.00	0.022868
557.00	0.023191
558.00	0.023568
559.00	0.023722
560.00	0.023889
561.00	0.023850
562.00	0.023562
563.00	0.023049
564.00	0.022654
565.00	0.022078
566.00	0.021357
567.00	0.020607
568.00	0.020092
569.00	0.019504
570.00	0.019118
571.00	0.018596
572.00	0.018231
573.00	0.017924
574.00	0.017738
575.00	0.017672
576.00	0.017710
577.00	0.017919
578.00	0.018290
579.00	0.018937
580.00	0.019948
581.00	0.021532
582.00	0.023565
583.00	0.025934
584.00	0.029500
585.00	0.033512
586.00	0.037640
587.00	0.042112
588.00	0.046254
589.00	0.049817
590.00	0.052932
591.00	0.055528
592.00	0.057587
593.00	0.059290
594.00	0.060090
595.00	0.060485
596.00	0.060227
597.00	0.059382
598.00	0.058409
599.00	0.057342
600.00	0.056603
601.00	0.055974
602.00	0.055725
603.00	0.055621
604.00	0.055541
605.00	0.055203
606.00	0.054571
607.00	0.053675
608.00	0.052575
609.00	0.051275
610.00	0.050220
611.00	0.049493
612.00	0.049176
613.00	0.049255
614.00	0.049556
615.00	0.050020
616.00	0.050408
617.00	0.050644
618.00	0.050801
619.00	0.050954
620.00	0.051132
621.00	0.051571
622.00	0.052327
623.00	0.053562
624.00	0.055161
625.00	0.057490
626.00	0.060121
627.00	0.063355
628.00	0.066639
629.00	0.070229
630.00	0.074010
631.00	0.078135
632.00	0.082942
633.00	0.089011
634.00	0.097754
635.00	0.11072
636.00	0.12998
637.00	0.15774
638.00	0.19644
639.00	0.24584
640.00	0.30639
641.00	0.37534
642.00	0.44681
643.00	0.51285
644.00	0.56815
645.00	0.60382
646.00	0.61665
647.00	0.60329
648.00	0.56824
649.00	0.51517
650.00	0.45111
651.00	0.38263
652.00	0.31646
653.00	0.25603
654.00	0.20525
655.00	0.15533
656.00	0.12122
657.00	0.10882
658.00	0.084494
659.00	0.067695
660.00	0.057050
661.00	0.048987
662.00	0.043154
663.00	0.038500
664.00	0.034863
665.00	0.031711
666.00	0.028930
667.00	0.026523
668.00	0.024219
669.00	0.022284
670.00	0.020213
671.00	0.018571
672.00	0.017104
673.00	0.015683
674.00	0.014361
675.00	0.013143
676.00	0.012100
677.00	0.011154
678.00	0.010189
679.00	0.0093615
680.00	0.0086258
681.00	0.0079268
682.00	0.0072489
683.00	0.0066471
684.00	0.0060559
685.00	0.0055619
686.00	0.0050688
687.00	0.0046545
688.00	0.0042962
689.00	0.0038907
690.00	0.0035841
691.00	0.0033100
692.00	0.0029999
693.00	0.0027205
694.00	0.0024761
695.00	0.0022904
696.00	0.0020714
697.00	0.0018840
698.00	0.0017360
699.00	0.0015319
700.00	0.0014180
701.00	0.0012796
702.00	0.0011806
703.00	0.0010957
704.00	0.00094065
705.00	0.00084956
