Wavelength (nm)	L214 FbC-P3M10P13 (SE245).abs

350.00	0.16420
350.20	0.16501
350.40	0.16486
350.60	0.16621
350.80	0.16542
351.00	0.16659
351.20	0.16682
351.40	0.16794
351.60	0.16805
351.80	0.16820
352.00	0.16886
352.20	0.16926
352.40	0.16969
352.60	0.17065
352.80	0.17095
353.00	0.17106
353.20	0.17132
353.40	0.17292
353.60	0.17263
353.80	0.17375
354.00	0.17422
354.20	0.17478
354.40	0.17534
354.60	0.17547
354.80	0.17591
355.00	0.17658
355.20	0.17788
355.40	0.17883
355.60	0.17899
355.80	0.17977
356.00	0.18049
356.20	0.18072
356.40	0.18187
356.60	0.18300
356.80	0.18334
357.00	0.18379
357.20	0.18472
357.40	0.18580
357.60	0.18571
357.80	0.18692
358.00	0.18796
358.20	0.18864
358.40	0.18925
358.60	0.19030
358.80	0.19120
359.00	0.19186
359.20	0.19180
359.40	0.19348
359.60	0.19385
359.80	0.19479
360.00	0.19601
360.20	0.19660
360.40	0.19723
360.60	0.19868
360.80	0.19925
361.00	0.19992
361.20	0.20087
361.40	0.20213
361.60	0.20283
361.80	0.20390
362.00	0.20464
362.20	0.20541
362.40	0.20573
362.60	0.20724
362.80	0.20779
363.00	0.20851
363.20	0.20955
363.40	0.21091
363.60	0.21091
363.80	0.21192
364.00	0.21299
364.20	0.21410
364.40	0.21401
364.60	0.21530
364.80	0.21642
365.00	0.21716
365.20	0.21771
365.40	0.21873
365.60	0.21922
365.80	0.21986
366.00	0.22071
366.20	0.22114
366.40	0.22125
366.60	0.22246
366.80	0.22343
367.00	0.22327
367.20	0.22406
367.40	0.22525
367.60	0.22559
367.80	0.22589
368.00	0.22723
368.20	0.22776
368.40	0.22804
368.60	0.22869
368.80	0.22955
369.00	0.22971
369.20	0.23044
369.40	0.23165
369.60	0.23191
369.80	0.23173
370.00	0.23314
370.20	0.23343
370.40	0.23448
370.60	0.23491
370.80	0.23519
371.00	0.23621
371.20	0.23707
371.40	0.23715
371.60	0.23847
371.80	0.23941
372.00	0.23940
372.20	0.23968
372.40	0.24083
372.60	0.24127
372.80	0.24176
373.00	0.24260
373.20	0.24323
373.40	0.24410
373.60	0.24446
373.80	0.24558
374.00	0.24671
374.20	0.24682
374.40	0.24814
374.60	0.24935
374.80	0.25000
375.00	0.25091
375.20	0.25263
375.40	0.25304
375.60	0.25387
375.80	0.25566
376.00	0.25646
376.20	0.25772
376.40	0.25929
376.60	0.26033
376.80	0.26160
377.00	0.26292
377.20	0.26451
377.40	0.26553
377.60	0.26713
377.80	0.26853
378.00	0.27003
378.20	0.27109
378.40	0.27277
378.60	0.27444
378.80	0.27579
379.00	0.27764
379.20	0.27943
379.40	0.28066
379.60	0.28236
379.80	0.28448
380.00	0.28634
380.20	0.28782
380.40	0.28994
380.60	0.29191
380.80	0.29333
381.00	0.29547
381.20	0.29791
381.40	0.29941
381.60	0.30128
381.80	0.30398
382.00	0.30607
382.20	0.30824
382.40	0.31047
382.60	0.31290
382.80	0.31487
383.00	0.31717
383.20	0.32051
383.40	0.32277
383.60	0.32514
383.80	0.32850
384.00	0.33097
384.20	0.33342
384.40	0.33678
384.60	0.34004
384.80	0.34258
385.00	0.34630
385.20	0.34984
385.40	0.35295
385.60	0.35626
385.80	0.36008
386.00	0.36391
386.20	0.36780
386.40	0.37198
386.60	0.37584
386.80	0.38013
387.00	0.38459
387.20	0.38914
387.40	0.39386
387.60	0.39831
387.80	0.40327
388.00	0.40834
388.20	0.41351
388.40	0.41844
388.60	0.42466
388.80	0.42976
389.00	0.43508
389.20	0.44137
389.40	0.44725
389.60	0.45284
389.80	0.45903
390.00	0.46570
390.20	0.47165
390.40	0.47858
390.60	0.48515
390.80	0.49198
391.00	0.49850
391.20	0.50545
391.40	0.51259
391.60	0.51969
391.80	0.52743
392.00	0.53502
392.20	0.54209
392.40	0.55005
