Wavelength (nm)	L267 FbC-M10(CmBn)13 (SE325)
300.00	0.11903
301.00	0.12134
302.00	0.12278
303.00	0.12361
304.00	0.12500
305.00	0.12681
306.00	0.12852
307.00	0.12908
308.00	0.13023
309.00	0.13027
310.00	0.13065
311.00	0.12994
312.00	0.12775
313.00	0.12480
314.00	0.12065
315.00	0.11557
316.00	0.11037
317.00	0.10504
318.00	0.10113
319.00	0.098589
320.00	0.096937
321.00	0.096586
322.00	0.098030
323.00	0.099891
324.00	0.10157
325.00	0.10470
326.00	0.10747
327.00	0.11001
328.00	0.11312
329.00	0.11526
330.00	0.11791
331.00	0.12090
332.00	0.12368
333.00	0.12742
334.00	0.13048
335.00	0.13383
336.00	0.13815
337.00	0.14225
338.00	0.14670
339.00	0.15140
340.00	0.15644
341.00	0.16097
342.00	0.16553
343.00	0.16992
344.00	0.17351
345.00	0.17718
346.00	0.18021
347.00	0.18315
348.00	0.18595
349.00	0.18931
350.00	0.19338
351.00	0.19827
352.00	0.20404
353.00	0.21112
354.00	0.21957
355.00	0.22987
356.00	0.24040
357.00	0.25175
358.00	0.26251
359.00	0.27347
360.00	0.28383
361.00	0.29322
362.00	0.30317
363.00	0.31091
364.00	0.31619
365.00	0.31926
366.00	0.31976
367.00	0.31904
368.00	0.31644
369.00	0.31279
370.00	0.30706
371.00	0.30396
372.00	0.30069
373.00	0.29950
374.00	0.30177
375.00	0.30526
376.00	0.31214
377.00	0.32070
378.00	0.33033
379.00	0.34221
380.00	0.35341
381.00	0.36821
382.00	0.38342
383.00	0.39975
384.00	0.41952
385.00	0.43961
386.00	0.46226
387.00	0.48909
388.00	0.51908
389.00	0.55054
390.00	0.58611
391.00	0.62593
392.00	0.66750
393.00	0.71070
394.00	0.75167
395.00	0.79457
396.00	0.83685
397.00	0.87632
398.00	0.91008
399.00	0.93509
400.00	0.95754
401.00	0.97548
402.00	0.98665
403.00	0.99528
404.00	1.0000
405.00	0.99971
406.00	0.99717
407.00	0.99165
408.00	0.98606
409.00	0.97872
410.00	0.97520
411.00	0.97209
412.00	0.97118
413.00	0.97199
414.00	0.97076
415.00	0.96975
416.00	0.96340
417.00	0.95040
418.00	0.92674
419.00	0.88922
420.00	0.83311
421.00	0.76132
422.00	0.67772
423.00	0.58812
424.00	0.49746
425.00	0.40767
426.00	0.32787
427.00	0.25438
428.00	0.19813
429.00	0.15241
430.00	0.11478
431.00	0.090845
432.00	0.072099
433.00	0.055550
434.00	0.043965
435.00	0.036004
436.00	0.030087
437.00	0.025833
438.00	0.022685
439.00	0.019867
440.00	0.017763
441.00	0.016520
442.00	0.015397
443.00	0.014501
444.00	0.014314
445.00	0.013758
446.00	0.014585
447.00	0.014631
448.00	0.014428
449.00	0.014768
450.00	0.014911
451.00	0.014953
452.00	0.015785
453.00	0.016660
454.00	0.017295
455.00	0.018010
456.00	0.018577
457.00	0.019435
458.00	0.019625
459.00	0.021446
460.00	0.022194
461.00	0.022466
462.00	0.023037
463.00	0.023725
464.00	0.022463
465.00	0.023257
466.00	0.023284
467.00	0.024299
468.00	0.024415
469.00	0.023260
470.00	0.023393
471.00	0.023392
472.00	0.024350
473.00	0.024348
474.00	0.024197
475.00	0.024535
476.00	0.024954
477.00	0.025625
478.00	0.025779
479.00	0.026239
480.00	0.025788
481.00	0.026591
482.00	0.027432
483.00	0.028922
484.00	0.030737
485.00	0.031728
486.00	0.031255
487.00	0.033813
488.00	0.040333
489.00	0.043375
490.00	0.047045
491.00	0.052555
492.00	0.058314
493.00	0.064791
494.00	0.069073
495.00	0.073514
496.00	0.077627
497.00	0.079196
498.00	0.083179
499.00	0.084998
500.00	0.085474
501.00	0.086760
502.00	0.090193
503.00	0.094190
504.00	0.095918
505.00	0.099774
506.00	0.10201
507.00	0.10267
508.00	0.10359
509.00	0.10188
510.00	0.099224
511.00	0.094432
512.00	0.088526
513.00	0.081609
514.00	0.076295
515.00	0.070772
516.00	0.062607
517.00	0.056784
518.00	0.049173
519.00	0.044097
520.00	0.041467
521.00	0.037254
522.00	0.035531
523.00	0.033657
524.00	0.031958
525.00	0.031257
526.00	0.032326
527.00	0.031645
528.00	0.035086
529.00	0.035024
530.00	0.037118
531.00	0.039829
532.00	0.043732
533.00	0.045416
534.00	0.045254
535.00	0.046465
536.00	0.044541
537.00	0.041391
538.00	0.038338
539.00	0.033259
540.00	0.030994
541.00	0.028712
542.00	0.024779
543.00	0.023528
544.00	0.022840
545.00	0.020611
546.00	0.020189
547.00	0.019827
548.00	0.018480
549.00	0.018953
550.00	0.018757
551.00	0.017992
552.00	0.017430
553.00	0.015431
554.00	0.014773
555.00	0.014165
556.00	0.012375
557.00	0.011715
558.00	0.011750
559.00	0.010346
560.00	0.010131
561.00	0.0087353
562.00	0.0087743
563.00	0.0089595
564.00	0.0081441
565.00	0.0069729
566.00	0.0074358
567.00	0.0066773
568.00	0.0075507
569.00	0.0069573
570.00	0.0059088
571.00	0.0059846
572.00	0.0056277
573.00	0.0061085
574.00	0.0058452
575.00	0.0058028
576.00	0.0065279
577.00	0.0065424
578.00	0.0057861
579.00	0.0071414
580.00	0.0077872
581.00	0.0084297
582.00	0.0082568
583.00	0.010529
584.00	0.012034
585.00	0.012276
586.00	0.014262
587.00	0.017301
588.00	0.019181
589.00	0.022475
590.00	0.025752
591.00	0.028559
592.00	0.031254
593.00	0.033596
594.00	0.035597
595.00	0.037780
596.00	0.038744
597.00	0.040022
598.00	0.041342
599.00	0.041006
600.00	0.041362
601.00	0.040572
602.00	0.039535
603.00	0.038200
604.00	0.036092
605.00	0.034071
606.00	0.031059
607.00	0.028931
608.00	0.026443
609.00	0.024694
610.00	0.022857
611.00	0.022795
612.00	0.021553
613.00	0.021594
614.00	0.020850
615.00	0.020916
616.00	0.020734
617.00	0.021072
618.00	0.020612
619.00	0.021142
620.00	0.021738
621.00	0.022064
622.00	0.022444
623.00	0.022280
624.00	0.022938
625.00	0.022902
626.00	0.022929
627.00	0.023902
628.00	0.023462
629.00	0.025188
630.00	0.026415
631.00	0.028175
632.00	0.031546
633.00	0.036701
634.00	0.040598
635.00	0.047250
636.00	0.054073
637.00	0.062597
638.00	0.072571
639.00	0.084242
640.00	0.097711
641.00	0.11400
642.00	0.13425
643.00	0.15875
644.00	0.18616
645.00	0.21628
646.00	0.25237
647.00	0.29364
648.00	0.33922
649.00	0.38370
650.00	0.42075
651.00	0.44936
652.00	0.46300
653.00	0.45911
654.00	0.43917
655.00	0.39186
656.00	0.35084
657.00	0.31400
658.00	0.26520
659.00	0.20573
660.00	0.16268
661.00	0.12230
662.00	0.094332
663.00	0.070477
664.00	0.053518
665.00	0.042053
666.00	0.031022
667.00	0.025453
668.00	0.020734
669.00	0.017649
670.00	0.013146
671.00	0.010929
672.00	0.0087810
673.00	0.0070610
674.00	0.0061665
675.00	0.0058352
676.00	0.0045022
677.00	0.0037672
678.00	0.0031135
679.00	0.0028625
680.00	0.0027688
681.00	0.0030142
682.00	0.0030332
683.00	0.0025614
684.00	0.0023483
685.00	0.0013266
686.00	0.0016244
687.00	0.0016780
688.00	0.0021687
689.00	0.0019312
690.00	0.0015196
691.00	0.0015173
692.00	0.0013891
693.00	0.0015374
694.00	0.0013177
695.00	0.0016501
696.00	0.00092169
697.00	0.00060379
698.00	0.00063279
699.00	0.00086145
700.00	0.0010990
