Wavelength (nm)	267 FbC-M10(CmPh)13
300.00	0.14480
301.00	0.14727
302.00	0.14972
303.00	0.15172
304.00	0.15340
305.00	0.15466
306.00	0.15580
307.00	0.15663
308.00	0.15741
309.00	0.15757
310.00	0.15802
311.00	0.15862
312.00	0.15909
313.00	0.15945
314.00	0.15947
315.00	0.15898
316.00	0.15824
317.00	0.15682
318.00	0.15444
319.00	0.15176
320.00	0.14864
321.00	0.14614
322.00	0.14373
323.00	0.14184
324.00	0.14098
325.00	0.14051
326.00	0.14086
327.00	0.14175
328.00	0.14288
329.00	0.14428
330.00	0.14635
331.00	0.14821
332.00	0.15050
333.00	0.15293
334.00	0.15570
335.00	0.15876
336.00	0.16248
337.00	0.16615
338.00	0.17029
339.00	0.17465
340.00	0.17939
341.00	0.18423
342.00	0.18901
343.00	0.19351
344.00	0.19777
345.00	0.20184
346.00	0.20573
347.00	0.20911
348.00	0.21275
349.00	0.21658
350.00	0.22086
351.00	0.22562
352.00	0.23106
353.00	0.23723
354.00	0.24481
355.00	0.25354
356.00	0.26297
357.00	0.27358
358.00	0.28351
359.00	0.29435
360.00	0.30496
361.00	0.31563
362.00	0.32568
363.00	0.33450
364.00	0.34247
365.00	0.34824
366.00	0.35351
367.00	0.35612
368.00	0.35748
369.00	0.35791
370.00	0.35696
371.00	0.35450
372.00	0.35185
373.00	0.35014
374.00	0.35003
375.00	0.35111
376.00	0.35351
377.00	0.35846
378.00	0.36504
379.00	0.37390
380.00	0.38386
381.00	0.39655
382.00	0.41049
383.00	0.42460
384.00	0.44050
385.00	0.45868
386.00	0.47857
387.00	0.50156
388.00	0.52591
389.00	0.55227
390.00	0.58439
391.00	0.61830
392.00	0.65707
393.00	0.69364
394.00	0.73246
395.00	0.77132
396.00	0.81139
397.00	0.85210
398.00	0.88781
399.00	0.91670
400.00	0.94143
401.00	0.96134
402.00	0.97733
403.00	0.98733
404.00	0.99392
405.00	0.99911
406.00	1.00000
407.00	0.99877
408.00	0.99732
409.00	0.99256
410.00	0.98863
411.00	0.98541
412.00	0.98464
413.00	0.98295
414.00	0.98217
415.00	0.98426
416.00	0.98272
417.00	0.97680
418.00	0.96430
419.00	0.94350
420.00	0.91079
421.00	0.86530
422.00	0.80782
423.00	0.73591
424.00	0.65313
425.00	0.56484
426.00	0.47655
427.00	0.38799
428.00	0.31625
429.00	0.25072
430.00	0.19688
431.00	0.15862
432.00	0.12759
433.00	0.10032
434.00	0.079562
435.00	0.066777
436.00	0.055419
437.00	0.047054
438.00	0.041122
439.00	0.036806
440.00	0.033653
441.00	0.030864
442.00	0.029214
443.00	0.028094
444.00	0.027134
445.00	0.026493
446.00	0.026257
447.00	0.026118
448.00	0.026220
449.00	0.026354
450.00	0.026196
451.00	0.026203
452.00	0.026465
453.00	0.027055
454.00	0.027262
455.00	0.027638
456.00	0.027950
457.00	0.028159
458.00	0.028804
459.00	0.029331
460.00	0.029660
461.00	0.030461
462.00	0.030953
463.00	0.031193
464.00	0.031142
465.00	0.031721
466.00	0.032185
467.00	0.031829
468.00	0.031870
469.00	0.032352
470.00	0.032369
471.00	0.031744
472.00	0.032190
473.00	0.032581
474.00	0.032325
475.00	0.033094
476.00	0.033038
477.00	0.033697
478.00	0.033793
479.00	0.034342
480.00	0.034247
481.00	0.034482
482.00	0.035064
483.00	0.036097
484.00	0.037161
485.00	0.038791
486.00	0.039743
487.00	0.041820
488.00	0.044705
489.00	0.048689
490.00	0.052587
491.00	0.056501
492.00	0.061247
493.00	0.065695
494.00	0.070543
495.00	0.075367
496.00	0.079460
497.00	0.082982
498.00	0.086198
499.00	0.088712
500.00	0.090763
501.00	0.092721
502.00	0.094624
503.00	0.096877
504.00	0.10032
505.00	0.10251
506.00	0.10474
507.00	0.10636
508.00	0.10741
509.00	0.10671
510.00	0.10556
511.00	0.10225
512.00	0.097462
513.00	0.091935
514.00	0.086059
515.00	0.079767
516.00	0.073342
517.00	0.067407
518.00	0.061811
519.00	0.055638
520.00	0.052085
521.00	0.046742
522.00	0.044124
523.00	0.041224
524.00	0.039705
525.00	0.038957
526.00	0.038554
527.00	0.039061
528.00	0.039721
529.00	0.040891
530.00	0.043436
531.00	0.045492
532.00	0.048335
533.00	0.050393
534.00	0.052184
535.00	0.053514
536.00	0.053823
537.00	0.052818
538.00	0.051131
539.00	0.048323
540.00	0.044689
541.00	0.040877
542.00	0.037770
543.00	0.034647
544.00	0.032025
545.00	0.030030
546.00	0.028867
547.00	0.026835
548.00	0.026319
549.00	0.025481
550.00	0.025084
551.00	0.024322
552.00	0.023480
553.00	0.022684
554.00	0.022258
555.00	0.020794
556.00	0.019954
557.00	0.019066
558.00	0.018260
559.00	0.017728
560.00	0.016802
561.00	0.016073
562.00	0.015250
563.00	0.014347
564.00	0.013777
565.00	0.013228
566.00	0.013080
567.00	0.012805
568.00	0.012299
569.00	0.011804
570.00	0.011611
571.00	0.011500
572.00	0.011280
573.00	0.011352
574.00	0.011175
575.00	0.011024
576.00	0.011225
577.00	0.011217
578.00	0.011287
579.00	0.011724
580.00	0.011932
581.00	0.012552
582.00	0.013003
583.00	0.013953
584.00	0.015100
585.00	0.016188
586.00	0.017479
587.00	0.019598
588.00	0.021621
589.00	0.023810
590.00	0.026530
591.00	0.029309
592.00	0.032404
593.00	0.035398
594.00	0.038143
595.00	0.040363
596.00	0.042111
597.00	0.043787
598.00	0.045225
599.00	0.046074
600.00	0.046606
601.00	0.046635
602.00	0.046400
603.00	0.045479
604.00	0.044235
605.00	0.042698
606.00	0.040478
607.00	0.038187
608.00	0.036006
609.00	0.033736
610.00	0.031592
611.00	0.030118
612.00	0.028618
613.00	0.027699
614.00	0.027132
615.00	0.026521
616.00	0.026132
617.00	0.025924
618.00	0.025812
619.00	0.025790
620.00	0.025911
621.00	0.026528
622.00	0.026586
623.00	0.026970
624.00	0.027373
625.00	0.027662
626.00	0.027926
627.00	0.028121
628.00	0.028708
629.00	0.029047
630.00	0.029928
631.00	0.031477
632.00	0.033608
633.00	0.036344
634.00	0.040415
635.00	0.045242
636.00	0.051156
637.00	0.058986
638.00	0.067528
639.00	0.078333
640.00	0.091305
641.00	0.10607
642.00	0.12470
643.00	0.14459
644.00	0.16706
645.00	0.19208
646.00	0.22023
647.00	0.25214
648.00	0.28834
649.00	0.32648
650.00	0.36334
