Wavelength (nm)	L267 FbC-M10Es13,15 (SE327).abs
350.00	0.15647
350.20	0.16635
350.40	0.16150
350.60	0.16382
350.80	0.16981
351.00	0.17763
351.20	0.17528
351.40	0.17531
351.60	0.18115
351.80	0.18024
352.00	0.18542
352.20	0.18708
352.40	0.18647
352.60	0.18835
352.80	0.19493
353.00	0.19630
353.20	0.20037
353.40	0.20312
353.60	0.20689
353.80	0.20427
354.00	0.20890
354.20	0.20987
354.40	0.21450
354.60	0.21312
354.80	0.21952
355.00	0.22169
355.20	0.22381
355.40	0.22399
355.60	0.22718
355.80	0.23145
356.00	0.23537
356.20	0.23574
356.40	0.23650
356.60	0.24135
356.80	0.24455
357.00	0.24792
357.20	0.24776
357.40	0.25309
357.60	0.25136
357.80	0.25161
358.00	0.24994
358.20	0.25386
358.40	0.25255
358.60	0.25634
358.80	0.26402
359.00	0.26514
359.20	0.26199
359.40	0.26412
359.60	0.26701
359.80	0.26953
360.00	0.26985
360.20	0.27493
360.40	0.27462
360.60	0.27103
360.80	0.27741
361.00	0.27873
361.20	0.27651
361.40	0.28151
361.60	0.27892
361.80	0.27983
362.00	0.27882
362.20	0.28329
362.40	0.28051
362.60	0.28195
362.80	0.28388
363.00	0.28609
363.20	0.28202
363.40	0.28619
363.60	0.28493
363.80	0.28622
364.00	0.28406
364.20	0.28793
364.40	0.28756
364.60	0.28567
364.80	0.28645
365.00	0.28736
365.20	0.28388
365.40	0.28415
365.60	0.28896
365.80	0.28069
366.00	0.28245
366.20	0.28563
366.40	0.28095
366.60	0.28128
366.80	0.27985
367.00	0.28111
367.20	0.27578
367.40	0.27481
367.60	0.27762
367.80	0.27384
368.00	0.27402
368.20	0.27580
368.40	0.27356
368.60	0.27366
368.80	0.27907
369.00	0.27264
369.20	0.27255
369.40	0.27593
369.60	0.27498
369.80	0.27119
370.00	0.26950
370.20	0.26665
370.40	0.27166
370.60	0.26961
370.80	0.27422
371.00	0.27016
371.20	0.27109
371.40	0.27301
371.60	0.27330
371.80	0.26975
372.00	0.27350
372.20	0.27075
372.40	0.27000
372.60	0.27236
372.80	0.27561
373.00	0.27240
373.20	0.27465
373.40	0.27763
373.60	0.27314
373.80	0.27592
374.00	0.27661
374.20	0.27898
374.40	0.27913
374.60	0.27731
374.80	0.28303
375.00	0.27994
375.20	0.28454
375.40	0.28498
375.60	0.28684
375.80	0.28733
376.00	0.29106
376.20	0.29271
376.40	0.29189
376.60	0.29373
376.80	0.29695
377.00	0.29689
377.20	0.29773
377.40	0.30092
377.60	0.30100
377.80	0.30593
378.00	0.30763
378.20	0.30691
378.40	0.31016
378.60	0.31559
378.80	0.31666
379.00	0.31684
379.20	0.31889
379.40	0.32278
379.60	0.32422
379.80	0.32552
380.00	0.32953
380.20	0.33217
380.40	0.33153
380.60	0.33609
380.80	0.33864
381.00	0.33978
381.20	0.34192
381.40	0.34628
381.60	0.34921
381.80	0.35136
382.00	0.35443
382.20	0.35847
382.40	0.36011
382.60	0.36469
382.80	0.36982
383.00	0.37064
383.20	0.37299
383.40	0.37654
383.60	0.38089
383.80	0.38180
384.00	0.38809
384.20	0.39394
384.40	0.39379
384.60	0.39730
384.80	0.40220
385.00	0.40567
385.20	0.41394
385.40	0.41667
385.60	0.41945
385.80	0.42310
386.00	0.42747
386.20	0.43379
386.40	0.43580
386.60	0.44258
386.80	0.44706
387.00	0.44964
387.20	0.45437
387.40	0.46044
387.60	0.46610
387.80	0.46752
388.00	0.47488
388.20	0.47742
388.40	0.47764
388.60	0.48504
388.80	0.49024
389.00	0.49484
389.20	0.49952
389.40	0.50551
389.60	0.51130
389.80	0.51428
390.00	0.51904
390.20	0.52701
390.40	0.53038
390.60	0.53784
390.80	0.54321
391.00	0.54534
391.20	0.55343
391.40	0.56140
391.60	0.56681
391.80	0.56918
392.00	0.57753
392.20	0.58198
392.40	0.59076
392.60	0.59574
392.80	0.60397
393.00	0.61079
393.20	0.61658
393.40	0.62458
393.60	0.63012
393.80	0.63495
394.00	0.64450
394.20	0.64737
394.40	0.65445
394.60	0.66342
394.80	0.66892
395.00	0.67526
395.20	0.68094
395.40	0.68855
395.60	0.69754
395.80	0.70099
396.00	0.70911
396.20	0.71531
396.40	0.72250
396.60	0.72743
396.80	0.73778
397.00	0.74659
397.20	0.75223
397.40	0.75908
397.60	0.76764
397.80	0.77132
398.00	0.78258
398.20	0.78988
398.40	0.79658
398.60	0.80116
398.80	0.81119
399.00	0.81839
399.20	0.82306
399.40	0.83403
399.60	0.84002
399.80	0.84891
400.00	0.85549
400.20	0.86039
400.40	0.86693
400.60	0.87530
400.80	0.88198
401.00	0.88982
401.20	0.89500
401.40	0.90361
401.60	0.91273
401.80	0.91663
402.00	0.92424
402.20	0.92853
402.40	0.93361
402.60	0.93935
402.80	0.94685
403.00	0.95111
403.20	0.95519
403.40	0.96105
403.60	0.96972
403.80	0.97235
404.00	0.97622
404.20	0.98220
404.40	0.98473
404.60	0.98765
404.80	0.99199
405.00	0.99116
405.20	0.99481
405.40	0.99664
405.60	0.99729
405.80	0.99898
406.00	0.99683
406.20	0.99992
406.40	1.0000
406.60	0.99724
406.80	0.99843
407.00	0.99325
407.20	0.99043
407.40	0.99055
407.60	0.98786
407.80	0.98435
408.00	0.97972
408.20	0.97745
408.40	0.97104
408.60	0.96514
408.80	0.96038
409.00	0.95618
409.20	0.94731
409.40	0.94586
409.60	0.93609
409.80	0.92615
410.00	0.92010
410.20	0.91617
410.40	0.90813
410.60	0.89973
410.80	0.89585
411.00	0.88520
411.20	0.87829
411.40	0.87155
411.60	0.86458
411.80	0.85534
412.00	0.84974
412.20	0.84225
412.40	0.83400
412.60	0.82383
412.80	0.81880
413.00	0.81122
413.20	0.80360
413.40	0.79655
413.60	0.79002
413.80	0.78199
414.00	0.77686
414.20	0.77102
414.40	0.76228
414.60	0.75767
414.80	0.75408
415.00	0.74747
415.20	0.73947
415.40	0.73641
415.60	0.73148
415.80	0.72185
416.00	0.71700
416.20	0.71357
416.40	0.70977
416.60	0.70032
416.80	0.69744
417.00	0.69180
417.20	0.68337
417.40	0.68027
417.60	0.67480
417.80	0.66443
418.00	0.66283
418.20	0.65591
418.40	0.64904
418.60	0.64299
418.80	0.63437
419.00	0.62897
419.20	0.62037
419.40	0.61296
419.60	0.60766
419.80	0.59652
420.00	0.58918
420.20	0.58096
420.40	0.57127
420.60	0.56189
420.80	0.55283
421.00	0.54141
421.20	0.53155
421.40	0.52318
421.60	0.50939
421.80	0.50073
422.00	0.48861
422.20	0.47715
422.40	0.46726
422.60	0.45679
422.80	0.44444
423.00	0.43260
423.20	0.42235
423.40	0.40983
423.60	0.39785
423.80	0.38639
424.00	0.37573
424.20	0.36446
424.40	0.35327
424.60	0.34068
424.80	0.33318
425.00	0.32013
425.20	0.31405
425.40	0.30295
425.60	0.29527
425.80	0.27985
426.00	0.27014
426.20	0.26168
426.40	0.24812
426.60	0.24141
426.80	0.23262
427.00	0.22444
427.20	0.21538
427.40	0.20972
427.60	0.20003
427.80	0.19284
428.00	0.18421
428.20	0.17790
428.40	0.17070
428.60	0.16422
428.80	0.15929
429.00	0.15061
429.20	0.14370
429.40	0.14257
429.60	0.13543
429.80	0.12918
430.00	0.12323
430.20	0.12046
430.40	0.11323
430.60	0.10901
430.80	0.10550
431.00	0.10098
431.20	0.097059
431.40	0.093776
431.60	0.089089
431.80	0.087537
432.00	0.082134
432.20	0.079477
432.40	0.078402
432.60	0.069795
432.80	0.068970
433.00	0.067149
433.20	0.062661
433.40	0.059576
433.60	0.056372
433.80	0.054243
434.00	0.052770
434.20	0.053238
434.40	0.052711
434.60	0.050681
434.80	0.050382
435.00	0.047069
435.20	0.044790
435.40	0.043158
435.60	0.045447
435.80	0.042273
436.00	0.041626
436.20	0.040352
436.40	0.038163
436.60	0.038890
436.80	0.034651
437.00	0.034800
437.20	0.033467
437.40	0.032044
437.60	0.031944
437.80	0.033387
438.00	0.029726
438.20	0.031357
438.40	0.029218
438.60	0.028342
438.80	0.027337
439.00	0.026641
439.20	0.027407
439.40	0.024721
439.60	0.026512
439.80	0.025676
440.00	0.022860
440.20	0.024541
440.40	0.023626
440.60	0.024432
440.80	0.021029
441.00	0.025298
441.20	0.022760
441.40	0.020362
441.60	0.021308
441.80	0.020920
442.00	0.021188
442.20	0.021735
442.40	0.021855
442.60	0.020432
442.80	0.020581
443.00	0.022114
443.20	0.021437
443.40	0.019566
443.60	0.022303
443.80	0.018800
444.00	0.019855
444.20	0.019954
444.40	0.020959
444.60	0.020432
444.80	0.021387
445.00	0.019497
445.20	0.018094
445.40	0.018372
445.60	0.020084
445.80	0.019745
446.00	0.017865
446.20	0.019367
446.40	0.018143
446.60	0.020830
446.80	0.015974
447.00	0.019258
447.20	0.018551
447.40	0.016074
447.60	0.015775
447.80	0.017517
448.00	0.017825
448.20	0.020233
448.40	0.021069
448.60	0.016581
448.80	0.016830
449.00	0.019646
449.20	0.021059
449.40	0.017974
449.60	0.020104
449.80	0.018074
450.00	0.017895
450.20	0.020064
