Wavelength (nm)	 205 Zn-1 (SE195) [ZnC-T5M10A13]
300.00	0.094695
301.00	0.094765
302.00	0.095014
303.00	0.095487
304.00	0.096083
305.00	0.096759
306.00	0.097457
307.00	0.098155
308.00	0.098949
309.00	0.099587
310.00	0.099925
311.00	0.10025
312.00	0.10043
313.00	0.10047
314.00	0.10052
315.00	0.10036
316.00	0.10030
317.00	0.10031
318.00	0.10029
319.00	0.10040
320.00	0.10067
321.00	0.10097
322.00	0.10133
323.00	0.10164
324.00	0.10216
325.00	0.10252
326.00	0.10281
327.00	0.10305
328.00	0.10314
329.00	0.10311
330.00	0.10310
331.00	0.10303
332.00	0.10277
333.00	0.10248
334.00	0.10227
335.00	0.10208
336.00	0.10188
337.00	0.10174
338.00	0.10167
339.00	0.10169
340.00	0.10191
341.00	0.10219
342.00	0.10237
343.00	0.10285
344.00	0.10338
345.00	0.10389
346.00	0.10452
347.00	0.10516
348.00	0.10586
349.00	0.10662
350.00	0.10732
351.00	0.10811
352.00	0.10900
353.00	0.10980
354.00	0.11072
355.00	0.11163
356.00	0.11274
357.00	0.11390
358.00	0.11505
359.00	0.11627
360.00	0.11766
361.00	0.11914
362.00	0.12078
363.00	0.12270
364.00	0.12449
365.00	0.12648
366.00	0.12838
367.00	0.13030
368.00	0.13168
369.00	0.13284
370.00	0.13364
371.00	0.13412
372.00	0.13495
373.00	0.13605
374.00	0.13678
375.00	0.13776
376.00	0.13854
377.00	0.13959
378.00	0.14073
379.00	0.14153
380.00	0.14244
381.00	0.14349
382.00	0.14487
383.00	0.14602
384.00	0.14776
385.00	0.14994
386.00	0.15268
387.00	0.15635
388.00	0.16111
389.00	0.16711
390.00	0.17468
391.00	0.18400
392.00	0.19491
393.00	0.20710
394.00	0.22088
395.00	0.23538
396.00	0.25110
397.00	0.26692
398.00	0.28200
399.00	0.29500
400.00	0.30610
401.00	0.31469
402.00	0.32114
403.00	0.32486
404.00	0.32632
405.00	0.32652
406.00	0.32599
407.00	0.32607
408.00	0.32872
409.00	0.33533
410.00	0.34648
411.00	0.36408
412.00	0.39073
413.00	0.42427
414.00	0.46478
415.00	0.51545
416.00	0.57316
417.00	0.63761
418.00	0.70812
419.00	0.77962
420.00	0.85111
421.00	0.91540
422.00	0.96091
423.00	0.99000
424.00	0.99780
425.00	0.98125
426.00	0.93788
427.00	0.87159
428.00	0.79140
429.00	0.69631
430.00	0.59897
431.00	0.50924
432.00	0.42352
433.00	0.34198
434.00	0.27708
435.00	0.22558
436.00	0.18160
