Wavelength (nm)	234 FbC1  (SE268) ems
600.00	0.00012342
600.20	0.00011497
600.40	1.4987e-05
600.60	0.00018748
600.80	0.00011258
601.00	0.00012771
601.20	3.7594e-06
601.40	6.0198e-05
601.60	0.00012049
601.80	0.00012437
602.00	0.00013018
602.20	6.7956e-05
602.40	6.8013e-05
602.60	3.7817e-06
602.80	7.1913e-05
603.00	0.00010607
603.20	0.00014028
603.40	3.0356e-05
603.60	5.6968e-05
603.80	4.1812e-05
604.00	0.00010652
604.20	1.9039e-05
604.40	0.00018289
604.60	8.3905e-05
604.80	0.00014886
605.00	0.00019865
605.20	0.00026381
605.40	0.00017987
605.60	8.8097e-05
605.80	8.0505e-05
606.00	0.00015729
606.20	1.9198e-05
606.40	0.00023443
606.60	8.0760e-05
606.80	0.00018481
607.00	0.00016183
607.20	0.00012342
607.40	0.00020073
607.60	0.00020090
607.80	0.00022428
608.00	0.00013159
608.20	0.00019756
608.40	0.00028689
608.60	0.00020954
608.80	0.00018252
609.00	0.00019433
609.20	0.00010115
609.40	0.00015572
609.60	0.00019483
609.80	0.00026132
610.00	0.00017175
610.20	0.00028917
610.40	0.00023470
610.60	0.00034461
610.80	0.00027441
611.00	0.00021583
611.20	0.00026714
611.40	0.00025563
611.60	0.00022046
611.80	0.00035862
612.00	0.00051288
612.20	0.00036728
612.40	0.00039139
612.60	0.00022558
612.80	0.00032883
613.00	0.00024985
613.20	0.00034936
613.40	0.00029806
613.60	0.00027450
613.80	0.00024291
614.00	0.00025513
614.20	0.00066247
614.40	0.00041547
614.60	0.00051589
614.80	0.00048841
615.00	0.00041275
615.20	0.00036118
615.40	0.00049835
615.60	0.00043064
615.80	0.00047156
616.00	0.00029465
616.20	0.00035569
616.40	0.00055048
616.60	0.00053099
616.80	0.00065757
617.00	0.00064630
617.20	0.00068386
617.40	0.00059923
617.60	0.00070620
617.80	0.00073582
618.00	0.00078187
618.20	0.00069280
618.40	0.00052134
618.60	0.00066599
618.80	0.00089743
619.00	0.00067195
619.20	0.00059033
619.40	0.00066141
619.60	0.00089005
619.80	0.00077102
620.00	0.00088418
620.20	0.00072745
620.40	0.00089082
620.60	0.00092539
620.80	0.00088910
621.00	0.00090707
621.20	0.00085391
621.40	0.00075028
621.60	0.0010900
621.80	0.0010900
622.00	0.00092178
622.20	0.0010800
622.40	0.00087366
622.60	0.0010500
622.80	0.0011200
623.00	0.00085183
623.20	0.0010200
623.40	0.0011000
623.60	0.0011200
623.80	0.0011100
624.00	0.0010900
624.20	0.00089299
624.40	0.0010900
624.60	0.0013100
624.80	0.0012700
625.00	0.0013500
625.20	0.0011900
625.40	0.0011800
625.60	0.0010400
625.80	0.0012200
626.00	0.0011900
626.20	0.0013400
626.40	0.0016400
626.60	0.0012900
626.80	0.0013700
627.00	0.0013400
627.20	0.0012300
627.40	0.0014900
627.60	0.0015500
627.80	0.0014000
628.00	0.0014000
628.20	0.0016300
628.40	0.0016000
628.60	0.0014700
628.80	0.0015300
629.00	0.0016000
629.20	0.0015000
629.40	0.0014600
629.60	0.0013400
629.80	0.0014800
630.00	0.0016000
630.20	0.0013300
630.40	0.0015500
630.60	0.0015500
630.80	0.0016200
631.00	0.0015700
631.20	0.0015500
631.40	0.0016300
631.60	0.0017700
631.80	0.0016700
632.00	0.0016900
632.20	0.0017100
632.40	0.0016300
632.60	0.0017800
632.80	0.0017800
633.00	0.0018300
633.20	0.0019700
633.40	0.0015800
633.60	0.0016300
633.80	0.0017000
634.00	0.0020400
634.20	0.0016300
634.40	0.0015500
634.60	0.0020300
634.80	0.0020200
635.00	0.0019300
635.20	0.0016400
635.40	0.0021200
635.60	0.0018900
635.80	0.0016500
636.00	0.0019200
636.20	0.0017900
636.40	0.0017700
636.60	0.0018400
636.80	0.0024100
637.00	0.0019700
637.20	0.0020100
637.40	0.0022000
637.60	0.0020100
637.80	0.0023700
638.00	0.0020700
638.20	0.0021300
638.40	0.0017500
638.60	0.0022700
638.80	0.0021400
639.00	0.0021800
639.20	0.0023600
639.40	0.0025000
639.60	0.0022800
639.80	0.0025200
640.00	0.0024400
640.20	0.0024300
640.40	0.0029000
640.60	0.0023800
640.80	0.0021600
641.00	0.0024900
641.20	0.0031800
641.40	0.0023600
641.60	0.0022500
641.80	0.0023700
642.00	0.0026300
642.20	0.0026500
642.40	0.0029700
642.60	0.0028200
642.80	0.0032700
643.00	0.0030800
643.20	0.0033600
643.40	0.0030300
643.60	0.0030400
643.80	0.0028700
644.00	0.0029800
644.20	0.0031600
644.40	0.0033500
644.60	0.0029300
644.80	0.0030700
645.00	0.0033200
645.20	0.0035400
645.40	0.0037100
645.60	0.0036700
645.80	0.0038600
646.00	0.0040700
646.20	0.0036500
646.40	0.0038000
646.60	0.0038000
646.80	0.0045000
647.00	0.0045000
647.20	0.0043400
647.40	0.0040200
647.60	0.0041400
647.80	0.0045100
648.00	0.0045300
648.20	0.0051100
648.40	0.0048400
648.60	0.0051200
648.80	0.0048800
649.00	0.0057800
649.20	0.0052900
649.40	0.0057400
649.60	0.0060700
649.80	0.0065500
650.00	0.0064500
650.20	0.0065600
650.40	0.0075100
650.60	0.0073100
650.80	0.0075100
651.00	0.0080500
651.20	0.0083100
651.40	0.0086300
651.60	0.0088500
651.80	0.0092000
652.00	0.0096900
652.20	0.0093300
652.40	0.010090
652.60	0.010130
652.80	0.011150
653.00	0.010780
653.20	0.012080
653.40	0.011860
653.60	0.012430
653.80	0.013720
654.00	0.014080
654.20	0.014110
654.40	0.014680
654.60	0.015550
654.80	0.015750
655.00	0.017440
655.20	0.016920
655.40	0.017400
655.60	0.018610
655.80	0.019730
656.00	0.020430
656.20	0.021070
656.40	0.021160
656.60	0.022760
656.80	0.024590
657.00	0.024650
657.20	0.025440
657.40	0.026300
657.60	0.028090
657.80	0.029340
658.00	0.029120
658.20	0.029690
658.40	0.032630
658.60	0.033520
658.80	0.036520
659.00	0.036450
659.20	0.037350
659.40	0.039550
659.60	0.041260
659.80	0.042700
660.00	0.044610
660.20	0.047000
660.40	0.049530
660.60	0.050240
660.80	0.051940
661.00	0.054880
661.20	0.058340
661.40	0.060390
661.60	0.063090
661.80	0.066370
662.00	0.068510
662.20	0.071200
662.40	0.075040
662.60	0.080330
662.80	0.084390
663.00	0.092210
663.20	0.094520
663.40	0.099530
663.60	0.10604
663.80	0.10906
664.00	0.11674
664.20	0.12232
664.40	0.12995
664.60	0.13740
664.80	0.14329
665.00	0.15312
665.20	0.16029
665.40	0.16747
665.60	0.17801
665.80	0.19005
666.00	0.19794
666.20	0.20826
666.40	0.22304
666.60	0.23322
666.80	0.24247
667.00	0.25614
667.20	0.27194
667.40	0.28897
667.60	0.30012
667.80	0.31500
668.00	0.33171
668.20	0.34377
668.40	0.36048
668.60	0.38163
668.80	0.39622
669.00	0.41138
669.20	0.43110
669.40	0.44697
669.60	0.46652
669.80	0.48079
670.00	0.49720
670.20	0.52242
670.40	0.53614
670.60	0.55793
670.80	0.58028
671.00	0.60020
671.20	0.61860
671.40	0.63398
671.60	0.65281
671.80	0.67612
672.00	0.68773
672.20	0.71184
672.40	0.72100
672.60	0.74821
672.80	0.76658
673.00	0.78264
673.20	0.80801
673.40	0.82019
