Wavelength (nm)	327 C-40.abs
300.00	0.12774
300.20	0.12814
300.40	0.12814
300.60	0.12834
300.80	0.12854
301.00	0.12874
301.20	0.12874
301.40	0.12914
301.60	0.12933
301.80	0.12953
302.00	0.12993
302.20	0.12973
302.40	0.12993
302.60	0.13013
302.80	0.13073
303.00	0.13073
303.20	0.13053
303.40	0.13093
303.60	0.13133
303.80	0.13153
304.00	0.13193
304.20	0.13193
304.40	0.13193
304.60	0.13272
304.80	0.13232
305.00	0.13312
305.20	0.13272
305.40	0.13292
305.60	0.13332
305.80	0.13332
306.00	0.13312
306.20	0.13332
306.40	0.13332
306.60	0.13352
306.80	0.13372
307.00	0.13372
307.20	0.13372
307.40	0.13372
307.60	0.13332
307.80	0.13312
308.00	0.13292
308.20	0.13272
308.40	0.13272
308.60	0.13272
308.80	0.13252
309.00	0.13252
309.20	0.13193
309.40	0.13173
309.60	0.13173
309.80	0.13093
310.00	0.13073
310.20	0.13053
310.40	0.13033
310.60	0.12973
310.80	0.12933
311.00	0.12894
311.20	0.12834
311.40	0.12754
311.60	0.12714
311.80	0.12635
312.00	0.12615
312.20	0.12515
312.40	0.12475
312.60	0.12395
312.80	0.12336
313.00	0.12276
313.20	0.12196
313.40	0.12136
313.60	0.12077
313.80	0.11997
314.00	0.11937
314.20	0.11837
314.40	0.11738
314.60	0.11658
314.80	0.11618
315.00	0.11479
315.20	0.11399
315.40	0.11339
315.60	0.11260
315.80	0.11180
316.00	0.11100
316.20	0.11020
316.40	0.11000
316.60	0.10861
316.80	0.10761
317.00	0.10721
317.20	0.10622
317.40	0.10602
317.60	0.10462
317.80	0.10442
318.00	0.10363
318.20	0.10283
318.40	0.10223
318.60	0.10183
318.80	0.10064
319.00	0.10024
319.20	0.10004
319.40	0.099443
319.60	0.098845
319.80	0.098645
320.00	0.098247
320.20	0.098048
320.40	0.097649
320.60	0.097251
320.80	0.097051
321.00	0.097051
321.20	0.096852
321.40	0.096254
321.60	0.096453
321.80	0.096453
322.00	0.096453
322.20	0.096055
322.40	0.096453
322.60	0.096254
322.80	0.096653
323.00	0.096852
323.20	0.097051
323.40	0.097051
323.60	0.097251
323.80	0.097649
324.00	0.097848
324.20	0.098446
324.40	0.098645
324.60	0.099443
324.80	0.099443
325.00	0.10004
325.20	0.10044
325.40	0.10024
325.60	0.10084
325.80	0.10163
326.00	0.10203
326.20	0.10303
326.40	0.10363
326.60	0.10403
326.80	0.10442
327.00	0.10482
327.20	0.10562
327.40	0.10642
327.60	0.10682
327.80	0.10721
328.00	0.10801
328.20	0.10841
328.40	0.10901
328.60	0.10981
328.80	0.11020
329.00	0.11120
329.20	0.11180
329.40	0.11240
329.60	0.11339
329.80	0.11399
330.00	0.11439
330.20	0.11539
330.40	0.11539
330.60	0.11638
330.80	0.11718
331.00	0.11778
331.20	0.11798
331.40	0.11857
331.60	0.11917
331.80	0.11997
332.00	0.12017
332.20	0.12077
332.40	0.12156
332.60	0.12216
332.80	0.12256
333.00	0.12356
333.20	0.12455
333.40	0.12495
333.60	0.12575
333.80	0.12595
334.00	0.12674
334.20	0.12714
334.40	0.12754
334.60	0.12834
334.80	0.12894
335.00	0.12953
335.20	0.13013
335.40	0.13033
335.60	0.13093
335.80	0.13173
336.00	0.13232
336.20	0.13312
336.40	0.13372
336.60	0.13531
336.80	0.13551
337.00	0.13631
337.20	0.13691
337.40	0.13731
337.60	0.13830
337.80	0.13870
338.00	0.13950
338.20	0.14049
338.40	0.14069
338.60	0.14209
338.80	0.14269
339.00	0.14328
339.20	0.14388
339.40	0.14528
339.60	0.14607
339.80	0.14687
340.00	0.14807
340.20	0.14906
340.40	0.15006
340.60	0.15046
340.80	0.15146
341.00	0.15245
341.20	0.15285
341.40	0.15405
341.60	0.15524
341.80	0.15624
342.00	0.15704
342.20	0.15803
342.40	0.15923
342.60	0.16022
342.80	0.16082
343.00	0.16182
343.20	0.16321
343.40	0.16461
343.60	0.16580
343.80	0.16700
344.00	0.16760
344.20	0.16879
344.40	0.16959
344.60	0.17059
344.80	0.17138
345.00	0.17258
345.20	0.17377
345.40	0.17517
345.60	0.17617
345.80	0.17716
346.00	0.17796
346.20	0.17916
346.40	0.17995
346.60	0.18115
346.80	0.18254
347.00	0.18354
347.20	0.18434
347.40	0.18533
347.60	0.18633
347.80	0.18753
348.00	0.18832
348.20	0.18912
348.40	0.19012
348.60	0.19111
348.80	0.19151
349.00	0.19271
349.20	0.19370
349.40	0.19430
349.60	0.19570
349.80	0.19649
350.00	0.19729
350.20	0.19829
350.40	0.19948
350.60	0.19988
350.80	0.20068
351.00	0.20148
351.20	0.20267
351.40	0.20327
351.60	0.20427
351.80	0.20506
352.00	0.20586
352.20	0.20666
352.40	0.20745
352.60	0.20865
352.80	0.20945
353.00	0.20985
353.20	0.21044
353.40	0.21184
353.60	0.21244
353.80	0.21343
354.00	0.21443
354.20	0.21483
354.40	0.21582
354.60	0.21642
354.80	0.21762
355.00	0.21802
355.20	0.21881
355.40	0.22041
355.60	0.22100
355.80	0.22120
356.00	0.22280
356.20	0.22419
356.40	0.22479
356.60	0.22619
356.80	0.22658
357.00	0.22758
357.20	0.22838
357.40	0.22957
357.60	0.23057
357.80	0.23236
358.00	0.23316
358.20	0.23396
358.40	0.23495
358.60	0.23615
358.80	0.23715
359.00	0.23834
359.20	0.23974
359.40	0.24053
359.60	0.24173
359.80	0.24293
360.00	0.24492
360.20	0.24572
360.40	0.24711
360.60	0.24811
360.80	0.24970
361.00	0.25070
361.20	0.25249
361.40	0.25329
361.60	0.25468
361.80	0.25648
362.00	0.25727
362.20	0.25807
362.40	0.26026
362.60	0.26146
362.80	0.26246
363.00	0.26405
363.20	0.26544
363.40	0.26744
363.60	0.26823
363.80	0.27003
364.00	0.27182
364.20	0.27282
364.40	0.27401
364.60	0.27561
364.80	0.27720
365.00	0.27860
365.20	0.27979
365.40	0.28119
365.60	0.28218
365.80	0.28378
366.00	0.28497
366.20	0.28737
366.40	0.28836
366.60	0.29036
366.80	0.29135
367.00	0.29255
367.20	0.29414
367.40	0.29574
367.60	0.29693
367.80	0.29853
368.00	0.29992
368.20	0.30112
368.40	0.30231
368.60	0.30391
368.80	0.30530
369.00	0.30650
369.20	0.30789
369.40	0.31028
369.60	0.31168
369.80	0.31287
370.00	0.31407
370.20	0.31566
370.40	0.31706
370.60	0.31885
370.80	0.32005
371.00	0.32184
371.20	0.32324
371.40	0.32423
371.60	0.32603
371.80	0.32742
372.00	0.32882
372.20	0.32981
372.40	0.33181
372.60	0.33300
372.80	0.33480
373.00	0.33559
373.20	0.33739
373.40	0.33898
373.60	0.34018
373.80	0.34197
374.00	0.34376
374.20	0.34496
374.40	0.34635
374.60	0.34795
374.80	0.34934
375.00	0.35054
375.20	0.35193
375.40	0.35413
375.60	0.35532
375.80	0.35731
376.00	0.35871
376.20	0.36010
376.40	0.36170
376.60	0.36309
376.80	0.36449
377.00	0.36588
377.20	0.36748
377.40	0.36887
377.60	0.37007
377.80	0.37166
378.00	0.37306
378.20	0.37405
378.40	0.37585
378.60	0.37744
378.80	0.37884
379.00	0.38003
379.20	0.38143
379.40	0.38302
379.60	0.38442
379.80	0.38581
380.00	0.38701
380.20	0.38860
380.40	0.38960
380.60	0.39079
380.80	0.39199
381.00	0.39299
381.20	0.39438
381.40	0.39597
381.60	0.39717
381.80	0.39876
382.00	0.39976
382.20	0.40136
382.40	0.40255
382.60	0.40395
382.80	0.40514
383.00	0.40654
383.20	0.40793
383.40	0.40953
383.60	0.41072
383.80	0.41192
384.00	0.41311
384.20	0.41411
384.40	0.41630
384.60	0.41750
384.80	0.41889
385.00	0.42049
385.20	0.42168
385.40	0.42348
385.60	0.42527
385.80	0.42686
386.00	0.42866
386.20	0.43025
386.40	0.43224
386.60	0.43384
386.80	0.43563
387.00	0.43743
387.20	0.43922
387.40	0.44241
387.60	0.44380
387.80	0.44619
388.00	0.44839
388.20	0.45118
388.40	0.45357
388.60	0.45596
388.80	0.45875
389.00	0.46174
389.20	0.46433
389.40	0.46752
389.60	0.47091
389.80	0.47409
390.00	0.47688
390.20	0.48226
390.40	0.48545
390.60	0.48844
390.80	0.49163
391.00	0.49582
391.20	0.50000
391.40	0.50379
391.60	0.50777
391.80	0.51275
392.00	0.51754
392.20	0.52212
392.40	0.52670
392.60	0.53248
392.80	0.53786
393.00	0.54245
393.20	0.54982
393.40	0.55540
393.60	0.56038
393.80	0.56517
394.00	0.57114
394.20	0.57752
394.40	0.58430
394.60	0.59008
394.80	0.59685
395.00	0.60423
395.20	0.61120
395.40	0.61778
395.60	0.62535
395.80	0.63312
396.00	0.64348
396.20	0.65006
396.40	0.65783
396.60	0.66461
396.80	0.67118
397.00	0.67756
397.20	0.68613
397.40	0.69430
397.60	0.70128
397.80	0.70865
398.00	0.71802
398.20	0.72599
398.40	0.73396
398.60	0.74153
398.80	0.75508
399.00	0.76265
399.20	0.76923
399.40	0.77641
399.60	0.78438
399.80	0.79095
400.00	0.79713
400.20	0.80430
400.40	0.81208
400.60	0.81965
400.80	0.82563
401.00	0.83260
401.20	0.84018
401.40	0.84695
401.60	0.85572
401.80	0.86289
402.00	0.86847
402.20	0.87365
402.40	0.87864
402.60	0.88442
402.80	0.88860
403.00	0.89259
403.20	0.89637
403.40	0.90136
403.60	0.90574
403.80	0.90992
404.00	0.91331
404.20	0.91730
404.40	0.92248
404.60	0.92527
404.80	0.92846
405.00	0.93105
405.20	0.93364
405.40	0.93543
405.60	0.93723
405.80	0.93922
406.00	0.94061
406.20	0.94221
406.40	0.94320
406.60	0.94500
406.80	0.94580
407.00	0.94639
407.20	0.94719
407.40	0.94779
407.60	0.94779
407.80	0.94859
408.00	0.94878
408.20	0.94839
408.40	0.94819
408.60	0.94799
408.80	0.94779
409.00	0.94739
409.20	0.94719
409.40	0.94679
409.60	0.94619
409.80	0.94500
410.00	0.94460
410.20	0.94420
410.40	0.94320
410.60	0.94241
410.80	0.94201
411.00	0.94141
411.20	0.94061
411.40	0.94002
411.60	0.93942
411.80	0.93942
412.00	0.93862
412.20	0.93822
412.40	0.93802
412.60	0.93743
412.80	0.93723
413.00	0.93703
413.20	0.93703
413.40	0.93663
413.60	0.93683
413.80	0.93703
414.00	0.93663
414.20	0.93743
414.40	0.93743
414.60	0.93782
414.80	0.93782
415.00	0.93762
415.20	0.93942
415.40	0.94002
415.60	0.94041
415.80	0.94101
416.00	0.94161
416.20	0.94340
416.40	0.94480
416.60	0.94560
416.80	0.94699
417.00	0.94878
417.20	0.94998
417.40	0.95177
417.60	0.95317
417.80	0.95576
418.00	0.95775
418.20	0.95895
418.40	0.96094
418.60	0.96273
418.80	0.96552
419.00	0.96752
419.20	0.96991
419.40	0.97190
419.60	0.97549
419.80	0.97768
420.00	0.98007
420.20	0.98206
420.40	0.98645
420.60	0.98824
420.80	0.99024
421.00	0.99243
421.20	0.99462
421.40	0.99601
421.60	0.99721
421.80	0.99821
422.00	0.99940
422.20	0.99960
422.40	1.00000
422.60	0.99940
422.80	0.99860
423.00	0.99661
423.20	0.99362
423.40	0.99004
423.60	0.98665
423.80	0.98246
424.00	0.97848
424.20	0.97270
424.40	0.96692
424.60	0.96054
424.80	0.95436
425.00	0.94540
425.20	0.93663
425.40	0.92766
425.60	0.91112
425.80	0.89916
426.00	0.88701
426.20	0.87505
426.40	0.86090
426.60	0.84576
426.80	0.83200
427.00	0.81865
427.20	0.80450
427.40	0.78956
427.60	0.77561
427.80	0.76166
428.00	0.74532
428.20	0.71961
428.40	0.70287
428.60	0.68753
428.80	0.66760
429.00	0.64906
429.20	0.63193
429.40	0.61578
429.60	0.59526
429.80	0.57732
430.00	0.56118
430.20	0.54643
430.40	0.52850
430.60	0.51355
430.80	0.49223
431.00	0.47629
431.20	0.45935
431.40	0.44360
431.60	0.42965
431.80	0.41351
432.00	0.39717
432.20	0.38222
432.40	0.36927
432.60	0.35432
432.80	0.33898
433.00	0.32603
433.20	0.30949
433.40	0.29693
433.60	0.28617
433.80	0.27641
434.00	0.26704
434.20	0.25508
434.40	0.24452
434.60	0.23515
434.80	0.22639
435.00	0.21562
435.20	0.20626
435.40	0.19769
435.60	0.18972
435.80	0.17637
436.00	0.16919
436.20	0.16301
436.40	0.15644
436.60	0.15006
436.80	0.14468
437.00	0.13930
437.20	0.13412
437.40	0.12794
437.60	0.12256
437.80	0.11818
438.00	0.11319
438.20	0.10582
438.40	0.10163
438.60	0.098048
438.80	0.093265
439.00	0.089478
439.20	0.086290
439.40	0.083699
439.60	0.080312
439.80	0.077522
440.00	0.074931
440.20	0.072739
440.40	0.069949
440.60	0.067557
440.80	0.064170
441.00	0.062177
441.20	0.059586
441.40	0.057793
441.60	0.055999
441.80	0.054206
442.00	0.052013
442.20	0.050618
442.40	0.049622
442.60	0.048028
442.80	0.046633
443.00	0.045437
443.20	0.044241
443.40	0.042846
443.60	0.041651
443.80	0.040654
444.00	0.039658
444.20	0.038661
444.40	0.037665
444.60	0.037067
444.80	0.036270
445.00	0.035473
445.20	0.034676
445.40	0.034277
445.60	0.033281
445.80	0.032683
446.00	0.032085
446.20	0.031687
446.40	0.031089
446.60	0.030491
446.80	0.030292
447.00	0.029694
447.20	0.029295
447.40	0.028897
447.60	0.028697
447.80	0.028299
448.00	0.027701
448.20	0.027302
448.40	0.027103
448.60	0.027103
448.80	0.026705
449.00	0.026505
449.20	0.026306
449.40	0.026107
449.60	0.025907
449.80	0.025708
450.00	0.025509
450.20	0.025310
450.40	0.025310
450.60	0.024911
450.80	0.024911
451.00	0.024712
451.20	0.024712
451.40	0.024313
451.60	0.024313
451.80	0.024313
452.00	0.024114
452.20	0.023915
452.40	0.023915
452.60	0.024114
452.80	0.023915
453.00	0.023715
453.20	0.023715
453.40	0.023715
453.60	0.023516
453.80	0.023516
454.00	0.023516
454.20	0.023516
454.40	0.023516
454.60	0.023516
454.80	0.023516
455.00	0.023516
455.20	0.023317
455.40	0.023317
455.60	0.023317
455.80	0.023317
456.00	0.023117
456.20	0.023317
456.40	0.023317
456.60	0.023117
456.80	0.023317
457.00	0.023117
457.20	0.023317
457.40	0.023317
457.60	0.023317
457.80	0.023317
458.00	0.023317
458.20	0.023317
458.40	0.023516
458.60	0.023317
458.80	0.023516
459.00	0.023317
459.20	0.023516
459.40	0.023516
459.60	0.023516
459.80	0.023516
460.00	0.023516
460.20	0.023516
460.40	0.023715
460.60	0.023516
460.80	0.023715
461.00	0.023715
461.20	0.023715
461.40	0.023915
461.60	0.023915
461.80	0.023915
462.00	0.024114
462.20	0.024114
462.40	0.024114
462.60	0.024114
462.80	0.024313
463.00	0.024313
463.20	0.024313
463.40	0.024512
463.60	0.024512
463.80	0.024712
464.00	0.024712
464.20	0.024911
464.40	0.024911
464.60	0.025110
464.80	0.025110
465.00	0.025110
465.20	0.025110
465.40	0.025310
465.60	0.025310
465.80	0.025509
466.00	0.025708
466.20	0.025509
466.40	0.025708
466.60	0.025907
466.80	0.025907
467.00	0.025907
467.20	0.026107
467.40	0.025907
467.60	0.026107
467.80	0.026107
468.00	0.026306
468.20	0.026306
468.40	0.026505
468.60	0.026505
468.80	0.026505
469.00	0.026705
469.20	0.026705
469.40	0.026705
469.60	0.026904
469.80	0.026904
470.00	0.026904
470.20	0.027103
470.40	0.027103
470.60	0.027103
470.80	0.027302
471.00	0.027302
471.20	0.027502
471.40	0.027502
471.60	0.027502
471.80	0.027701
472.00	0.027701
472.20	0.027701
472.40	0.027900
472.60	0.028100
472.80	0.028100
473.00	0.028100
473.20	0.028299
473.40	0.028498
473.60	0.028498
473.80	0.028498
474.00	0.028498
474.20	0.028697
474.40	0.028697
474.60	0.028897
474.80	0.029096
475.00	0.029096
475.20	0.029295
475.40	0.029295
475.60	0.029694
475.80	0.029694
476.00	0.029694
476.20	0.029893
476.40	0.030092
476.60	0.030092
476.80	0.030092
477.00	0.030292
477.20	0.030491
477.40	0.030491
477.60	0.030690
477.80	0.030690
478.00	0.030889
478.20	0.031089
478.40	0.031288
478.60	0.031288
478.80	0.031487
479.00	0.031687
479.20	0.031687
479.40	0.031886
479.60	0.032085
479.80	0.032284
480.00	0.032284
480.20	0.032484
480.40	0.032683
480.60	0.032882
480.80	0.033082
481.00	0.033281
481.20	0.033281
481.40	0.033480
481.60	0.033679
481.80	0.033879
482.00	0.034078
482.20	0.034277
482.40	0.034277
482.60	0.034477
482.80	0.034875
483.00	0.034875
483.20	0.035074
483.40	0.035274
483.60	0.035473
483.80	0.035672
484.00	0.035872
484.20	0.036071
484.40	0.036469
484.60	0.036469
484.80	0.036669
485.00	0.036868
485.20	0.037067
485.40	0.037266
485.60	0.037466
485.80	0.037665
486.00	0.037665
486.20	0.037864
486.40	0.038263
486.60	0.038462
486.80	0.038661
487.00	0.038861
487.20	0.039259
487.40	0.039259
487.60	0.039658
487.80	0.039658
488.00	0.040056
488.20	0.040455
488.40	0.040455
488.60	0.040854
488.80	0.041053
489.00	0.041451
489.20	0.041651
489.40	0.041850
489.60	0.042249
489.80	0.042448
490.00	0.042846
490.20	0.043245
490.40	0.043644
490.60	0.044042
490.80	0.044441
491.00	0.045039
491.20	0.045238
491.40	0.045636
491.60	0.046035
491.80	0.046433
492.00	0.047031
492.20	0.047231
492.40	0.048227
492.60	0.048825
492.80	0.049423
493.00	0.049821
493.20	0.050618
493.40	0.051216
493.60	0.051814
493.80	0.052412
494.00	0.053209
494.20	0.054006
494.40	0.054803
494.60	0.055999
494.80	0.056796
495.00	0.057593
495.20	0.058191
495.40	0.059188
495.60	0.060184
495.80	0.061180
496.00	0.061978
496.20	0.062974
496.40	0.063970
496.60	0.065565
496.80	0.066362
497.00	0.067757
497.20	0.068753
497.40	0.069750
497.60	0.070547
497.80	0.071742
498.00	0.072539
498.20	0.073337
498.40	0.074134
498.60	0.075927
498.80	0.076724
499.00	0.077522
499.20	0.078518
499.40	0.079514
499.60	0.080312
499.80	0.081109
500.00	0.081906
500.20	0.082703
500.40	0.083301
500.60	0.084297
500.80	0.085094
501.00	0.085692
501.20	0.086091
501.40	0.086489
501.60	0.087286
501.80	0.087884
502.00	0.088283
502.20	0.088482
502.40	0.089080
502.60	0.089678
502.80	0.090076
503.00	0.090276
503.20	0.090873
503.40	0.091073
503.60	0.091272
503.80	0.091471
504.00	0.091870
504.20	0.092069
504.40	0.092268
504.60	0.092667
504.80	0.092866
505.00	0.093265
505.20	0.093464
505.40	0.093663
505.60	0.094062
505.80	0.094461
506.00	0.094461
506.20	0.095058
506.40	0.095258
506.60	0.095856
506.80	0.096055
507.00	0.096453
507.20	0.096852
507.40	0.097251
507.60	0.097450
507.80	0.097848
508.00	0.098048
508.20	0.098446
508.40	0.098845
508.60	0.099642
508.80	0.099642
509.00	0.10004
509.20	0.10044
509.40	0.10064
509.60	0.10124
509.80	0.10124
510.00	0.10124
510.20	0.10163
510.40	0.10163
510.60	0.10183
510.80	0.10203
511.00	0.10203
511.20	0.10203
511.40	0.10203
511.60	0.10183
511.80	0.10163
512.00	0.10144
512.20	0.10124
512.40	0.10104
512.60	0.10044
512.80	0.10004
513.00	0.099841
513.20	0.099443
513.40	0.098845
513.60	0.098446
513.80	0.097848
514.00	0.097251
514.20	0.096653
514.40	0.095656
514.60	0.094660
514.80	0.094062
515.00	0.093265
515.20	0.092468
515.40	0.091471
515.60	0.090674
515.80	0.089877
516.00	0.089080
516.20	0.087884
516.40	0.086689
516.60	0.085692
516.80	0.084696
517.00	0.083500
517.20	0.082504
517.40	0.081507
517.60	0.080112
517.80	0.079116
518.00	0.078119
518.20	0.076924
518.40	0.075130
518.60	0.073934
518.80	0.073137
519.00	0.071942
519.20	0.070746
519.40	0.069750
519.60	0.068753
519.80	0.067757
520.00	0.066561
520.20	0.064967
520.40	0.063970
520.60	0.062775
520.80	0.061579
521.00	0.060583
521.20	0.059586
521.40	0.058390
521.60	0.057394
521.80	0.056597
522.00	0.055600
522.20	0.054206
522.40	0.053408
522.60	0.052611
522.80	0.051615
523.00	0.050618
523.20	0.050021
523.40	0.049223
523.60	0.048426
523.80	0.047629
524.00	0.046433
524.20	0.045836
524.40	0.045039
524.60	0.044241
524.80	0.043843
525.00	0.043245
525.20	0.042647
525.40	0.042249
525.60	0.041651
525.80	0.041252
526.00	0.040654
526.20	0.040256
526.40	0.039857
526.60	0.039459
526.80	0.039259
527.00	0.038861
527.20	0.038861
527.40	0.038462
527.60	0.038263
527.80	0.038064
528.00	0.038064
528.20	0.038064
528.40	0.037864
528.60	0.037864
528.80	0.037864
529.00	0.037864
529.20	0.038064
529.40	0.038064
529.60	0.038462
529.80	0.038462
530.00	0.038861
530.20	0.039060
530.40	0.039459
530.60	0.039658
530.80	0.040056
531.00	0.040455
531.20	0.040854
531.40	0.041651
531.60	0.042049
531.80	0.042647
532.00	0.043245
532.20	0.044042
532.40	0.044640
532.60	0.045437
532.80	0.046433
533.00	0.047231
533.20	0.048626
533.40	0.049622
533.60	0.050618
533.80	0.051615
534.00	0.052412
534.20	0.053608
534.40	0.054604
534.60	0.055800
534.80	0.056597
535.00	0.058390
535.20	0.059586
535.40	0.060782
535.60	0.061978
535.80	0.063373
536.00	0.064369
536.20	0.065565
536.40	0.066561
536.60	0.067956
536.80	0.068952
537.00	0.070148
537.20	0.071145
537.40	0.071942
537.60	0.072938
537.80	0.073536
538.00	0.074333
538.20	0.075130
538.40	0.075728
538.60	0.076326
538.80	0.076924
539.00	0.077322
539.20	0.077721
539.40	0.077920
539.60	0.077920
539.80	0.077920
540.00	0.077920
540.20	0.077721
540.40	0.077721
540.60	0.077322
540.80	0.076924
541.00	0.076525
541.20	0.075927
541.40	0.075329
541.60	0.074732
541.80	0.073934
542.00	0.073137
542.20	0.071942
542.40	0.070945
542.60	0.069750
542.80	0.068952
543.00	0.067956
543.20	0.066960
