Wavelength  (nm)	327 C-34.abs
300.00	0.32448
300.20	0.32485
300.40	0.32513
300.60	0.32579
300.80	0.32625
301.00	0.32625
301.20	0.32672
301.40	0.32700
301.60	0.32738
301.80	0.32719
302.00	0.32738
302.20	0.32728
302.40	0.32719
302.60	0.32691
302.80	0.32700
303.00	0.32682
303.20	0.32691
303.40	0.32644
303.60	0.32625
303.80	0.32597
304.00	0.32579
304.20	0.32541
304.40	0.32522
304.60	0.32494
304.80	0.32494
305.00	0.32504
305.20	0.32457
305.40	0.32457
305.60	0.32448
305.80	0.32438
306.00	0.32466
306.20	0.32466
306.40	0.32494
306.60	0.32448
306.80	0.32504
307.00	0.32494
307.20	0.32551
307.40	0.32569
307.60	0.32607
307.80	0.32625
308.00	0.32682
308.20	0.32710
308.40	0.32766
308.60	0.32831
308.80	0.32878
309.00	0.32934
309.20	0.32962
309.40	0.32990
309.60	0.33065
309.80	0.33103
310.00	0.33121
310.20	0.33224
310.40	0.33271
310.60	0.33271
310.80	0.33336
311.00	0.33402
311.20	0.33449
311.40	0.33505
311.60	0.33552
311.80	0.33580
312.00	0.33570
312.20	0.33617
312.40	0.33589
312.60	0.33626
312.80	0.33617
313.00	0.33598
313.20	0.33561
313.40	0.33514
313.60	0.33477
313.80	0.33374
314.00	0.33336
314.20	0.33234
314.40	0.33149
314.60	0.33028
314.80	0.32869
315.00	0.32616
315.20	0.32476
315.40	0.32317
315.60	0.32148
315.80	0.31952
316.00	0.31755
316.20	0.31577
316.40	0.31381
316.60	0.31166
316.80	0.30894
317.00	0.30670
317.20	0.30408
317.40	0.30137
317.60	0.29893
317.80	0.29687
318.00	0.29407
318.20	0.29145
318.40	0.28911
318.60	0.28724
318.80	0.28368
319.00	0.28162
319.20	0.27947
319.40	0.27760
319.60	0.27545
319.80	0.27358
320.00	0.27124
320.20	0.26946
320.40	0.26750
320.60	0.26562
320.80	0.26450
321.00	0.26301
321.20	0.26113
321.40	0.25954
321.60	0.25833
321.80	0.25683
322.00	0.25533
322.20	0.25412
322.40	0.25243
322.60	0.25187
322.80	0.25019
323.00	0.24916
323.20	0.24850
323.40	0.24719
323.60	0.24607
323.80	0.24532
324.00	0.24467
324.20	0.24364
324.40	0.24289
324.60	0.24223
324.80	0.24158
325.00	0.24111
325.20	0.24027
325.40	0.23990
325.60	0.23915
325.80	0.23877
326.00	0.23784
326.20	0.23737
326.40	0.23699
326.60	0.23671
326.80	0.23634
327.00	0.23587
327.20	0.23559
327.40	0.23531
327.60	0.23494
327.80	0.23456
328.00	0.23428
328.20	0.23409
328.40	0.23391
328.60	0.23381
328.80	0.23372
329.00	0.23344
329.20	0.23344
329.40	0.23344
329.60	0.23335
329.80	0.23307
330.00	0.23307
330.20	0.23278
330.40	0.23288
330.60	0.23297
330.80	0.23307
331.00	0.23278
331.20	0.23297
331.40	0.23278
331.60	0.23288
331.80	0.23260
332.00	0.23297
332.20	0.23297
332.40	0.23325
332.60	0.23325
332.80	0.23316
333.00	0.23335
333.20	0.23353
333.40	0.23363
333.60	0.23372
333.80	0.23363
334.00	0.23381
334.20	0.23363
334.40	0.23391
334.60	0.23428
334.80	0.23400
335.00	0.23409
335.20	0.23447
335.40	0.23437
335.60	0.23437
335.80	0.23475
336.00	0.23447
336.20	0.23484
336.40	0.23466
336.60	0.23456
336.80	0.23447
337.00	0.23475
337.20	0.23475
337.40	0.23456
337.60	0.23503
337.80	0.23475
338.00	0.23475
338.20	0.23475
338.40	0.23494
338.60	0.23484
338.80	0.23484
339.00	0.23484
339.20	0.23503
339.40	0.23512
339.60	0.23503
339.80	0.23522
340.00	0.23512
340.20	0.23512
340.40	0.23522
340.60	0.23531
340.80	0.23540
341.00	0.23522
341.20	0.23531
341.40	0.23540
341.60	0.23540
341.80	0.23531
342.00	0.23550
342.20	0.23559
342.40	0.23559
342.60	0.23578
342.80	0.23578
343.00	0.23578
343.20	0.23625
343.40	0.23615
343.60	0.23643
343.80	0.23662
344.00	0.23681
344.20	0.23671
344.40	0.23709
344.60	0.23728
344.80	0.23756
345.00	0.23774
345.20	0.23784
345.40	0.23812
345.60	0.23812
345.80	0.23840
346.00	0.23830
346.20	0.23868
346.40	0.23905
346.60	0.23905
346.80	0.23952
347.00	0.23952
347.20	0.23961
347.40	0.23999
347.60	0.24027
347.80	0.24027
348.00	0.24055
348.20	0.24083
348.40	0.24074
348.60	0.24092
348.80	0.24139
349.00	0.24158
349.20	0.24186
349.40	0.24186
349.60	0.24223
349.80	0.24261
350.00	0.24270
350.20	0.24298
350.40	0.24317
350.60	0.24336
350.80	0.24373
351.00	0.24382
351.20	0.24439
351.40	0.24467
351.60	0.24476
351.80	0.24513
352.00	0.24542
352.20	0.24579
352.40	0.24607
352.60	0.24626
352.80	0.24654
353.00	0.24673
353.20	0.24719
353.40	0.24747
353.60	0.24775
353.80	0.24813
354.00	0.24832
354.20	0.24850
354.40	0.24888
354.60	0.24906
354.80	0.24935
355.00	0.24944
355.20	0.24981
355.40	0.25009
355.60	0.25037
355.80	0.25075
356.00	0.25131
356.20	0.25178
356.40	0.25215
356.60	0.25253
356.80	0.25299
357.00	0.25309
357.20	0.25374
357.40	0.25421
357.60	0.25458
357.80	0.25477
358.00	0.25524
358.20	0.25543
358.40	0.25608
358.60	0.25636
358.80	0.25664
359.00	0.25711
359.20	0.25739
359.40	0.25786
359.60	0.25823
359.80	0.25870
360.00	0.25917
360.20	0.25936
360.40	0.25973
360.60	0.26029
360.80	0.26057
361.00	0.26095
361.20	0.26160
361.40	0.26170
361.60	0.26188
361.80	0.26244
362.00	0.26291
362.20	0.26319
362.40	0.26357
362.60	0.26357
362.80	0.26413
363.00	0.26441
363.20	0.26497
363.40	0.26516
363.60	0.26562
363.80	0.26581
364.00	0.26619
364.20	0.26656
364.40	0.26665
364.60	0.26684
364.80	0.26722
365.00	0.26778
365.20	0.26796
365.40	0.26796
365.60	0.26834
365.80	0.26843
366.00	0.26881
366.20	0.26946
366.40	0.26965
366.60	0.27002
366.80	0.27030
367.00	0.27077
367.20	0.27124
367.40	0.27152
367.60	0.27189
367.80	0.27274
368.00	0.27283
368.20	0.27320
368.40	0.27376
368.60	0.27433
368.80	0.27433
369.00	0.27489
369.20	0.27526
369.40	0.27601
369.60	0.27657
369.80	0.27676
370.00	0.27704
370.20	0.27760
370.40	0.27816
370.60	0.27835
370.80	0.27863
371.00	0.27919
371.20	0.27966
371.40	0.27985
371.60	0.28050
371.80	0.28088
372.00	0.28097
372.20	0.28125
372.40	0.28209
372.60	0.28237
372.80	0.28312
373.00	0.28303
373.20	0.28359
373.40	0.28406
373.60	0.28434
373.80	0.28471
374.00	0.28509
374.20	0.28546
374.40	0.28555
374.60	0.28583
374.80	0.28621
375.00	0.28649
375.20	0.28677
375.40	0.28743
375.60	0.28771
375.80	0.28817
376.00	0.28845
376.20	0.28892
376.40	0.28967
376.60	0.28986
376.80	0.29051
377.00	0.29079
377.20	0.29145
377.40	0.29182
377.60	0.29229
377.80	0.29248
378.00	0.29313
378.20	0.29351
378.40	0.29416
378.60	0.29454
378.80	0.29519
379.00	0.29547
379.20	0.29613
379.40	0.29650
379.60	0.29687
379.80	0.29753
380.00	0.29790
380.20	0.29856
380.40	0.29912
380.60	0.29949
380.80	0.29996
381.00	0.30034
381.20	0.30109
381.40	0.30165
381.60	0.30202
381.80	0.30277
382.00	0.30324
382.20	0.30389
382.40	0.30455
382.60	0.30530
382.80	0.30595
383.00	0.30661
383.20	0.30717
383.40	0.30810
383.60	0.30866
383.80	0.30951
384.00	0.31016
384.20	0.31091
384.40	0.31185
384.60	0.31250
384.80	0.31381
385.00	0.31446
385.20	0.31531
385.40	0.31615
385.60	0.31727
385.80	0.31811
386.00	0.31933
386.20	0.32027
386.40	0.32158
386.60	0.32251
386.80	0.32354
387.00	0.32466
387.20	0.32597
387.40	0.32747
387.60	0.32841
387.80	0.32962
388.00	0.33112
388.20	0.33234
388.40	0.33355
388.60	0.33496
388.80	0.33626
389.00	0.33767
389.20	0.33898
389.40	0.34048
389.60	0.34197
389.80	0.34328
390.00	0.34469
390.20	0.34684
390.40	0.34805
390.60	0.34927
390.80	0.35058
391.00	0.35208
391.20	0.35376
391.40	0.35526
391.60	0.35647
391.80	0.35825
392.00	0.36003
392.20	0.36153
392.40	0.36284
392.60	0.36480
392.80	0.36639
393.00	0.36798
393.20	0.37042
393.40	0.37201
393.60	0.37369
393.80	0.37509
394.00	0.37687
394.20	0.37912
394.40	0.38089
394.60	0.38277
394.80	0.38473
395.00	0.38707
395.20	0.38922
395.40	0.39119
395.60	0.39353
395.80	0.39586
396.00	0.39895
396.20	0.40101
396.40	0.40354
396.60	0.40588
396.80	0.40784
397.00	0.40990
397.20	0.41271
397.40	0.41533
397.60	0.41795
397.80	0.42047
398.00	0.42393
398.20	0.42693
398.40	0.42992
398.60	0.43282
398.80	0.43825
399.00	0.44134
399.20	0.44424
399.40	0.44760
399.60	0.45107
399.80	0.45406
400.00	0.45743
400.20	0.46052
400.40	0.46445
400.60	0.46828
400.80	0.47184
401.00	0.47605
401.20	0.48016
401.40	0.48438
401.60	0.48990
401.80	0.49485
402.00	0.49916
402.20	0.50309
402.40	0.50674
402.60	0.51113
402.80	0.51497
403.00	0.51862
403.20	0.52246
403.40	0.52713
403.60	0.53181
403.80	0.53593
404.00	0.53967
404.20	0.54491
404.40	0.55193
404.60	0.55595
404.80	0.56063
405.00	0.56559
405.20	0.56989
405.40	0.57354
405.60	0.57775
405.80	0.58224
406.00	0.58589
406.20	0.58982
406.40	0.59403
406.60	0.59862
406.80	0.60301
407.00	0.60704
407.20	0.61368
407.40	0.61817
407.60	0.62201
407.80	0.62575
408.00	0.63052
408.20	0.63464
408.40	0.63829
408.60	0.64147
408.80	0.64568
409.00	0.64905
409.20	0.65232
409.40	0.65569
409.60	0.65971
409.80	0.66533
410.00	0.66869
410.20	0.67244
410.40	0.67637
410.60	0.68011
410.80	0.68310
411.00	0.68685
411.20	0.69087
411.40	0.69405
411.60	0.69704
411.80	0.70032
412.00	0.70322
412.20	0.70621
412.40	0.70893
412.60	0.71398
412.80	0.71735
413.00	0.72034
413.20	0.72343
413.40	0.72708
413.60	0.73035
413.80	0.73363
414.00	0.73671
414.20	0.74046
414.40	0.74373
414.60	0.74626
414.80	0.74794
415.00	0.76151
415.20	0.76591
415.40	0.76871
415.60	0.77246
415.80	0.77582
416.00	0.77957
416.20	0.78200
416.40	0.78593
416.60	0.78976
416.80	0.79238
417.00	0.79603
417.20	0.79996
417.40	0.80277
417.60	0.80651
417.80	0.81025
