Wavelength (nm)	368 H2C6 (SE445) tol abs
300.00	0.62912
301.00	0.60547
302.00	0.58063
303.00	0.55255
304.00	0.52310
305.00	0.49363
306.00	0.46459
307.00	0.43567
308.00	0.40984
309.00	0.38558
310.00	0.36255
311.00	0.33990
312.00	0.31880
313.00	0.29900
314.00	0.28008
315.00	0.26238
316.00	0.24677
317.00	0.23261
318.00	0.22054
319.00	0.21046
320.00	0.20229
321.00	0.19580
322.00	0.19159
323.00	0.18817
324.00	0.18622
325.00	0.18577
326.00	0.18587
327.00	0.18726
328.00	0.18959
329.00	0.19256
330.00	0.19631
331.00	0.20036
332.00	0.20477
333.00	0.20958
334.00	0.21474
335.00	0.21995
336.00	0.22558
337.00	0.23153
338.00	0.23768
339.00	0.24403
340.00	0.25092
341.00	0.25806
342.00	0.26595
343.00	0.27352
344.00	0.28180
345.00	0.29002
346.00	0.29806
347.00	0.30655
348.00	0.31397
349.00	0.32125
350.00	0.32778
351.00	0.33349
352.00	0.33849
353.00	0.34264
354.00	0.34625
355.00	0.34989
356.00	0.35317
357.00	0.35627
358.00	0.36027
359.00	0.36461
360.00	0.36884
361.00	0.37355
362.00	0.37920
363.00	0.38550
364.00	0.39272
365.00	0.40169
366.00	0.41294
367.00	0.42658
368.00	0.44358
369.00	0.46478
370.00	0.48991
371.00	0.51939
372.00	0.55269
373.00	0.59047
374.00	0.63159
375.00	0.67471
376.00	0.71836
377.00	0.75939
378.00	0.79482
379.00	0.82333
380.00	0.84224
381.00	0.85275
382.00	0.85193
383.00	0.84116
384.00	0.82327
385.00	0.79827
386.00	0.77112
387.00	0.74280
388.00	0.71688
389.00	0.69523
390.00	0.67547
391.00	0.66086
392.00	0.65089
393.00	0.64452
394.00	0.64236
395.00	0.64371
396.00	0.64668
397.00	0.65150
398.00	0.65804
399.00	0.66611
400.00	0.67508
401.00	0.68523
402.00	0.69622
403.00	0.70728
404.00	0.71800
405.00	0.72928
406.00	0.74006
407.00	0.74953
408.00	0.75987
409.00	0.76897
410.00	0.77855
411.00	0.78761
412.00	0.79729
413.00	0.80722
414.00	0.81742
415.00	0.83012
416.00	0.84325
417.00	0.85696
418.00	0.87283
419.00	0.88912
420.00	0.90599
421.00	0.92397
422.00	0.94125
423.00	0.95814
424.00	0.97360
425.00	0.98609
426.00	0.99561
427.00	1.0000
428.00	0.99847
429.00	0.98975
430.00	0.97457
431.00	0.95194
432.00	0.92285
433.00	0.88482
434.00	0.84395
435.00	0.80017
436.00	0.75259
437.00	0.70350
438.00	0.65318
439.00	0.60512
440.00	0.55779
441.00	0.51081
442.00	0.47037
443.00	0.43027
444.00	0.39343
445.00	0.35996
446.00	0.32828
447.00	0.29986
448.00	0.27369
449.00	0.24955
450.00	0.22806
451.00	0.20859
452.00	0.19073
453.00	0.17483
454.00	0.16026
455.00	0.14712
456.00	0.13516
457.00	0.12421
458.00	0.11465
459.00	0.10617
460.00	0.098701
461.00	0.091632
462.00	0.085414
463.00	0.079038
464.00	0.074087
465.00	0.069685
466.00	0.065938
467.00	0.062605
468.00	0.059550
469.00	0.056931
470.00	0.054810
471.00	0.052884
472.00	0.051215
473.00	0.050264
474.00	0.048810
475.00	0.047947
476.00	0.047051
477.00	0.046569
478.00	0.046419
479.00	0.046172
480.00	0.046173
481.00	0.046046
482.00	0.046001
483.00	0.046016
484.00	0.046101
485.00	0.045267
486.00	0.046171
487.00	0.046511
488.00	0.045961
489.00	0.046171
490.00	0.046348
491.00	0.046574
492.00	0.046955
493.00	0.047668
494.00	0.048681
495.00	0.049817
496.00	0.051420
497.00	0.053480
498.00	0.055924
499.00	0.059096
500.00	0.062589
501.00	0.066664
502.00	0.070957
503.00	0.075769
504.00	0.080276
505.00	0.085085
506.00	0.089808
507.00	0.093914
508.00	0.097789
509.00	0.10166
510.00	0.10490
511.00	0.10797
512.00	0.11091
513.00	0.11316
514.00	0.11537
515.00	0.11657
516.00	0.11686
517.00	0.11597
518.00	0.11407
519.00	0.11053
520.00	0.10641
521.00	0.10117
522.00	0.095502
523.00	0.089291
524.00	0.083214
525.00	0.077397
526.00	0.071422
527.00	0.066519
528.00	0.061657
529.00	0.057983
530.00	0.054744
531.00	0.052037
532.00	0.050402
533.00	0.049516
534.00	0.049714
535.00	0.050307
536.00	0.051993
537.00	0.054262
538.00	0.057280
539.00	0.061132
540.00	0.065577
541.00	0.070729
542.00	0.076026
543.00	0.081865
544.00	0.087452
545.00	0.092402
546.00	0.096600
547.00	0.099556
548.00	0.10105
549.00	0.10103
550.00	0.099273
551.00	0.096051
552.00	0.092099
553.00	0.087437
554.00	0.082419
555.00	0.077181
556.00	0.072193
557.00	0.067485
558.00	0.063276
559.00	0.059171
560.00	0.055544
561.00	0.052094
562.00	0.048810
563.00	0.045681
564.00	0.042760
565.00	0.040015
566.00	0.037426
567.00	0.034961
568.00	0.032579
569.00	0.030206
570.00	0.027999
571.00	0.026302
572.00	0.024854
573.00	0.022853
574.00	0.021331
575.00	0.019933
576.00	0.018577
577.00	0.017323
578.00	0.016809
579.00	0.015846
580.00	0.014924
581.00	0.014147
582.00	0.013954
583.00	0.013561
584.00	0.012949
585.00	0.012951
586.00	0.012817
587.00	0.012682
588.00	0.012911
589.00	0.013307
590.00	0.013827
591.00	0.014377
592.00	0.015209
593.00	0.016269
594.00	0.017756
595.00	0.019284
596.00	0.021416
597.00	0.023860
598.00	0.026669
599.00	0.030155
600.00	0.033817
601.00	0.037813
602.00	0.042068
603.00	0.046125
604.00	0.050066
605.00	0.053663
606.00	0.056905
607.00	0.059520
608.00	0.061760
609.00	0.063456
610.00	0.064694
611.00	0.065628
612.00	0.066166
613.00	0.066066
614.00	0.065508
615.00	0.064375
616.00	0.062575
617.00	0.060253
618.00	0.057628
619.00	0.054720
620.00	0.051635
621.00	0.048633
622.00	0.046131
623.00	0.043879
624.00	0.042001
625.00	0.040384
626.00	0.039444
627.00	0.038649
628.00	0.038115
629.00	0.037820
630.00	0.037827
631.00	0.037854
632.00	0.037829
633.00	0.038408
634.00	0.038882
635.00	0.039492
636.00	0.039861
637.00	0.040073
638.00	0.040170
639.00	0.040392
640.00	0.041187
641.00	0.042983
642.00	0.045508
643.00	0.049127
644.00	0.053914
645.00	0.060609
646.00	0.068836
647.00	0.078804
648.00	0.090430
649.00	0.10422
650.00	0.11985
651.00	0.13773
652.00	0.15762
653.00	0.18006
654.00	0.20350
655.00	0.24089
656.00	0.26851
657.00	0.28840
658.00	0.34149
659.00	0.39404
660.00	0.44985
661.00	0.51090
662.00	0.57345
663.00	0.63418
664.00	0.68833
665.00	0.73106
666.00	0.75842
667.00	0.76526
668.00	0.75206
669.00	0.71854
670.00	0.66814
671.00	0.60576
672.00	0.53462
673.00	0.46243
674.00	0.39123
675.00	0.32515
676.00	0.26556
677.00	0.21475
678.00	0.17188
679.00	0.13646
680.00	0.10824
681.00	0.085957
682.00	0.068020
683.00	0.054212
684.00	0.043167
685.00	0.034635
686.00	0.028000
687.00	0.022803
688.00	0.018660
689.00	0.015424
690.00	0.012802
691.00	0.010879
692.00	0.0092476
693.00	0.0081685
694.00	0.0070996
695.00	0.0064893
696.00	0.0059204
697.00	0.0055806
698.00	0.0052823
699.00	0.0052236
700.00	0.0050812
701.00	0.0049594
702.00	0.0048374
703.00	0.0047360
704.00	0.0045717
705.00	0.0045428
706.00	0.0043155
707.00	0.0042027
708.00	0.0041627
709.00	0.0040077
710.00	0.0039150
711.00	0.0038952
712.00	0.0036456
713.00	0.0036253
714.00	0.0035422
715.00	0.0035423
716.00	0.0035213
717.00	0.0035835
718.00	0.0032805
719.00	0.0031337
720.00	0.0031015
721.00	0.0029438
722.00	0.0029007
723.00	0.0026801
724.00	0.0024906
725.00	0.0023426
726.00	0.0022569
727.00	0.0020460
728.00	0.0020016
729.00	0.0018320
730.00	0.0018498
731.00	0.0016485
732.00	0.0015825
733.00	0.0016415
734.00	0.0015126
735.00	0.0014148
736.00	0.0014210
737.00	0.0014480
738.00	0.0013496
739.00	0.0011781
740.00	0.0012462
741.00	0.0012099
742.00	0.0013089
743.00	0.0013348
744.00	0.0013083
745.00	0.0012713
746.00	0.0011507
747.00	0.0011863
748.00	0.0011175
749.00	0.0010172
750.00	0.0010732
