Wavelength (nm)	317 H2C-Br3
300.00	0.039187
301.00	0.043861
302.00	0.048697
303.00	0.054446
304.00	0.060647
305.00	0.066557
306.00	0.073009
307.00	0.079485
308.00	0.085698
309.00	0.091788
310.00	0.098012
311.00	0.10476
312.00	0.11178
313.00	0.11918
314.00	0.12691
315.00	0.13471
316.00	0.14202
317.00	0.14949
318.00	0.15651
319.00	0.16294
320.00	0.16875
321.00	0.17383
322.00	0.17818
323.00	0.18214
324.00	0.18512
325.00	0.18787
326.00	0.19048
327.00	0.19244
328.00	0.19449
329.00	0.19642
330.00	0.19860
331.00	0.20095
332.00	0.20362
333.00	0.20671
334.00	0.21028
335.00	0.21383
336.00	0.21757
337.00	0.22155
338.00	0.22536
339.00	0.22870
340.00	0.23160
341.00	0.23423
342.00	0.23677
343.00	0.23931
344.00	0.24233
345.00	0.24595
346.00	0.25020
347.00	0.25507
348.00	0.26014
349.00	0.26601
350.00	0.27184
351.00	0.27765
352.00	0.28371
353.00	0.28961
354.00	0.29532
355.00	0.30045
356.00	0.30479
357.00	0.30767
358.00	0.30994
359.00	0.31196
360.00	0.31361
361.00	0.31578
362.00	0.31784
363.00	0.32019
364.00	0.32324
365.00	0.32803
366.00	0.33495
367.00	0.34362
368.00	0.35400
369.00	0.36694
370.00	0.38194
371.00	0.39996
372.00	0.42060
373.00	0.44371
374.00	0.47041
375.00	0.50003
376.00	0.53225
377.00	0.56818
378.00	0.60605
379.00	0.64630
380.00	0.68692
381.00	0.73310
382.00	0.77999
383.00	0.82195
384.00	0.86292
385.00	0.89952
386.00	0.93304
387.00	0.96245
388.00	0.98233
389.00	0.99275
390.00	0.99760
391.00	1.00000
392.00	0.99658
393.00	0.98726
394.00	0.97269
395.00	0.96071
396.00	0.94800
397.00	0.92956
398.00	0.91596
399.00	0.90358
400.00	0.88861
401.00	0.87299
402.00	0.85253
403.00	0.82245
404.00	0.78167
405.00	0.73165
406.00	0.67319
407.00	0.60797
408.00	0.53404
409.00	0.46216
410.00	0.39145
411.00	0.32524
412.00	0.26406
413.00	0.21259
414.00	0.17083
415.00	0.13429
416.00	0.10537
417.00	0.082038
418.00	0.063517
419.00	0.049513
420.00	0.038290
421.00	0.029703
422.00	0.022844
423.00	0.017858
424.00	0.013932
425.00	0.011171
426.00	0.0087713
427.00	0.0075053
428.00	0.0055705
429.00	0.0049814
430.00	0.0040684
431.00	0.0029034
432.00	0.0025016
433.00	0.0030990
434.00	0.0030349
435.00	0.0025331
436.00	0.0029924
437.00	0.0031269
438.00	0.0034780
439.00	0.0037322
440.00	0.0040711
441.00	0.0050522
442.00	0.0048330
443.00	0.0052333
444.00	0.0057460
445.00	0.0060171
446.00	0.0066234
447.00	0.0070819
448.00	0.0077431
449.00	0.0084358
450.00	0.0087126
451.00	0.0090063
452.00	0.0094535
453.00	0.0095218
454.00	0.0096209
455.00	0.0098621
456.00	0.0098529
457.00	0.010058
458.00	0.010452
459.00	0.010583
460.00	0.010663
461.00	0.011193
462.00	0.011635
463.00	0.012905
464.00	0.013502
465.00	0.013934
466.00	0.014238
467.00	0.014917
468.00	0.016127
469.00	0.016914
470.00	0.018238
471.00	0.019872
472.00	0.021810
473.00	0.023996
474.00	0.026467
475.00	0.029784
476.00	0.033628
477.00	0.038804
478.00	0.045410
479.00	0.052622
480.00	0.060352
481.00	0.067317
482.00	0.073428
483.00	0.077577
484.00	0.079828
485.00	0.081707
486.00	0.079790
487.00	0.077634
488.00	0.078134
489.00	0.081765
490.00	0.084878
491.00	0.088969
492.00	0.092841
493.00	0.095215
494.00	0.095144
495.00	0.092522
496.00	0.087605
497.00	0.081279
498.00	0.074131
499.00	0.066885
500.00	0.059205
501.00	0.051849
502.00	0.044558
503.00	0.037886
504.00	0.032174
505.00	0.027609
506.00	0.023688
507.00	0.020650
508.00	0.018358
509.00	0.016567
510.00	0.015320
511.00	0.014543
512.00	0.014220
513.00	0.014542
514.00	0.015411
515.00	0.016823
516.00	0.018029
517.00	0.019159
518.00	0.019658
519.00	0.019224
520.00	0.017851
521.00	0.016030
