Wavelength (nm)	L260 H2C-Br12
600.00	0.0033060
601.00	0.0033247
602.00	0.0022251
603.00	0.0021223
604.00	0.0036129
605.00	0.0017960
606.00	0.0034478
607.00	0.0038499
608.00	0.0035152
609.00	0.0049349
610.00	0.0077182
611.00	0.0092202
612.00	0.0077042
613.00	0.0065029
614.00	0.0069169
615.00	0.0060025
616.00	0.0059492
617.00	0.0054862
618.00	0.0061237
619.00	0.0075333
620.00	0.0079352
621.00	0.0093892
622.00	0.012397
623.00	0.014696
624.00	0.019546
625.00	0.025673
626.00	0.032465
627.00	0.038377
628.00	0.053396
629.00	0.063271
630.00	0.083633
631.00	0.10194
632.00	0.14145
633.00	0.18463
634.00	0.25455
635.00	0.35000
636.00	0.46230
637.00	0.59374
638.00	0.72224
639.00	0.85738
640.00	0.94383
641.00	1.0000
642.00	0.99666
643.00	0.96028
644.00	0.88013
645.00	0.78649
646.00	0.67107
647.00	0.55780
648.00	0.46471
649.00	0.38593
650.00	0.32080
651.00	0.26879
652.00	0.23594
653.00	0.20839
654.00	0.18601
655.00	0.16315
656.00	0.14369
657.00	0.12109
658.00	0.11329
659.00	0.098615
660.00	0.079171
661.00	0.072772
662.00	0.062300
663.00	0.056241
664.00	0.050801
665.00	0.051020
666.00	0.050346
667.00	0.052679
668.00	0.052989
669.00	0.054107
670.00	0.061292
671.00	0.063403
672.00	0.065232
673.00	0.060181
674.00	0.066385
675.00	0.061093
676.00	0.060938
677.00	0.061264
678.00	0.057771
679.00	0.055379
680.00	0.060082
681.00	0.055095
682.00	0.060824
683.00	0.059369
684.00	0.064895
685.00	0.058794
686.00	0.056162
687.00	0.052333
688.00	0.051486
689.00	0.051117
690.00	0.045121
691.00	0.048711
692.00	0.048082
693.00	0.043405
694.00	0.044018
695.00	0.048268
696.00	0.046706
697.00	0.051136
698.00	0.049044
699.00	0.049407
700.00	0.048819
701.00	0.050399
702.00	0.043567
703.00	0.051820
704.00	0.049165
705.00	0.053092
706.00	0.050907
707.00	0.053095
708.00	0.051872
709.00	0.053932
710.00	0.054385
711.00	0.052432
712.00	0.051757
713.00	0.051134
714.00	0.049443
715.00	0.046557
716.00	0.040931
717.00	0.042052
718.00	0.040288
719.00	0.037278
720.00	0.031961
721.00	0.038211
722.00	0.024619
723.00	0.026189
724.00	0.025644
725.00	0.025965
726.00	0.022183
727.00	0.031271
728.00	0.027444
729.00	0.022791
730.00	0.023480
731.00	0.022629
732.00	0.021530
733.00	0.024985
734.00	0.025312
735.00	0.025526
736.00	0.020513
737.00	0.025141
738.00	0.025104
739.00	0.020815
740.00	0.024050
741.00	0.022290
742.00	0.016692
743.00	0.022577
744.00	0.032475
745.00	0.023866
746.00	0.020812
747.00	0.017682
748.00	0.024293
749.00	0.020989
750.00	0.024163
