Wavelength (nm)	ZnC-Br3Br13
300.00	0.11034
301.00	0.10886
302.00	0.10763
303.00	0.10625
304.00	0.10498
305.00	0.10394
306.00	0.10288
307.00	0.10199
308.00	0.10105
309.00	0.10028
310.00	0.099569
311.00	0.099030
312.00	0.098660
313.00	0.098356
314.00	0.098259
315.00	0.098197
316.00	0.098413
317.00	0.098642
318.00	0.099154
319.00	0.099896
320.00	0.10071
321.00	0.10161
322.00	0.10256
323.00	0.10370
324.00	0.10476
325.00	0.10583
326.00	0.10688
327.00	0.10792
328.00	0.10902
329.00	0.10999
330.00	0.11086
331.00	0.11185
332.00	0.11260
333.00	0.11345
334.00	0.11421
335.00	0.11498
336.00	0.11573
337.00	0.11639
338.00	0.11710
339.00	0.11773
340.00	0.11844
341.00	0.11937
342.00	0.12015
343.00	0.12110
344.00	0.12211
345.00	0.12326
346.00	0.12451
347.00	0.12575
348.00	0.12699
349.00	0.12830
350.00	0.12956
351.00	0.13075
352.00	0.13202
353.00	0.13311
354.00	0.13432
355.00	0.13563
356.00	0.13691
357.00	0.13852
358.00	0.13980
359.00	0.14123
360.00	0.14284
361.00	0.14468
362.00	0.14690
363.00	0.14898
364.00	0.15152
365.00	0.15370
366.00	0.15558
367.00	0.15818
368.00	0.16200
369.00	0.16696
370.00	0.17294
371.00	0.17937
372.00	0.18618
373.00	0.19425
374.00	0.20347
375.00	0.21389
376.00	0.22529
377.00	0.23761
378.00	0.25073
379.00	0.26376
380.00	0.27579
381.00	0.28752
382.00	0.29774
383.00	0.30681
384.00	0.31428
385.00	0.32043
386.00	0.32588
387.00	0.33153
388.00	0.33825
389.00	0.34706
390.00	0.36000
391.00	0.37809
392.00	0.40272
393.00	0.43265
394.00	0.46945
395.00	0.51353
396.00	0.56514
397.00	0.62261
398.00	0.68577
399.00	0.74668
400.00	0.80870
401.00	0.86971
402.00	0.92347
403.00	0.96599
404.00	0.99410
405.00	1.00000
406.00	0.98163
407.00	0.93581
408.00	0.86712
409.00	0.78166
410.00	0.68993
411.00	0.59330
412.00	0.49890
413.00	0.41652
414.00	0.34507
415.00	0.28438
416.00	0.23501
417.00	0.19546
418.00	0.16406
419.00	0.14000
420.00	0.12108
421.00	0.10619
422.00	0.095214
423.00	0.086890
424.00	0.080007
425.00	0.074364
426.00	0.069721
427.00	0.065733
428.00	0.062271
429.00	0.059157
430.00	0.056258
431.00	0.053800
432.00	0.051807
433.00	0.049715
434.00	0.047696
435.00	0.045990
436.00	0.044246
437.00	0.042789
438.00	0.041316
439.00	0.039917
440.00	0.038700
441.00	0.037530
442.00	0.036400
443.00	0.035476
444.00	0.034720
445.00	0.033936
446.00	0.033254
447.00	0.032499
448.00	0.031962
449.00	0.031423
450.00	0.031065
451.00	0.030569
452.00	0.030219
453.00	0.029905
454.00	0.029673
455.00	0.029537
456.00	0.029498
457.00	0.029487
458.00	0.029507
459.00	0.029451
460.00	0.029469
461.00	0.029710
462.00	0.029736
463.00	0.029993
464.00	0.030119
465.00	0.030346
466.00	0.030501
467.00	0.030627
468.00	0.030977
469.00	0.031046
470.00	0.031039
471.00	0.031122
472.00	0.031350
473.00	0.031456
474.00	0.031424
475.00	0.031635
476.00	0.031714
477.00	0.031741
478.00	0.031965
479.00	0.032069
480.00	0.032315
481.00	0.032470
482.00	0.032945
483.00	0.033318
484.00	0.033825
485.00	0.034947
486.00	0.035986
487.00	0.035803
488.00	0.037149
489.00	0.038329
490.00	0.039597
491.00	0.040883
492.00	0.042159
493.00	0.043685
494.00	0.045106
495.00	0.046697
496.00	0.048286
497.00	0.049642
498.00	0.050943
499.00	0.052190
500.00	0.053105
501.00	0.053831
502.00	0.054210
503.00	0.054377
504.00	0.054399
505.00	0.054032
506.00	0.053665
507.00	0.053016
508.00	0.052256
509.00	0.051375
510.00	0.050337
511.00	0.049142
512.00	0.048088
513.00	0.046932
514.00	0.045856
515.00	0.044900
516.00	0.043907
517.00	0.042937
518.00	0.042161
519.00	0.041546
520.00	0.040845
521.00	0.040334
522.00	0.039850
523.00	0.039271
524.00	0.038893
525.00	0.038447
526.00	0.037912
527.00	0.037475
528.00	0.036861
529.00	0.036148
530.00	0.035507
531.00	0.034647
532.00	0.033788
533.00	0.033021
534.00	0.032302
535.00	0.031450
536.00	0.030635
537.00	0.029889
538.00	0.029075
539.00	0.028362
540.00	0.027548
541.00	0.026818
542.00	0.025940
543.00	0.025189
544.00	0.024349
545.00	0.023591
546.00	0.022590
547.00	0.022010
548.00	0.021185
549.00	0.020554
550.00	0.020079
551.00	0.019583
552.00	0.019161
553.00	0.018878
554.00	0.018689
555.00	0.018765
556.00	0.018969
557.00	0.019433
558.00	0.020043
559.00	0.021162
560.00	0.022688
561.00	0.024525
562.00	0.026775
563.00	0.029182
564.00	0.031673
565.00	0.034083
566.00	0.036254
567.00	0.038225
568.00	0.039888
569.00	0.041541
570.00	0.043021
571.00	0.044144
572.00	0.044932
573.00	0.044980
574.00	0.045004
575.00	0.044227
576.00	0.043387
577.00	0.042479
578.00	0.041573
579.00	0.040657
580.00	0.039861
581.00	0.039123
582.00	0.038376
583.00	0.037370
584.00	0.036561
585.00	0.036290
586.00	0.036214
587.00	0.036609
588.00	0.037326
589.00	0.038047
590.00	0.038735
591.00	0.038968
592.00	0.038688
593.00	0.037892
594.00	0.036483
595.00	0.035134
596.00	0.033947
597.00	0.033255
598.00	0.033340
599.00	0.034450
600.00	0.036512
601.00	0.039415
602.00	0.043381
603.00	0.048225
604.00	0.053616
605.00	0.060210
606.00	0.068035
607.00	0.076872
608.00	0.087829
609.00	0.10190
610.00	0.12023
611.00	0.14433
612.00	0.17419
613.00	0.21068
614.00	0.25179
615.00	0.29333
616.00	0.33104
617.00	0.35997
618.00	0.37509
619.00	0.37547
620.00	0.36157
621.00	0.33694
622.00	0.30243
623.00	0.26372
624.00	0.22438
625.00	0.18608
626.00	0.15305
627.00	0.12454
628.00	0.10139
629.00	0.083019
630.00	0.068345
631.00	0.056811
632.00	0.047161
633.00	0.039524
634.00	0.033133
635.00	0.028025
636.00	0.023934
637.00	0.020491
638.00	0.017512
639.00	0.015141
640.00	0.013132
641.00	0.011629
642.00	0.010183
643.00	0.0091464
644.00	0.0081989
645.00	0.0073928
646.00	0.0067867
647.00	0.0061404
648.00	0.0055635
649.00	0.0051609
650.00	0.0047045
651.00	0.0043694
652.00	0.0038948
653.00	0.0035981
654.00	0.0032247
655.00	0.0030714
656.00	0.0036191
657.00	0.0034283
658.00	0.0025757
659.00	0.0022288
660.00	0.0020280
661.00	0.0019495
662.00	0.0017660
663.00	0.0016564
664.00	0.0015971
665.00	0.0015286
666.00	0.0014255
667.00	0.0013150
668.00	0.0012913
669.00	0.0012995
670.00	0.0011534
671.00	0.0011744
672.00	0.0011306
673.00	0.0011105
674.00	0.0010895
675.00	0.0010302
676.00	0.0010539
677.00	0.00096174
678.00	0.00099734
679.00	0.00097909
680.00	0.0010138
681.00	0.0010138
682.00	0.00099095
683.00	0.00099643
684.00	0.00097270
685.00	0.0010010
686.00	0.0010129
687.00	0.0010439
688.00	0.0010329
689.00	0.0010676
690.00	0.0010412
691.00	0.0010567
692.00	0.0011242
693.00	0.0011544
694.00	0.0011589
695.00	0.0011443
696.00	0.0011315
697.00	0.0011763
698.00	0.0011708
699.00	0.0011890
700.00	0.0012274
