Wavelength (nm)	179 Zn1-Br15.abs
350.00	0.0000
351.00	0.065432
352.00	0.066747
353.00	0.068066
354.00	0.069609
355.00	0.071151
356.00	0.072768
357.00	0.074411
358.00	0.075540
359.00	0.076297
360.00	0.077054
361.00	0.078795
362.00	0.080814
363.00	0.082833
364.00	0.080941
365.00	0.078969
366.00	0.076785
367.00	0.074557
368.00	0.073166
369.00	0.072309
370.00	0.074637
371.00	0.077098
372.00	0.079146
373.00	0.081171
374.00	0.082873
375.00	0.082873
376.00	0.082873
377.00	0.082873
378.00	0.082873
379.00	0.083443
380.00	0.084583
381.00	0.087505
382.00	0.091431
383.00	0.096016
384.00	0.10131
385.00	0.10858
386.00	0.11797
387.00	0.12540
388.00	0.13276
389.00	0.14347
390.00	0.15518
391.00	0.16845
392.00	0.17986
393.00	0.19086
394.00	0.20216
395.00	0.20858
396.00	0.21507
397.00	0.22164
398.00	0.22243
399.00	0.22097
400.00	0.21903
401.00	0.21856
402.00	0.22102
403.00	0.22639
404.00	0.23261
405.00	0.24124
406.00	0.26451
407.00	0.30457
408.00	0.34907
409.00	0.39634
410.00	0.45513
411.00	0.53405
412.00	0.63357
413.00	0.72765
414.00	0.81805
415.00	0.90989
416.00	0.98104
417.00	1.0000
418.00	0.98466
419.00	0.94088
420.00	0.85731
421.00	0.75436
422.00	0.66317
423.00	0.58401
424.00	0.50482
425.00	0.42561
426.00	0.35192
427.00	0.27936
428.00	0.22770
429.00	0.18227
430.00	0.14496
431.00	0.11531
432.00	0.094239
433.00	0.076184
434.00	0.065530
435.00	0.055348
436.00	0.047563
437.00	0.041069
438.00	0.034575
439.00	0.030856
440.00	0.027346
441.00	0.023837
442.00	0.022213
443.00	0.020775
444.00	0.019337
445.00	0.018318
446.00	0.017770
447.00	0.017222
448.00	0.016674
449.00	0.016138
450.00	0.015610
451.00	0.015081
452.00	0.014553
453.00	0.014149
454.00	0.013831
455.00	0.013513
456.00	0.013195
457.00	0.012902
458.00	0.012759
459.00	0.012616
460.00	0.012473
461.00	0.012330
462.00	0.012216
463.00	0.012216
464.00	0.012216
465.00	0.012216
466.00	0.012216
467.00	0.012216
468.00	0.013093
469.00	0.014079
470.00	0.015065
471.00	0.016051
472.00	0.016455
473.00	0.016455
474.00	0.016455
475.00	0.016455
476.00	0.016455
477.00	0.016474
478.00	0.016613
479.00	0.016752
480.00	0.016891
481.00	0.017030
482.00	0.017170
483.00	0.017340
484.00	0.017510
485.00	0.017680
486.00	0.017849
487.00	0.018001
488.00	0.018150
489.00	0.018300
490.00	0.018449
491.00	0.018575
492.00	0.018575
493.00	0.018575
494.00	0.018575
495.00	0.018575
496.00	0.018818
497.00	0.019126
498.00	0.019434
499.00	0.019742
500.00	0.020070
501.00	0.020481
502.00	0.020892
503.00	0.021302
504.00	0.022553
505.00	0.024068
506.00	0.025584
507.00	0.027074
508.00	0.027755
509.00	0.028436
510.00	0.029117
511.00	0.029798
512.00	0.030530
513.00	0.031269
514.00	0.031990
515.00	0.030941
516.00	0.029893
517.00	0.028844
518.00	0.028026
519.00	0.027338
520.00	0.026650
521.00	0.025954
522.00	0.025252
523.00	0.024551
524.00	0.023695
525.00	0.022708
526.00	0.021721
527.00	0.020734
528.00	0.020848
529.00	0.021007
530.00	0.021166
531.00	0.021325
532.00	0.021290
533.00	0.021076
534.00	0.020862
535.00	0.020695
536.00	0.020695
537.00	0.020695
538.00	0.020695
539.00	0.020695
540.00	0.020720
541.00	0.020913
542.00	0.021106
543.00	0.021299
544.00	0.021757
545.00	0.022515
546.00	0.023273
547.00	0.024031
548.00	0.024124
549.00	0.023982
550.00	0.023841
551.00	0.023700
552.00	0.023559
553.00	0.023718
554.00	0.023987
555.00	0.024257
556.00	0.024527
557.00	0.024796
558.00	0.025390
559.00	0.026319
560.00	0.027249
561.00	0.028179
562.00	0.028953
563.00	0.029657
564.00	0.030362
565.00	0.031350
566.00	0.032471
567.00	0.033593
568.00	0.034120
569.00	0.034120
570.00	0.034120
571.00	0.033726
572.00	0.031260
573.00	0.030102
574.00	0.030607
575.00	0.031111
576.00	0.032495
577.00	0.034373
578.00	0.036251
579.00	0.037078
580.00	0.037287
581.00	0.037497
582.00	0.037697
583.00	0.037871
584.00	0.038044
585.00	0.037876
586.00	0.036982
587.00	0.036087
588.00	0.034546
589.00	0.031948
590.00	0.029350
591.00	0.027346
592.00	0.025647
593.00	0.025280
594.00	0.025876
595.00	0.026683
596.00	0.028283
597.00	0.029883
598.00	0.031167
599.00	0.032203
600.00	0.033952
601.00	0.036773
602.00	0.040221
603.00	0.044376
604.00	0.049694
605.00	0.058390
606.00	0.069429
607.00	0.083041
608.00	0.099629
609.00	0.12011
610.00	0.14220
611.00	0.16214
612.00	0.18128
613.00	0.19405
614.00	0.20005
615.00	0.19363
616.00	0.17522
617.00	0.15644
618.00	0.13763
619.00	0.12029
620.00	0.10305
621.00	0.088822
622.00	0.074591
623.00	0.064572
624.00	0.054970
625.00	0.045884
626.00	0.038376
627.00	0.032648
628.00	0.026920
629.00	0.022519
630.00	0.018265
631.00	0.014420
632.00	0.011682
633.00	0.0090675
634.00	0.0073657
635.00	0.0060441
636.00	0.0053169
637.00	0.0046956
638.00	0.0042625
639.00	0.0039017
640.00	0.0036876
641.00	0.0034735
642.00	0.0033836
643.00	0.0033836
644.00	0.0033836
645.00	0.0031959
646.00	0.0029983
647.00	0.0028007
648.00	0.0023397
649.00	0.0018705
650.00	0.0016105
651.00	0.0015959
652.00	0.0015813
653.00	0.0015625
654.00	0.0015409
655.00	0.0015193
656.00	0.0014976
657.00	0.0014760
658.00	0.0014605
659.00	0.0014525
660.00	0.0014446
661.00	0.0014366
662.00	0.0014286
663.00	0.0014206
664.00	0.0014136
665.00	0.0014136
666.00	0.0014136
667.00	0.0014136
668.00	0.0014136
669.00	0.0014136
670.00	0.0014136
671.00	0.0014136
672.00	0.0014136
673.00	0.0014136
674.00	0.0014136
675.00	0.0014136
676.00	0.0014136
677.00	0.0014136
678.00	0.0014136
679.00	0.0014136
680.00	0.0014136
681.00	0.0014136
682.00	0.0014136
683.00	0.0014136
684.00	0.0014136
685.00	0.0014136
686.00	0.0014136
687.00	0.0014136
688.00	0.0014136
689.00	0.0014136
690.00	0.0014136
691.00	0.0014136
692.00	0.0014136
693.00	0.0014136
694.00	0.0014136
695.00	0.0014136
696.00	0.0014136
697.00	0.0014136
698.00	0.0014136
699.00	0.0000
700.00	0.0000
