Wavelength (nm)	179 Zn1-I15.abs
300.00	0.084967
301.00	0.084545
302.00	0.084016
303.00	0.083699
304.00	0.083392
305.00	0.083117
306.00	0.082824
307.00	0.082345
308.00	0.081854
309.00	0.081702
310.00	0.080572
311.00	0.079731
312.00	0.078983
313.00	0.077768
314.00	0.076791
315.00	0.075736
316.00	0.074458
317.00	0.073404
318.00	0.072920
319.00	0.072076
320.00	0.071304
321.00	0.070852
322.00	0.070301
323.00	0.069988
324.00	0.069903
325.00	0.069646
326.00	0.069562
327.00	0.069698
328.00	0.069728
329.00	0.070166
330.00	0.070577
331.00	0.070901
332.00	0.071038
333.00	0.071660
334.00	0.071888
335.00	0.072379
336.00	0.072797
337.00	0.073102
338.00	0.073447
339.00	0.073414
340.00	0.073722
341.00	0.074113
342.00	0.074393
343.00	0.074607
344.00	0.074878
345.00	0.075304
346.00	0.075989
347.00	0.076416
348.00	0.076671
349.00	0.077553
350.00	0.078104
351.00	0.078711
352.00	0.079408
353.00	0.080293
354.00	0.080989
355.00	0.081968
356.00	0.082492
357.00	0.083134
358.00	0.083832
359.00	0.084566
360.00	0.085018
361.00	0.085297
362.00	0.085590
363.00	0.085772
364.00	0.086015
365.00	0.085585
366.00	0.086036
367.00	0.086038
368.00	0.086002
369.00	0.085912
370.00	0.085946
371.00	0.086376
372.00	0.086624
373.00	0.086108
374.00	0.086634
375.00	0.087828
376.00	0.088087
377.00	0.088894
378.00	0.089655
379.00	0.091199
380.00	0.092916
381.00	0.094969
382.00	0.097438
383.00	0.10067
384.00	0.10524
385.00	0.11106
386.00	0.11670
387.00	0.12412
388.00	0.13326
389.00	0.14297
390.00	0.15373
391.00	0.16537
392.00	0.17763
393.00	0.18907
394.00	0.20000
395.00	0.21080
396.00	0.22085
397.00	0.22850
398.00	0.23369
399.00	0.23696
400.00	0.23860
401.00	0.23986
402.00	0.24125
403.00	0.24392
404.00	0.25017
405.00	0.26047
406.00	0.27427
407.00	0.29558
408.00	0.32513
409.00	0.36269
410.00	0.40723
411.00	0.46054
412.00	0.52519
413.00	0.59732
414.00	0.67321
415.00	0.75917
416.00	0.84270
417.00	0.92069
418.00	0.97558
419.00	1.0000
420.00	0.99046
421.00	0.94386
422.00	0.87033
423.00	0.78024
424.00	0.68059
425.00	0.58039
426.00	0.48818
427.00	0.40145
428.00	0.33343
429.00	0.27095
430.00	0.22053
431.00	0.18306
432.00	0.15181
433.00	0.12451
434.00	0.10312
435.00	0.089381
436.00	0.076676
437.00	0.067759
438.00	0.061064
439.00	0.055913
440.00	0.052341
441.00	0.048725
442.00	0.046827
443.00	0.045438
444.00	0.043938
445.00	0.043238
446.00	0.042517
447.00	0.041804
448.00	0.041949
449.00	0.041988
450.00	0.041935
451.00	0.041868
452.00	0.041801
453.00	0.041731
454.00	0.042132
455.00	0.041730
456.00	0.041239
457.00	0.041170
458.00	0.040758
459.00	0.040663
460.00	0.039520
461.00	0.039718
462.00	0.038959
463.00	0.038200
464.00	0.037235
465.00	0.036820
466.00	0.036394
467.00	0.035721
468.00	0.034331
469.00	0.033297
470.00	0.033409
471.00	0.032068
472.00	0.031408
473.00	0.030274
474.00	0.030214
475.00	0.028991
476.00	0.028282
477.00	0.027726
478.00	0.027422
479.00	0.026520
480.00	0.025712
481.00	0.025036
482.00	0.024004
483.00	0.023601
484.00	0.022856
485.00	0.022240
486.00	0.021313
487.00	0.020682
488.00	0.020402
489.00	0.019830
490.00	0.019317
491.00	0.018583
492.00	0.018002
493.00	0.017093
494.00	0.017928
