Wavelength (nm)	179 1-I15.abs
300.00	0.091206
301.00	0.091361
302.00	0.091393
303.00	0.091782
304.00	0.091645
305.00	0.092020
306.00	0.091736
307.00	0.091337
308.00	0.090626
309.00	0.089294
310.00	0.086914
311.00	0.084029
312.00	0.080482
313.00	0.076890
314.00	0.073583
315.00	0.070163
316.00	0.067149
317.00	0.064840
318.00	0.063249
319.00	0.062099
320.00	0.061788
321.00	0.061840
322.00	0.062353
323.00	0.063402
324.00	0.064575
325.00	0.066235
326.00	0.068021
327.00	0.069643
328.00	0.071398
329.00	0.073216
330.00	0.075033
331.00	0.076718
332.00	0.078369
333.00	0.079999
334.00	0.081605
335.00	0.083438
336.00	0.085276
337.00	0.087218
338.00	0.089501
339.00	0.091907
340.00	0.094603
341.00	0.097718
342.00	0.10092
343.00	0.10420
344.00	0.10772
345.00	0.11110
346.00	0.11449
347.00	0.11753
348.00	0.11995
349.00	0.12221
350.00	0.12401
351.00	0.12539
352.00	0.12677
353.00	0.12902
354.00	0.13183
355.00	0.13484
356.00	0.13887
357.00	0.14330
358.00	0.14841
359.00	0.15541
360.00	0.16393
361.00	0.17368
362.00	0.18388
363.00	0.19320
364.00	0.20114
365.00	0.20771
366.00	0.21309
367.00	0.21645
368.00	0.21682
369.00	0.21572
370.00	0.21187
371.00	0.20710
372.00	0.20087
373.00	0.19395
374.00	0.18779
375.00	0.18319
376.00	0.17955
377.00	0.17828
378.00	0.17981
379.00	0.18330
380.00	0.18765
381.00	0.19458
382.00	0.20355
383.00	0.21256
384.00	0.22165
385.00	0.23119
386.00	0.24065
387.00	0.25144
388.00	0.26345
389.00	0.27567
390.00	0.29024
391.00	0.30829
392.00	0.32910
393.00	0.35064
394.00	0.37330
395.00	0.40148
396.00	0.43323
397.00	0.46957
398.00	0.50922
399.00	0.54959
400.00	0.59145
401.00	0.63915
402.00	0.68722
403.00	0.73141
404.00	0.77424
405.00	0.81457
406.00	0.84705
407.00	0.87751
408.00	0.90699
409.00	0.93515
410.00	0.95930
411.00	0.97708
412.00	0.98842
413.00	0.99560
414.00	0.99798
415.00	0.99855
416.00	0.99916
417.00	1.0000
418.00	0.99978
419.00	0.99335
420.00	0.98161
421.00	0.96866
422.00	0.95006
423.00	0.92977
424.00	0.90535
425.00	0.87183
426.00	0.82347
427.00	0.75646
428.00	0.68219
429.00	0.59311
430.00	0.50595
431.00	0.42667
432.00	0.35036
433.00	0.27926
434.00	0.22089
435.00	0.17603
436.00	0.13746
437.00	0.10740
438.00	0.084241
439.00	0.066401
440.00	0.052623
441.00	0.043145
442.00	0.035147
443.00	0.028863
444.00	0.024429
445.00	0.020889
446.00	0.018357
447.00	0.016154
448.00	0.014935
449.00	0.014496
450.00	0.013726
451.00	0.012903
452.00	0.012718
453.00	0.012850
454.00	0.013179
455.00	0.013866
456.00	0.013786
457.00	0.014475
458.00	0.015396
459.00	0.015592
