Wavelength (nm)	258 FbC-Br15,20 abs
300.00	0.078225
301.00	0.078903
302.00	0.079500
303.00	0.080073
304.00	0.079828
305.00	0.080165
306.00	0.079962
307.00	0.080051
308.00	0.079578
309.00	0.078288
310.00	0.076155
311.00	0.073467
312.00	0.070167
313.00	0.066983
314.00	0.063900
315.00	0.061540
316.00	0.059647
317.00	0.058716
318.00	0.058556
319.00	0.059120
320.00	0.060162
321.00	0.061570
322.00	0.063453
323.00	0.065565
324.00	0.067631
325.00	0.069863
326.00	0.072570
327.00	0.074709
328.00	0.076666
329.00	0.079422
330.00	0.081490
331.00	0.083509
332.00	0.085542
333.00	0.087579
334.00	0.089537
335.00	0.091350
336.00	0.093010
337.00	0.094893
338.00	0.096881
339.00	0.099082
340.00	0.10120
341.00	0.10315
342.00	0.10502
343.00	0.10658
344.00	0.10804
345.00	0.10916
346.00	0.10993
347.00	0.11122
348.00	0.11245
349.00	0.11419
350.00	0.11639
351.00	0.11932
352.00	0.12294
353.00	0.12770
354.00	0.13362
355.00	0.14009
356.00	0.14687
357.00	0.15331
358.00	0.16054
359.00	0.16802
360.00	0.17608
361.00	0.18452
362.00	0.19314
363.00	0.20017
364.00	0.20509
365.00	0.20825
366.00	0.20997
367.00	0.21013
368.00	0.20889
369.00	0.20704
370.00	0.20661
371.00	0.20638
372.00	0.20784
373.00	0.21136
374.00	0.21601
375.00	0.22182
376.00	0.22773
377.00	0.23497
378.00	0.24375
379.00	0.25328
380.00	0.26421
381.00	0.27916
382.00	0.29750
383.00	0.31843
384.00	0.34155
385.00	0.36641
386.00	0.39192
387.00	0.41646
388.00	0.44159
389.00	0.46480
390.00	0.49112
391.00	0.51939
392.00	0.55014
393.00	0.58131
394.00	0.61556
395.00	0.65514
396.00	0.69953
397.00	0.75404
398.00	0.81155
399.00	0.87116
400.00	0.92976
401.00	0.97712
402.00	1.0000
403.00	0.99247
404.00	0.95696
405.00	0.89925
406.00	0.83290
407.00	0.76120
408.00	0.69617
409.00	0.64622
410.00	0.61138
411.00	0.58896
412.00	0.57825
413.00	0.57277
414.00	0.56656
415.00	0.55218
416.00	0.52440
417.00	0.48006
418.00	0.42141
419.00	0.35640
420.00	0.29178
421.00	0.23339
422.00	0.18414
423.00	0.14451
424.00	0.11262
425.00	0.087115
426.00	0.067911
427.00	0.052711
428.00	0.041243
429.00	0.033977
430.00	0.027608
431.00	0.022927
432.00	0.020316
433.00	0.018313
434.00	0.016081
435.00	0.014854
436.00	0.013672
437.00	0.012730
438.00	0.012160
439.00	0.011615
440.00	0.011907
441.00	0.011580
442.00	0.011032
443.00	0.011042
444.00	0.010770
445.00	0.010946
446.00	0.011221
447.00	0.011495
448.00	0.011646
449.00	0.011706
450.00	0.011685
451.00	0.012079
452.00	0.012230
453.00	0.012576
454.00	0.013612
455.00	0.013543
456.00	0.013902
457.00	0.014749
458.00	0.015148
459.00	0.015994
460.00	0.016180
461.00	0.016604
462.00	0.017363
463.00	0.018143
464.00	0.018912
465.00	0.018907
466.00	0.018661
467.00	0.019062
468.00	0.019523
469.00	0.019789
470.00	0.020238
471.00	0.020770
472.00	0.021973
473.00	0.021928
474.00	0.022420
475.00	0.023252
476.00	0.023293
477.00	0.023405
478.00	0.023367
479.00	0.023206
480.00	0.023520
481.00	0.023534
482.00	0.023950
483.00	0.023932
484.00	0.023567
485.00	0.027080
486.00	0.023966
487.00	0.023646
488.00	0.027079
489.00	0.028761
490.00	0.030681
491.00	0.033616
492.00	0.037047
493.00	0.040366
494.00	0.042452
495.00	0.044945
496.00	0.047390
497.00	0.047406
498.00	0.048748
499.00	0.049371
500.00	0.050670
501.00	0.052617
502.00	0.055531
503.00	0.058319
504.00	0.061011
505.00	0.064787
506.00	0.067501
507.00	0.068480
508.00	0.068337
509.00	0.066465
510.00	0.064008
511.00	0.060611
512.00	0.057002
513.00	0.053642
514.00	0.050105
515.00	0.046119
516.00	0.041454
517.00	0.036843
518.00	0.033429
519.00	0.030933
520.00	0.028533
521.00	0.027619
522.00	0.026567
523.00	0.026538
524.00	0.026814
525.00	0.027194
526.00	0.028682
527.00	0.031454
528.00	0.036074
529.00	0.042040
530.00	0.049988
531.00	0.057705
532.00	0.064659
533.00	0.068603
534.00	0.068630
535.00	0.065461
536.00	0.059744
537.00	0.053768
538.00	0.047132
539.00	0.041183
540.00	0.036778
541.00	0.032664
542.00	0.029551
543.00	0.026824
544.00	0.024326
545.00	0.022233
546.00	0.020771
547.00	0.019994
548.00	0.018443
549.00	0.017231
550.00	0.016198
551.00	0.015069
552.00	0.013370
553.00	0.012326
554.00	0.010918
555.00	0.011023
556.00	0.0099353
557.00	0.0092748
558.00	0.0085428
559.00	0.0081412
560.00	0.0077681
561.00	0.0069498
562.00	0.0069221
563.00	0.0070785
564.00	0.0068924
565.00	0.0065607
566.00	0.0065359
567.00	0.0064524
568.00	0.0061634
569.00	0.0062601
570.00	0.0057380
571.00	0.0058278
572.00	0.0051872
573.00	0.0055602
574.00	0.0057754
575.00	0.0051338
576.00	0.0058570
577.00	0.0067671
578.00	0.0056296
579.00	0.0066379
580.00	0.0072655
581.00	0.0088906
582.00	0.0074767
583.00	0.0086157
584.00	0.012226
585.00	0.013795
586.00	0.015053
587.00	0.018367
588.00	0.019417
589.00	0.020180
590.00	0.021461
591.00	0.021973
592.00	0.023208
593.00	0.023987
594.00	0.024208
595.00	0.025647
596.00	0.025732
597.00	0.026333
598.00	0.026315
599.00	0.024420
600.00	0.023023
601.00	0.020859
602.00	0.019293
603.00	0.017699
604.00	0.015693
605.00	0.015208
606.00	0.014491
607.00	0.014156
608.00	0.013987
609.00	0.014132
610.00	0.014462
611.00	0.014331
612.00	0.014059
613.00	0.014181
614.00	0.013849
615.00	0.013690
616.00	0.013419
617.00	0.013316
618.00	0.012696
619.00	0.012315
620.00	0.011566
621.00	0.010359
622.00	0.010356
623.00	0.0097333
624.00	0.0092014
625.00	0.0093228
626.00	0.0094462
627.00	0.010658
628.00	0.011600
629.00	0.014274
630.00	0.016513
631.00	0.019806
632.00	0.023490
633.00	0.027789
634.00	0.032897
635.00	0.037728
636.00	0.043196
637.00	0.047819
638.00	0.052709
639.00	0.058867
640.00	0.069657
641.00	0.085858
642.00	0.11069
643.00	0.14439
644.00	0.18214
645.00	0.22004
646.00	0.25161
647.00	0.27090
648.00	0.27491
649.00	0.26126
650.00	0.23599
651.00	0.20257
652.00	0.16622
653.00	0.13197
654.00	0.10166
655.00	0.078798
656.00	0.058411
657.00	0.047518
658.00	0.037640
659.00	0.028693
660.00	0.021900
661.00	0.017539
662.00	0.014156
663.00	0.011543
664.00	0.0091300
665.00	0.0074583
666.00	0.0058798
667.00	0.0048108
668.00	0.0041541
669.00	0.0038059
670.00	0.0030642
671.00	0.0030501
672.00	0.0028743
673.00	0.0021414
674.00	0.0019573
675.00	0.0019942
676.00	0.0021249
677.00	0.0021196
678.00	0.0022366
679.00	0.0019195
680.00	0.0019976
681.00	0.0018709
682.00	0.0019272
683.00	0.0017393
684.00	0.0019938
685.00	0.0018354
686.00	0.0016057
687.00	0.0016606
688.00	0.0015338
689.00	0.0016853
690.00	0.0017927
691.00	0.0018816
692.00	0.0015236
693.00	0.0016853
694.00	0.0013046
695.00	0.0015654
696.00	0.0015489
697.00	0.0014950
698.00	0.0014236
699.00	0.0016572
700.00	0.0014075
