Wavelength (nm)	258 FbC-Br7,8,15 abs
300.00	0.074975
301.00	0.074973
302.00	0.074534
303.00	0.073791
304.00	0.072772
305.00	0.071501
306.00	0.069732
307.00	0.067465
308.00	0.064586
309.00	0.061378
310.00	0.058051
311.00	0.054453
312.00	0.051616
313.00	0.049535
314.00	0.047931
315.00	0.047126
316.00	0.046500
317.00	0.046320
318.00	0.046774
319.00	0.047667
320.00	0.048662
321.00	0.049904
322.00	0.051039
323.00	0.052170
324.00	0.053411
325.00	0.054973
326.00	0.057187
327.00	0.059070
328.00	0.061071
329.00	0.063646
330.00	0.066074
331.00	0.068714
332.00	0.071552
333.00	0.074432
334.00	0.077383
335.00	0.080158
336.00	0.082828
337.00	0.085369
338.00	0.087945
339.00	0.090801
340.00	0.093664
341.00	0.096636
342.00	0.099681
343.00	0.10299
344.00	0.10658
345.00	0.11013
346.00	0.11390
347.00	0.11793
348.00	0.12206
349.00	0.12621
350.00	0.13043
351.00	0.13429
352.00	0.13784
353.00	0.14129
354.00	0.14492
355.00	0.14817
356.00	0.15162
357.00	0.15416
358.00	0.15661
359.00	0.15859
360.00	0.16030
361.00	0.16190
362.00	0.16234
363.00	0.16188
364.00	0.16094
365.00	0.15971
366.00	0.15860
367.00	0.15840
368.00	0.15901
369.00	0.16020
370.00	0.16231
371.00	0.16500
372.00	0.16876
373.00	0.17407
374.00	0.17998
375.00	0.18745
376.00	0.19566
377.00	0.20529
378.00	0.21602
379.00	0.22776
380.00	0.24018
381.00	0.25517
382.00	0.27249
383.00	0.29006
384.00	0.30862
385.00	0.32871
386.00	0.34920
387.00	0.37021
388.00	0.39249
389.00	0.41504
390.00	0.43987
391.00	0.46394
392.00	0.49017
393.00	0.51627
394.00	0.54290
395.00	0.57361
396.00	0.60915
397.00	0.64852
398.00	0.68997
399.00	0.73353
400.00	0.77931
401.00	0.82780
402.00	0.87621
403.00	0.92011
404.00	0.95674
405.00	0.98658
406.00	1.00000
407.00	0.99997
408.00	0.98391
409.00	0.95808
410.00	0.92383
411.00	0.88327
412.00	0.84051
413.00	0.79258
414.00	0.74051
415.00	0.68359
416.00	0.62992
417.00	0.57495
418.00	0.51933
419.00	0.46487
420.00	0.41156
421.00	0.36132
422.00	0.31650
423.00	0.27688
424.00	0.24037
425.00	0.20722
426.00	0.17828
427.00	0.15129
428.00	0.12922
429.00	0.10906
430.00	0.091612
431.00	0.078462
432.00	0.066826
433.00	0.055528
434.00	0.046104
435.00	0.039582
436.00	0.033456
437.00	0.028724
438.00	0.025016
439.00	0.022127
440.00	0.020045
441.00	0.017736
442.00	0.016008
443.00	0.014673
444.00	0.013811
445.00	0.012928
446.00	0.012755
447.00	0.012460
448.00	0.012233
449.00	0.011851
450.00	0.011593
451.00	0.011881
452.00	0.012158
453.00	0.012448
454.00	0.012788
455.00	0.012800
456.00	0.013099
457.00	0.013136
458.00	0.013631
459.00	0.014249
460.00	0.014593
461.00	0.014830
462.00	0.014927
463.00	0.015158
464.00	0.015390
465.00	0.015485
466.00	0.015674
467.00	0.016063
468.00	0.016520
469.00	0.016939
470.00	0.016696
471.00	0.016697
472.00	0.017009
473.00	0.017258
474.00	0.017414
475.00	0.018255
476.00	0.018549
477.00	0.018313
478.00	0.018365
479.00	0.018515
480.00	0.019035
481.00	0.019540
482.00	0.020256
483.00	0.020546
484.00	0.021086
485.00	0.022845
486.00	0.023057
487.00	0.024293
488.00	0.027723
489.00	0.030729
490.00	0.033900
491.00	0.037761
492.00	0.042062
493.00	0.046198
494.00	0.049951
495.00	0.053902
496.00	0.057341
497.00	0.059408
498.00	0.061660
499.00	0.062874
500.00	0.064416
501.00	0.066382
502.00	0.067670
503.00	0.068373
504.00	0.068510
505.00	0.069135
506.00	0.069327
507.00	0.069866
508.00	0.070987
509.00	0.071435
510.00	0.071203
511.00	0.070343
512.00	0.068636
513.00	0.066207
514.00	0.062649
515.00	0.058012
516.00	0.052196
517.00	0.046719
518.00	0.041077
519.00	0.036055
520.00	0.032275
521.00	0.028945
522.00	0.025766
523.00	0.022842
524.00	0.020558
525.00	0.018531
526.00	0.016796
527.00	0.015457
528.00	0.015110
529.00	0.014440
530.00	0.014728
531.00	0.014522
532.00	0.014784
533.00	0.015111
534.00	0.015645
535.00	0.016367
536.00	0.016629
537.00	0.017441
538.00	0.017454
539.00	0.017259
540.00	0.017008
541.00	0.016699
542.00	0.016524
543.00	0.015695
544.00	0.014739
545.00	0.013526
546.00	0.012884
547.00	0.012001
548.00	0.011064
549.00	0.010502
550.00	0.0098066
551.00	0.0090364
552.00	0.0081901
553.00	0.0081357
554.00	0.0075095
555.00	0.0073134
556.00	0.0072442
557.00	0.0071458
558.00	0.0065788
559.00	0.0063029
560.00	0.0059575
561.00	0.0053791
562.00	0.0054638
563.00	0.0056873
564.00	0.0056444
565.00	0.0053434
566.00	0.0051887
567.00	0.0052039
568.00	0.0053460
569.00	0.0056204
570.00	0.0059301
571.00	0.0065784
572.00	0.0070736
573.00	0.0080092
574.00	0.0091868
575.00	0.010600
576.00	0.013134
577.00	0.015971
578.00	0.018072
579.00	0.020578
580.00	0.022144
581.00	0.023620
582.00	0.023730
583.00	0.024536
584.00	0.025712
585.00	0.026457
586.00	0.027187
587.00	0.027841
588.00	0.027718
589.00	0.027003
590.00	0.025547
591.00	0.023943
592.00	0.021868
593.00	0.019762
594.00	0.018091
595.00	0.016680
596.00	0.015715
597.00	0.014987
598.00	0.014544
599.00	0.013574
600.00	0.013018
601.00	0.012311
602.00	0.011931
603.00	0.011701
604.00	0.011590
605.00	0.011650
606.00	0.011695
607.00	0.011693
608.00	0.011464
609.00	0.011340
610.00	0.010807
611.00	0.010324
612.00	0.0097945
613.00	0.0093879
614.00	0.0090801
615.00	0.0092461
616.00	0.0096284
617.00	0.010296
618.00	0.011101
619.00	0.012096
620.00	0.013036
621.00	0.014244
622.00	0.016306
623.00	0.018507
624.00	0.021617
625.00	0.025128
626.00	0.029144
627.00	0.033939
628.00	0.039450
629.00	0.047805
630.00	0.059146
631.00	0.075939
632.00	0.098070
633.00	0.12525
634.00	0.15485
635.00	0.18158
636.00	0.20243
637.00	0.21220
638.00	0.20935
639.00	0.19596
640.00	0.17541
641.00	0.15200
642.00	0.12731
643.00	0.10540
644.00	0.087963
645.00	0.074089
646.00	0.062198
647.00	0.051514
648.00	0.041995
649.00	0.034157
650.00	0.028026
651.00	0.022920
652.00	0.018098
653.00	0.014053
654.00	0.010093
655.00	0.0089870
656.00	0.0062018
657.00	0.0060171
658.00	0.0052362
659.00	0.0040958
660.00	0.0028619
661.00	0.0021741
662.00	0.0021045
663.00	0.0020281
664.00	0.0017530
665.00	0.0018602
666.00	0.0014494
667.00	0.0010276
668.00	0.00087403
669.00	0.0011606
670.00	0.00089265
671.00	0.0011951
672.00	0.0010925
673.00	0.00086757
674.00	0.00075129
675.00	0.00054646
676.00	0.00063120
677.00	0.00080449
678.00	0.00090481
679.00	0.00067529
680.00	0.00075091
681.00	0.00054912
682.00	0.00055292
683.00	0.00056204
684.00	0.00070873
685.00	0.00058560
686.00	0.00052974
687.00	0.00062702
688.00	0.00045678
689.00	0.00040396
690.00	0.00059396
691.00	0.00058712
692.00	0.00044614
693.00	0.00031199
694.00	3.6101e-05
695.00	0.00038001
696.00	0.00052214
697.00	0.00037621
698.00	0.00039027
699.00	0.00053582
700.00	0.00034467
