Wavelength (nm)	229 FbC-Pn10Br15
300.00	0.092624
301.00	0.093126
302.00	0.093974
303.00	0.094441
304.00	0.094357
305.00	0.094339
306.00	0.093601
307.00	0.092755
308.00	0.090445
309.00	0.086728
310.00	0.083023
311.00	0.078969
312.00	0.075293
313.00	0.072478
314.00	0.070466
315.00	0.069177
316.00	0.068885
317.00	0.069518
318.00	0.071101
319.00	0.072992
320.00	0.075083
321.00	0.077454
322.00	0.079969
323.00	0.082363
324.00	0.085033
325.00	0.087347
326.00	0.089328
327.00	0.091529
328.00	0.093612
329.00	0.095718
330.00	0.097848
331.00	0.10015
332.00	0.10278
333.00	0.10544
334.00	0.10851
335.00	0.11152
336.00	0.11492
337.00	0.11853
338.00	0.12231
339.00	0.12611
340.00	0.12947
341.00	0.13242
342.00	0.13496
343.00	0.13714
344.00	0.13862
345.00	0.14013
346.00	0.14179
347.00	0.14362
348.00	0.14619
349.00	0.15000
350.00	0.15525
351.00	0.16175
352.00	0.16957
353.00	0.17863
354.00	0.18834
355.00	0.19823
356.00	0.20736
357.00	0.21529
358.00	0.22122
359.00	0.22422
360.00	0.22594
361.00	0.22539
362.00	0.22212
363.00	0.21636
364.00	0.20916
365.00	0.20137
366.00	0.19440
367.00	0.18862
368.00	0.18452
369.00	0.18322
370.00	0.18506
371.00	0.18959
372.00	0.19632
373.00	0.20516
374.00	0.21537
375.00	0.22690
376.00	0.23878
377.00	0.25143
378.00	0.26461
379.00	0.27799
380.00	0.29113
381.00	0.30617
382.00	0.32295
383.00	0.34182
384.00	0.36229
385.00	0.38461
386.00	0.40940
387.00	0.43694
388.00	0.46767
389.00	0.49993
390.00	0.53704
391.00	0.58008
392.00	0.62919
393.00	0.68215
394.00	0.74033
395.00	0.79901
396.00	0.85545
397.00	0.90664
398.00	0.94770
399.00	0.97555
400.00	0.99362
401.00	1.0000
402.00	0.99226
403.00	0.97235
404.00	0.94085
405.00	0.90322
406.00	0.86161
407.00	0.81592
408.00	0.77424
409.00	0.74110
410.00	0.71890
411.00	0.70589
412.00	0.69788
413.00	0.69318
414.00	0.69131
415.00	0.69525
416.00	0.70072
417.00	0.70036
418.00	0.68204
419.00	0.63949
420.00	0.57105
421.00	0.48711
422.00	0.40404
423.00	0.32490
424.00	0.25450
425.00	0.19760
426.00	0.15234
427.00	0.11634
428.00	0.089701
429.00	0.069810
430.00	0.055299
431.00	0.045238
432.00	0.037368
433.00	0.031199
434.00	0.027111
435.00	0.023587
436.00	0.021129
437.00	0.019287
438.00	0.017920
439.00	0.016777
440.00	0.015786
441.00	0.015215
442.00	0.014830
443.00	0.014474
444.00	0.014224
445.00	0.014102
446.00	0.014068
447.00	0.014139
448.00	0.014323
449.00	0.014416
450.00	0.014534
451.00	0.015039
452.00	0.015528
453.00	0.015907
454.00	0.016171
455.00	0.016546
456.00	0.017089
457.00	0.017622
458.00	0.018104
459.00	0.018577
460.00	0.019024
461.00	0.019586
462.00	0.020191
463.00	0.020763
464.00	0.021063
465.00	0.021541
466.00	0.021464
467.00	0.021605
468.00	0.021867
469.00	0.022260
470.00	0.022712
471.00	0.022862
472.00	0.023132
473.00	0.023282
474.00	0.023922
475.00	0.024275
476.00	0.024209
477.00	0.024424
478.00	0.024572
479.00	0.024855
480.00	0.025040
481.00	0.025008
482.00	0.025047
483.00	0.025484
484.00	0.026248
485.00	0.027402
486.00	0.028421
487.00	0.028325
488.00	0.030524
489.00	0.033375
490.00	0.036994
491.00	0.041299
492.00	0.046046
493.00	0.050583
494.00	0.054213
495.00	0.056949
496.00	0.058878
497.00	0.060121
498.00	0.061315
499.00	0.062239
500.00	0.063694
501.00	0.065999
502.00	0.068942
503.00	0.072107
504.00	0.075422
505.00	0.078483
506.00	0.080718
507.00	0.081663
508.00	0.082117
509.00	0.081714
510.00	0.081148
511.00	0.080157
512.00	0.077973
513.00	0.074561
514.00	0.069874
515.00	0.064238
516.00	0.058433
517.00	0.052458
518.00	0.046787
