Wavelength (nm)	205 6 abs
350.00	0.15786
351.00	0.16087
352.00	0.16388
353.00	0.16689
354.00	0.17206
355.00	0.17818
356.00	0.18610
357.00	0.19516
358.00	0.20450
359.00	0.21182
360.00	0.21947
361.00	0.22657
362.00	0.23195
363.00	0.23728
364.00	0.24256
365.00	0.24392
366.00	0.24367
367.00	0.24053
368.00	0.23605
369.00	0.23123
370.00	0.22661
371.00	0.22303
372.00	0.22065
373.00	0.21947
374.00	0.22099
375.00	0.22512
376.00	0.23157
377.00	0.23922
378.00	0.24870
379.00	0.25915
380.00	0.27462
381.00	0.28770
382.00	0.30210
383.00	0.31565
384.00	0.32877
385.00	0.34265
386.00	0.35839
387.00	0.37502
388.00	0.39359
389.00	0.41660
390.00	0.44245
391.00	0.47321
392.00	0.50937
393.00	0.54641
394.00	0.59482
395.00	0.64593
396.00	0.69843
397.00	0.75200
398.00	0.80589
399.00	0.84636
400.00	0.87540
401.00	0.89755
402.00	0.90764
403.00	0.91439
404.00	0.91219
405.00	0.90890
406.00	0.90461
407.00	0.89912
408.00	0.89679
409.00	0.89582
410.00	0.89728
411.00	0.90103
412.00	0.91029
413.00	0.92160
414.00	0.93570
415.00	0.95580
416.00	0.97381
417.00	0.98707
418.00	0.99637
419.00	1.0000
420.00	0.99168
421.00	0.96305
422.00	0.91448
423.00	0.84594
424.00	0.76928
425.00	0.68626
426.00	0.59821
427.00	0.50426
428.00	0.41437
429.00	0.34939
430.00	0.28396
431.00	0.23167
432.00	0.18784
433.00	0.15027
434.00	0.11831
435.00	0.093231
436.00	0.074498
437.00	0.060273
438.00	0.050292
439.00	0.043979
440.00	0.038470
441.00	0.034143
442.00	0.030299
443.00	0.027017
444.00	0.026131
445.00	0.025245
446.00	0.024359
447.00	0.024482
448.00	0.024705
449.00	0.024929
450.00	0.025152
451.00	0.025510
452.00	0.025969
453.00	0.026428
454.00	0.026887
455.00	0.027350
456.00	0.027823
457.00	0.028296
458.00	0.028768
459.00	0.029374
460.00	0.030378
461.00	0.031383
462.00	0.032387
463.00	0.033392
464.00	0.034235
465.00	0.035063
466.00	0.035891
467.00	0.036341
468.00	0.036223
469.00	0.036105
470.00	0.035988
471.00	0.035865
472.00	0.035732
473.00	0.035598
474.00	0.035464
475.00	0.035740
476.00	0.036226
477.00	0.036712
478.00	0.036964
479.00	0.037102
480.00	0.037240
481.00	0.037487
482.00	0.038358
483.00	0.039228
484.00	0.040098
485.00	0.040919
486.00	0.041729
487.00	0.042538
488.00	0.044622
489.00	0.046985
490.00	0.050449
491.00	0.054243
492.00	0.058916
493.00	0.064175
494.00	0.069751
495.00	0.075803
496.00	0.081951
497.00	0.087321
498.00	0.089258
499.00	0.091198
500.00	0.093192
501.00	0.095071
502.00	0.096727
503.00	0.098383
504.00	0.10163
505.00	0.10429
506.00	0.10589
507.00	0.10801
508.00	0.11163
509.00	0.11355
510.00	0.11502
511.00	0.11613
512.00	0.11501
513.00	0.11203
514.00	0.10801
515.00	0.10283
516.00	0.096498
517.00	0.089499
518.00	0.083593
519.00	0.077072
520.00	0.069850
521.00	0.062493
522.00	0.056271
523.00	0.051278
524.00	0.046691
525.00	0.042450
526.00	0.038983
527.00	0.036834
528.00	0.034685
529.00	0.033571
530.00	0.033772
531.00	0.033994
532.00	0.034682
533.00	0.035371
534.00	0.036142
535.00	0.036792
536.00	0.035461
537.00	0.034203
538.00	0.033173
539.00	0.032142
540.00	0.030660
541.00	0.029123
542.00	0.027757
543.00	0.026684
544.00	0.025611
545.00	0.024533
546.00	0.023432
547.00	0.022331
548.00	0.021230
549.00	0.020020
550.00	0.018760
551.00	0.017500
552.00	0.016346
553.00	0.015545
554.00	0.014745
555.00	0.013944
556.00	0.012975
557.00	0.011892
558.00	0.010810
559.00	0.0097444
560.00	0.0094972
561.00	0.0092501
562.00	0.0090030
563.00	0.0087671
564.00	0.0086318
565.00	0.0084965
566.00	0.0083611
567.00	0.0082279
568.00	0.0080967
569.00	0.0079655
570.00	0.0078342
571.00	0.0077139
572.00	0.0075957
573.00	0.0074776
574.00	0.0073595
575.00	0.0074334
576.00	0.0075784
577.00	0.0077235
578.00	0.0081278
579.00	0.0089379
580.00	0.0097480
581.00	0.010662
582.00	0.011731
583.00	0.012801
584.00	0.014018
585.00	0.015731
586.00	0.017444
587.00	0.019324
588.00	0.022425
589.00	0.025526
590.00	0.028627
591.00	0.030862
592.00	0.032931
593.00	0.034884
594.00	0.036721
595.00	0.038377
596.00	0.039751
597.00	0.037758
598.00	0.035357
599.00	0.032699
600.00	0.030345
601.00	0.028024
602.00	0.025852
603.00	0.023680
604.00	0.021636
605.00	0.019618
606.00	0.017781
607.00	0.016719
608.00	0.015657
609.00	0.015293
610.00	0.014999
611.00	0.014705
612.00	0.014501
613.00	0.014353
614.00	0.014206
615.00	0.014153
616.00	0.014287
617.00	0.014421
618.00	0.014554
619.00	0.014593
620.00	0.014593
621.00	0.014593
622.00	0.014851
623.00	0.015210
624.00	0.015580
625.00	0.016541
626.00	0.017502
627.00	0.018672
628.00	0.020049
629.00	0.022350
630.00	0.026097
631.00	0.029581
632.00	0.033109
633.00	0.038526
634.00	0.044070
635.00	0.048873
636.00	0.051744
637.00	0.057690
638.00	0.065205
639.00	0.074692
640.00	0.087997
641.00	0.10764
642.00	0.13585
643.00	0.17818
644.00	0.22833
645.00	0.27841
646.00	0.32516
647.00	0.36205
648.00	0.37599
649.00	0.36379
650.00	0.33086
651.00	0.28657
652.00	0.23767
653.00	0.19101
654.00	0.14381
655.00	0.10467
656.00	0.080005
657.00	0.062207
658.00	0.049439
659.00	0.037383
660.00	0.029723
661.00	0.024391
662.00	0.019635
663.00	0.016824
664.00	0.014012
665.00	0.011585
666.00	0.0093326
667.00	0.0077402
668.00	0.0067106
669.00	0.0060692
670.00	0.0057088
671.00	0.0052548
672.00	0.0046192
673.00	0.0039836
674.00	0.0036704
675.00	0.0034378
676.00	0.0032052
677.00	0.0029706
678.00	0.0027323
679.00	0.0024939
680.00	0.0022555
681.00	0.0020172
682.00	0.0018384
683.00	0.0018384
684.00	0.0018384
685.00	0.0018384
686.00	0.0018384
687.00	0.0018384
688.00	0.0017872
689.00	0.0017321
690.00	0.0016771
691.00	0.0016220
692.00	0.0015669
693.00	0.0015119
694.00	0.0014568
695.00	0.0014348
696.00	0.0014348
697.00	0.0014348
698.00	0.0014348
699.00	0.0014348
700.00	0.0014348
