Wavelength (nm)	137 Oxo-Zn2.ems
550.00	0.00020495
551.00	0.00070949
552.00	0.00011226
553.00	0.00016876
554.00	0.00039461
555.00	9.4151e-05
556.00	0.00024532
557.00	0.00032148
558.00	0.00083385
559.00	0.00022789
560.00	0.00045675
561.00	0.00032456
562.00	0.0010343
563.00	0.00097991
564.00	0.00046259
565.00	0.0011215
566.00	0.0011444
567.00	0.0018485
568.00	0.0011711
569.00	0.00045031
570.00	0.00096235
571.00	0.0012023
572.00	0.0014044
573.00	0.00093301
574.00	0.0011953
575.00	0.0016394
576.00	0.0011436
577.00	0.0016912
578.00	0.00094957
579.00	0.0021085
580.00	0.0013834
581.00	0.0015119
582.00	0.0024005
583.00	0.0023282
584.00	0.0024827
585.00	0.0033449
586.00	0.0024616
587.00	0.0030583
588.00	0.0033023
589.00	0.0038438
590.00	0.0036050
591.00	0.0043461
592.00	0.0052437
593.00	0.0058483
594.00	0.0056807
595.00	0.0092437
596.00	0.011269
597.00	0.015131
598.00	0.016783
599.00	0.020350
600.00	0.022394
601.00	0.028549
602.00	0.035559
603.00	0.046307
604.00	0.062310
605.00	0.090748
606.00	0.12607
607.00	0.18429
608.00	0.26695
609.00	0.37358
610.00	0.50856
611.00	0.65320
612.00	0.78126
613.00	0.88487
614.00	0.97447
615.00	0.99091
616.00	1.00000
617.00	0.94447
618.00	0.85689
619.00	0.78089
620.00	0.68169
621.00	0.60053
622.00	0.50206
623.00	0.43537
624.00	0.36366
625.00	0.31799
626.00	0.27427
627.00	0.23697
628.00	0.21000
629.00	0.18253
630.00	0.16560
631.00	0.14934
632.00	0.13805
633.00	0.12532
634.00	0.11327
635.00	0.10143
636.00	0.098671
637.00	0.089472
638.00	0.085122
639.00	0.083983
640.00	0.076925
641.00	0.078480
642.00	0.078111
643.00	0.078486
644.00	0.078637
645.00	0.079712
646.00	0.077398
647.00	0.079883
648.00	0.081760
649.00	0.082041
650.00	0.081826
651.00	0.084964
652.00	0.090446
653.00	0.086708
654.00	0.090042
655.00	0.093564
656.00	0.092839
657.00	0.090611
658.00	0.087048
659.00	0.092823
660.00	0.090583
661.00	0.090059
662.00	0.094293
663.00	0.093565
664.00	0.097020
665.00	0.10156
666.00	0.10621
667.00	0.10833
668.00	0.10988
669.00	0.11147
670.00	0.11437
671.00	0.11418
672.00	0.11483
673.00	0.11280
674.00	0.10931
675.00	0.11073
676.00	0.10765
677.00	0.10929
678.00	0.10936
679.00	0.10089
680.00	0.095312
681.00	0.087926
682.00	0.083912
683.00	0.076937
684.00	0.068970
685.00	0.066411
686.00	0.059918
687.00	0.053938
688.00	0.047854
689.00	0.043663
690.00	0.037802
691.00	0.033800
692.00	0.034235
693.00	0.027809
694.00	0.026195
695.00	0.023137
696.00	0.026301
697.00	0.019689
698.00	0.019924
699.00	0.019539
700.00	0.018799
701.00	0.014596
702.00	0.016883
703.00	0.012834
704.00	0.015207
705.00	0.018179
706.00	0.013552
707.00	0.010610
708.00	0.015442
709.00	0.013017
710.00	0.013038
711.00	0.013598
712.00	0.012652
713.00	0.014348
714.00	0.011959
715.00	0.011560
716.00	0.0094856
717.00	0.0085489
718.00	0.012977
719.00	0.0091833
720.00	0.010161
721.00	0.0079423
722.00	0.0098339
723.00	0.0095833
724.00	0.012304
725.00	0.013928
726.00	0.0090872
727.00	0.012608
728.00	0.010835
729.00	0.0093399
730.00	0.0069027
731.00	0.010162
732.00	0.011227
733.00	0.0092373
734.00	0.012131
735.00	0.0087767
736.00	0.011022
737.00	0.0095403
738.00	0.0089299
739.00	0.0081170
740.00	0.012977
741.00	0.010300
742.00	0.0062156
743.00	0.0079343
744.00	0.010377
745.00	0.011289
746.00	0.0091148
747.00	0.0057739
748.00	0.010550
749.00	0.0099424
750.00	0.0074337
