Wavelength (nm)	137 Oxo-Mg2.abs
300.00	0.061172
301.00	0.061648
302.00	0.062095
303.00	0.062503
304.00	0.062437
305.00	0.062729
306.00	0.062765
307.00	0.062543
308.00	0.062305
309.00	0.061985
310.00	0.061754
311.00	0.061423
312.00	0.060859
313.00	0.060361
314.00	0.060048
315.00	0.059683
316.00	0.059206
317.00	0.058980
318.00	0.058882
319.00	0.058678
320.00	0.058536
321.00	0.058498
322.00	0.058445
323.00	0.058487
324.00	0.058491
325.00	0.058578
326.00	0.058561
327.00	0.058622
328.00	0.058669
329.00	0.058414
330.00	0.058252
331.00	0.057965
332.00	0.057664
333.00	0.057255
334.00	0.056717
335.00	0.056050
336.00	0.055308
337.00	0.054381
338.00	0.053610
339.00	0.052750
340.00	0.051757
341.00	0.050703
342.00	0.049799
343.00	0.048959
344.00	0.048085
345.00	0.047240
346.00	0.046559
347.00	0.046045
348.00	0.045447
349.00	0.044933
350.00	0.044553
351.00	0.044096
352.00	0.043939
353.00	0.043576
354.00	0.043888
355.00	0.043678
356.00	0.043740
357.00	0.043450
358.00	0.043279
359.00	0.043465
360.00	0.043560
361.00	0.043945
362.00	0.044739
363.00	0.045448
364.00	0.046386
365.00	0.047331
366.00	0.048271
367.00	0.049503
368.00	0.050137
369.00	0.050833
370.00	0.051800
371.00	0.053551
372.00	0.055160
373.00	0.056233
374.00	0.057712
375.00	0.059295
376.00	0.059766
377.00	0.060944
378.00	0.061877
379.00	0.062917
380.00	0.063022
381.00	0.064156
382.00	0.065860
383.00	0.066957
384.00	0.067796
385.00	0.069156
386.00	0.070655
387.00	0.072658
388.00	0.074466
389.00	0.075057
390.00	0.077926
391.00	0.081897
392.00	0.088154
393.00	0.093797
394.00	0.10150
395.00	0.11160
396.00	0.12520
397.00	0.14115
398.00	0.15746
399.00	0.17085
400.00	0.18459
401.00	0.19781
402.00	0.20787
403.00	0.21407
404.00	0.21730
405.00	0.21675
406.00	0.21115
407.00	0.20485
408.00	0.20130
409.00	0.19717
410.00	0.19652
411.00	0.20062
412.00	0.21202
413.00	0.22963
414.00	0.25440
415.00	0.29309
416.00	0.34487
417.00	0.41217
418.00	0.49309
419.00	0.58268
420.00	0.68198
421.00	0.78375
422.00	0.86663
423.00	0.93629
424.00	0.98372
425.00	1.00000
426.00	0.98582
427.00	0.94179
428.00	0.87246
429.00	0.77880
430.00	0.67412
431.00	0.57048
432.00	0.46546
433.00	0.36555
434.00	0.28171
435.00	0.21700
436.00	0.16136
437.00	0.11923
438.00	0.088076
439.00	0.064660
440.00	0.049030
441.00	0.037688
442.00	0.028696
443.00	0.023336
444.00	0.019284
445.00	0.016631
446.00	0.015269
447.00	0.013489
448.00	0.013197
449.00	0.013050
450.00	0.012010
451.00	0.011338
452.00	0.011106
453.00	0.010454
454.00	0.010681
455.00	0.010540
456.00	0.010167
457.00	0.010512
458.00	0.010099
459.00	0.0094427
460.00	0.0078901
461.00	0.0072631
462.00	0.0062594
463.00	0.0079406
464.00	0.0081609
465.00	0.0072604
466.00	0.0054996
467.00	0.0046048
468.00	0.0050918
469.00	0.0040460
470.00	0.0041644
471.00	0.0047504
472.00	0.0061069
473.00	0.0060644
474.00	0.0052864
475.00	0.0056745
476.00	0.0050008
477.00	0.0044773
478.00	0.0054567
479.00	0.0050201
480.00	0.0060048
481.00	0.0053228
482.00	0.0055098
483.00	0.0055990
484.00	0.0043920
485.00	0.0033016
486.00	0.0040895
487.00	0.0042071
488.00	0.0035834
489.00	0.0044318
490.00	0.0053251
491.00	0.0050926
492.00	0.0059586
493.00	0.0064115
494.00	0.0057845
495.00	0.0057803
496.00	0.0071739
497.00	0.0053490
498.00	0.0061494
499.00	0.0068174
500.00	0.0061835
501.00	0.0067529
502.00	0.0068481
503.00	0.0065370
504.00	0.0063489
505.00	0.0067654
506.00	0.0068709
507.00	0.0064240
508.00	0.0081090
509.00	0.0073002
510.00	0.0083142
511.00	0.0084462
512.00	0.0084982
513.00	0.0088396
514.00	0.0091039
515.00	0.010096
516.00	0.010406
517.00	0.010842
518.00	0.011180
519.00	0.012472
520.00	0.011921
521.00	0.013153
522.00	0.013220
523.00	0.013935
524.00	0.014274
525.00	0.014506
