Wavelength (nm)	142 MgO1 ems
571.00	0.00035803
572.00	0.00035368
573.00	0.00031757
574.00	0.00046370
575.00	0.00038266
576.00	0.00049929
577.00	0.00030058
578.00	0.00044271
579.00	0.00069505
580.00	0.00093611
581.00	0.00088397
582.00	0.00087606
583.00	0.00089266
584.00	0.0010195
585.00	0.0011969
586.00	0.0014561
587.00	0.0019115
588.00	0.0016419
589.00	0.0019964
590.00	0.0025351
591.00	0.0029984
592.00	0.0045234
593.00	0.0051858
594.00	0.0071597
595.00	0.0089713
596.00	0.011253
597.00	0.014721
598.00	0.018269
599.00	0.023745
600.00	0.028894
601.00	0.036805
602.00	0.045656
603.00	0.052685
604.00	0.062739
605.00	0.075444
606.00	0.090650
607.00	0.11311
608.00	0.14423
609.00	0.18571
610.00	0.24365
611.00	0.31576
612.00	0.41739
613.00	0.53631
614.00	0.65205
615.00	0.76755
616.00	0.86540
617.00	0.94628
618.00	0.99241
619.00	1.0000
620.00	0.97898
621.00	0.92678
622.00	0.85433
623.00	0.76873
624.00	0.67158
625.00	0.58411
626.00	0.50533
627.00	0.43860
628.00	0.37800
629.00	0.32741
630.00	0.29064
631.00	0.25605
632.00	0.22286
633.00	0.19904
634.00	0.18697
635.00	0.16841
636.00	0.15445
637.00	0.14341
638.00	0.13109
639.00	0.12396
640.00	0.11331
641.00	0.10895
642.00	0.10593
643.00	0.10196
644.00	0.10123
645.00	0.10234
646.00	0.10052
647.00	0.10010
648.00	0.10633
649.00	0.10777
650.00	0.10953
651.00	0.11600
652.00	0.12015
653.00	0.12280
654.00	0.12685
655.00	0.12950
656.00	0.13339
657.00	0.13816
658.00	0.13956
659.00	0.14344
660.00	0.14512
661.00	0.14851
662.00	0.14836
663.00	0.15220
664.00	0.15375
665.00	0.15763
666.00	0.16152
667.00	0.16759
668.00	0.17243
669.00	0.17906
670.00	0.18466
671.00	0.19038
672.00	0.19636
673.00	0.19322
674.00	0.19774
675.00	0.19518
676.00	0.19444
677.00	0.19092
678.00	0.18823
679.00	0.18467
680.00	0.17924
681.00	0.17406
682.00	0.16391
683.00	0.15572
684.00	0.14722
685.00	0.14047
686.00	0.12751
687.00	0.11592
688.00	0.10767
689.00	0.096091
690.00	0.087846
691.00	0.077539
692.00	0.068916
693.00	0.060588
694.00	0.055083
695.00	0.049095
696.00	0.044785
697.00	0.039617
698.00	0.036868
699.00	0.032837
700.00	0.028519
701.00	0.028058
702.00	0.024256
703.00	0.023752
704.00	0.021843
705.00	0.019991
706.00	0.020147
707.00	0.017964
708.00	0.018486
709.00	0.016897
710.00	0.016893
711.00	0.016599
712.00	0.014905
713.00	0.014059
714.00	0.014661
715.00	0.013756
716.00	0.012320
717.00	0.013522
718.00	0.012514
719.00	0.012715
720.00	0.011374
721.00	0.012359
722.00	0.010803
723.00	0.011099
724.00	0.0095893
725.00	0.0095234
726.00	0.010141
727.00	0.0099987
728.00	0.0097630
729.00	0.0090649
730.00	0.0087241
731.00	0.0075496
732.00	0.0066585
733.00	0.0072832
734.00	0.0077370
735.00	0.0079940
736.00	0.0073837
737.00	0.0060411
738.00	0.0060531
739.00	0.0055834
740.00	0.0047336
741.00	0.0042717
742.00	0.0040354
743.00	0.0038578
744.00	0.0019357
745.00	0.0014174
746.00	0.0011617
747.00	0.00068200
748.00	0.00068954
749.00	0.00068954
750.00	0.00068954
