Wavelength (nm)	FbOP-A7M10 (SE293)
300.00	0.27538
301.00	0.26625
302.00	0.25855
303.00	0.25083
304.00	0.24436
305.00	0.23916
306.00	0.23462
307.00	0.23053
308.00	0.22740
309.00	0.22467
310.00	0.22276
311.00	0.22067
312.00	0.21925
313.00	0.21782
314.00	0.21696
315.00	0.21596
316.00	0.21492
317.00	0.21430
318.00	0.21386
319.00	0.21371
320.00	0.21361
321.00	0.21354
322.00	0.21350
323.00	0.21333
324.00	0.21264
325.00	0.21149
326.00	0.20967
327.00	0.20690
328.00	0.20292
329.00	0.19778
330.00	0.19162
331.00	0.18489
332.00	0.17767
333.00	0.17027
334.00	0.16322
335.00	0.15677
336.00	0.15118
337.00	0.14658
338.00	0.14250
339.00	0.13913
340.00	0.13649
341.00	0.13422
342.00	0.13232
343.00	0.13074
344.00	0.12969
345.00	0.12886
346.00	0.12862
347.00	0.12860
348.00	0.12874
349.00	0.12930
350.00	0.12991
351.00	0.13081
352.00	0.13189
353.00	0.13285
354.00	0.13371
355.00	0.13452
356.00	0.13495
357.00	0.13558
358.00	0.13579
359.00	0.13691
360.00	0.13820
361.00	0.13889
362.00	0.13980
363.00	0.14105
364.00	0.14084
365.00	0.14106
366.00	0.14183
367.00	0.14303
368.00	0.14591
369.00	0.14980
370.00	0.15456
371.00	0.16003
372.00	0.16486
373.00	0.16924
374.00	0.17261
375.00	0.17495
376.00	0.17611
377.00	0.17518
378.00	0.17388
379.00	0.17100
380.00	0.16674
381.00	0.16190
382.00	0.15613
383.00	0.15053
384.00	0.14522
385.00	0.14007
386.00	0.13566
387.00	0.13190
388.00	0.12932
389.00	0.12795
390.00	0.12738
391.00	0.12793
392.00	0.12973
393.00	0.13180
394.00	0.13323
395.00	0.13599
396.00	0.13962
397.00	0.14329
398.00	0.14734
399.00	0.15135
400.00	0.15481
401.00	0.15970
402.00	0.16519
403.00	0.17137
404.00	0.17877
405.00	0.18830
406.00	0.19880
407.00	0.21099
408.00	0.22777
409.00	0.24692
410.00	0.26598
411.00	0.28669
412.00	0.30907
413.00	0.33044
414.00	0.34800
415.00	0.36526
416.00	0.38109
417.00	0.39486
418.00	0.40611
419.00	0.41500
420.00	0.42189
421.00	0.42823
422.00	0.43196
423.00	0.43507
424.00	0.43955
425.00	0.44554
426.00	0.45409
427.00	0.46653
