Wavelength (nm)	L285 FbOP-A3P10 (SE363).abs

300.00	0.31302
300.20	0.30504
300.40	0.29939
300.60	0.29377
300.80	0.29161
301.00	0.29216
301.20	0.29224
301.40	0.29130
301.60	0.28698
301.80	0.28277
302.00	0.27893
302.20	0.27488
302.40	0.27099
302.60	0.26710
302.80	0.26695
303.00	0.26498
303.20	0.26219
303.40	0.26058
303.60	0.25638
303.80	0.25418
304.00	0.25218
304.20	0.25163
304.40	0.25116
304.60	0.24927
304.80	0.24499
305.00	0.24354
305.20	0.24103
305.40	0.24004
305.60	0.23812
305.80	0.23647
306.00	0.23341
306.20	0.23085
306.40	0.23187
306.60	0.23133
306.80	0.22987
307.00	0.23007
307.20	0.23026
307.40	0.22807
307.60	0.22618
307.80	0.22551
308.00	0.22382
308.20	0.22190
308.40	0.22221
308.60	0.22398
308.80	0.22107
309.00	0.21821
309.20	0.21679
309.40	0.21891
309.60	0.21856
309.80	0.21943
310.00	0.21899
310.20	0.21864
310.40	0.21939
310.60	0.22084
310.80	0.22202
311.00	0.22241
311.20	0.22029
311.40	0.21931
311.60	0.21860
311.80	0.22088
312.00	0.22076
312.20	0.22190
312.40	0.22378
312.60	0.22351
312.80	0.22265
313.00	0.22104
313.20	0.21950
313.40	0.21833
313.60	0.21943
313.80	0.22084
314.00	0.22327
314.20	0.22453
314.40	0.22571
314.60	0.22547
314.80	0.22418
315.00	0.22563
315.20	0.22610
315.40	0.22630
315.60	0.22614
315.80	0.22697
316.00	0.22532
316.20	0.22598
316.40	0.22803
316.60	0.22830
316.80	0.22913
317.00	0.23030
317.20	0.23411
317.40	0.23439
317.60	0.23376
317.80	0.23396
318.00	0.23478
318.20	0.23568
318.40	0.23572
318.60	0.23620
318.80	0.23836
319.00	0.23808
319.20	0.23808
319.40	0.23832
319.60	0.23989
319.80	0.24240
320.00	0.24503
320.20	0.24688
320.40	0.24680
320.60	0.24613
320.80	0.24629
321.00	0.24841
321.20	0.24900
321.40	0.25084
321.60	0.25139
321.80	0.25190
322.00	0.25332
322.20	0.25509
322.40	0.25721
322.60	0.25874
322.80	0.25948
323.00	0.26047
323.20	0.26290
323.40	0.26494
323.60	0.26691
323.80	0.26867
324.00	0.26966
324.20	0.26954
324.40	0.27138
324.60	0.27217
324.80	0.27390
325.00	0.27508
325.20	0.27806
325.40	0.27940
325.60	0.28116
325.80	0.28195
326.00	0.28254
326.20	0.28332
326.40	0.28380
326.60	0.28568
326.80	0.28658
327.00	0.28733
327.20	0.28768
327.40	0.28870
327.60	0.28929
327.80	0.29035
328.00	0.29122
328.20	0.29051
328.40	0.29055
328.60	0.29063
328.80	0.29165
329.00	0.29138
329.20	0.29118
329.40	0.29012
329.60	0.29094
329.80	0.29149
330.00	0.29193
330.20	0.29165
330.40	0.29000
330.60	0.28914
330.80	0.28863
331.00	0.28812
331.20	0.28615
331.40	0.28490
331.60	0.28317
331.80	0.28097
332.00	0.27873
332.20	0.27716
332.40	0.27594
332.60	0.27464
332.80	0.27343
333.00	0.27272
333.20	0.27029
333.40	0.26769
333.60	0.26447
333.80	0.26243
334.00	0.26051
334.20	0.25874
334.40	0.25599
334.60	0.25450
334.80	0.25371
335.00	0.25210
335.20	0.24923
335.40	0.24609
335.60	0.24342
335.80	0.24197
336.00	0.24024
336.20	0.23796
336.40	0.23576
336.60	0.23419
336.80	0.23317
337.00	0.23203
337.20	0.23081
337.40	0.22940
337.60	0.22712
337.80	0.22520
338.00	0.22331
338.20	0.22241
338.40	0.22107
338.60	0.22017
338.80	0.21840
339.00	0.21730
339.20	0.21652
339.40	0.21593
339.60	0.21499
339.80	0.21287
340.00	0.21232
340.20	0.21177
340.40	0.21137
340.60	0.21071
340.80	0.21023
341.00	0.21094
341.20	0.21051
341.40	0.20984
341.60	0.20969
341.80	0.20941
342.00	0.20957
342.20	0.20972
342.40	0.20929
342.60	0.20862
342.80	0.20855
343.00	0.20902
343.20	0.20921
343.40	0.20804
343.60	0.20717
343.80	0.20721
344.00	0.20752
344.20	0.20764
344.40	0.20784
344.60	0.20764
344.80	0.20784
345.00	0.20768
345.20	0.20827
345.40	0.20800
345.60	0.20851
345.80	0.20819
346.00	0.20839
