Wavelength (nm)	L285 FbOP-A3M10 (SE330).ems
600.00	0.00054393
601.00	0.00036136
602.00	0.00028126
603.00	0.00047308
604.00	0.00039265
605.00	0.00042520
606.00	0.00035374
607.00	0.00046315
608.00	0.00051971
609.00	0.00070879
610.00	0.00081406
611.00	0.00080139
612.00	0.00061706
613.00	0.00054164
614.00	0.00055068
615.00	0.00056249
616.00	0.00049040
617.00	0.00055642
618.00	0.00060954
619.00	0.00069371
620.00	0.00062314
621.00	0.00067029
622.00	0.00070681
623.00	0.00068967
624.00	0.00069803
625.00	0.00074697
626.00	0.00082577
627.00	0.0010145
628.00	0.00096899
629.00	0.00096147
630.00	0.00089656
631.00	0.0010964
632.00	0.0010453
633.00	0.0011849
634.00	0.0011458
635.00	0.0013295
636.00	0.0013733
637.00	0.0013920
638.00	0.0015467
639.00	0.0015048
640.00	0.0017714
641.00	0.0018850
642.00	0.0020709
643.00	0.0019956
644.00	0.0022333
645.00	0.0024302
646.00	0.0028429
647.00	0.0028549
648.00	0.0033988
649.00	0.0035189
650.00	0.0040199
651.00	0.0045005
652.00	0.0043631
653.00	0.0053775
654.00	0.0058996
655.00	0.0065301
656.00	0.0076142
657.00	0.0082566
658.00	0.0091338
659.00	0.010609
660.00	0.012310
661.00	0.015029
662.00	0.017075
663.00	0.019842
664.00	0.024561
665.00	0.029301
666.00	0.034506
667.00	0.041813
668.00	0.050024
669.00	0.061229
670.00	0.074867
671.00	0.089435
672.00	0.11368
673.00	0.14085
674.00	0.17700
675.00	0.22404
676.00	0.28321
677.00	0.35165
678.00	0.43515
679.00	0.53079
680.00	0.62973
681.00	0.72816
682.00	0.82197
683.00	0.90547
684.00	0.96771
685.00	0.99542
686.00	1.0000
687.00	0.97363
688.00	0.93295
689.00	0.86454
690.00	0.78654
691.00	0.70672
692.00	0.62256
693.00	0.54706
694.00	0.47701
695.00	0.41167
696.00	0.36181
697.00	0.31532
698.00	0.27801
699.00	0.24999
700.00	0.22345
701.00	0.19934
702.00	0.18171
703.00	0.16426
704.00	0.14937
705.00	0.13339
706.00	0.11978
707.00	0.10877
708.00	0.097821
709.00	0.091441
710.00	0.081173
711.00	0.075741
712.00	0.069807
713.00	0.063961
714.00	0.060916
715.00	0.059772
716.00	0.055614
717.00	0.054725
718.00	0.053562
719.00	0.053099
720.00	0.053903
721.00	0.050401
722.00	0.049533
723.00	0.048777
724.00	0.049092
725.00	0.048572
726.00	0.048547
727.00	0.048956
728.00	0.051290
729.00	0.050141
730.00	0.051913
731.00	0.053750
732.00	0.053617
733.00	0.054346
734.00	0.055616
735.00	0.056324
736.00	0.055667
737.00	0.055396
738.00	0.054046
739.00	0.053345
740.00	0.050971
741.00	0.051064
742.00	0.049636
743.00	0.049536
744.00	0.048266
745.00	0.046624
746.00	0.044575
747.00	0.045429
748.00	0.042067
749.00	0.042153
750.00	0.040764
751.00	0.040891
752.00	0.041438
753.00	0.041456
754.00	0.040939
755.00	0.042631
756.00	0.042791
757.00	0.041544
758.00	0.039710
759.00	0.041140
760.00	0.041053
761.00	0.039259
762.00	0.038524
763.00	0.037120
764.00	0.036385
765.00	0.034914
766.00	0.034045
767.00	0.032297
768.00	0.031102
769.00	0.028937
770.00	0.027300
771.00	0.024996
772.00	0.025371
773.00	0.023196
774.00	0.021076
775.00	0.020485
776.00	0.019694
777.00	0.017262
778.00	0.017258
779.00	0.016260
780.00	0.015652
781.00	0.015620
782.00	0.012764
783.00	0.014218
784.00	0.013320
785.00	0.012326
786.00	0.011367
787.00	0.011161
788.00	0.010632
789.00	0.011042
790.00	0.0084092
791.00	0.0089414
792.00	0.0091005
793.00	0.0098925
794.00	0.0091039
795.00	0.0087811
796.00	0.0081614
797.00	0.0085674
798.00	0.0084644
799.00	0.0088037
800.00	0.0089416
