Wavelength (nm)	L285 FbOP-He3P10 (SE365).ems
600.00	0.00047018
600.20	0.00045627
600.40	0.00061418
600.60	0.00058445
600.80	0.00057380
601.00	0.00056631
601.20	0.00050772
601.40	0.00062320
601.60	0.00064134
601.80	0.00056824
602.00	0.00073374
602.20	0.00063336
602.40	0.00066599
602.60	0.00073562
602.80	0.00067034
603.00	0.00062425
603.20	0.00072622
603.40	0.00071717
603.60	0.00065971
603.80	0.00071031
604.00	0.00080300
604.20	0.00076003
604.40	0.00065223
604.60	0.00076292
604.80	0.00081383
605.00	0.00066524
605.20	0.00078275
605.40	0.00078668
605.60	0.00085243
605.80	0.00087761
606.00	0.00081970
606.20	0.00086118
606.40	0.00084724
606.60	0.00093294
606.80	0.00087161
607.00	0.00096566
607.20	0.00096158
607.40	0.00096077
607.60	0.00087627
607.80	0.00095751
608.00	0.00094190
608.20	0.00089499
608.40	0.0010983
608.60	0.0010185
608.80	0.0010952
609.00	0.00098557
609.20	0.00098312
609.40	0.0011130
609.60	0.0010642
609.80	0.0010387
610.00	0.0011108
610.20	0.0011120
610.40	0.0012146
610.60	0.0010778
610.80	0.00095239
611.00	0.0010134
611.20	0.0010161
611.40	0.0011642
611.60	0.0012323
611.80	0.0011533
612.00	0.0012483
612.20	0.0011121
612.40	0.0012174
612.60	0.0011279
612.80	0.0011981
613.00	0.0012482
613.20	0.0011685
613.40	0.0010111
613.60	0.0010831
613.80	0.0011773
614.00	0.0012022
614.20	0.0012543
614.40	0.0010758
614.60	0.0011652
614.80	0.0011137
615.00	0.0012170
615.20	0.0011403
615.40	0.0013553
615.60	0.0013094
615.80	0.0013575
616.00	0.0011931
616.20	0.0013510
616.40	0.0013426
616.60	0.0013032
616.80	0.0013498
617.00	0.0015140
617.20	0.0015024
617.40	0.0014006
617.60	0.0014268
617.80	0.0012084
618.00	0.0014239
618.20	0.0015844
618.40	0.0014227
618.60	0.0015206
618.80	0.0016504
619.00	0.0015144
619.20	0.0013798
619.40	0.0015028
619.60	0.0015559
619.80	0.0016145
620.00	0.0016608
620.20	0.0017584
620.40	0.0017450
620.60	0.0017793
620.80	0.0018881
621.00	0.0018871
621.20	0.0018097
621.40	0.0019405
621.60	0.0019787
621.80	0.0021119
622.00	0.0017966
622.20	0.0020014
622.40	0.0022281
622.60	0.0019691
622.80	0.0022216
623.00	0.0022841
623.20	0.0023034
623.40	0.0023805
623.60	0.0024344
623.80	0.0024251
624.00	0.0025914
624.20	0.0025042
