Wavelength (nm)	L285 ZnOP-He3M10 (SE329).abs

350.00	0.090619
350.20	0.086266
350.40	0.097302
350.60	0.095147
350.80	0.094959
351.00	0.095695
351.20	0.10280
351.40	0.10203
351.60	0.099407
351.80	0.10222
352.00	0.10481
352.20	0.10242
352.40	0.10547
352.60	0.10852
352.80	0.11121
353.00	0.10628
353.20	0.10990
353.40	0.11156
353.60	0.11044
353.80	0.11244
354.00	0.11491
354.20	0.11066
354.40	0.11764
354.60	0.11814
354.80	0.11678
355.00	0.11531
355.20	0.12090
355.40	0.12058
355.60	0.11576
355.80	0.12065
356.00	0.12346
356.20	0.12199
356.40	0.12283
356.60	0.12621
356.80	0.12451
357.00	0.12419
357.20	0.12838
357.40	0.13188
357.60	0.12809
357.80	0.13020
358.00	0.13197
358.20	0.12968
358.40	0.12716
358.60	0.12927
358.80	0.13207
359.00	0.13453
359.20	0.13363
359.40	0.13550
359.60	0.13426
359.80	0.13636
360.00	0.14032
360.20	0.14370
360.40	0.13886
360.60	0.14074
360.80	0.13949
361.00	0.13997
361.20	0.14312
361.40	0.14210
361.60	0.14026
361.80	0.14237
362.00	0.14829
362.20	0.14461
362.40	0.14347
362.60	0.14835
362.80	0.14848
363.00	0.14896
363.20	0.14840
363.40	0.15189
363.60	0.15017
363.80	0.15285
364.00	0.15576
364.20	0.15461
364.40	0.15590
364.60	0.15765
364.80	0.15559
365.00	0.15826
365.20	0.16082
365.40	0.16060
365.60	0.15876
365.80	0.15982
366.00	0.16608
366.20	0.16667
366.40	0.16668
366.60	0.16496
366.80	0.16439
367.00	0.16544
367.20	0.16927
367.40	0.16732
367.60	0.16374
367.80	0.16560
368.00	0.16526
368.20	0.16666
368.40	0.16551
368.60	0.16980
368.80	0.17363
369.00	0.17259
369.20	0.17341
369.40	0.17770
369.60	0.17458
369.80	0.17458
370.00	0.17320
370.20	0.17159
370.40	0.17460
370.60	0.17530
370.80	0.17345
371.00	0.18144
371.20	0.18040
371.40	0.18133
371.60	0.17914
371.80	0.18284
372.00	0.18123
372.20	0.17949
372.40	0.18030
372.60	0.18216
372.80	0.18447
373.00	0.18436
373.20	0.18401
373.40	0.18355
373.60	0.18262
373.80	0.18679
374.00	0.18667
374.20	0.18598
374.40	0.18852
374.60	0.18956
374.80	0.18771
375.00	0.18898
375.20	0.18990
375.40	0.18712
375.60	0.18666
375.80	0.19013
376.00	0.18873
376.20	0.18572
376.40	0.19139
376.60	0.19046
376.80	0.18964
377.00	0.19149
377.20	0.19333
377.40	0.19159
377.60	0.18904
