Wavelength (nm)	L285 FbOP-He3M10 (SE328).ems
600.00	0.00053224
600.20	0.00046490
600.40	0.00047135
600.60	0.00061454
600.80	0.00054087
601.00	0.00068577
601.20	0.00053654
601.40	0.00060441
601.60	0.00060777
601.80	0.00057964
602.00	0.00056567
602.20	0.00059611
602.40	0.00057926
602.60	0.00069824
602.80	0.00060714
603.00	0.00064089
603.20	0.00065410
603.40	0.00068003
603.60	0.00077739
603.80	0.00069866
604.00	0.00071832
604.20	0.00077461
604.40	0.00067656
604.60	0.00082213
604.80	0.00081325
605.00	0.00071341
605.20	0.00088173
605.40	0.00075297
605.60	0.00094562
605.80	0.00078148
606.00	0.00078375
606.20	0.00084215
606.40	0.00092956
606.60	0.00092552
606.80	0.00089575
607.00	0.00085143
607.20	0.00091984
607.40	0.00092386
607.60	0.00086657
607.80	0.0010240
608.00	0.00091012
608.20	0.00091737
608.40	0.00084044
608.60	0.00094977
608.80	0.0010025
609.00	0.0011398
609.20	0.0010741
609.40	0.0011043
609.60	0.00090017
609.80	0.0011795
610.00	0.0010273
610.20	0.0010216
610.40	0.0011091
610.60	0.0010299
610.80	0.0011306
611.00	0.0011807
611.20	0.0011932
611.40	0.0010581
611.60	0.0011444
611.80	0.0010911
612.00	0.0012055
612.20	0.0011591
612.40	0.0011257
612.60	0.0011566
612.80	0.0012255
613.00	0.0013359
613.20	0.0012232
613.40	0.0013287
613.60	0.0012009
613.80	0.0011806
614.00	0.0011818
614.20	0.0012712
614.40	0.0013241
614.60	0.0013706
614.80	0.0012302
615.00	0.0014853
615.20	0.0013012
615.40	0.0013462
615.60	0.0015471
615.80	0.0012802
616.00	0.0013671
616.20	0.0012409
616.40	0.0015013
616.60	0.0014405
616.80	0.0014808
617.00	0.0014571
617.20	0.0014980
617.40	0.0014731
617.60	0.0015328
617.80	0.0015536
618.00	0.0016613
618.20	0.0015189
618.40	0.0017343
618.60	0.0018033
618.80	0.0017529
619.00	0.0018034
619.20	0.0019191
619.40	0.0018875
619.60	0.0018162
619.80	0.0018170
620.00	0.0020662
620.20	0.0020725
620.40	0.0020910
620.60	0.0021545
620.80	0.0022356
621.00	0.0023256
621.20	0.0023201
621.40	0.0025863
621.60	0.0025341
621.80	0.0024485
622.00	0.0025569
622.20	0.0027776
622.40	0.0026254
622.60	0.0028713
622.80	0.0031392
623.00	0.0031612
623.20	0.0031408
623.40	0.0036998
623.60	0.0034767
623.80	0.0033787
624.00	0.0036848
624.20	0.0039794
624.40	0.0038266
624.60	0.0038176
624.80	0.0041099
625.00	0.0044101
625.20	0.0043768
625.40	0.0048018
625.60	0.0048280
625.80	0.0049118
626.00	0.0048573
626.20	0.0050493
626.40	0.0052473
626.60	0.0055089
626.80	0.0054929
627.00	0.0057627
627.20	0.0060496
627.40	0.0058982
627.60	0.0063189
627.80	0.0063493
628.00	0.0066806
628.20	0.0064871
628.40	0.0067829
628.60	0.0072806
628.80	0.0068488
629.00	0.0071957
629.20	0.0070952
629.40	0.0077377
629.60	0.0077574
629.80	0.0079892
630.00	0.0076249
630.20	0.0082012
630.40	0.0085067
630.60	0.0084012
630.80	0.0088842
631.00	0.0087956
631.20	0.0091053
631.40	0.0092089
631.60	0.0094974
631.80	0.0097063
632.00	0.0099064
632.20	0.0097440
632.40	0.0097970
632.60	0.010046
632.80	0.010846
633.00	0.010765
633.20	0.011190
633.40	0.011233
633.60	0.011365
633.80	0.011642
634.00	0.011815
634.20	0.012124
634.40	0.012837
634.60	0.012964
634.80	0.013548
635.00	0.013943
635.20	0.014559
635.40	0.015441
635.60	0.015681
635.80	0.016196
636.00	0.016026
636.20	0.016685
636.40	0.017563
636.60	0.018017
636.80	0.018386
637.00	0.019707
637.20	0.020105
637.40	0.020952
637.60	0.021994
637.80	0.023773
638.00	0.024118
638.20	0.025247
638.40	0.026117
638.60	0.028066
638.80	0.028953
639.00	0.029953
639.20	0.030471
639.40	0.033262
639.60	0.034171
639.80	0.035938
640.00	0.037073
640.20	0.039288
640.40	0.039762
640.60	0.042210
640.80	0.043680
641.00	0.045669
641.20	0.047810
641.40	0.049625
641.60	0.051734
641.80	0.053350
642.00	0.055651
642.20	0.058328
642.40	0.059832
642.60	0.062817
642.80	0.065487
643.00	0.067248
643.20	0.071046
643.40	0.073343
643.60	0.076094
643.80	0.078723
644.00	0.082275
644.20	0.085011
644.40	0.088504
644.60	0.091826
644.80	0.094763
645.00	0.098955
645.20	0.10378
645.40	0.10719
645.60	0.11156
645.80	0.11614
646.00	0.12064
646.20	0.12501
646.40	0.13040
646.60	0.13760
646.80	0.14345
647.00	0.14853
647.20	0.15491
647.40	0.16349
647.60	0.17032
647.80	0.17850
648.00	0.18830
648.20	0.19672
648.40	0.20613
648.60	0.21567
648.80	0.22797
649.00	0.23238
649.20	0.24867
649.40	0.26478
649.60	0.27741
649.80	0.29205
650.00	0.30611
650.20	0.32053
650.40	0.33360
650.60	0.35416
650.80	0.36677
651.00	0.38473
651.20	0.39993
651.40	0.41939
651.60	0.44016
651.80	0.45932
652.00	0.47650
652.20	0.49487
652.40	0.51438
652.60	0.53590
652.80	0.55656
653.00	0.57556
653.20	0.59301
653.40	0.61451
653.60	0.63730
653.80	0.65633
654.00	0.67741
654.20	0.69715
654.40	0.71632
654.60	0.73479
654.80	0.75357
655.00	0.76894
655.20	0.78200
655.40	0.80513
655.60	0.82237
655.80	0.83906
656.00	0.85791
656.20	0.87196
656.40	0.88688
656.60	0.89624
656.80	0.91015
657.00	0.92385
657.20	0.93198
657.40	0.94837
657.60	0.95696
657.80	0.96278
658.00	0.96786
658.20	0.97731
658.40	0.98430
658.60	0.98853
658.80	0.99402
659.00	0.99795
659.20	0.99733
659.40	1.0000
659.60	0.99752
659.80	0.99539
660.00	0.99831
660.20	0.99077
660.40	0.98760
660.60	0.98427
660.80	0.97726
661.00	0.97076
661.20	0.96279
661.40	0.95326
661.60	0.94430
661.80	0.94130
662.00	0.92455
662.20	0.91613
662.40	0.90749
662.60	0.89341
662.80	0.87856
663.00	0.86663
663.20	0.85081
663.40	0.83807
663.60	0.82743
663.80	0.81584
664.00	0.79902
664.20	0.78868
664.40	0.77054
664.60	0.75630
664.80	0.73882
665.00	0.72728
665.20	0.71418
665.40	0.70162
665.60	0.68193
665.80	0.67154
666.00	0.65661
666.20	0.64526
666.40	0.62728
666.60	0.61757
666.80	0.60456
667.00	0.58871
667.20	0.57571
667.40	0.56641
667.60	0.55043
667.80	0.53927
668.00	0.52698
668.20	0.51679
668.40	0.50337
668.60	0.49588
668.80	0.48461
669.00	0.46927
669.20	0.46142
669.40	0.45534
669.60	0.44325
669.80	0.43629
670.00	0.42558
670.20	0.41868
670.40	0.40958
670.60	0.40357
670.80	0.39527
671.00	0.39024
671.20	0.38230
671.40	0.37344
671.60	0.36649
671.80	0.35941
672.00	0.35350
672.20	0.34589
672.40	0.34113
672.60	0.33737
672.80	0.32899
673.00	0.32513
673.20	0.31972
673.40	0.31252
673.60	0.30828
673.80	0.30422
674.00	0.29886
674.20	0.29555
674.40	0.28941
674.60	0.28201
674.80	0.27568
675.00	0.27287
675.20	0.26664
675.40	0.26317
675.60	0.25772
675.80	0.25299
676.00	0.24886
676.20	0.24253
676.40	0.23812
676.60	0.23524
676.80	0.23103
677.00	0.22742
677.20	0.22408
677.40	0.21918
677.60	0.21314
677.80	0.21130
678.00	0.20630
678.20	0.20571
678.40	0.19862
678.60	0.19583
678.80	0.19282
679.00	0.18958
679.20	0.18610
679.40	0.18266
679.60	0.18070
679.80	0.17835
680.00	0.17519
680.20	0.17131
680.40	0.16946
680.60	0.16597
680.80	0.16429
681.00	0.16091
681.20	0.15947
681.40	0.15800
681.60	0.15688
681.80	0.15440
682.00	0.15193
682.20	0.15280
682.40	0.14953
682.60	0.14834
682.80	0.14532
683.00	0.14448
683.20	0.14213
683.40	0.14319
683.60	0.14255
683.80	0.14120
684.00	0.13737
684.20	0.13818
684.40	0.13805
684.60	0.14014
684.80	0.13482
685.00	0.13627
685.20	0.13749
685.40	0.13622
685.60	0.13613
685.80	0.13436
686.00	0.13399
686.20	0.13354
686.40	0.13524
686.60	0.13502
686.80	0.13486
687.00	0.13366
687.20	0.13395
687.40	0.13373
687.60	0.13244
687.80	0.13327
688.00	0.13359
688.20	0.13344
688.40	0.13436
688.60	0.13546
688.80	0.13426
689.00	0.13257
689.20	0.13293
689.40	0.13340
689.60	0.13442
689.80	0.13456
690.00	0.13431
690.20	0.13358
690.40	0.13273
690.60	0.13198
690.80	0.13220
691.00	0.13331
691.20	0.13295
691.40	0.12988
691.60	0.13100
691.80	0.13129
692.00	0.13036
692.20	0.12904
692.40	0.12935
692.60	0.12947
692.80	0.12708
693.00	0.12895
693.20	0.12788
693.40	0.12834
693.60	0.12457
693.80	0.12558
694.00	0.12605
694.20	0.12551
694.40	0.12507
694.60	0.12422
694.80	0.12518
695.00	0.12374
695.20	0.12287
695.40	0.12199
695.60	0.12055
695.80	0.12140
696.00	0.12299
696.20	0.12041
696.40	0.12026
696.60	0.11991
696.80	0.12217
697.00	0.11991
697.20	0.11936
697.40	0.11966
697.60	0.11810
697.80	0.11776
698.00	0.12029
698.20	0.11934
698.40	0.12025
698.60	0.11979
698.80	0.12075
699.00	0.11997
699.20	0.12168
699.40	0.12158
699.60	0.12084
699.80	0.12184
700.00	0.12283
700.20	0.12365
700.40	0.12259
700.60	0.12422
700.80	0.12405
701.00	0.12838
701.20	0.12681
701.40	0.12814
701.60	0.12910
701.80	0.13159
702.00	0.12994
702.20	0.13304
702.40	0.13418
702.60	0.13286
702.80	0.13572
703.00	0.13718
703.20	0.13658
703.40	0.13903
703.60	0.13892
703.80	0.14180
704.00	0.14199
704.20	0.14176
704.40	0.14323
704.60	0.14579
704.80	0.14410
705.00	0.14724
705.20	0.14868
705.40	0.14847
705.60	0.14817
705.80	0.15116
706.00	0.14954
706.20	0.15173
706.40	0.15338
706.60	0.15405
706.80	0.15392
707.00	0.15629
707.20	0.15741
707.40	0.15773
707.60	0.15924
707.80	0.15709
708.00	0.15895
708.20	0.15914
708.40	0.15802
708.60	0.15561
708.80	0.15939
709.00	0.15771
709.20	0.16053
709.40	0.15837
709.60	0.15698
709.80	0.15811
710.00	0.15885
710.20	0.15540
710.40	0.15471
710.60	0.15606
